place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJ2VXySTaJQQ0RjWEc-YutQGM,Abogados Lara,Abogado,Alcorcon,"C. Porto Colón, 10, Posterior, Local nº 2, 28924 Alcorcón, Madrid, España",+34 916 42 64 34,https://www.abogadoslara.es/,True,4.7,172,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ2VXySTaJQQ0RjWEc-YutQGM.jpg,propia,(despacho@abogadoslara.es) ,False,no,web moderna
ChIJzd8Zi0aJQQ0RsPAI7AuUAgA,Lexterloi. Asesoría & Abogados,Abogado,Alcorcon,"Calle Olímpico Francisco Fernández Ochoa, 18, planta 1- Oficinas 6 y 7, 28923 Alcorcón, Madrid, España",+34 916 44 45 90,http://www.lexterloi.es/,True,4.7,103,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJzd8Zi0aJQQ0RsPAI7AuUAgA.jpg,propia,lexterloi@lexterloi.es,False,no,web moderna
ChIJuaRGTAGLQQ0RRJQaBw1LIAU,Aselex Abogados,Abogado,Alcorcon,"C. Mayor, 20, 28921 Alcorcón, Madrid, España",+34 630 32 10 72,http://www.aselexabogados.es/,True,4.7,97,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJuaRGTAGLQQ0RRJQaBw1LIAU.jpg,propia,aselex@aselexabogados.es,False,no,web moderna
ChIJwUsZfQCPQQ0RuiQ3IMhCraA,Aracelis Rodríguez & Asociados | Soluciones legales y sociales en Alcorcón.,Abogado,Alcorcon,"C. Cáceres, 6, 28921 Alcorcón, Madrid, España",+34 602 50 28 50,,False,5,68,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJwUsZfQCPQQ0RuiQ3IMhCraA.jpg,ninguna,,True,,
ChIJDQzj4Z4pQg0RZw5_jhRQmCs,Abogados Valentin y Pizarro,Abogado,Alcorcon,"C. Padrón, 4, 28925 Alcorcón, Madrid, España",+34 916 19 50 72,http://www.valentinypizarro.com/,True,4.9,46,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJDQzj4Z4pQg0RZw5_jhRQmCs.jpg,propia,valentinypizarroabogados@gmail.com,False,no,web moderna
ChIJCSeA8b6OQQ0R6DIYN0Xzglk,Anuarbe y Asociados Abogados,Abogado,Alcorcon,"C. Liverpool, 4, 28922 Alcorcón, Madrid, España",+34 914 86 05 88,http://www.anuarbeyasociados.es/,True,4.7,45,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJCSeA8b6OQQ0R6DIYN0Xzglk.jpg,propia,,True,?,no carga (ConnectionError)
ChIJ94mdWMOJQQ0RslZZLZEmOIE,Abogado de familia en Alcorcón | Letra2 Moreno,Abogado,Alcorcon,"Av. de Leganés, 54, 28923 Alcorcón, Madrid, España",+34 914 07 33 56,https://letra2moreno.es/,True,4.3,6,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ94mdWMOJQQ0RslZZLZEmOIE.jpg,propia,,True,no,web moderna
ChIJ39ZZeouJQQ0RUuqdeOBV8IE,Juan Carlos Díaz Muñoz Abogado - JC Díaz Abogados-,Abogado,Alcorcon,"C. Parque Bujaruelo, 3, 1º C, 28924 Alcorcón, Madrid, España",+34 914 88 10 37,http://www.jcdiazabogados.es/,True,5,8,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ39ZZeouJQQ0RUuqdeOBV8IE.jpg,propia,jcdiaz@icam.es,False,no,web moderna
ChIJ0SLF3OSPQQ0RlyDI2uAvCOU,NG ABOGADOS Y ASESORES,Abogado,Alcorcon,"C/ José Saramago s/n, C. Alfredo Nobel, 12, LOCAL 2 Esquina, 28922 Alcorcón, Madrid, España",+34 699 46 40 52,http://www.ngabogados.es/,True,4.7,15,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0SLF3OSPQQ0RlyDI2uAvCOU.jpg,propia,despacho@ngabogados.es,False,no,web moderna
ChIJoSqVLgCPQQ0R6HLNT7BVxH4,Abogados y Concursos de Acreedores Alcorcón,Abogado,Alcorcon,"C. Cuenca, 4, 28921 Alcorcón, Madrid, España",,,False,5,4,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJoSqVLgCPQQ0R6HLNT7BVxH4.jpg,ninguna,,True,,
ChIJe_bIOcyJQQ0RHyy2FUqjmDQ,Abogados Divorcios y Herencias Alcorcón,Abogado,Alcorcon,"C. Mayor, 49, 28921 Alcorcón, Madrid, España",+34 910 35 90 91,https://www.everestabogados.com/abogados-en-alcorcon/,True,,,,propia,alcorcon@everestabogados.com,False,no,web moderna
ChIJT0ZGIeepOacR4CGQZbiD91g,Mónica de Andrés • Abogada Laboralista,Abogado,Alcorcon,"C. de la Electricidad, 5, 28918 Leganés, Madrid, España",+34 624 05 52 11,https://www.mdabogadoslaboral.com/,True,5,12,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT0ZGIeepOacR4CGQZbiD91g.jpg,propia,monicadeandres@icam.es,False,no,web moderna
ChIJ6xkqorWOQQ0RKbsgl58CKEI,R&S Abogados,Abogado,Alcorcon,"C. Mayor, 50, 28921 Alcorcón, Madrid, España",+34 910 09 40 36,,False,4.9,7,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ6xkqorWOQQ0RKbsgl58CKEI.jpg,ninguna,,True,,
ChIJX9F4e7WOQQ0RcYkGAQhrUCg,Suárez Domínguez Abogados,Abogado,Alcorcon,"C. Nueva, 1, 28921 Alcorcón, Madrid, España",+34 916 43 47 15,,False,5,5,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJX9F4e7WOQQ0RcYkGAQhrUCg.jpg,ninguna,,True,,
ChIJ5wvhqsuOQQ0Rz0kGW9RS9Qw,Talavera Abogados,Abogado,Alcorcon,"Av. de los Carabancheles, 10, 28921 Alcorcón, Madrid, España",+34 916 10 85 11,http://talavera-abogados.es/,True,,,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ5wvhqsuOQQ0Rz0kGW9RS9Qw.jpg,propia,marketing@gestionyjusticia.es,False,no,web moderna
ChIJ1VLfdHyJQQ0R9pKFvkBrnKg,Panero Abogados,Abogado,Alcorcon,"C. los Electricistas, 15, 28923 Alcorcón, Madrid, España",+34 629 69 14 99,https://www.paneroabogados.es/,True,5,45,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ1VLfdHyJQQ0R9pKFvkBrnKg.jpg,propia,info@paneroabogados.es,False,no,web moderna
ChIJwT887CaJQQ0R8W7XZ58DX2w,Carmen Criado Abogado,Abogado,Alcorcon,"Av. de Lisboa, 10 Posterior, Loc 9, 28924 Alcorcón, Madrid, España",+34 911 37 16 21,http://www.carmencriadoabogado.es/,True,5,37,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJwT887CaJQQ0R8W7XZ58DX2w.jpg,propia,,True,si,en construccion; pagina minima (90 chars)
ChIJkfPcTZ-PQQ0R8h8RgPTg3Dc,Despacho Martin Abogados,Abogado,Alcorcon,"Calle Espada 2, C. Nueva, 10, local, entrada por, 28921 Alcorcón, Madrid, España",+34 910 13 88 11,https://despachomartinabogados.es/,True,5,1,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJkfPcTZ-PQQ0R8h8RgPTg3Dc.jpg,propia,,True,no,web moderna
ChIJQTFC2j2JQQ0Rh3BjFVEt8LM,María Molina Abogada Penalista,Abogado,Alcorcon,"C. Inspector Juan Antonio Bueno, 2, 28924 Alcorcón, Madrid, España",+34 689 85 65 20,https://molinapenal.com/,True,5,14,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJQTFC2j2JQQ0Rh3BjFVEt8LM.jpg,propia,molinapizarrom@gmail.com,False,no,web moderna
ChIJcaLKE6yOQQ0RGxfc-oU_9Lg,Sandoval AGS Asesores,Abogado,Alcorcon,"C. Oceanía, 1, 28922 Alcorcón, Madrid, España",+34 910 52 46 75,http://www.sandovalagsasesores.com/,True,4.9,37,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJcaLKE6yOQQ0RGxfc-oU_9Lg.jpg,propia,info@sandovalagsasesores.com,False,no,web moderna
ChIJzTZs6yuMQQ0Rjzlg-chy7Ak,Celdrán Abogados & Consulting,Abogado,Alcorcon,"C. las Fábricas, 8, 28923 Alcorcón, Madrid, España",+34 916 64 15 47,https://celdranabogados.com/,True,4.7,60,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJzTZs6yuMQQ0Rjzlg-chy7Ak.jpg,propia, administracion@celdranabogados.com,False,no,web moderna
ChIJ_Zh1JMuOQQ0R5hLkSq-eyMM,Bufete de abogados Loro Cáceres,Abogado,Alcorcon,"C. de la Canaleja, 1, 28921 Alcorcón, Madrid, España",+34 916 19 55 29,,False,4.8,11,,ninguna,,True,,
ChIJ-3hG60aJQQ0RLiUrE9lBlXc,Consulter Abogados y Asesores,Abogado,Alcorcon,"Av. de Leganés, 54, 1° Despacho 27, 28923 Alcorcón, Madrid, España",+34 916 43 41 12,https://consulter.es/,True,4.6,23,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ-3hG60aJQQ0RLiUrE9lBlXc.jpg,propia,,True,?,HTTP 403
ChIJF4tR7AGJQQ0RJumXEyRCdCY,Abogados Cabana,Abogado,Alcorcon,"Parque Lisboa, C. Porto Cristo, 2 Post, Loc 2, 28924 Alcorcón, Madrid, España",+34 916 12 76 82,https://abogadoscabana.es/,True,4.8,5,,propia,info@abogadoscabana.es,False,no,web moderna
ChIJT63R-zSJQQ0RpMr6mlsEqMg,Carpe Diem Abogados,Abogado,Alcorcon,"C. Porto Lagos, 1, 28924 Alcorcón, Madrid, España",+34 683 24 48 63,https://carpediemabogados.es/,True,5,2,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT63R-zSJQQ0RpMr6mlsEqMg.jpg,propia,,True,no,web moderna
ChIJefkg9mWJQQ0Rs0Fu7TK1_ZY,Abogados Rivas & Asociados,Abogado,Alcorcon,"C. Cabo de San Vicente, 4 posterior, Local 10, 28924 Alcorcón, Madrid, España",+34 912 59 60 20,,False,5,6,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJefkg9mWJQQ0Rs0Fu7TK1_ZY.jpg,ninguna,,True,,
ChIJo5-wXTaJQQ0RQahysQ31q9M,Caparros-Rojas & Gonzalez Asesores sl,Abogado,Alcorcon,"debajo de la torre, en la plaza, C. Príncipe Don Juan Carlos, 1, Loc Local, 28924 Alcorcón, Madrid, España",+34 910 60 11 25,https://www.crgasesores.com/,True,5,84,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJo5-wXTaJQQ0RQahysQ31q9M.jpg,propia,info@crgasesores.com,False,no,web moderna
ChIJxy5WEUGJQQ0RiylXp1NlQhM,Rivero Hernández,Abogado,Alcorcon,"C. Parque de Cabañeros, 10, 28924 Alcorcón, Madrid, España",+34 914 88 06 86,http://riverohernandez.com/,True,4.6,14,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJxy5WEUGJQQ0RiylXp1NlQhM.jpg,propia,,True,si,"sin viewport (no responsive); sin https; marcado obsoleto: bgcolor, font"
ChIJcX8VGTaJQQ0RYDIopiw3dDo,Abogado Juan Luis Rodríguez García,Abogado,Alcorcon,"C. Porto Lagos, 11, 28924 Alcorcón, Madrid, España",+34 609 12 26 25,http://www.abogadospenalistasalcorcon.com/,True,5,4,,propia,juanluis.rodriguez@icam.es,False,no,web moderna
ChIJqXPdFjuJQQ0RU5mAqwVguGo,ActioLegis,Abogado,Alcorcon,"C. Noya, 6, 28925 Alcorcón, Madrid, España",+34 916 33 25 22,http://www.actiolegis.net/,True,5,2,,propia,info@actiolegis.net,False,no,pagina minima (624 chars)
ChIJs6I6uQiJQQ0Rr5VPbIZGX7g,ADVOCAN,Abogado,Alcorcon,"C. Tablas de Daimiel, Bloque 2, Portal 7, 1ºA, 28924 Alcorcón, Madrid, España",+34 916 10 06 83,,False,,,,ninguna,,True,,
ChIJl6q3IkGJQQ0RTNibdnr4guI,REDSUA Abogados,Abogado,Alcorcon,"C. Parque de Cabañeros, 1, 2ºA, 28924 Alcorcón, Madrid, España",+34 911 62 71 21,http://www.redsua-abogados.com/,True,,,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJl6q3IkGJQQ0RTNibdnr4guI.jpg,propia,info@redsua-abogados.com,False,si,sin https; copyright 2020
ChIJ5yjpnrSOQQ0RqHssEgOEmSc,miraabogados,Abogado,Alcorcon,"Pl. del Sol, 8, 28922 Alcorcón, Madrid, España",+34 917 97 80 98,http://www.miraabogados.es/,True,5,1,,propia,grupo@miraabogados.es,False,no,copyright 2020
ChIJtVzsNJyJQQ0R0ho3zcrZXvc,Despacho de Abogados AR Letrados - Zona Alcorcón - Derecho Penal - Derecho Penal de Menores - Divorcios,Abogado,Alcorcon,"Av. de las Flores, 85, 28925 Alcorcón, Madrid, España",+34 913 15 44 93,https://arletrados.wixsite.com/arletrados,True,5,2,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJtVzsNJyJQQ0R0ho3zcrZXvc.jpg,builder,,True,no,constructor gratis
ChIJeYUq2DmJQQ0RY5zWKUOptKQ,Abogados Grupo Cir S.L,Abogado,Alcorcon,"Av. de Leganés, 54, Ofi 12 Edificio, 28924 TRIBECA, Madrid, España",+34 916 11 15 13,https://grupocirabogados.com/,True,4.8,31,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJeYUq2DmJQQ0RY5zWKUOptKQ.jpg,propia,,True,?,no carga (SSLError)
ChIJ8aRkc8qOQQ0RHfjSE4LxuVs,Emilio Talavera Carrasco,Abogado,Alcorcon,"C. Independencia, 7, 28921 Alcorcón, Madrid, España",+34 916 19 93 04,,False,4.7,9,,ninguna,,True,,
ChIJAYmmhUCJQQ0RWRBTTXO4rRo,Celles Abogados,Abogado,Alcorcon,"C. Parque Bujaruelo, 8, 28924 Alcorcón, Madrid, España",+34 915 76 35 13,http://cellesabogados.com/,True,2,8,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJAYmmhUCJQQ0RWRBTTXO4rRo.jpg,propia,info@cellesabogados.com,False,no,copyright 2020
ChIJiaC9ZcqOQQ0Rvmw9h80eoWM,Solera & Asociados,Abogado,Alcorcon,"Pl. de las Hermandades, 1, Ofi 1º D, 28921 Alcorcón, Madrid, España",+34 916 10 09 22,http://www.solerayasociados.es/,True,2.8,67,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJiaC9ZcqOQQ0Rvmw9h80eoWM.jpg,propia,,True,no,web moderna
ChIJmcgQX7SOQQ0RfB-QCiLE_r8,Abogados Navas Sáez,Abogado,Alcorcon,"C. Mayor, 81, 28921 Alcorcón, Madrid, España",+34 916 43 16 86,,False,3,4,,ninguna,,True,,
ChIJm8pSCLWOQQ0ReOv6lt9R3wo,Shz Abogados,Abogado,Alcorcon,"C. Fuenlabrada, 4, 28921 Alcorcón, Madrid, España",,,False,2.7,3,,ninguna,,True,,
,ABOGADOS DIVORCIOS Y FAMILIA,Abogado,Alcorcon,"C. Tordesillas, 4, 28925 Alcorcón, Madrid, España",+34 916 10 74 27,,False,,,,ninguna,,True,,
,Abogados César Muðoz Nuðez,Abogado,Alcorcon,"C. Soria, 4, 28921 Alcorcón, Madrid, España",+34 916 44 29 14,,False,,,,ninguna,,True,,
,Abogados De Accidentes,Abogado,Alcorcon,"Av. de las Flores, 77X, 28925 Alcorcón, Madrid, España",+34 635 37 99 55,https://www.abogadosdeaccidentes.es/#utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=ubicacion1,True,,,,propia,,True,,
,Abogados Hernansanz y Asociados,Abogado,Alcorcon,"C. Porto Cristo, 9, 28924 Alcorcón, Madrid, España",+34 911 99 94 98,,False,,,,ninguna,,True,,
,Abogados Valmo - Despacho de abogados penales,Abogado,Alcorcon,"Av. del Alcalde José Aranda, 28094 Alcorcón, Madrid, España",+34 917 45 00 55,https://abogadosvalmo.com/,True,,,,propia,,True,,
,Abraham Catalina Segura,Abogado,Alcorcon,"Pl. las Fraguas, 2, 28921 Alcorcón, Madrid, España",+34 627 23 70 06,,False,,,,ninguna,,True,,
,Acm Abogados,Abogado,Alcorcon,"C. Puentedeume, 5, Loc, 28925 Alcorcón, Madrid, España",+34 916 19 99 53,,False,,,,ninguna,,True,,
,Ald Abogados Servicios Integrales de Recuperación,Abogado,Alcorcon,"P.º Castilla, 11, 28921 Alcorcón, Madrid, España",+34 910 12 04 62,,False,,,,ninguna,,True,,
,Atlantis Abogados Administradores S L,Abogado,Alcorcon,"C. Vizcaya, 4, 1-4, 28921 Alcorcón, Madrid, España",+34 916 44 16 21,,False,,,,ninguna,,True,,
,Consultores y Abogados DAPYME,Abogado,Alcorcon,"Tr.ª Fuente Cisneros, 33 BIS, 28922 Alcorcón, Madrid, España",+34 638 77 14 70,http://www.dapyme.com/,True,,,,propia,,True,,
,González y López Abogados S.C.,Abogado,Alcorcon,"Calle Rioja, 2, 28921 Alcorcón, Madrid, España",+34 916 44 89 39,,False,,,,ninguna,,True,,
,Hernansanz & Carballo Abogados,Abogado,Alcorcon,"C. Porto Cristo, 9, Bajo B, Escalera Centro, 28924 Alcorcón, Madrid, España",+34 676 72 62 38,,False,,,,ninguna,,True,,
,Inmaculada Abellan - Abogada,Abogado,Alcorcon,"Parque Bujaruelo, Av. de la Libertad, n° 13, 1°B Entrada, 28924 por, Madrid, España",+34 670 85 18 19,,False,,,,ninguna,,True,,
,Javier Padilla abogado,Abogado,Alcorcon,"Galería de Alimentación Mayesi, C. San José, 22, Loc 6, 28921 Alcorcón, Madrid, España",+34 649 65 06 29,http://bufetepadilla.es/,True,,,,propia,,True,,
,Legalesnet,Abogado,Alcorcon,"C. Trujillo, 4, 28921 Alcorcón, Madrid, España",+34 624 21 79 90,https://legalesnet.com/,True,,,,propia,,True,,
,Pablo Antonio González García,Abogado,Alcorcon,"C. Porto Cristo, 9, 28924 Alcorcón, Madrid, España",+34 696 80 22 84,,False,,,,ninguna,,True,,
,RT Asociados | Abogado,Abogado,Alcorcon,"C. Estocolmo, 28922 Alcorcón, Madrid, España",,https://www.rtasociados.es/,True,,,,propia,,True,,
,Sandra Jiménez Abogados Madrid I abogados Madrid,Abogado,Alcorcon,"C. Tablas de Daimiel, 2, Loc 7, 28924 Alcorcón, Madrid, España",+34 670 24 09 21,https://sandrajimenezabogados.es/,True,,,,propia,,True,,
,Susana Ruiz Sánchez,Abogado,Alcorcon,"C. Polvoranca, 24, 28921 Alcorcón, Madrid, España",+34 916 12 11 52,http://www.ruiz-redondo.es/,True,,,,propia,,True,,
,Vela&Talavera asociados,Abogado,Alcorcon,"C. Independencia, 4, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,patricia oliva álvarez,Abogado,Alcorcon,"C. Parque de Cabañeros, 10, 28924 Alcorcón, Madrid, España",+34 655 21 81 79,,False,,,,ninguna,,True,,
,vilca abogados,Abogado,Alcorcon,"C. Parque Bujaruelo, 37, 1A, 28921 Alcorcón, Madrid, España",+34 602 54 88 71,https://laspalmasextranjeria.com/,True,,,,propia,,True,,
