place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,"AT Academia del Transportista - Centro CAP, ADR y de Recuperación de Puntos - Alcorcón, Madrid",Autoescuela,Alcorcon,"C. Porto Colón, 6, 28924 Alcorcón, Madrid, España",+34 661 58 93 63,https://www.academiadeltransportista.com/,True,,,,propia,,True,,
,AUTOESCUELA ALARDOS S.L.,Autoescuela,Alcorcon,"C. Mayor, 99, 28922 Alcorcón, Madrid, España",+34 916 43 54 29,https://www.tuautoescuela.net/alardos/,True,,,,propia,,True,,
,AUTOESCUELA LOS ALPES,Autoescuela,Alcorcon,"C. los Alpes, 6, 28922 Alcorcón, Madrid, España",+34 916 44 03 50,,False,,,,ninguna,,True,,
,AUTOESCUELA PULIDO Alcorcón,Autoescuela,Alcorcon,"Av. de la Libertad, 28924 Alcorcón, Madrid, España",+34 658 60 71 46,http://www.autoescuelapulido.com/,True,,,,propia,,True,,
,Alcorcón Central | GALA Autoescuela - Centro Recuperación Puntos,Autoescuela,Alcorcon,"Av. Móstoles, 28922 Alcorcón, Madrid, España",+34 646 03 19 94,https://autoescuelagala.com/autoescuela-alcorcon-central/,True,,,,propia,,True,,
,Autoescuela Acrópolis,Autoescuela,Alcorcon,"C. Doñana, 2, 28924 Alcorcón, Madrid, España",+34 914 88 02 41,,False,,,,ninguna,,True,,
,Autoescuela Alcor,Autoescuela,Alcorcon,"C. Betanzos, 3, 28924 Alcorcón, Madrid, España",+34 608 51 36 42,https://autoescuelaalcor.es/,True,,,,propia,,True,,
,Autoescuela Amarsol - Alcorcón,Autoescuela,Alcorcon,"Av. Móstoles, 3, 28922 Alcorcón, Madrid, España",+34 615 45 86 20,https://autoescuelasamarsol.com/,True,,,,propia,,True,,
,Autoescuela Avanzada,Autoescuela,Alcorcon,"C. los Sauces, 7, 28922 Alcorcón, Madrid, España",+34 916 44 40 56,https://autoescuelaavanzada.es/,True,,,,propia,,True,,
,Autoescuela Croquis,Autoescuela,Alcorcon,"C. Violeta, 14, 28933 Móstoles, Madrid, España",+34 643 96 76 02,http://autoescuelacroquis.com/,True,,,,propia,,True,,
,Autoescuela Dimoauto,Autoescuela,Alcorcon,"C. Parque Bujaruelo, 8, 28924 Alcorcón, Madrid, España",+34 914 88 15 58,http://aedimoauto.es/,True,,,,propia,,True,,
,Autoescuela Driver's Alcorcon,Autoescuela,Alcorcon,"Av. de Atenas, 7, 28922 Alcorcón, Madrid, España",+34 624 20 22 14,http://www.driverschool.es/,True,,,,propia,,True,,
,Autoescuela Europea,Autoescuela,Alcorcon,"C. Camino de Leganes, 51, 28936 Móstoles, Madrid, España",+34 912 26 81 12,https://autoescuelaeuropea.es/,True,,,,propia,,True,,
,Autoescuela Fuertes Plaza,Autoescuela,Alcorcon,"C. Bailén, 1, 28921 Alcorcón, Madrid, España",+34 916 19 47 16,https://www.tuautoescuela.net/fplaza/,True,,,,propia,,True,,
,Autoescuela GO! Alcorcón - Centro (Viseyam),Autoescuela,Alcorcon,"C. Mayor, 66, 1º-3, 28921 Alcorcón, Madrid, España",+34 661 30 61 55,https://goautoescuelas.es/autoescuelas/alcorcon/centro/,True,,,,propia,,True,,
,Autoescuela GO! Alcorcón - Las Retamas (Anyma),Autoescuela,Alcorcon,"C. Helsinki, 4, 28922 Alcorcón, Madrid, España",+34 916 85 57 19,https://goautoescuelas.es/autoescuelas/alcorcon/estacion-las-retamas/,True,,,,propia,,True,,
