place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Antigua taberna La Marcela,Bar,Alcorcon,"C. Oslo, 31, 28922 Alcorcón, Madrid, España",+34 916 89 17 82,,False,,,,ninguna,,True,,
,Apolo,Bar,Alcorcon,"C/ Ávila, 3, 28921 Alcorcón, Madrid, España",+34 914 86 00 49,,False,,,,ninguna,,True,,
,BAR TEO,Bar,Alcorcon,"Calle Referéndum de Viña Grande, 2, avenida del los castiillos, 1009, 28925 Alcorcón, Madrid, España",+34 916 11 00 26,,False,,,,ninguna,,True,,
,Bar 6 Cubas,Bar,Alcorcon,"C. Santo Domingo, 26, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,"Bar Apolo, desde 1969",Bar,Alcorcon,"Pl. San Juan de Covas, 19, 28925 Alcorcón, Madrid, España",+34 916 19 23 58,,False,,,,ninguna,,True,,
,Bar Avenida,Bar,Alcorcon,"C. Cisneros, 45, 28922 Alcorcón, Madrid, España",+34 916 43 00 13,,False,,,,ninguna,,True,,
,Bar Barra 21,Bar,Alcorcon,"C. Carballino, 21, 28925 Alcorcón, Madrid, España",+34 919 47 22 22,,False,,,,ninguna,,True,,
,Bar El Aperitivo,Bar,Alcorcon,"C. Olimpiada, 28923 Alcorcón, Madrid, España",+34 660 56 02 02,,False,,,,ninguna,,True,,
,Bar La Galería Restaurante,Bar,Alcorcon,"C. Oslo, 18, 28922 Alcorcón, Madrid, España",+34 610 73 80 83,,False,,,,ninguna,,True,,
,Bar La Plaza,Bar,Alcorcon,"Pl. de Pontevedra, 2A, 28924 Alcorcón, Madrid, España",+34 910 56 38 34,,False,,,,ninguna,,True,,
,Bar casa collado,Bar,Alcorcon,"C. Caldas de Reyes, 15, 28925 Alcorcón, Madrid, España",+34 685 14 91 89,,False,,,,ninguna,,True,,
,Bar los Mejillones,Bar,Alcorcon,"C. Fuenlabrada, 39, 28922 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Bar restaurante Mi Candela,Bar,Alcorcon,"Av. las Retamas, 76, 28922 Alcorcón, Madrid, España",+34 916 43 60 56,https://tabernamicandela.com/,True,,,,propia,,True,,
,Broadway bar,Bar,Alcorcon,"Av. las Retamas, 65, 28922 Alcorcón, Madrid, España",+34 617 78 81 65,,False,,,,ninguna,,True,,
,Café Bar Chuleta,Bar,Alcorcon,"C. Madrid, 4, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Casa Garcia,Bar,Alcorcon,"Av. las Retamas, 76, 28922 Alcorcón, Madrid, España",+34 912 26 10 63,https://casagarciabar.com/,True,,,,propia,,True,,
,Casa Pepe Alcorcón Bar Restaurante,Bar,Alcorcon,"Pl. Príncipes de España, 2, 28924 Alcorcón, Madrid, España",+34 918 30 72 84,https://casapepealcorconbarrestaurante.shop/,True,,,,propia,,True,,
,Cerveceria Seven,Bar,Alcorcon,"C. Carballino, 23, Loc 3, 28925 Alcorcón, Madrid, España",+34 658 26 04 81,,False,,,,ninguna,,True,,
,Cervecería Don Pincho,Bar,Alcorcon,"P.º Extremadura, 19, 28921 Alcorcón, Madrid, España",+34 910 18 47 16,http://www.donpincho.es/,True,,,,propia,,True,,
,Cervecería El Trag@,Bar,Alcorcon,"C. Matadero, 16, 28921 Alcorcón, Madrid, España",+34 910 07 41 09,https://cerveceriaeltraga.es/,True,,,,propia,,True,,
,Cervecería Timanfaya 37,Bar,Alcorcon,"C. Timanfaya, 37, 28924 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
