place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Artesanos del Café y Té,Cafeteria,Alcorcon,"Pl. las Fraguas, 6, 28921 Alcorcón, Madrid, España",+34 911 56 49 57,,False,,,,ninguna,,True,,
,Bar Cafeteria Sanmar,Cafeteria,Alcorcon,"Pl. del Nuncio, 3, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Zahara Cafetería,Cafeteria,Alcorcon,"C. Buitrago, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Bar cafeteria,Cafeteria,Alcorcon,"C. Fuente Cisneros, 62, local5, 28922 Madrid, España",+34 605 34 59 55,,False,,,,ninguna,,True,,
,Bocono Specialty Coffee,Cafeteria,Alcorcon,"CC X Madrid, C. Oslo, 53, 28922 Alcorcón, Madrid, España",,https://boconospecialtycoffee.com/,True,,,,propia,,True,,
,"Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre",Cafeteria,Alcorcon,"Calle mayor, C. Jabonería, 7, Entrada por, 28921 Alcorcón, Madrid, España",+34 913 62 49 73,http://www.breadandco.es/,True,,,,propia,,True,,
,Cafe La Victoria,Cafeteria,Alcorcon,"C. Polvoranca, 22, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Lis ️,Cafeteria,Alcorcon,"C. los Arces, 9, 28922 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Bar Olympic,Cafeteria,Alcorcon,"C. Mayor, 84, 28922 Alcorcón, Madrid, España",+34 916 41 42 74,,False,,,,ninguna,,True,,
,Cafetería Bar Patico,Cafeteria,Alcorcon,"C. Mayor, 79, 28921 Alcorcón, Madrid, España",+34 642 60 45 45,,False,,,,ninguna,,True,,
,Cafetería Hospital de Alcorcón,Cafeteria,Alcorcon,"C. Budapest, 1, 28922 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería J F,Cafeteria,Alcorcon,"C. Vizcaya, 4, 28921 Alcorcón, Madrid, España",+34 914 27 74 07,,False,,,,ninguna,,True,,
,Cafetería Juma,Cafeteria,Alcorcon,"C. Japón, 15, 28923 Alcorcón, Madrid, España",+34 916 11 02 20,,False,,,,ninguna,,True,,
,Cafetería Merlín,Cafeteria,Alcorcon,"28923 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Morell,Cafeteria,Alcorcon,"Av. de los Derechos Humanos, 2, 28924 Alcorcón, Madrid, España",+34 912 45 80 64,,False,,,,ninguna,,True,,
,Cafetería New Gregory JC Panadería Pastelería,Cafeteria,Alcorcon,"C. Fuenlabrada, 27, 28921 Alcorcón, Madrid, España",+34 605 89 09 72,,False,,,,ninguna,,True,,
,Cafetería Oslo Cervecería,Cafeteria,Alcorcon,"C. Oslo, 32-34, 28922 Alcorcón, Madrid, España",+34 640 66 57 47,,False,,,,ninguna,,True,,
,Cafetería Panadería 80’s Coffee,Cafeteria,Alcorcon,"C. Timanfaya, 28924 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Panadería Goypar,Cafeteria,Alcorcon,"C. los Lirios, 1, 28925 Alcorcón, Madrid, España",+34 911 55 02 51,,False,,,,ninguna,,True,,
,Cafetería Trapecio,Cafeteria,Alcorcon,"C. Valladolid, 13, 28922 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería URJC,Cafeteria,Alcorcon,"Av. de Atenas, 28922 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Café Castilla & Bar,Cafeteria,Alcorcon,"C. las Escuelas, 5, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Coffee & bakery El Paraíso,Cafeteria,Alcorcon,"C. Mayor, 24, 28921 Alcorcón, Madrid, España",+34 612 56 69 25,https://www.instragram.com/el_paraiso.1,True,,,,propia,,True,,
,El Obrador De Goya Alcorcón,Cafeteria,Alcorcon,"C. Mayor, 49, 28921 Alcorcón, Madrid, España",+34 914 74 40 01,https://www.obradordegoya.com/,True,,,,propia,,True,,
,El Rincón de Mariela (Alcorcón),Cafeteria,Alcorcon,"Pl. Príncipes de España, 2, 28924 Alcorcón, Madrid, España",+34 674 63 96 03,https://el-rincon-de-mariela.com/,True,,,,propia,,True,,
,Frustük,Cafeteria,Alcorcon,"C. Parque Grande, 6, 28924 Alcorcón, Madrid, España",+34 691 84 20 08,https://www.instagram.com/frustuk.coffee,False,,,,social,,True,,
,Gastrobar & bakery Mucha Miga cervecería,Cafeteria,Alcorcon,"Av. las Retamas, 28922 Alcorcón, Madrid, España",+34 910 41 09 92,,False,,,,ninguna,,True,,
,Horno Carvit,Cafeteria,Alcorcon,"Av. de la Libertad, s/n, 28924 Alcorcón, Madrid, España",+34 916 10 91 43,,False,,,,ninguna,,True,,
,Horno de pan El buen sabor Cafeteria pasteleria,Cafeteria,Alcorcon,"C. Infantas, 20, 28922 Alcorcón, Madrid, España",+34 916 43 34 81,https://mapsu.me/el-buen-sabor-752078-es,True,,,,propia,,True,,
,Jamón & Pan cafetería - cervecería,Cafeteria,Alcorcon,"C. Mayor, 101, 28922 Alcorcón, Madrid, España",+34 916 44 01 94,,False,,,,ninguna,,True,,
,"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón",Cafeteria,Alcorcon,"Pl. las Fraguas, 5, Local B, 28921 Alcorcón, Madrid, España",+34 916 10 69 35,http://www.losreyunos.es/,True,,,,propia,,True,,
,MANIMU,Cafeteria,Alcorcon,"C. Islas Cíes, 9, 28924 Alcorcón, Madrid, España",+34 614 55 89 34,https://www.instagram.com/manimu.alcorcon,False,,,,social,,True,,
,Melius Café,Cafeteria,Alcorcon,"Av. las Retamas, con, C. Santiago Ramón y Cajal, 28922 Alcorcón, Madrid, España",+34 914 86 10 51,http://www.meliuscafe.es/,True,,,,propia,,True,,
,Nurcris,Cafeteria,Alcorcon,"Av. de Leganés, 3, 28924 Alcorcón, Madrid, España",,https://www.lacafeterianurcris.es/,True,,,,propia,,True,,
,Panettone,Cafeteria,Alcorcon,"Av. las Retamas, 65, 28922 Alcorcón, Madrid, España",+34 914 94 48 35,,False,,,,ninguna,,True,,
,Pepper Bakery,Cafeteria,Alcorcon,"C. Venus, 7, 28925 Alcorcón, Madrid, España",+34 919 89 06 02,http://www.peppercoffeeco.shopify.com/,True,,,,propia,,True,,
,Rincon De Ani,Cafeteria,Alcorcon,"C. Cáceres, 13, 28921 Alcorcón, Madrid, España",+34 912 26 03 48,,False,,,,ninguna,,True,,
,SanchoPan Cafetería Pastelería,Cafeteria,Alcorcon,"Av. las Retamas, 8, 28922 Alcorcón, Madrid, España",+34 656 95 34 88,https://www.sanchopan.es/,True,,,,propia,,True,,
