place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Artydents Alcorcón 1 | Clínica Dental en Alcorcón,Dental,Alcorcon,"Calle Princesa Doña Sofía, 1, posterior, 28924 Alcorcón, Madrid, España",+34 916 11 29 24,https://artydents.es/clinica-dental-alcorcon-princesa-dona-sofia/,True,,,,propia,,True,,
,CLINICA DENTAL ALCORDENTAL,Dental,Alcorcon,"C. Venus, 10, 28925 Alcorcón, Madrid, España",+34 912 26 00 01,https://alcordental.es/,True,,,,propia,,True,,
,"CLINICA DENTAL CKA EN ALCORCÓN, TU DENTISTA DE CONFIANZA",Dental,Alcorcon,"C. Camorro, 8, Loc 3, 28923 Alcorcón, Madrid, España",+34 912 41 36 47,https://www.ckagrupodental.es/,True,,,,propia,,True,,
,Centro Dental Alcorcón I Clínica dental desde 1999,Dental,Alcorcon,"P.º Extremadura, 15, 28921 Alcorcón, Madrid, España",+34 916 19 90 97,https://centrodentalalcorcon.com/,True,,,,propia,,True,,
,"Centro Dental Puerta del Sur, S.L.",Dental,Alcorcon,"Calle Parque de Cabañeros, s/n, frente al nº 12, 28924 Alcorcón, Madrid, España",+34 679 82 98 55,https://clinicadentalpuertadelsur.com/,True,,,,propia,,True,,
,Clinica dental Dr. Raúl Rivera,Dental,Alcorcon,"Av. los Castillos, 28925 Alcorcón, Madrid, España",+34 915 87 97 88,,False,,,,ninguna,,True,,
,Clínica ASISA Dental Alcorcón,Dental,Alcorcon,"C. del Cid, 5, 28921 Alcorcón, Madrid, España",+34 914 35 35 22,https://www.asisadental.es/centro/alcorcon/,True,,,,propia,,True,,
,Clínica Dental Agil S L,Dental,Alcorcon,"C. Sierra de Alcubierre, 3, 28923 Alcorcón, Madrid, España",+34 916 12 16 61,,False,,,,ninguna,,True,,
,Clínica Dental CEROI - Dentista en Alcorcón,Dental,Alcorcon,"C. Martín Luther King, 9, 28922 Alcorcón, Madrid, España",+34 912 10 59 56,http://www.clinicaceroi.com/,True,,,,propia,,True,,
,Clínica Dental Doctor Nasimi,Dental,Alcorcon,"C. Mayor, 63, 28921 Alcorcón, Madrid, España",+34 916 41 43 46,https://clinicasdoctornasimi.com/clinica-alcorcon/,True,,,,propia,,True,,
,Clínica Dental Dra. Margarita Sánchez,Dental,Alcorcon,"C. Príncipe Don Juan Carlos, 1, Esc. Izq. 1B, 28924 Alcorcón, Madrid, España",+34 916 10 00 76,https://www.clinicadental-drasanchez.com/,True,,,,propia,,True,,
,Clínica Dental Evodent,Dental,Alcorcon,"C. San José, 14, 28921 Alcorcón, Madrid, España",+34 911 05 23 85,https://evodent.es/,True,,,,propia,,True,,
,Clínica Dental Gredilla,Dental,Alcorcon,"C. la Iglesia, 7, 28921 Alcorcón, Madrid, España",+34 916 12 81 51,http://clinicadentalgredilla.es/,True,,,,propia,,True,,
,Clínica Dental Los Castillos 15,Dental,Alcorcon,"Av. los Castillos, 15, 28925 Alcorcón, Madrid, España",+34 912 36 85 86,http://www.loscastillos15clinicadental.es/,True,,,,propia,,True,,
,Clínica Dental MEID,Dental,Alcorcon,"C. Porto Cristo, 3, Posterior, 28924 Alcorcón, Madrid, España",+34 916 11 94 80,https://www.clinicameid.com/,True,,,,propia,,True,,
,Clínica Dental Más Que Sonrisas | Alcorcón,Dental,Alcorcon,"Av. las Retamas, 12, 28922 Alcorcón, Madrid, España",+34 916 43 34 50,https://www.masqsonrisas.es/,True,,,,propia,,True,,
,Clínica Dental Odonty Alcorcón,Dental,Alcorcon,"Calle Estocolmo 7 Posterior, Av. Villaviciosa, s/n, Entrada por, 28922 Alcorcón, Madrid, España",+34 916 89 17 29,https://odonty.es/,True,,,,propia,,True,,
,Clínica Dental Plata,Dental,Alcorcon,"C. Príncipe Don Juan Carlos, 6, Posterior, Local 7, 28924 Alcorcón, Madrid, España",+34 916 19 68 43,https://www.clinicadentalplata.es/,True,,,,propia,,True,,
,Clínica Dental Río Tajo,Dental,Alcorcon,"C. Río Tajo, 3, 28923 Alcorcón, Madrid, España",+34 917 64 91 74,http://www.clinicadentalriotajo.com/,True,,,,propia,,True,,
,Clínica Dental Vitaldent,Dental,Alcorcon,"Pl. España, 2, 28921 Alcorcón, Madrid, España",+34 914 86 02 55,https://clinicas.vitaldent.com/madrid/clinica-dental-vitaldent-alcorcon-centro-i-11/,True,,,,propia,,True,,
,Clínica Dental | Premium Dental Alcorcón,Dental,Alcorcon,"C. Cáceres, 16, 28921 Alcorcón, Madrid, España",+34 916 10 95 15,http://www.clinicapremiumdental.es/,True,,,,propia,,True,,
,Clínica de la Dra. García Cotillas,Dental,Alcorcon,"Av. de Leganés, 5, 28924 Alcorcón, Madrid, España",+34 916 19 76 31,,False,,,,ninguna,,True,,
,Clínica dental Caredent Alcorcón,Dental,Alcorcon,"C. Fuenlabrada, 14, 28921 Alcorcón, Madrid, España",+34 919 93 21 30,https://www.caredent.es/clinicas-dentales/madrid/clinica-dental-alcorcon,True,,,,propia,,True,,
,Clínica dental Cleardent - Alcorcón,Dental,Alcorcon,"C. Mayor, 48, 28921 Alcorcón, Madrid, España",+34 919 22 78 04,https://www.cleardent.es/clinica-dental/madrid/alcorcon/,True,,,,propia,,True,,
,Clínica dental en Alcorcón - Instituto Dental Familiar,Dental,Alcorcon,"C. Mayor, 49, 28921 Alcorcón, Madrid, España",+34 910 83 79 15,https://clinicadentalalcorcon.es/,True,,,,propia,,True,,
,Clínica dental en Alcorcón | Clínica Salud,Dental,Alcorcon,"Pl. las Fraguas, 8, 2º Derecha, 28921 Alcorcón, Madrid, España",+34 916 10 69 31,https://clinicadentalsalud.es/,True,,,,propia,,True,,
