place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Anca Estética Integral,Estetica,Alcorcon,"Av. Viñagrande, 29, Loc 2, 28925 Alcorcón, Madrid, España",+34 651 73 68 70,http://ancaesteticaintegral.com/,True,,,,propia,,True,,
,Ankin estética personalizada,Estetica,Alcorcon,"Av. las Retamas, 16, 28922 Alcorcón, Madrid, España",+34 696 50 78 62,https://www.instagram.com/ankin_estetica,False,,,,social,,True,,
,Belestell Estética Alcorcón,Estetica,Alcorcon,"Av. de Lisboa, 14 POST, 28925 Alcorcón, Madrid, España",+34 916 12 59 33,https://esteticaalcorcon.com/,True,,,,propia,,True,,
,Bárbara Collado Gabinete de belleza & bienestar,Estetica,Alcorcon,"C. Liverpool, 15, Loc 1, 28922 Alcorcón, Madrid, España",+34 620 38 22 38,,False,,,,ninguna,,True,,
,Centro De Belleza Ave Fénix,Estetica,Alcorcon,"C. Pablo Picasso, 32, 28922 Alcorcón, Madrid, España",+34 910 41 22 31,https://centrobellezavefenix.com/,True,,,,propia,,True,,
,Centro Estética Avanzada DayMa,Estetica,Alcorcon,"C. Gabriela Mistral, 3, Loc 4, 28922 Alcorcón, Madrid, España",+34 622 45 18 91,https://daymaesteticavanzada.com/,True,,,,propia,,True,,
,Centro Estética Marga Trapero,Estetica,Alcorcon,"Urbanización Campodón, C. los Pajaritos, 8, 28922 Alcorcón, Madrid, España",+34 916 10 45 46,https://www.facebook.com/EsteticaBellezaTratamientoVillaviciosaOdonAlcorcon,False,,,,social,,True,,
,Centro Médico Estetico Punto y Aparte,Estetica,Alcorcon,"C. Cerrajón, 28922 Alcorcón, Madrid, España",+34 678 85 42 11,http://www.centropuntoyaparte.com/,True,,,,propia,,True,,
,Centro Médico estético Viviana Luna,Estetica,Alcorcon,"C. Espada, 11, 28921 Alcorcón, Madrid, España",+34 915 48 22 31,https://www.vivianaluna.com/,True,,,,propia,,True,,
,Centro de Estética Katy Izquierdo,Estetica,Alcorcon,"C. San Isidro, 7, 28921 Alcorcón, Madrid, España",+34 626 58 99 80,http://www.katyizquierdo.com/,True,,,,propia,,True,,
,Centro de Estética Varanasy,Estetica,Alcorcon,"Av. del Oeste, 43, 28922 Alcorcón, Madrid, España",+34 916 44 87 46,https://www.varanasy.es/,True,,,,propia,,True,,
,Centro de belleza y estética Yanci,Estetica,Alcorcon,"Calle Princesa Doña Sofía, 5, Local 7, 28924 Alcorcón, Madrid, España",+34 916 10 67 14,http://www.esteticayanci.es/,True,,,,propia,,True,,
,Centro de estética Alcorcón MarFerrera,Estetica,Alcorcon,"C. Río Ebro, 6, 28923 Alcorcón, Madrid, España",+34 647 91 69 89,https://www.marferrera.com/,True,,,,propia,,True,,
,Centro de estética Bellosol,Estetica,Alcorcon,"C. Parque Bujaruelo, 7, 28924 Alcorcón, Madrid, España",+34 916 10 82 61,https://www.bellosol.es/,True,,,,propia,,True,,
,Centro de estética en Alcorcón | Géminis,Estetica,Alcorcon,"C. Porto Cristo, 1, local numero 2- posterior, 28924 Alcorcón, Madrid, España",+34 916 11 34 73,http://www.estetica-geminis.es/,True,,,,propia,,True,,
,Centro estetico Beatriz Aguado Belostetic,Estetica,Alcorcon,"P.º Castilla, 3, 28921 Alcorcón, Madrid, España",+34 679 89 02 65,http://www.belostetic.es/,True,,,,propia,,True,,
,Centro médico estético neO2,Estetica,Alcorcon,"C. Los Pinos, 50, 28922 Alcorcón, Madrid, España",+34 916 44 39 95,http://www.bellezaneo2alcorcon.es/,True,,,,propia,,True,,
,Clínica Depilación Láser Jolie 1991 Alcorcón,Estetica,Alcorcon,"C. Oslo, 9, 28922 Alcorcón, Madrid, España",+34 644 23 63 88,http://www.jolie1991.com/,True,,,,propia,,True,,
,Clínica Dorsia Cirugía y Medicina Estética,Estetica,Alcorcon,"C. la Iglesia, 15, 28921 Alcorcón, Madrid, España",+34 815 05 43 95,https://www.dorsia.es/clinicas-dorsia/alcorcon/,True,,,,propia,,True,,
,Cristina Cebrián Estética Avanzada,Estetica,Alcorcon,"C. Venus, 15, 28925 Alcorcón, Madrid, España",+34 614 34 52 00,http://n9.cl/60hm8,True,,,,propia,,True,,
,Depilacion Laser Alcorcon | Blossom Clinics,Estetica,Alcorcon,"Av. de América, 7-9, Centro Comercial, Tres Aguas, Local 118, 28922 Alcorcón, Madrid, España",+34 682 01 96 56,https://blossomclinics.es/centro-alcorcon/,True,,,,propia,,True,,
,Embellecet,Estetica,Alcorcon,"C. Príncipe Don Juan Carlos, 6 Posterior, Loc 9, 28924 Alcorcón, Madrid, España",+34 912 79 97 21,http://www.embellecet.es/,True,,,,propia,,True,,
,Estetic Leader Clínica de Medicina Estética,Estetica,Alcorcon,"Av. de la Libertad, 17, 28924 Alcorcón, Madrid, España",+34 914 95 00 00,https://www.esteticleader.com/,True,,,,propia,,True,,
,Estética y bienestar Astral,Estetica,Alcorcon,"C. Ministro Fernandez Ordoñez, 28924 Alcorcón, Madrid, España",+34 637 66 73 54,,False,,,,ninguna,,True,,
,Herbostetic,Estetica,Alcorcon,"C. Sierra de Alcubierre, 3, 28923 Alcorcón, Madrid, España",+34 625 90 64 24,http://www.herbostetic.com/,True,,,,propia,,True,,
,Joa Kano - Centro de Estética,Estetica,Alcorcon,"C. Tablas de Daimiel, 3, 28924 Alcorcón, Madrid, España",+34 646 86 01 43,https://joakano.com/,True,,,,propia,,True,,
,Kathy centro de belleza - microblading Alcorcón - extensiones del pestañas Alcorcón,Estetica,Alcorcon,"Calle Princesa Doña Sofía, 1 posterior, Loc 5B, 28924 Alcorcón, Madrid, España",+34 912 00 33 51,,False,,,,ninguna,,True,,
,Las Termas de Ruham Alcorcón,Estetica,Alcorcon,"Av. de los Carabancheles, 8, 28921 Alcorcón, Madrid, España",+34 910 13 37 52,http://www.lastermasderuham.com/,True,,,,propia,,True,,
,Le Belle Club - Centro de estética,Estetica,Alcorcon,"C. las Gardenias, 10, 28925 Alcorcón, Madrid, España",+34 640 69 12 68,https://lebelleclub.com/,True,,,,propia,,True,,
,Loli Moreno Estetica Centro De Estetica,Estetica,Alcorcon,"Av. de los Carabancheles, 7, 28921 Alcorcón, Madrid, España",+34 919 40 24 36,,False,,,,ninguna,,True,,
,MCLaser,Estetica,Alcorcon,"C. la Cañada, 2, 28922 Alcorcón, Madrid, España",+34 611 64 64 01,http://www.mclaseralcorcon.com/,True,,,,propia,,True,,
,Magic Nails & Body By Caroline | Centro de estética Alcorcón,Estetica,Alcorcon,"C. Los Pinos, 16, 28922 Alcorcón, Madrid, España",+34 689 55 85 77,https://magicnailsbycaroline.com/,True,,,,propia,,True,,
,Mercedes Sanchez Imagen S.L.,Estetica,Alcorcon,"C. las Gardenias, 1, LOCAL 1, 28925 Alcorcón, Madrid, España",+34 916 10 17 80,http://www.mercedessanchezimagen.com/,True,,,,propia,,True,,
,NORA Estética y Belleza,Estetica,Alcorcon,"C. los Nardos, 145, 28925 Alcorcón, Madrid, España",+34 912 85 99 44,http://noraesteticabelleza.com/,True,,,,propia,,True,,
,OLÉS MEDICAL,Estetica,Alcorcon,"Calle Espada, 24, C. Espada, 26, 28921 Alcorcón, Madrid, España",+34 654 07 64 60,https://olesmedical.es/,True,,,,propia,,True,,
,Respira Centro de Masajes y Estética - Alcorcón,Estetica,Alcorcon,"C. Berlín, 12, 28922 Alcorcón, Madrid, España",,https://www.respirayl.es/,True,,,,propia,,True,,
,Siempre guapa,Estetica,Alcorcon,"C. Colón, 15, 28921 Alcorcón, Madrid, España",+34 641 76 81 67,,False,,,,ninguna,,True,,
,Silvia González Estética,Estetica,Alcorcon,"C. Sahagún, 16, bajo b, 28925 Alcorcón, Madrid, España",+34 916 19 78 99,,False,,,,ninguna,,True,,
,Tratamientos faciales y corporales | BELINDA PINEDA | Beauty Autor Wellness,Estetica,Alcorcon,"C. Fuente Cisneros, 78, 28922 Alcorcón, Madrid, España",+34 640 31 08 25,https://belindapinedabeauty.com/,True,,,,propia,,True,,
,TuMedical,Estetica,Alcorcon,"C. Parque Bujaruelo, 41, 28924 Alcorcón, Madrid, España",+34 626 63 52 40,http://www.tumedical.es/,True,,,,propia,,True,,
