place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,instagram,necesita_busqueda_manual,email,contactar_por_telefono,web_estado
ChIJ_2TMhMqOQQ0R_DDzdeAAL-w,Floristería Las Camelias Arte Floral,Floristeria,Alcorcon,"C. Nueva, 10, 28921 Alcorcón, Madrid, España",+34 914 86 04 50,https://www.lascameliasartefloral.com/,True,4.8,985,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_2TMhMqOQQ0R_DDzdeAAL-w.jpg,https://instagram.com/lascamelias,False,info@lascameliasartefloral.com,False,propia
ChIJd0g6w7eOQQ0R3pvfOsvdqSg,Floristería Las Tres Rosas,Floristeria,Alcorcon,"C. del Nuncio, 6, 28921 Alcorcón, Madrid, España",+34 916 43 37 99,https://www.lastresrosas.com/,True,4.8,227,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJd0g6w7eOQQ0R3pvfOsvdqSg.jpg,https://instagram.com/lastresrosas,False,,True,propia
ChIJeTkivsmOQQ0RR9eFvDJolsg,Las Camelias Diseño Floral,Floristeria,Alcorcon,"Pl. Príncipes de España, 3, Posterior, 28924 Alcorcón, Madrid, España",+34 625 61 69 44,https://www.ilusionaconflores.com/,True,4.8,344,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJeTkivsmOQQ0RR9eFvDJolsg.jpg,,True,info@ilusionaconflores.com,False,propia
ChIJecL_4PiJQQ0RcJlFsy5h-_k,Floristería Mayoflor | Oficina,Floristeria,Alcorcon,"C. de Artesanos, 19, 28923 Alcorcón, Madrid, España",+34 676 48 26 55,https://mayoflor.com/,True,4.9,30,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJecL_4PiJQQ0RcJlFsy5h-_k.jpg,https://instagram.com/mayoflor,False,info@mayoflor.com,False,propia
ChIJZYfPVD-JQQ0RiDSWxo6O4z4,Floristería Azalea,Floristeria,Alcorcon,"C. Timanfaya, 32, posterior, 28924 Alcorcón, Madrid, España",+34 916 12 25 44,http://www.azaleafloristeria.com/,True,4.8,208,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZYfPVD-JQQ0RiDSWxo6O4z4.jpg,https://instagram.com/azalea.artefloral,False,info@azaleafloristeria.com,False,propia
ChIJRUu2g7WPQQ0RwKzuCmGm67w,Flower’s Sky,Floristeria,Alcorcon,"C. Cáceres, 2, 28921 Alcorcón, Madrid, España",+34 688 41 90 25,https://flowerrs.sky/,True,4.8,78,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJRUu2g7WPQQ0RwKzuCmGm67w.jpg,,True,,True,propia
ChIJqXdIMbCOQQ0R4ZsjMYEWnGw,Floristería Isabel,Floristeria,Alcorcon,"C. Los Pinos, 32, 28922 Alcorcón, Madrid, España",+34 916 44 26 27,https://www.isabelfloristasalcorcon.com/,True,4.8,135,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJqXdIMbCOQQ0R4ZsjMYEWnGw.jpg,,True,isabel@isabelfloristasalcorcon.com,False,propia
ChIJdeWV7DWJQQ0RkLQiRYaiVAQ,Floristería Almudena,Floristeria,Alcorcon,"Pl. Torres Bellas, 4, 28923 Alcorcón, Madrid, España",+34 615 15 64 16,https://tienda.almudenafloristerias.com/,True,4.7,99,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJdeWV7DWJQQ0RkLQiRYaiVAQ.jpg,,True,,True,propia
ChIJ6yT30UeJQQ0RcZGcyl0QIic,Floristeria Dos Brotes,Floristeria,Alcorcon,"Calle Río Segre Nº 9 esquina, Av. de Leganés, 28923 Alcorcón, Madrid, España",+34 910 17 75 22,https://floristeriadosbrotes.com/,True,4.8,142,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ6yT30UeJQQ0RcZGcyl0QIic.jpg,https://instagram.com/dosbrotes,False,info@floristeriadosbrotes.com,False,propia
ChIJd0NU41-PQQ0R5LSyg0OJzSI,Floristeria 21 De Marzo,Floristeria,Alcorcon,"P.º Castilla, 8, Loc 6, 28921 Alcorcón, Madrid, España",+34 910 14 33 28,https://instagram.com/floristeria21demarzo,False,4.8,58,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJd0NU41-PQQ0R5LSyg0OJzSI.jpg,https://instagram.com/floristeria21demarzo,False,,True,social
ChIJwVRVMQCJQQ0RVV43oOA-V40,The Green House,Floristeria,Alcorcon,"C. Venus, 7, 28925 Alcorcón, Madrid, España",,https://thegreenhousemadrid.es/,True,5,2,,https://instagram.com/TUUSUARIO,False,,True,propia
