place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alcopan,Panaderia,Alcorcon,"C. Polvoranca, 66, 28923 Alcorcón, Madrid, España",+34 651 18 45 30,,False,,,,ninguna,,True,,
,Arasy Panadería - Pastelería - Cafetería,Panaderia,Alcorcon,"C. Parque de Cabañeros, 10, 28924 Alcorcón, Madrid, España",+34 916 21 01 58,,False,,,,ninguna,,True,,
,Blueberries Pastelería,Panaderia,Alcorcon,"C. Vizcaya, C. Navarra, 12 posterior, Entrada por, 28922 Alcorcón, Madrid, España",+34 635 41 53 53,,False,,,,ninguna,,True,,
,"Bread & Co. - Brunch Alcorcón , Cafe de especialidad y Panes de masa madre",Panaderia,Alcorcon,"Calle mayor, C. Jabonería, 7, Entrada por, 28921 Alcorcón, Madrid, España",+34 913 62 49 73,http://www.breadandco.es/,True,,,,propia,,True,,
,ChuSKo,Panaderia,Alcorcon,"C. el Jacinto, 1, Loc 1, 28925 Alcorcón, Madrid, España",,http://chusko.es/,True,,,,propia,,True,,
,Croissanteria Basalo,Panaderia,Alcorcon,"Pl. Príncipes de España, 2, posterior, 28924 Alcorcón, Madrid, España",+34 916 10 48 79,https://croissanteriabasalo.es/,True,,,,propia,,True,,
,El Horno Yomain S.L.,Panaderia,Alcorcon,"C. Sierra de Picos Europa, 23, 28923 Alcorcón, Madrid, España",+34 916 19 03 02,,False,,,,ninguna,,True,,
,Horno Carvit,Panaderia,Alcorcon,"Av. de la Libertad, s/n, 28924 Alcorcón, Madrid, España",+34 916 10 91 43,,False,,,,ninguna,,True,,
,Horno Cisneros,Panaderia,Alcorcon,"C. Cisneros, 7, 28921 Alcorcón, Madrid, España",+34 916 43 44 76,https://hornocisneros.es/,True,,,,propia,,True,,
,Horno De Pan Gómez,Panaderia,Alcorcon,"Av. de los Carabancheles, 1, 28921 Alcorcón, Madrid, España",+34 687 82 04 58,,False,,,,ninguna,,True,,
,Horno de pan El buen sabor Cafeteria pasteleria,Panaderia,Alcorcon,"C. Infantas, 20, 28922 Alcorcón, Madrid, España",+34 916 43 34 81,https://mapsu.me/el-buen-sabor-752078-es,True,,,,propia,,True,,
,La Tahona de Lou,Panaderia,Alcorcon,"C. Valladolid, 18, 28922 Alcorcón, Madrid, España",+34 916 43 48 43,,False,,,,ninguna,,True,,
,Levaduramadre,Panaderia,Alcorcon,"Av. las Retamas, 3, 28922 Alcorcón, Madrid, España",+34 910 12 76 64,https://www.levaduramadre.es/,True,,,,propia,,True,,
,"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Alcorcón",Panaderia,Alcorcon,"Pl. las Fraguas, 5, Local B, 28921 Alcorcón, Madrid, España",+34 916 10 69 35,http://www.losreyunos.es/,True,,,,propia,,True,,
,Los dulces de Paula,Panaderia,Alcorcon,"C. Porto Cristo, 4, 28924 Alcorcón, Madrid, España",+34 915 27 79 25,,False,,,,ninguna,,True,,
,MISKY REPOSTERIA,Panaderia,Alcorcon,"C. Río Tajo, 3, 28923 Alcorcón, Madrid, España",+34 613 51 50 64,https://www.miskyreposteria.es/,True,,,,propia,,True,,
,PANOBA,Panaderia,Alcorcon,"C. la Luna, 1, 28922 Alcorcón, Madrid, España",+34 614 10 27 45,https://panoba.vrf.li/,True,,,,propia,,True,,
,PASTELERIA EL PAISA,Panaderia,Alcorcon,"C. Jabonería, 38, 28921 Alcorcón, Madrid, España",+34 654 63 26 13,,False,,,,ninguna,,True,,
,Paes Bakery Alcorcón,Panaderia,Alcorcon,"C. Timanfaya, 28924 Alcorcón, Madrid, España",+34 628 63 45 53,,False,,,,ninguna,,True,,
,Panaderia Y Pasteleria Patripan Sl.,Panaderia,Alcorcon,"C. de la Electricidad, 54, 28918 Madrid, España",,,False,,,,ninguna,,True,,
,Panadería Bollería Los Castillos,Panaderia,Alcorcon,"C. los Tulipanes, 8, 28925 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Panadería El buen sabor Pasteleria,Panaderia,Alcorcon,"C. Oslo, 1, 28922 Alcorcón, Madrid, España",+34 916 43 34 81,,False,,,,ninguna,,True,,
,Panadería Génesis,Panaderia,Alcorcon,"C. Jabonería, 45, 28921 Alcorcón, Madrid, España",,,False,,,,ninguna,,True,,
,Panadería La Piruleta,Panaderia,Alcorcon,"C. Pablo Picasso, 28922 Alcorcón, Madrid, España",+34 912 00 20 24,,False,,,,ninguna,,True,,
,Panadería Las Delicias 🥖🥐🍪🍩🍦,Panaderia,Alcorcon,"Calle Mercurio, 7, 28925 Alcorcón, Madrid, España",+34 614 47 94 68,,False,,,,ninguna,,True,,
,Panadería bollería Dagui,Panaderia,Alcorcon,"C. Porto Cristo, 6, Posterior, 28924 Alcorcón, Madrid, España",+34 911 19 48 33,,False,,,,ninguna,,True,,
,Panadería-Pastelería La Deliciosa Alcorcón,Panaderia,Alcorcon,"C. Caldas de Reyes, 7, 28925 Alcorcón, Madrid, España",+34 635 68 31 07,,False,,,,ninguna,,True,,
,"Pasteleria Glamour bomboneria, desde 1994",Panaderia,Alcorcon,"C. Porto Cristo, 7, 28924 Alcorcón, Madrid, España",+34 916 10 78 76,,False,,,,ninguna,,True,,
,Pastelería Cafetería Pardilla / Retamas,Panaderia,Alcorcon,"Av. las Retamas, 7, 28922 Alcorcón, Madrid, España",+34 916 11 91 22,,False,,,,ninguna,,True,,
