place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJya5DK8iOQQ0RgOhvRp8KjvQ,Peluquería y Estética Assad,Peluqueria,Alcorcon,"C. Cáceres, 16, 28921 Alcorcón, Madrid, España",+34 616 11 44 78,,False,4.9,420,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJya5DK8iOQQ0RgOhvRp8KjvQ.jpg,,True,ninguna
ChIJ3c8XmW2PQQ0R3xf8IxuFTXM,Antonio Rako Hair & beauty,Peluqueria,Alcorcon,"C. Liverpool, 4, 28922 Alcorcón, Madrid, España",+34 910 23 89 04,,False,4.8,338,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ3c8XmW2PQQ0R3xf8IxuFTXM.jpg,,True,ninguna
ChIJH1gNL0uJQQ0RCI0XNokvnKE,Tito Flow Peluquería,Peluqueria,Alcorcon,"C. la Huerta, 19, 28921 Alcorcón, Madrid, España",+34 640 51 77 01,,False,4.7,339,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJH1gNL0uJQQ0RCI0XNokvnKE.jpg,,True,ninguna
ChIJyYuVlZGPQQ0RXU6QjYCRuYM,PELUQUERÍA Y BARBERÍA MASSIN,Peluqueria,Alcorcon,"Pl. del Sol, 14, 28922 Alcorcón, Madrid, España",+34 919 35 58 41,,False,5,487,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJyYuVlZGPQQ0RXU6QjYCRuYM.jpg,,True,ninguna
ChIJcQcArm2JQQ0RfFCowrm6J9I,Bella Fiore Salon & Uñas,Peluqueria,Alcorcon,"Pl. Príncipes de España, 28924 Alcorcón, Madrid, España",+34 624 02 33 25,,False,4.9,50,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJcQcArm2JQQ0RfFCowrm6J9I.jpg,,True,ninguna
ChIJQdY13dGOQQ0RYMPzK0uDpKI,Peluquerías Madrigal Tres Aguas,Peluqueria,Alcorcon,"Av. de América, 20, 28922 Alcorcón, Madrid, España",+34 916 11 27 90,http://www.peluqueriasmadrigal.es/,True,4,550,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJQdY13dGOQQ0RYMPzK0uDpKI.jpg,sugerencias@peluqueriasmadrigal.es,False,propia
ChIJp-QWpLSOQQ0R_xfiSskQaLI,"Peluqueria Barberia R-PAKRO Luna, Alcorcón",Peluqueria,Alcorcon,"C. la Luna, 6, 28922 Alcorcón, Madrid, España",+34 919 35 78 01,,False,4.6,146,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJp-QWpLSOQQ0R_xfiSskQaLI.jpg,,True,ninguna
ChIJvXspHayJQQ0RJRQI7hdvON8,Drama Barber Shop,Peluqueria,Alcorcon,"C. Parque Bujaruelo, 2, 28924 Alcorcón, Madrid, España",+34 633 97 42 65,,False,4.9,74,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJvXspHayJQQ0RJRQI7hdvON8.jpg,,True,ninguna
ChIJu1eQINyPQQ0RUZ7I5aDtZJQ,Peluqueria Cory,Peluqueria,Alcorcon,"C. Jabonería, 47, 28921 Alcorcón, Madrid, España",+34 642 35 42 97,,False,5,1,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJu1eQINyPQQ0RUZ7I5aDtZJQ.jpg,,True,ninguna
ChIJU_wQlUeJQQ0RV5Z1rBTO9IQ,"Barberia LEVEL UP (Parque Lisboa, Alcorcon)",Peluqueria,Alcorcon,"Pl. Príncipes de España, 2, posterior, local comercial 5, 28924 Alcorcón, Madrid, España",+34 614 30 36 72,,False,5,45,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJU_wQlUeJQQ0RV5Z1rBTO9IQ.jpg,,True,ninguna
