place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alcorauto,Taller,Alcorcon,"C. los Alfareros, 9, 28923 Alcorcón, Madrid, España",+34 672 14 00 44,,False,,,,ninguna,,True,,
,Ancar motor Chapa y pintura Alcorcón,Taller,Alcorcon,"C. las Fábricas, 25, 28923 Alcorcón, Madrid, España",+34 630 25 50 59,https://www.chapaypinturaalcorcon.com/,True,,,,propia,,True,,
,Arche Automoción,Taller,Alcorcon,"C. Griñón, 3, 28925 Alcorcón, Madrid, España",+34 656 34 86 03,https://archeautomocion.es/,True,,,,propia,,True,,
,Autoelecar S.L.,Taller,Alcorcon,"Pol. ind. El Escaparate, C. Chile, 7, 28922 Alcorcón, Madrid, España",+34 916 19 19 11,http://autoelecar.com/,True,,,,propia,,True,,
,COCHE SUSTITUCION C S.L.,Taller,Alcorcon,"C. los Electricistas, 5, 28923 Alcorcón, Madrid, España",+34 914 86 02 19,https://www.cochesustitucion.com/,True,,,,propia,,True,,
,CR MOTORSPORT,Taller,Alcorcon,"C. Vizcaya, 14 Vizcaya 14 posterior, talle mecanico, C. Vizcaya, 14, 28921 Alcorcón, Madrid, España",+34 614 51 31 10,,False,,,,ninguna,,True,,
,Car Service Alcorcon,Taller,Alcorcon,"C. de Artesanos, 4, 28923 Alcorcón, Madrid, España",+34 915 02 49 30,https://cubesa.blogspot.com/,True,,,,builder,,True,,
,Car Service Talleres Vizuete,Taller,Alcorcon,"Pl. de Lugo, 28924 Alcorcón, Madrid, España",+34 916 19 77 08,https://talleresvizuete.com/,True,,,,propia,,True,,
,Castrol Service Delgado Talleres,Taller,Alcorcon,"C. Parque de Cabañeros, 6, 28924 Alcorcón, Madrid, España",+34 669 46 39 16,,False,,,,ninguna,,True,,
,Dls Automoción,Taller,Alcorcon,"C. Moraleja de Enmedio, 6, 28938 Móstoles, Madrid, España",+34 697 34 40 65,https://dlsautomocion.com/,True,,,,propia,,True,,
,Feviauto 2000,Taller,Alcorcon,"C. Electrónica, 5, 28923 Alcorcón, Madrid, España",+34 916 43 53 00,,False,,,,ninguna,,True,,
,Galha Automoción Chapa y Pintura,Taller,Alcorcon,"C. Químicas, 41, 28923 Alcorcón, Madrid, España",+34 641 71 17 09,https://galhaautomocion.com/,True,,,,propia,,True,,
,Gofy Auto,Taller,Alcorcon,"C. Claudio Sánchez Albornoz, 28922 Alcorcón, Madrid, España",+34 627 70 25 30,,False,,,,ninguna,,True,,
,Hcc Motor - Taller Mecánico Alcorcón,Taller,Alcorcon,"C. Valladolid, 19, 28922 Alcorcón, Madrid, España",+34 670 59 19 51,,False,,,,ninguna,,True,,
,Hiper Road Alcorcón,Taller,Alcorcon,"Polígono Industrial Urtinsa, C. Laguna, 22, 28923 Alcorcón, Madrid, España",+34 916 44 12 65,https://hiperroad.es/,True,,,,propia,,True,,
,Huracán Motor,Taller,Alcorcon,"C. del Cierzo, 1, 28918 Alcorcón, Madrid, España",+34 653 96 30 63,https://www.tallereshuracanmotor.es/,True,,,,propia,,True,,
,JT MORALES AUTOMOCION S.L,Taller,Alcorcon,"C. los Alfareros, 24, 28923 Alcorcón, Madrid, España",+34 916 43 74 04,,False,,,,ninguna,,True,,
,Joaquín Yáñez Mecánica,Taller,Alcorcon,"P.º Castilla, 9, 28921 Alcorcón, Madrid, España",+34 916 12 28 87,,False,,,,ninguna,,True,,
,Master Cars global,Taller,Alcorcon,"C. Pozuelo, 5, 28925 Alcorcón, Madrid, España",+34 910 56 69 09,,False,,,,ninguna,,True,,
,Midas ALCORCÓN/Urtinsa,Taller,Alcorcon,"C. Industrias, 61, 28923 Alcorcón, Madrid, España",+34 911 67 13 96,https://www.midas.es/talleres-coche-moto-midas/comunidad-de-madrid/madrid/alcorcon/alcorconurtinsa_3836,True,,,,propia,,True,,
,Motor Cebis,Taller,Alcorcon,"C. Porto Cristo, 10, 28924 Alcorcón, Madrid, España",+34 916 10 57 58,https://motor-cebis.jimdosite.com/,True,,,,builder,,True,,
,"Nuzzi Motor - Taller de mecánica general de vehículos en Alcorcón, Madrid",Taller,Alcorcon,"C. Porto Lagos, 11, 28924 Alcorcón, Madrid, España",+34 916 19 30 16,https://www.nuzzimotor.com/,True,,,,propia,,True,,
,Pizarro Motor,Taller,Alcorcon,"C. Porto Lagos, 13, 28924 Alcorcón, Madrid, España",+34 656 36 77 82,,False,,,,ninguna,,True,,
,RK Motors,Taller,Alcorcon,"C. San Pedro, 33, 28921 Alcorcón, Madrid, España",+34 674 76 63 17,,False,,,,ninguna,,True,,
,TALLER ALC AUTOMOTOR,Taller,Alcorcon,"parking sub, C.C. Alcampo Parque Oeste, Av. de Europa, 18, nivel 1, 28922 Alcorcón, Madrid, España",+34 614 22 17 16,,False,,,,ninguna,,True,,
,TALLERES IGOR,Taller,Alcorcon,"Av. Torres Bellas Sin Número, 28923 Alcorcón, Madrid, España",+34 912 83 18 59,,False,,,,ninguna,,True,,
,TALLERES ROMERO & FERNANDEZ,Taller,Alcorcon,"C. Electrónica, 54, 28923 Alcorcón, Madrid, España",+34 916 43 43 60,http://www.talleresromeroyfernandez.com/,True,,,,propia,,True,,
,Taller Barato Alcorcón,Taller,Alcorcon,"C. Polvoranca, 96, 28923 Alcorcón, Madrid, España",+34 916 43 71 82,https://tallerbarato.com/,True,,,,propia,,True,,
,Taller Cencar,Taller,Alcorcon,"C. de Artesanos, 5, 28923 Alcorcón, Madrid, España",+34 916 43 14 34,https://www.tallercencar.com/es/,True,,,,propia,,True,,
,Taller Otman,Taller,Alcorcon,"Polígono Industrial Ventorro del Cano, C. Griñón, 5, 28925 Alcorcón, Madrid, España",+34 916 32 46 89,http://tallerotman.es/,True,,,,propia,,True,,
,Taller RR Autoluxe,Taller,Alcorcon,"C. del Mazo, 10, Bajo, 28923 Alcorcón, Madrid, España",+34 618 42 19 93,https://www.tallerrrautoluxe.com/,True,,,,propia,,True,,
,Taller Valderas Motor Alcorcón Leganés,Taller,Alcorcon,"C. Petróleo, 16, 28918 Leganés, Madrid, España",+34 916 10 07 53,,False,,,,ninguna,,True,,
,Taller Verlid,Taller,Alcorcon,"C. Urano, N-12, Loc, 28925 Alcorcón, Madrid, España",+34 911 40 25 35,,False,,,,ninguna,,True,,
,Talleres CICAR Motor,Taller,Alcorcon,"Polígono Urtinsa II, C. Químicas, 5, 28923 Alcorcón, Madrid, España",+34 660 72 84 44,https://tallerescicar.com/,True,,,,propia,,True,,
,Talleres Doblado,Taller,Alcorcon,"C. de Artesanos, 10, 28923 Alcorcón, Madrid, España",+34 916 43 05 03,,False,,,,ninguna,,True,,
,Talleres GNZ,Taller,Alcorcon,"C. los Alfareros, 19, 28923 Alcorcón, Madrid, España",+34 633 84 18 18,,False,,,,ninguna,,True,,
,Talleres Garcauto S.L.,Taller,Alcorcon,"C. Químicas, 61, 28923 Alcorcón, Madrid, España",+34 916 44 03 80,http://www.talleresgarcauto.com/,True,,,,propia,,True,,
,Talleres IBAGUTI - Alcorcon,Taller,Alcorcon,"C. Sierra de Albarracín, 3, 28923 Alcorcón, Madrid, España",+34 627 51 16 76,https://ibaguti.es/,True,,,,propia,,True,,
,Talleres Jcar,Taller,Alcorcon,"Polígono Urtinsa I, C. los Electricistas, 40, 28923 Alcorcón, Madrid, España",+34 608 23 19 41,https://tallerjcar.com/,True,,,,propia,,True,,
,TotalEnergies Quartz Auto Services - TALLERES CARLOS SANZ,Taller,Alcorcon,"C. Industrias, 87, 28923 Alcorcón, Madrid, España",+34 916 41 60 93,https://services.totalenergies.es/talleres/totalenergies-quartz-auto-services,True,,,,propia,,True,,
