place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,ANIMALES EXÓTICOS 24H - Veterinarios especialistas,Veterinario,Alcorcon,"C. de Cartagena, 160, Chamartín, 28002 Madrid, España",+34 912 20 72 27,http://www.animalesexoticos24h.es/,True,,,,propia,,True,,
,AniCura Estoril Hospital Veterinario | Urgencias 24h,Veterinario,Alcorcon,"Av. de Portugal, 4, 28931 Móstoles, Madrid, España",+34 916 46 66 25,https://www.anicura.es/clinicas/estoril-hospital-veterinario/,True,,,,propia,,True,,
,AniCura Vetsia Hospital,Veterinario,Alcorcon,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,CENTRO VETERINARIO MUNDO ANIMAL,Veterinario,Alcorcon,"Calle Sierra de Albarracin, Sin Numero, C. del Monte, Esquina, 28923 Alcorcón, Madrid, España",+34 910 41 26 29,http://www.cvmundoanimal.com/,True,,,,propia,,True,,
,CLINICA VETERINARIA LORANCA,Veterinario,Alcorcon,"C. Concepción Arenal, 8, 28942 Fuenlabrada, Madrid, España",+34 916 04 70 80,http://www.clinica-veterinaria-loranca.com/,True,,,,propia,,True,,
,CLÍNICA VETERINARIA TIMANFAYA 2. Grunvet Servicios Veterinarios SLP,Veterinario,Alcorcon,"C. las Gardenias, 5, Posterior, 28925 Alcorcón, Madrid, España",+34 608 52 12 88,http://www.clinicaveterinariatimanfaya.es/,True,,,,propia,,True,,
,Centauro Veterinarios,Veterinario,Alcorcon,"Av. de los Derechos Humanos, 1, 28924 Alcorcón, Madrid, España",+34 916 19 27 95,http://www.centauroveterinarios.com/,True,,,,propia,,True,,
,Centro Veterinario El Parque,Veterinario,Alcorcon,"Pl. Príncipes de España, 1, 28924 Alcorcón, Madrid, España",+34 916 19 35 08,https://veterinarioelparque.es/,True,,,,propia,,True,,
,Centro Veterinario Lisboa SLP,Veterinario,Alcorcon,"C. Porto Colón, 14, 28924 Alcorcón, Madrid, España",+34 916 42 64 73,http://www.centroveterinariolisboa.com/,True,,,,propia,,True,,
,Centro Veterinario Ohana,Veterinario,Alcorcon,"C. del Mestizaje, 3, 28922 Alcorcón, Madrid, España",+34 918 61 62 34,,False,,,,ninguna,,True,,
,Centro Veterinario Parque Oeste SLU,Veterinario,Alcorcon,"C. Milán, 12, 28922 Alcorcón, Madrid, España",+34 916 89 18 83,http://www.centroveterinarioparqueoeste.es/,True,,,,propia,,True,,
,Centro Veterinario RETAMAS,Veterinario,Alcorcon,"Calle los Pinos 60 Esquina Calle Los Pinos, Av. del Oeste, 28922 Alcorcón, Madrid, España",+34 911 56 30 12,,False,,,,ninguna,,True,,
,Centro Veterinario Sanican,Veterinario,Alcorcon,"C. Noya, 1, 28925 Alcorcón, Madrid, España",+34 916 11 04 36,http://www.cvsanican.com/,True,,,,propia,,True,,
,Clinica Veterinaria Perseo Alcorcón,Veterinario,Alcorcon,"C. Oslo, 10, 28922 Alcorcón, Madrid, España",+34 919 20 86 64,https://clinicaveterinariaperseo.com/,True,,,,propia,,True,,
,Clínica Veterinaria Alameda,Veterinario,Alcorcon,"Urb. Arroyoculebro, C. del Alcalde Pedro González González, 11, locales 1-2, 28914 Madrid, España",+34 916 48 50 56,https://www.clinicaveterinarialameda.com/,True,,,,propia,,True,,
,Clínica Veterinaria Azahar,Veterinario,Alcorcon,"C. Río Duero, s/n, 28923 Alcorcón, Madrid, España",+34 912 26 01 06,https://www.clinicaveterinaria-azahar.es/,True,,,,propia,,True,,
,Clínica Veterinaria CentralVet,Veterinario,Alcorcon,"C. Madrid, 13, 28921 Alcorcón, Madrid, España",+34 911 15 54 70,https://www.centralvetalcorcon.es/,True,,,,propia,,True,,
,Clínica Veterinaria Los Cantos,Veterinario,Alcorcon,"C. Zamora, 1, 28922 Alcorcón, Madrid, España",+34 916 43 18 92,https://clinicaveterinariaalcorcon.es/,True,,,,propia,,True,,
,Clínica Veterinaria PARQUE GRANDE,Veterinario,Alcorcon,"C. Parque del Teide, 27, 28924 Alcorcón, Madrid, España",+34 916 11 60 06,http://www.clinicaveterinariaparquegrande.es/,True,,,,propia,,True,,
,Clínica Veterinaria Polvoranca,Veterinario,Alcorcon,"C. Polvoranca, 42, posterior, 28921 Alcorcón, Madrid, España",+34 916 44 39 56,https://www.clinicaveterinariapolvoranca.es/,True,,,,propia,,True,,
,DB Diagnostico por imagen veterinario,Veterinario,Alcorcon,"C. Tordesillas, 4, 28925 Alcorcón, Madrid, España",+34 686 10 20 56,http://www.dbvet.es/,True,,,,propia,,True,,
,Dermatología veterinaria Madrid,Veterinario,Alcorcon,"Av. de los Derechos Humanos, 1, 28924 Alcorcón, Madrid, España",+34 916 19 27 95,https://www.dermatologiaveterinariamadrid.com/,True,,,,propia,,True,,
,ERVET + Urgencias Veterinarias,Veterinario,Alcorcon,"C. Tordesillas, 4, 28925 Alcorcón, Madrid, España",+34 916 12 63 38,https://ervet.es/,True,,,,propia,,True,,
,Evidensia Aluche Hospital Veterinario,Veterinario,Alcorcon,"C. de Illescas, 215, Latina, 28047 Madrid, España",+34 917 17 73 28,https://evidensia.es/madrid/hospital-veterinario-evidensia-aluche,True,,,,propia,,True,,
,Kivet Salud Animal,Veterinario,Alcorcon,"P.C. Parque Oeste, 28922 Alcorcón, Madrid, España",+34 910 38 00 53,https://www.kivet.com/clinicas-veterinarias/kivet-madrid-parque-oeste/,True,,,,propia,,True,,
,LOS CANTOS VET. C.B. ( Prado de Santo Domingo),Veterinario,Alcorcon,"C. los Sauces, 7, 28922 Alcorcón, Madrid, España",+34 916 44 95 12,https://clinicaveterinariaalcorcon.es/,True,,,,propia,,True,,
,Medivet Clínica Veterinaria Dermatológica Skinpet Móstoles,Veterinario,Alcorcon,"C. Nazaret, 2, 28936 Móstoles, Madrid, España",+34 916 47 20 96,https://www.medivetgroup.com/es-es/clinicas-veterinarias/skinpet-mostoles/,True,,,,propia,,True,,
,Medivet Hospital Veterinario 24 horas Animales Exóticos Los Sauces Chamberí,Veterinario,Alcorcon,"C. de Sagunto, 63, Chamberí, 28010 Madrid, España",+34 914 45 43 05,https://www.medivetgroup.com/es-es/veterinario-urgencia-24-horas/24-horas-los-sauces-chamberi/,True,,,,propia,,True,,
,Neko Clínica Felina,Veterinario,Alcorcon,"C. Los Robles, 7, 28922 Alcorcón, Madrid, España",+34 912 36 80 23,http://www.nekovet.com/,True,,,,propia,,True,,
,Urgencias Veterinarias Reina Cristina,Veterinario,Alcorcon,"Paseo de la R. Cristina, 11, Retiro, 28014 Madrid, España",+34 915 01 96 63,http://www.urgenciasveterinariasmadrid.com/,True,,,,propia,,True,,
,Veterinario Alcorcón,Veterinario,Alcorcon,"C. Cáceres, 30, 28922 Alcorcón, Madrid, España",+34 916 43 53 81,https://www.centroveterinarioalcorcon.es/es/,True,,,,propia,,True,,
,Veterinario en Fuenlabrada | Clínica Vivero,Veterinario,Alcorcon,"av.vivero, C. de las Gardenias, esquina, 28942 Fuenlabrada, Madrid, España",+34 916 00 10 40,https://clinicaveterinariavivero.es/,True,,,,propia,,True,,
,Veterinario en Móstoles | Veracruz,Veterinario,Alcorcon,"C. Veracruz, 20, 28936 Móstoles, Madrid, España",+34 916 45 48 08,https://veterinarioveracruzmostoles.com/,True,,,,propia,,True,,
