place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJweKnHVSLQQ0RB2polmjhWbk,Fuertum Abogados,Abogado,Fuenlabrada,"C. de Portugal, 33, Loc 210, 28943 Fuenlabrada, Madrid, España",+34 637 37 82 82,https://fuertumabogados.com/,True,4.9,128,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJweKnHVSLQQ0RB2polmjhWbk.jpg,propia,info@fuertumabogados.com,False,no,copyright 2020
ChIJRVCGm6CLQQ0ROulajInU_G8,Jiménez Macián & Prades Abogados,Abogado,Fuenlabrada,"Plaza de la Constitución, 2, Esc Izq. 3ª - 4, 28943 Fuenlabrada, Madrid, España",+34 910 85 10 74,http://www.jmpabogados.com/,True,4.9,210,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJRVCGm6CLQQ0ROulajInU_G8.jpg,propia,info@jmpabogados.com,False,no,web moderna
ChIJUZl1caeLQQ0RbdTmhEzOmZI,Del Castillo Abogados,Abogado,Fuenlabrada,"C/ de la Constitución, 3, 28943 Fuenlabrada, Madrid, España",+34 635 30 45 97,http://www.delcastilloabogados.net/,True,5,44,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJUZl1caeLQQ0RbdTmhEzOmZI.jpg,propia,despacho@delcastilloabogados.net,False,no,web moderna
ChIJ1YPkf3aLQQ0R1YEMjUXhUlw,Elena López Rodriguez,Abogado,Fuenlabrada,"C. de Portugal, 37, 28943 Fuenlabrada, Madrid, España",+34 916 07 12 52,https://www.abogadadefamiliaelenalopez.es/,True,4.3,122,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ1YPkf3aLQQ0R1YEMjUXhUlw.jpg,propia,,True,no,web moderna
ChIJRx_ym1iLQQ0R4gS59T4UeTc,Lobo Abogados Fuenlabrada,Abogado,Fuenlabrada,"C. de Valparaíso, 2, Planta 1ª, oficina 5, 28944 Fuenlabrada, Madrid, España",+34 912 38 02 08,https://www.loboabogados.com/,True,4.9,121,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJRx_ym1iLQQ0R4gS59T4UeTc.jpg,propia,,True,si,copyright 2018
ChIJN0yGm6CLQQ0RPdWQV4_817A,Piñas Abogados,Abogado,Fuenlabrada,"C/ de Móstoles, 36, 28941 Fuenlabrada, Madrid, España",+34 670 73 77 31,http://www.pinasabogados.com/,True,4.9,48,,propia,,True,?,no carga (SSLError)
ChIJNxakcteLQQ0R9F_MJ4BnEWU,Alberto de Lara Sáez Abogado,Abogado,Fuenlabrada,"Pl. de Panticosa, 6, 28941 Fuenlabrada, Madrid, España",+34 695 09 19 21,,False,5,100,,ninguna,,True,,
ChIJYWH5XHeLQQ0R-k4OK0PaOTk,Mª Ángeles Sandía. Abogada,Abogado,Fuenlabrada,"C. de Portugal, 33, 28942 Fuenlabrada, Madrid, España",+34 629 22 67 16,https://sites.google.com/view/mangelessandiaabogada/inicio,False,5,80,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJYWH5XHeLQQ0R-k4OK0PaOTk.jpg,agregador,,True,,
ChIJAzPkAQiLQQ0RjZv_FF219_E,aarmabogados,Abogado,Fuenlabrada,"C. de Polvoranca, 18, 2ºA, 28945 Fuenlabrada, Madrid, España",+34 916 90 80 54,http://www.aarmabogados.com/,True,4.6,56,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJAzPkAQiLQQ0RjZv_FF219_E.jpg,propia,info@aarmabogados.com,False,no,web moderna
ChIJG2MC-XWLQQ0RYG8lfJajhWU,OTEGUEZ ABOGADAS,Abogado,Fuenlabrada,"C. de Valparaíso, 2, Planta 2, Oficina 17, 28944 Fuenlabrada, Madrid, España",+34 602 60 14 52,http://www.oteguezabogadas.es/,True,5,65,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJG2MC-XWLQQ0RYG8lfJajhWU.jpg,propia,despacho@oteguezabogadas.es,False,no,web moderna
