place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTOESCUELA HUGO FUENLABRADA,Autoescuela,Fuenlabrada,"C. de Galicia, 6, 28942 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,AUTOESCUELA NAYER,Autoescuela,Fuenlabrada,"Av. de las Regiones, 8, 28941 Fuenlabrada, Madrid, España",+34 912 27 09 80,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,AUTOESCUELA VESUBIO,Autoescuela,Fuenlabrada,"C. del Laurel, 3, 28942 Fuenlabrada, Madrid, España",+34 611 42 82 89,https://www.autoescuelavesubio.com/,True,,,,propia,,True,,
,Academia Montero Espinosa,Autoescuela,Fuenlabrada,"C. de Luis Pasteur, 1, 28942 Fuenlabrada, Madrid, España",+34 914 98 55 79,http://www.monteroespinosa.com/,True,,,,propia,,True,,
,Autoescuela - Academia Dimas,Autoescuela,Fuenlabrada,"C/ de Extremadura, 2, posterior, 28944 Fuenlabrada, Madrid, España",+34 911 62 97 19,https://autoescueladimas.com/,True,,,,propia,,True,,
,Autoescuela Almendrales,Autoescuela,Fuenlabrada,"C. de Polvoranca, 33, 28911 Leganés, Madrid, España",+34 916 93 24 80,https://almendrales.es/,True,,,,propia,,True,,
,Autoescuela Avanzada,Autoescuela,Fuenlabrada,"C. de Francia, 34, 28943 Fuenlabrada, Madrid, España",+34 916 07 37 23,https://autoescuelaavanzada.es/,True,,,,propia,,True,,
,Autoescuela Cómic S.L.,Autoescuela,Fuenlabrada,"C. Vitoria, 4, 28941 Fuenlabrada, Madrid, España",+34 916 90 18 65,http://www.autoescuelacomic.com/,True,,,,propia,,True,,
,Autoescuela España,Autoescuela,Fuenlabrada,"C/ de Móstoles, 31, 28943 Fuenlabrada, Madrid, España",+34 916 90 48 61,,False,,,,ninguna,,True,,
,Autoescuela Festival,Autoescuela,Fuenlabrada,"C. de Sevilla, 28941 Fuenlabrada, Madrid, España",+34 625 48 00 16,http://www.autoescuelafestival.com/,True,,,,propia,,True,,
,Autoescuela Festival SL,Autoescuela,Fuenlabrada,"Pl. de la Albufera, 5, 28945 Fuenlabrada, Madrid, España",+34 916 00 07 49,http://autoescuelafestival.com/,True,,,,propia,,True,,
,Autoescuela Fuenlabrada,Autoescuela,Fuenlabrada,"C. de Portugal, 32, 28943 Fuenlabrada, Madrid, España",+34 916 08 43 79,,False,,,,ninguna,,True,,
,Autoescuela GO! Fuenlabrada (Arcoíris),Autoescuela,Fuenlabrada,"C. de Humanes, 35, 28944 Fuenlabrada, Madrid, España",+34 916 90 30 07,https://goautoescuelas.es/autoescuelas/fuenlabrada/,True,,,,propia,,True,,
,Autoescuela Jose Luis,Autoescuela,Fuenlabrada,"Av. de los Andes, 14, 28945 Fuenlabrada, Madrid, España",+34 916 90 71 67,http://www.aejoseluis.es/,True,,,,propia,,True,,
,Autoescuela LUCEX - Getafe,Autoescuela,Fuenlabrada,"P.º de La Estación, 14, 28902 Getafe, Madrid, España",+34 635 76 33 24,http://www.autoescuelalucex.com/,True,,,,propia,,True,,
,Autoescuela Lara Fuenlabrada - El Naranjo,Autoescuela,Fuenlabrada,"C. de Gijón, 7, 28942 Fuenlabrada, Madrid, España",+34 916 15 75 51,https://autoescuelalara.com/centros/fuenlabrada-el-naranjo,True,,,,propia,,True,,
,Autoescuela Lara Fuenlabrada - Lorea,Autoescuela,Fuenlabrada,"C. Álava, 16, 28941 Fuenlabrada, Madrid, España",+34 916 06 88 21,https://autoescuelalara.com/centros/fuenlabrada-el-lorea,True,,,,propia,,True,,
,Autoescuela Lara Getafe,Autoescuela,Fuenlabrada,"C. Núñez de Balboa, 45, 28902 Getafe, Madrid, España",+34 910 18 83 43,http://www.autoescuelalara.com/centros/getafe,True,,,,propia,,True,,
,Autoescuela Lara Leganés,Autoescuela,Fuenlabrada,"Pl. Salvador, 8, 28911 Leganés, Madrid, España",+34 685 74 63 41,,False,,,,ninguna,,True,,
,Autoescuela Nayer El Bercial,Autoescuela,Fuenlabrada,"C. Austria, 11, 28907 Getafe, Madrid, España",+34 699 21 58 62,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,Autoescuela Q5 Motocarnet / Cochecarnet,Autoescuela,Fuenlabrada,"Pl. Alcalde José Manuel Ma, 11, 28914 Leganés, Madrid, España",+34 663 20 41 86,http://www.motocarnet.net/,True,,,,propia,,True,,
,Autoescuela URBAN MADRID,Autoescuela,Fuenlabrada,"C. de Húmera, 29, 28945 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Autoescuelas Abril - Autoescuela Getafe Sector III,Autoescuela,Fuenlabrada,"C. los Sauces, 28, 28905 Getafe, Madrid, España",+34 916 82 57 46,http://www.autoeabril.com/autoescuela-getafe-sector-3-Madrid.aspx,True,,,,propia,,True,,
,Centro de Formación Mervi,Autoescuela,Fuenlabrada,"Av. de los Andes, 26, 28945 Fuenlabrada, Madrid, España",+34 601 20 32 45,https://autoescuelamervi.com/,True,,,,propia,,True,,
,Fuenlabrada II | GALA Autoescuela,Autoescuela,Fuenlabrada,"C. de Turquía, 7, 28943 Fuenlabrada, Madrid, España",+34 691 67 45 24,https://autoescuelagala.com/autoescuela-fuenlabrada-ii/,True,,,,propia,,True,,
,Fuenlabrada | GALA Autoescuela - Centro Recuperación de Puntos,Autoescuela,Fuenlabrada,"C. de Castilla la Nueva, 18, 28941 Fuenlabrada, Madrid, España",+34 689 61 42 03,https://autoescuelagala.com/autoescuela-fuenlabrada/,True,,,,propia,,True,,
,La Fuente | GALA Autoescuela,Autoescuela,Fuenlabrada,"C. de la Fuente, 9, 28911 Leganés, Madrid, España",+34 637 77 68 46,https://autoescuelagala.com/autoescuela-leganes-centro/,True,,,,propia,,True,,
,Loranca| GALA Autoescuela,Autoescuela,Fuenlabrada,"C. Escultura, 4, 28942 Fuenlabrada, Madrid, España",+34 687 54 52 69,https://autoescuelagala.com/autoescuela-loranca/,True,,,,propia,,True,,
,Pista de Practicas | Autoescuela Dimas,Autoescuela,Fuenlabrada,"Cam. de la mula, 28946 Fuenlabrada, Madrid, España",+34 627 51 55 11,https://autoescueladimas.com/,True,,,,propia,,True,,
