place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Anubis Coctelería (Fuenlabrada),Bar,Fuenlabrada,"Av. de la Universidad, 12, 28942 Fuenlabrada, Madrid, España",+34 666 88 46 10,https://www.anubiscocteleria.com/,True,,,,propia,,True,,
,BAR CAFETERIA esco-BAR,Bar,Fuenlabrada,"Av. de Europa, 2, Loc 16, 28943 Fuenlabrada, Madrid, España",+34 919 47 29 98,,False,,,,ninguna,,True,,
,BAR RESTAURANT PEAKY BLINDERS,Bar,Fuenlabrada,"C. de Albacete, 5, 28945 Fuenlabrada, Madrid, España",+34 633 60 09 99,,False,,,,ninguna,,True,,
,Bar Atlantis Shisha,Bar,Fuenlabrada,"C/ de Móstoles, 78, 28942 Fuenlabrada, Madrid, España",+34 682 68 61 02,,False,,,,ninguna,,True,,
,Bar Belmonte,Bar,Fuenlabrada,"C. de Sta. Ana, 4, 28944 Fuenlabrada, Madrid, España",+34 916 06 33 86,,False,,,,ninguna,,True,,
,Bar Café El Encanto,Bar,Fuenlabrada,"C. de Zamora, 21, 28941 Fuenlabrada, Madrid, España",+34 659 35 76 63,https://m.facebook.com/El-Encanto-887852271327783/,False,,,,social,,True,,
,Bar Cerveceria La Montaña Mijares Y Martínez E Hijos,Bar,Fuenlabrada,"C. de Sevilla, 6, 28941 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Bar El Arroyo,Bar,Fuenlabrada,"Pl. de Valdeserrano, 2, 28944 Fuenlabrada, Madrid, España",+34 916 90 68 15,,False,,,,ninguna,,True,,
,Bar El Jesule,Bar,Fuenlabrada,"C/ de la Constitución, 34, 28944 Fuenlabrada, Madrid, España",+34 640 50 18 61,,False,,,,ninguna,,True,,
,Bar El Punto,Bar,Fuenlabrada,"P.º Valmoral, 6, 28944 Fuenlabrada, Madrid, España",+34 919 22 00 34,https://www.facebook.com/cerveceriaelpuntofuenlabrada/,False,,,,social,,True,,
,Bar Hermanos Chacón,Bar,Fuenlabrada,"C. de Hungría, 3, 28943 Fuenlabrada, Madrid, España",+34 916 07 16 74,https://zmaps.top/bar-chacon-fuenlabrada,True,,,,propia,,True,,
,Bar La Villa,Bar,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 39, 28944 Fuenlabrada, Madrid, España",+34 680 66 29 91,,False,,,,ninguna,,True,,
,Bar Paco,Bar,Fuenlabrada,"P.º de Puerto Rico, 14, 28945 Fuenlabrada, Madrid, España",+34 651 92 36 37,,False,,,,ninguna,,True,,
,Bar Sujar,Bar,Fuenlabrada,"P.º del Olimpo, 14, 28943 Fuenlabrada, Madrid, España",+34 912 88 75 57,,False,,,,ninguna,,True,,
,Bar dulcinea del Toboso Fuenlabrada,Bar,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 33, 4, 28944 Fuenlabrada, Madrid, España",+34 919 95 54 16,https://www.instagram.com/bardulcinea_fuenla,False,,,,social,,True,,
,Bar vikingos,Bar,Fuenlabrada,"Paseo de Roma, 2, 28943 Fuenlabrada, Madrid, España",+34 630 98 43 88,,False,,,,ninguna,,True,,
,CRUSH LOUNGE,Bar,Fuenlabrada,"C. de Valencia, 10, 28945 Fuenlabrada, Madrid, España",,https://www.instagram.com/crush.lounge.madrid/,False,,,,social,,True,,
,Cafetería Peña Cervecería Restaurante,Bar,Fuenlabrada,"C. de Zamora, 27, 28941 Fuenlabrada, Madrid, España",+34 916 15 99 64,http://restaurante-pena-fuenlabrada.makro.rest/,True,,,,propia,,True,,
,Carambolas Taberna Y,Bar,Fuenlabrada,"C. de los Nardos, 4, Loc 3. Da a, 28941 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Cervecería LA PARROQUIA PINTXOS Y TAPAS,Bar,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 26, 28944 Fuenlabrada, Madrid, España",+34 697 69 93 34,,False,,,,ninguna,,True,,
,Cocteleria Habana Fuenlabrada,Bar,Fuenlabrada,"C/ de Leganés, 51, 28945 Fuenlabrada, Madrid, España",+34 919 99 31 10,http://www.grupohabana.es/,True,,,,propia,,True,,
,Dublin Cafe Bar,Bar,Fuenlabrada,"Av. de las Naciones, 37, 28943 Fuenlabrada, Madrid, España",+34 910 00 01 36,,False,,,,ninguna,,True,,
,EL BAR,Bar,Fuenlabrada,"C. de Portugal, 33, 28943 Fuenlabrada, Madrid, España",+34 910 27 96 40,,False,,,,ninguna,,True,,
,El Rincón de Salva - Fuenlabrada,Bar,Fuenlabrada,"C. de Mirasierra, 4, 28941 Fuenlabrada, Madrid, España",+34 615 68 42 83,https://www.facebook.com/elrincondesalva,False,,,,social,,True,,
,Enebro Tapas Bar Fuenlabrada,Bar,Fuenlabrada,"Edificio Cultural Tomas Y Valiente, C/ de Leganés, 51, Loc 8, 28945 Fuenlabrada, Madrid, España",+34 916 06 91 34,http://www.barenebro.com/,True,,,,propia,,True,,
,Hnos Díaz,Bar,Fuenlabrada,"C. Honda, 16, 18, 28944 Fuenlabrada, Madrid, España",+34 916 90 58 66,,False,,,,ninguna,,True,,
,LA JAULA,Bar,Fuenlabrada,"C. de los Mártires Fuenlabrada, 22, 28944 Fuenlabrada, Madrid, España",+34 602 19 58 04,https://www.instagram.com/invites/contact/,False,,,,social,,True,,
,La Taberna del Tiempo,Bar,Fuenlabrada,"C/ de Móstoles, 36, 28941 Fuenlabrada, Madrid, España",+34 628 20 73 70,http://www.latabernadeltiempo.com/,True,,,,propia,,True,,
,Los Gavilanes,Bar,Fuenlabrada,"C. de los Mártires Fuenlabrada, 7, 28944 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Los Roques Bar Teteria,Bar,Fuenlabrada,"C. de Gerona, 28945 La Serna, Madrid, España",,,False,,,,ninguna,,True,,
,MONTADITOS Y TAPAS Co. （Fuenlabrada),Bar,Fuenlabrada,"C. Honda, 20, 28944 Fuenlabrada, Madrid, España",+34 669 61 05 31,,False,,,,ninguna,,True,,
,Meson El Festin Bar Charcuteria,Bar,Fuenlabrada,"C. de Miguel de Unamuno, 22, 28944 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,PANDORA Cocktail and Shisha - Malaca´s Grill Fuenlabrada,Bar,Fuenlabrada,"C. del Manantial, 6, 28942 Fuenlabrada, Madrid, España",+34 690 90 67 34,,False,,,,ninguna,,True,,
,PULPO DISCO PUB,Bar,Fuenlabrada,"C. de Gerona, 54, 28945 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Ponzano Restaurante Coctelería,Bar,Fuenlabrada,"C. de las Navas, 11, 13 13, 28944 Fuenlabrada, Madrid, España",+34 911 23 28 84,https://ponzanococteleria.es/es,True,,,,propia,,True,,
,Pub Bettore,Bar,Fuenlabrada,"C. de Belén, 10, 28943 Fuenlabrada, Madrid, España",+34 682 30 85 65,https://bettorepub-carta.vercel.app/cocteles,True,,,,propia,,True,,
,Pub Sauce Lloron,Bar,Fuenlabrada,"C. San Joaquín, 26, 28943 Fuenlabrada, Madrid, España",+34 696 50 52 26,,False,,,,ninguna,,True,,
,Restaurante Bacanal Fuenlabrada,Bar,Fuenlabrada,"C/ de Leganés, 51, 28945 Fuenlabrada, Madrid, España",+34 919 99 41 40,https://www.bacanalmadrid.com/,True,,,,propia,,True,,
,Restaurante Time‘s,Bar,Fuenlabrada,"C/ de la Constitución, 69, 65, 28946 Fuenlabrada, Madrid, España",+34 910 26 94 12,https://smartmenu.agorapos.com/,True,,,,propia,,True,,
,The Irish Temple,Bar,Fuenlabrada,"Av. de la Universidad, 1, 28942 Fuenlabrada, Madrid, España",+34 915 56 48 36,https://www.theirishtemple.com/,True,,,,propia,,True,,
