place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,2H CAFE,Cafeteria,Fuenlabrada,"C. Toreno, 12, 28947 Fuenlabrada, Madrid, España",+34 688 12 77 33,,False,,,,ninguna,,True,,
,Bar Cafetería Francia,Cafeteria,Fuenlabrada,"C. de Francia, 41-37, 28943 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,CAFETERIA EL MIRADOR,Cafeteria,Fuenlabrada,"Paseo del Dr. Severo Ochoa, 2, 28945 Fuenlabrada, Madrid, España",+34 650 27 28 08,https://cafeteria-el-mirador.eatbu.com/,True,,,,propia,,True,,
,COMARA café,Cafeteria,Fuenlabrada,"Pl. de la Albufera, 5, local 2, 28945 Fuenlabrada, Madrid, España",+34 653 19 87 37,,False,,,,ninguna,,True,,
,Cafe Dani's,Cafeteria,Fuenlabrada,"C/ de Móstoles, 32, 28945 Fuenlabrada, Madrid, España",+34 912 26 95 08,,False,,,,ninguna,,True,,
,Cafeteria Hungrìa Cerveceria,Cafeteria,Fuenlabrada,"C. de Hungría, 6, 28943 Fuenlabrada, Madrid, España",+34 618 17 93 21,,False,,,,ninguna,,True,,
,Cafeteria-Bar Central Park,Cafeteria,Fuenlabrada,"Av. de las Provincias, 5, 28941 Fuenlabrada, Madrid, España",+34 645 53 32 36,,False,,,,ninguna,,True,,
,Cafetería Cantabria,Cafeteria,Fuenlabrada,"C. de Nazaret, 26, 28941 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Cheer's,Cafeteria,Fuenlabrada,"C/ de Extremadura, 17, 28944 Fuenlabrada, Madrid, España",+34 672 05 81 03,,False,,,,ninguna,,True,,
,Cafetería Dos Jotas,Cafeteria,Fuenlabrada,"C. de Callao, 11, 28945 Fuenlabrada, Madrid, España",+34 911 49 26 43,,False,,,,ninguna,,True,,
,Cafetería D´sano Las Provincias Fuenlabrada,Cafeteria,Fuenlabrada,"C. de Zamora, 25, 28941 Fuenlabrada, Madrid, España",+34 919 35 63 84,https://dsano.es/,True,,,,propia,,True,,
,Cafetería Frankfurt,Cafeteria,Fuenlabrada,"Av. de la Hispanidad, 16, 28945 Fuenlabrada, Madrid, España",+34 916 97 09 94,,False,,,,ninguna,,True,,
,Cafetería Fénix,Cafeteria,Fuenlabrada,"C. de Turquía, 3, 28943 Fuenlabrada, Madrid, España",+34 916 08 54 55,https://cafeteriafenix.es/,True,,,,propia,,True,,
,Cafetería La Esperanza,Cafeteria,Fuenlabrada,"C. Honda, 16, 28944 Fuenlabrada, Madrid, España",+34 916 90 38 09,,False,,,,ninguna,,True,,
,Cafetería La Estación,Cafeteria,Fuenlabrada,"Estación de Fuenlabrada Central, 28944 Fuenlabrada, Madrid, España",+34 642 97 21 33,,False,,,,ninguna,,True,,
,Cafetería La Martín,Cafeteria,Fuenlabrada,"C. de Portugal, 30, 28943 Fuenlabrada, Madrid, España",+34 916 07 91 00,,False,,,,ninguna,,True,,
,Cafetería Montaña,Cafeteria,Fuenlabrada,"C. de Checoslovaquia, 4, 28943 Fuenlabrada, Madrid, España",+34 658 80 22 55,,False,,,,ninguna,,True,,
,Cafetería Nevada,Cafeteria,Fuenlabrada,"C. Luis Sauquillo, 59, 28944 Fuenlabrada, Madrid, España",+34 916 90 92 12,,False,,,,ninguna,,True,,
,Cafetería Romily,Cafeteria,Fuenlabrada,"C. de Cuba, 7, 28945 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Trébol Fuenlabrada,Cafeteria,Fuenlabrada,"C. de Portugal, 38, 28943 Fuenlabrada, Madrid, España",+34 600 72 69 06,https://trebolcafe.com/,True,,,,propia,,True,,
,Cafetería Universidad Rey Juan Carlos,Cafeteria,Fuenlabrada,"C. Bario, 28942 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería flor de Jara,Cafeteria,Fuenlabrada,"C. de Getafe, 21, 28944 Fuenlabrada, Madrid, España",+34 661 08 53 05,,False,,,,ninguna,,True,,
,Cafetería hermanos Chacón (Arco Iris),Cafeteria,Fuenlabrada,"C. de Dinamarca, 1, 28942 Fuenlabrada, Madrid, España",+34 912 26 93 01,,False,,,,ninguna,,True,,
,Cafetería ismael,Cafeteria,Fuenlabrada,"Av. de la Hispanidad, 10, 28945 Fuenlabrada, Madrid, España",+34 690 79 00 21,,False,,,,ninguna,,True,,
,Cafetería la Belle Epoque,Cafeteria,Fuenlabrada,"C. Frómista, 6, 28941 Fuenlabrada, Madrid, España",+34 916 15 76 18,,False,,,,ninguna,,True,,
,Cafetería monalisa,Cafeteria,Fuenlabrada,"C/ de Leganés, 42, 28945 Fuenlabrada, Madrid, España",+34 612 56 26 80,,False,,,,ninguna,,True,,
,Café Boise,Cafeteria,Fuenlabrada,"C. de la Pl., 16, 28944 Fuenlabrada, Madrid, España",+34 916 15 43 13,,False,,,,ninguna,,True,,
,Café Fabero,Cafeteria,Fuenlabrada,"Carretera Nacional 401, Km. 18.7, 28946 Fuenlabrada, Madrid, España",+34 916 42 20 37,http://www.cafenatural.es/,True,,,,propia,,True,,
,Café Tomy,Cafeteria,Fuenlabrada,"C. Ferrocarril, 1, 28944 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
