place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alegra Clínica Dental Fuenlabrada,Dental,Fuenlabrada,"Av. de Europa, 1, Loc 1, 28943 Fuenlabrada, Madrid, España",+34 913 14 25 38,http://alegraclinicadental.es/,True,,,,propia,,True,,
,CLÍNICA DENTAL DE LA ENCINA Fuenlabrada Dentista Implantes Ortodoncia Blanqueamiento Odontopediatría Estética Cirugía,Dental,Fuenlabrada,"C. de Cuba, 10, 28945 Fuenlabrada, Madrid, España",+34 916 15 65 33,,False,,,,ninguna,,True,,
,Centro Dental Unamuno,Dental,Fuenlabrada,"C. de Miguel de Unamuno, 19, 28944 Fuenlabrada, Madrid, España",+34 916 06 92 44,https://centrodentalunamuno.com/,True,,,,propia,,True,,
,Ceres Clinica Dental,Dental,Fuenlabrada,"C. Madrid, 100, 28902 Getafe, Madrid, España",+34 683 34 63 00,https://ceresclinicadental.com/,True,,,,propia,,True,,
,Clinica Dental Dr. Jorge Quijada,Dental,Fuenlabrada,"C. de Ribadeo, 23, 28942 Fuenlabrada, Madrid, España",+34 689 03 13 65,https://clinicadrjorgequijada.com/,True,,,,propia,,True,,
,Clinica Dental Odonmax 5D,Dental,Fuenlabrada,"C. Luis Sauquillo, 71, Loc, 28944 Fuenlabrada, Madrid, España",+34 649 11 96 19,https://www.odonmax5d.com/,True,,,,propia,,True,,
,Clinica Dental Sanchez Gonzalez en Fuenlabrada,Dental,Fuenlabrada,"C. de las Navas, 2, 28944 Fuenlabrada, Madrid, España",+34 916 90 65 48,http://www.clinicadentalsanchezgonzalez.es/,True,,,,propia,,True,,
,Clínica AC Dental Fuenlabrada,Dental,Fuenlabrada,"C/ de Móstoles, 36, 28943 Fuenlabrada, Madrid, España",+34 916 06 04 21,https://clinicasacdental.com/,True,,,,propia,,True,,
,Clínica ASISA Dental Fuenlabrada,Dental,Fuenlabrada,"C. del Humilladero, 1, 28945 Fuenlabrada, Madrid, España",+34 637 33 90 20,https://www.asisadental.es/centro/clinica-madrid-fuenlabrada/,True,,,,propia,,True,,
,Clínica Dental Alonso & Arranz Getafe,Dental,Fuenlabrada,"P.º de La Estación, 23, 28904 Getafe, Madrid, España",+34 916 95 38 75,https://alonsoarranz.com/,True,,,,propia,,True,,
,Clínica Dental CB Fuenlabrada,Dental,Fuenlabrada,"C. de Delicias, 3, 28945 Fuenlabrada, Madrid, España",+34 916 97 50 73,https://dentistasfuenlabrada.com/,True,,,,propia,,True,,
,Clínica Dental Del Saz Camacho,Dental,Fuenlabrada,"Calle Badajoz, 4, 28903 Getafe, Madrid, España",+34 916 01 92 29,http://www.clinicadentalgetafesc.es/,True,,,,propia,,True,,
