place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AURA'S CENTRO DE ESTÉTICA,Estetica,Fuenlabrada,"C. de Húmera, 25, 28945 Fuenlabrada, Madrid, España",+34 690 67 88 64,https://aurasestetica.es/,True,,,,propia,,True,,
,Adonis,Estetica,Fuenlabrada,"C. de Dinamarca, 1, Loc 22, 28943 Fuenlabrada, Madrid, España",+34 651 62 49 86,https://www.facebook.com/adonis.centrodebelleza,False,,,,social,,True,,
,Airyn (Centro de Láser y Estética Avanzada),Estetica,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 28, Local, 28944 Fuenlabrada, Madrid, España",+34 679 29 12 23,http://airynestetica.com/,True,,,,propia,,True,,
,Astonish-Sapphira,Estetica,Fuenlabrada,"C. de Castillejos, 22, 28944 Fuenlabrada, Madrid, España",+34 914 98 91 34,http://www.astonishsapphira.com/,True,,,,propia,,True,,
,Ay Carmela! - Peluquería y Estética en Fuenlabrada,Estetica,Fuenlabrada,"la Plaza de las Margaritas, C. de los Nardos, 4, Loc 3. Da a, 28941 Fuenlabrada, Madrid, España",+34 919 36 45 33,https://aycarmelaimagen.es/,True,,,,propia,,True,,
,Belleza Cuerpo Salud,Estetica,Fuenlabrada,"C/ de la Constitución, 8, 28944 Fuenlabrada, Madrid, España",+34 916 97 11 44,http://www.bellezacuerposalud.es/,True,,,,propia,,True,,
,Bodytop,Estetica,Fuenlabrada,"C. Gabriela Mistral, 8, 28942 Fuenlabrada, Madrid, España",+34 916 04 65 93,https://bodytopcentroestetica.es/,True,,,,propia,,True,,
,Centro De Estética Solhanyis Sena,Estetica,Fuenlabrada,"C. de Humanes, 31, 28944 Fuenlabrada, Madrid, España",+34 618 05 25 79,https://solhanyissenaestetica.es/,True,,,,propia,,True,,
,Centro De Estética Valparaíso,Estetica,Fuenlabrada,"C. de Valparaíso, 2, 28944 Fuenlabrada, Madrid, España",+34 916 06 64 51,http://www.esteticavalparaiso.com/,True,,,,propia,,True,,
,Centro Estético Aimar,Estetica,Fuenlabrada,"C. de la Comunidad de Madrid, 11, 28944 Fuenlabrada, Madrid, España",+34 657 96 34 88,http://www.centroaimar.com/,True,,,,propia,,True,,
,Centro Estético y Medicina Estética Payroca,Estetica,Fuenlabrada,"C. de Castillejos, 11, 28944 Fuenlabrada, Madrid, España",+34 916 90 23 49,,False,,,,ninguna,,True,,
,Centro de Estética Rafi,Estetica,Fuenlabrada,"C. de Italia, 23, 28943 Fuenlabrada, Madrid, España",+34 916 08 05 47,https://esteticarafi.com/,True,,,,propia,,True,,
,"Centro de Estética Tiaré,",Estetica,Fuenlabrada,"C. del Laurel, 1, Loc 3, 28942 Fuenlabrada, Madrid, España",+34 654 87 59 88,http://www.noemiduranbeauty.com/,True,,,,propia,,True,,
,Centro de belleza Esmeralda,Estetica,Fuenlabrada,"Paseo del Pireo, 16, posterior, 28943 Fuenlabrada, Madrid, España",+34 626 29 52 92,,False,,,,ninguna,,True,,
,Centro de estética Moma,Estetica,Fuenlabrada,"C. Teruel, 3, 28941 Fuenlabrada, Madrid, España",+34 916 09 93 06,https://centrosesteticamadridsur.com/,True,,,,propia,,True,,
,Centros Único,Estetica,Fuenlabrada,"C/ de Hungría C.C, Plaza de la Estación, 28942 Fuenlabrada, Madrid, España",+34 916 07 73 54,https://www.centrosunico.com/,True,,,,propia,,True,,
,Clínica Dorsia Cirugía y Medicina Estética,Estetica,Fuenlabrada,"C. de Méjico, 1, 28945 Fuenlabrada, Madrid, España",+34 910 60 13 75,https://www.dorsia.es/clinicas-dorsia/fuenlabrada/,True,,,,propia,,True,,
,Danaus Estética,Estetica,Fuenlabrada,"C. Luis Sauquillo, 93, 28944 Fuenlabrada, Madrid, España",+34 910 16 01 48,,False,,,,ninguna,,True,,
,Decontrakte by Miriam Olariaga Centro de estética avanzada y quiromasaje,Estetica,Fuenlabrada,"Av. de las Provincias, 24, 28941 Fuenlabrada, Madrid, España",+34 661 95 30 44,,False,,,,ninguna,,True,,
,Dermasana Fuenlabrada - Depilación láser Fuenlabrada,Estetica,Fuenlabrada,"C. de Portugal, 42, 28943 Fuenlabrada, Madrid, España",+34 917 37 90 00,https://dermasana.com/centros/dermasana-fuenlabrada/,True,,,,propia,,True,,
,Edén Estética Avanzada,Estetica,Fuenlabrada,"C. de las Eras, 9, 28944 Fuenlabrada, Madrid, España",+34 696 73 42 53,http://www.edenesteticaavanzada.com/,True,,,,propia,,True,,
,Elha Laser Center Fuenlabrada,Estetica,Fuenlabrada,"C. de Francia, 14, 28943 Fuenlabrada, Madrid, España",+34 872 55 06 20,https://www.elhadepilacionlaser.com/,True,,,,propia,,True,,
,Energy & Beauty,Estetica,Fuenlabrada,"Av. de las Provincias, 32, 28945 Fuenlabrada, Madrid, España",+34 643 95 17 48,https://energybeauty.es/,True,,,,propia,,True,,
,Estetica Templo de Isis,Estetica,Fuenlabrada,"Pl. de la Albufera, 7, 28945 Fuenlabrada, Madrid, España",+34 654 03 09 67,https://www.eltemplodeisis.es/,True,,,,propia,,True,,
,Estética Carolina Orgaz,Estetica,Fuenlabrada,"C. de los Tulipanes, 8, 1°derecha, 28941 Fuenlabrada, Madrid, España",+34 916 15 67 99,,False,,,,ninguna,,True,,
,Estética Flor de Loto,Estetica,Fuenlabrada,"C. de Italia, 19, Loc, 28943 Fuenlabrada, Madrid, España",+34 633 25 76 14,https://esteticaflordeloto.com/,True,,,,propia,,True,,
,Estética Isabel Preda y Peluquería Lazitos,Estetica,Fuenlabrada,"Estética Isabel Preda (Peluqueria Lazitos, P.º de San Antonio, 2, Local 2, 28945 Fuenlabrada, Madrid, España",+34 661 46 75 02,http://www.isabel-preda.com/,True,,,,propia,,True,,
,Estética Marijose,Estetica,Fuenlabrada,"C. de Castilla la Nueva, 30, posterior, 28941 Fuenlabrada, Madrid, España",+34 640 66 11 63,http://clinicamarijose.es/,True,,,,propia,,True,,
,IsaBella Centro Médico Estético,Estetica,Fuenlabrada,"C. de Portugal, 33, Loc 403, 28943 Fuenlabrada, Madrid, España",+34 911 70 38 00,https://isabellacme.com/,True,,,,propia,,True,,
,Kché Estética,Estetica,Fuenlabrada,"C. de Galicia, 17, 28942 Fuenlabrada, Madrid, España",+34 916 07 74 43,https://kche-estetica.com/,True,,,,propia,,True,,
,Microblading Fuenlabrada - Olaplex - Alisado - ISABEL DE LA TORRE Peluquería - Estética,Estetica,Fuenlabrada,"C. Vitoria, 9, 28941 Fuenlabrada, Madrid, España",+34 662 21 11 26,http://peluqueriaisabeldelatorre.com/,True,,,,propia,,True,,
,Morgana Estetica Avanzada,Estetica,Fuenlabrada,"Av. de las Provincias, 31, 28941 Fuenlabrada, Madrid, España",+34 916 15 11 52,http://www.spamorgana.es/,True,,,,propia,,True,,
,Nice Art - Centro de Belleza en Fuenlabrada,Estetica,Fuenlabrada,"C. de Austria, 15, 28943 Fuenlabrada, Madrid, España",+34 622 53 85 53,https://niceartbelleza.com/,True,,,,propia,,True,,
,Peluqueria Nico Fuenlabrada,Estetica,Fuenlabrada,"28944 Fuenlabrada, Madrid, España",+34 911 48 05 01,,False,,,,ninguna,,True,,
,Q Nails,Estetica,Fuenlabrada,"C. de Portugal, 37, 28943 Fuenlabrada, Madrid, España",+34 607 02 99 99,,False,,,,ninguna,,True,,
,SALUD Y BELLEZA ATHENEA,Estetica,Fuenlabrada,"Calle Portugal 33 Cc Fuenlabrada 2, Local 305, 28943 Fuenlabrada, Madrid, España",+34 911 26 81 45,http://esteticaydiodoathenea.com/,True,,,,propia,,True,,
,Samsara Imagen y Bienestar,Estetica,Fuenlabrada,"C. del Higueral, 1, 28944 Fuenlabrada, Madrid, España",+34 622 06 08 39,,False,,,,ninguna,,True,,
,She Glows,Estetica,Fuenlabrada,"C. de Miguel de Unamuno, 7, 28944 Fuenlabrada, Madrid, España",+34 622 62 04 92,https://booksy.com/es-es/instant-experiences/widget/7993,True,,,,propia,,True,,
,Sizare,Estetica,Fuenlabrada,"C. de Huesca, 4, Local 12 Posterior, 28941 Fuenlabrada, Madrid, España",+34 912 08 96 95,http://centrobelleza.sizare.com/,True,,,,propia,,True,,
,Verónica Romero Nails&beauty,Estetica,Fuenlabrada,"Av. de los Pensamientos, 22, 28942 Fuenlabrada, Madrid, España",+34 689 14 78 31,http://www.veronicaromeronails.com/,True,,,,propia,,True,,
