place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,instagram,necesita_busqueda_manual,email,contactar_por_telefono,web_estado
ChIJ8baBtaGLQQ0ReMLUNjiOmUQ,Floristerías El Vivero,Floristeria,Fuenlabrada,"Av. de España, 2, 28941 Fuenlabrada, Madrid, España",+34 916 97 42 42,http://www.floristeriaselvivero.es/,True,4.3,120,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ8baBtaGLQQ0ReMLUNjiOmUQ.jpg,https://instagram.com/elviverofloristerias,False,j.alberto@floristeriaselvivero.es,False,propia
ChIJqfdYeBKLQQ0RGpAzXzKFCxk,Decano Floristas,Floristeria,Fuenlabrada,"C. de la Comunidad de Madrid, 1, 28944 Fuenlabrada, Madrid, España",+34 916 90 56 28,http://decanofloristas.com/,True,4.7,150,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJqfdYeBKLQQ0RGpAzXzKFCxk.jpg,,True,,True,propia
ChIJTUqjvw6LQQ0RjDBxiVMove8,Floristería Florviva,Floristeria,Fuenlabrada,"C. Luis Sauquillo, 65, 28944 Fuenlabrada, Madrid, España",+34 916 15 34 27,https://sites.google.com/view/floristeriaflorviva,False,4.3,75,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJTUqjvw6LQQ0RjDBxiVMove8.jpg,,True,florviva1@gmail.com,False,agregador
ChIJBQpb_bOLQQ0RCJSTjphsNnA,La Floristería de Fuenlabrada by Rosify Box,Floristeria,Fuenlabrada,"C/ de Málaga, 16, Bajo C, 28945 Fuenlabrada, Madrid, España",+34 611 64 34 00,https://rosifybox.com/,True,4.6,124,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJBQpb_bOLQQ0RCJSTjphsNnA.jpg,,True,,True,propia
ChIJn2OAa4-LQQ0RDUVo0xGfu1g,Floristería Flores,Floristeria,Fuenlabrada,"C. de Grecia, 11, Loc 2, 28943 Fuenlabrada, Madrid, España",+34 612 44 17 08,,False,5,27,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJn2OAa4-LQQ0RDUVo0xGfu1g.jpg,,True,,True,ninguna
ChIJk8zhJAGLQQ0RdnBbdKkLoPc,Floristería de Paula,Floristeria,Fuenlabrada,"C. del Plata, 10, 28944 Fuenlabrada, Madrid, España",+34 916 15 95 29,http://flores-plantas.com/empresas-flores-viveros-jardines-madrid/floristeria-de-paula/gmx-niv142-con4674.htm,True,4.5,50,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJk8zhJAGLQQ0RdnBbdKkLoPc.jpg,,True,florisdepaula@gmail.com,False,propia
ChIJ5-rjEqGLQQ0RO03tg1lcsZ4,Floristeria Rayma,Floristeria,Fuenlabrada,"C. de Castilla la Vieja, 5, 28941 Fuenlabrada, Madrid, España",+34 916 09 70 85,http://www.floristeriarayma.com/,True,4.7,52,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ5-rjEqGLQQ0RO03tg1lcsZ4.jpg,https://instagram.com/floristeriarayma,False,hola@floristeriarayma.com,False,propia
ChIJJbNPeASLQQ0RP-7plpz47zI,LA CASA DEL CAMPO,Floristeria,Fuenlabrada,"C. de la Fuente, 18, 28944 Fuenlabrada, Madrid, España",+34 916 06 04 12,,False,4.7,65,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJbNPeASLQQ0RP-7plpz47zI.jpg,,True,,True,ninguna
ChIJ75L6kKSLQQ0RfxCI5yvkXR8,Tu Floristería en Casa,Floristeria,Fuenlabrada,"C. Vitoria, 8, 28941 Fuenlabrada, Madrid, España",+34 657 05 41 21,http://www.tufloristeriaencasa.com/,True,3.9,31,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ75L6kKSLQQ0RfxCI5yvkXR8.jpg,,True,,True,propia
ChIJJ0-q44qLQQ0Rg66ylmqeA6Y,Poenía Arte Floral,Floristeria,Fuenlabrada,"C. León, 29, 28947 Fuenlabrada, Madrid, España",+34 916 15 81 99,http://www.poenia.com/,True,5,110,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJ0-q44qLQQ0Rg66ylmqeA6Y.jpg,,True,admin@poenia.com,False,propia
