place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJJTwxYWGLQQ0R2fUlj_a4aC4,La Casa Agency Fuenlabrada,Inmobiliaria,Fuenlabrada,"C. Luis Sauquillo, 42, 28944 Fuenlabrada, Madrid, España",+34 910 60 85 59,http://lacasa.net/,True,4.8,361,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJJTwxYWGLQQ0R2fUlj_a4aC4.jpg,propia,info@lacasa.net,False,no,web moderna
ChIJ1br5JHSLQQ0R7egrYrCHBCA,INMOBILIARIA EN FUENLABRADA - COMPRA - VENTA - ALQUILER - MB GESTION INMOBILIARIA,Inmobiliaria,Fuenlabrada,"C. de Portugal, 40, 28943 Fuenlabrada, Madrid, España",+34 916 07 61 01,http://www.mbgestioninmobiliaria.com/,True,4.8,212,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ1br5JHSLQQ0R7egrYrCHBCA.jpg,propia,,True,no,web moderna
ChIJiU9GdaGLQQ0RlxknZASFpW8,Novamadrid,Inmobiliaria,Fuenlabrada,"Av. de España, 12, 28941 Fuenlabrada, Madrid, España",+34 914 21 32 18,http://www.novamadrid.com/,True,4.8,140,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJiU9GdaGLQQ0RlxknZASFpW8.jpg,propia,info@novamadrid.com,False,no,web moderna
ChIJT3809gOLQQ0Rgb6Kyvv23J8,INMOBILIARIA GESTION 3 S.L,Inmobiliaria,Fuenlabrada,"C. Corralones, 2, Loc 1, 28945 Fuenlabrada, Madrid, España",+34 916 90 38 39,http://www.gestion3madrid.com/,True,4.2,252,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT3809gOLQQ0Rgb6Kyvv23J8.jpg,propia,info@gestion3madrid.com,False,no,web moderna
ChIJhwHBtXGLQQ0ROvsC7fqt9co,Tizona Inmobiliaria Fuenlabrada,Inmobiliaria,Fuenlabrada,"C. de las Islas Británicas, 6, 28942 Fuenlabrada, Madrid, España",+34 912 88 73 74,https://grupotizona.es/,True,4.8,113,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJhwHBtXGLQQ0ROvsC7fqt9co.jpg,propia,,True,no,web moderna
ChIJ58AAb_aLQQ0RD9ajfkxj5uw,Agencia inmobiliaria Hogares Fuenlabrada El Arroyo,Inmobiliaria,Fuenlabrada,"Pl. de Valdehondillo, 10, Loc c, 28944 Fuenlabrada, Madrid, España",+34 911 52 47 13,http://www.elarroyo.hogaresgroup.es/,True,4.5,129,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ58AAb_aLQQ0RD9ajfkxj5uw.jpg,franquicia,elarroyo@hogaresgroup.es,False,,
ChIJK71BBgmLQQ0R5Sv-OlnELuY,Primer Paso Inmobiliaria,Inmobiliaria,Fuenlabrada,"C/ de Móstoles, 24, 28945 Fuenlabrada, Madrid, España",+34 918 10 32 42,http://www.pisosfuenlabrada.es/,True,4.1,119,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJK71BBgmLQQ0R5Sv-OlnELuY.jpg,propia,,True,no,web moderna
ChIJddKNgK6LQQ0RAx8qEE8XyAY,Agencia inmobiliaria Hogares Fuenlabrada La Avanzada,Inmobiliaria,Fuenlabrada,"Av. de los Andes, 2, 28945 Fuenlabrada, Madrid, España",+34 911 38 51 38,http://www.laavanzada.hogaresgroup.es/,True,4.5,146,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJddKNgK6LQQ0RAx8qEE8XyAY.jpg,franquicia,laavanzada@hogaresgroup.es,False,,
ChIJ67KzBMKLQQ0RumoLvm3adc4,VidaNueva Inmobiliaria Fuenlabrada,Inmobiliaria,Fuenlabrada,"C/ de Extremadura, 16, 28944 Fuenlabrada, Madrid, España",+34 919 48 39 30,http://www.vidanuevainmobiliaria.com/,True,5,30,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ67KzBMKLQQ0RumoLvm3adc4.jpg,propia,hello@exdos.com,False,no,web moderna
ChIJGXOoF6KLQQ0R99qsACGMGUI,Del Sur Propiedades Inmobiliaria,Inmobiliaria,Fuenlabrada,"C. de Valladolid, 1, 28941 Fuenlabrada, Madrid, España",+34 916 90 10 06,https://www.delsurpropiedades.es/,True,4.9,142,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJGXOoF6KLQQ0R99qsACGMGUI.jpg,propia,,True,no,web moderna
ChIJ2yy4dp6LQQ0RSjKZW9WSfco,GilMerino Soluciones Inmobiliarias y Financieras Fuenlabrada,Inmobiliaria,Fuenlabrada,"Av. de las Naciones, 12, 28943 Fuenlabrada, Madrid, España",+34 919 39 72 39,http://www.gilmerino.es/,True,4.8,142,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ2yy4dp6LQQ0RSjKZW9WSfco.jpg,propia,solucionesfinancieras@gilmer.es,False,no,web moderna
ChIJl4KyAg6LQQ0R5V6GAl-_n6k,"Inmobiliaria "" Carvallo""",Inmobiliaria,Fuenlabrada,"C. de Holanda, 7, 28943 Fuenlabrada, Madrid, España",+34 916 07 40 72,http://www.inmobiliariacarvallo.com/,True,4.9,116,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJl4KyAg6LQQ0R5V6GAl-_n6k.jpg,propia,rosa@inmobiliariacarvallo.com,False,no,web moderna
ChIJexSj0TmLQQ0Rlrs8NCBITh4,RE/MAX Ambar Inmobiliaria Fuenlabrada,Inmobiliaria,Fuenlabrada,"C. de Castilla la Nueva, 28, 28941 Fuenlabrada, Madrid, España",+34 916 00 20 90,https://www.remax.es/buscador-de-oficinas/madrid/fuenlabrada/todos/remax-ambar/,True,4.8,27,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJexSj0TmLQQ0Rlrs8NCBITh4.jpg,franquicia,ambar@remax.es,False,,
ChIJK3B2xgiLQQ0RQC_74n6pJzY,"MONTEHOGAR GESTION INMOBILIARIA compra,venta,alquileres",Inmobiliaria,Fuenlabrada,"C. de Cruz de Luisa, 13, 28945 Fuenlabrada, Madrid, España",+34 916 06 20 22,https://www.montehogar.com/,True,4.9,49,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJK3B2xgiLQQ0RQC_74n6pJzY.jpg,propia,email@houzez.co,False,no,web moderna
ChIJHQMSYbWOQQ0RH38YSMKlMbA,Inmobiliaria Fuenlabrada - La Avanzada - Centro Redpiso,Inmobiliaria,Fuenlabrada,"C. de Méjico, 1, 28945 Fuenlabrada, Madrid, España",+34 910 23 84 03,https://www.redpiso.es/oficina/inmobiliaria-fuenlabrada-la-avanzada/venta,True,4.4,53,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJHQMSYbWOQQ0RH38YSMKlMbA.jpg,franquicia,,True,,
ChIJ0TjMbAeLQQ0RZU-LC76RGd8,Tecnocasa agencia inmobiliaria,Inmobiliaria,Fuenlabrada,"C. de Lima, 13, 28944 Fuenlabrada, Madrid, España",+34 912 39 57 63,https://fuenlabrada1.tecnocasa.es/fuenlabrada/fuenlabrada-parquedelosestados/,True,4.8,121,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0TjMbAeLQQ0RZU-LC76RGd8.jpg,franquicia,mdbf1@tecnocasa.es,False,,
ChIJL1ICxwiLQQ0RjTS7o3tGb2Q,Inmobiliaria Fuenlabrada Centro Redpiso,Inmobiliaria,Fuenlabrada,"C. Luis Sauquillo, 15, 28944 Fuenlabrada, Madrid, España",+34 911 10 44 42,https://www.redpiso.es/oficina/inmobiliaria-fuenlabrada-centro/venta,True,4.7,97,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJL1ICxwiLQQ0RjTS7o3tGb2Q.jpg,franquicia,,True,,
ChIJ_WB0Im6LQQ0RVkLTvIshGNI,SH Inmobiliaria,Inmobiliaria,Fuenlabrada,"C. de Grecia, 28, 28943 Fuenlabrada, Madrid, España",+34 918 27 52 15,https://shinmobiliaria.es/,True,5,11,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ_WB0Im6LQQ0RVkLTvIshGNI.jpg,propia,,True,no,web moderna
ChIJN3SQHqOLQQ0RqZoFC6yn4rM,GESTINMA ASESORES INMOBILIARIOS S.L.,Inmobiliaria,Fuenlabrada,"C. de Zamora, 22, 28941 Fuenlabrada, Madrid, España",+34 916 97 35 50,,False,4.4,36,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJN3SQHqOLQQ0RqZoFC6yn4rM.jpg,ninguna,,True,,
ChIJ-6YCNZGLQQ0RylLDytoAjo4,Tecnocasa Fuenlabrada El Naranjo - Inmobiliaria -,Inmobiliaria,Fuenlabrada,"Pl. de Pontevedra, 1, 28942 Fuenlabrada, Madrid, España",+34 916 07 11 58,https://fuenlabrada3.tecnocasa.es/fuenlabrada/elnaranjo/,True,4.3,59,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ-6YCNZGLQQ0RylLDytoAjo4.jpg,franquicia,mdbf6@tecnocasa.es,False,,
ChIJpfPpfA6LQQ0RXaaHVd0XUdw,Claudia te queremos,Inmobiliaria,Fuenlabrada,"C. de las Panaderas, 2, 28944 Fuenlabrada, Madrid, España",+34 916 06 96 59,,False,4.4,31,,ninguna,,True,,
ChIJQRqYARCLQQ0RLZmCzI_9C-s,Tecnocasa agencia inmobiliaria,Inmobiliaria,Fuenlabrada,"C. de la Telefónica, 12, local, 28944 Fuenlabrada, Madrid, España",+34 910 13 30 29,https://fuenlabrada11.tecnocasa.es/,True,4.7,69,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJQRqYARCLQQ0RLZmCzI_9C-s.jpg,franquicia,md579@tecnocasa.es,False,,
ChIJrQSTzXGLQQ0R9jOrEzNaUNM,Vivenda Grupo Inmobiliario,Inmobiliaria,Fuenlabrada,"C. de la Pl., 27, 28944 Fuenlabrada, Madrid, España",+34 914 98 92 07,http://www.grupovivenda.com/,True,4.8,92,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJrQSTzXGLQQ0R9jOrEzNaUNM.jpg,propia,fuenlabrada2@grupovivenda.com,False,no,web moderna
