place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Akrif Sweets,Panaderia,Fuenlabrada,"C. Ferrocarril, 7A, 28944 Fuenlabrada, Madrid, España",+34 919 12 19 37,,False,,,,ninguna,,True,,
,Anghela.cake,Panaderia,Fuenlabrada,"C. de Zamora, 8, Local 3 Frente al portal 6, 28941 Fuenlabrada, Madrid, España",+34 663 66 91 98,,False,,,,ninguna,,True,,
,Dulce-Pan,Panaderia,Fuenlabrada,"28943 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Empanadas y Productos Del Campo,Panaderia,Fuenlabrada,"C. Atienza, 2, 28946 Fuenlabrada, Madrid, España",+34 916 90 54 68,http://www.empanadasdelcampo.com/,True,,,,propia,,True,,
,Horno De Pan Fuenlabrada Pasteleria,Panaderia,Fuenlabrada,"C. de la Telefónica, 6, 28944 Fuenlabrada, Madrid, España",,https://www.hornodefuenlabrada.com/,True,,,,propia,,True,,
,Horno De Pan Hueveria,Panaderia,Fuenlabrada,"C. de Oviedo, 28942 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Horno de Pan Manolo,Panaderia,Fuenlabrada,"Av. de los Estados, 9, 28945 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Horno de pan Fuenlabradamiraflores,Panaderia,Fuenlabrada,"C. de Miraflores, 11, 28944 Fuenlabrada, Madrid, España",+34 620 55 71 67,http://www.hornofuenlabrada.es/,True,,,,propia,,True,,
,Horno de pan JO-VI,Panaderia,Fuenlabrada,"C. de Argentina, 10, 28944 Fuenlabrada, Madrid, España",+34 916 09 90 88,,False,,,,ninguna,,True,,
,Horno de pan JO-VI II,Panaderia,Fuenlabrada,"C. de Valencia, 3, 28945 Fuenlabrada, Madrid, España",+34 916 15 61 47,,False,,,,ninguna,,True,,
,Hornos Fuentes S L,Panaderia,Fuenlabrada,"Av. de la Encina, 23, 28942 Fuenlabrada, Madrid, España",+34 916 07 22 15,http://www.pasteleriasfuentes.es/,True,,,,propia,,True,,
,Ignacio Iglesias Calderón,Panaderia,Fuenlabrada,"C. de la Telefónica, 6, 28944 Fuenlabrada, Madrid, España",+34 916 97 64 53,,False,,,,ninguna,,True,,
,Imapan,Panaderia,Fuenlabrada,"Av. de la Hispanidad, 16, 28945 Fuenlabrada, Madrid, España",+34 916 97 34 65,https://www.imapanhornofuenlabrada.com/,True,,,,propia,,True,,
,LA PANOTECA,Panaderia,Fuenlabrada,"C. de Hungría, 3, 28943 Fuenlabrada, Madrid, España",+34 695 50 36 72,https://la-panoteca.eatbu.com/,True,,,,propia,,True,,
,Los Artesanos,Panaderia,Fuenlabrada,"C. de Zamora, 13, 28942 Fuenlabrada, Madrid, España",,https://www.los-artesanos.es/,True,,,,propia,,True,,
,Lunelle,Panaderia,Fuenlabrada,"C. de la Comunidad de Madrid, 7, 28944 Fuenlabrada, Madrid, España",+34 657 30 74 53,,False,,,,ninguna,,True,,
,Obrador De Goya Fuenlabrada II,Panaderia,Fuenlabrada,"C/ de Leganés, 31, 28945 Fuenlabrada, Madrid, España",+34 910 28 35 72,https://obradordegoya.com/,True,,,,propia,,True,,
,PANADERÍA PASTELERIA .ROYAL TANGER,Panaderia,Fuenlabrada,"C. Covadonga, 20, 28944 Fuenlabrada, Madrid, España",+34 623 37 78 25,,False,,,,ninguna,,True,,
,Pan Y Derivados,Panaderia,Fuenlabrada,"C. de Italia, 11, 28943 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,"Panaderia, Bollería y Pastelería Los Artesanos",Panaderia,Fuenlabrada,"PANADERIA LOS ARTESANOS, C. de Galicia, 35, 28942 Fuenlabrada, Madrid, España",,https://www.los-artesanos.es/,True,,,,propia,,True,,
,Panadería,Panaderia,Fuenlabrada,"C. de Miguel de Unamuno, 1, 28944 Fuenlabrada, Madrid, España",+30 698 472 0027,,False,,,,ninguna,,True,,
,Panadería Dulce Paladar Pastelería,Panaderia,Fuenlabrada,"Pl. de Valdeserrano, 10, 28944 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Panadería Migas,Panaderia,Fuenlabrada,"C. de los Ángeles, 2, 28944 Fuenlabrada, Madrid, España",+34 916 00 03 18,,False,,,,ninguna,,True,,
,Panadería Pasteleria La Espiga,Panaderia,Fuenlabrada,"C. Gabriela Mistral, 10, 28942 Fuenlabrada, Madrid, España",+34 685 64 46 59,,False,,,,ninguna,,True,,
,Panadería Pastelería Amsterdam,Panaderia,Fuenlabrada,"C. Luis Sauquillo, 81, 28944 Fuenlabrada, Madrid, España",+34 664 03 12 58,,False,,,,ninguna,,True,,
,Panadería Pastelería Caty,Panaderia,Fuenlabrada,"C/ de Leganés, 52, Loc 12, 28945 Fuenlabrada, Madrid, España",+34 911 44 95 13,,False,,,,ninguna,,True,,
,Panadería colombiana Fuenlabrada,Panaderia,Fuenlabrada,"Pl. de París, 4, 28943 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Pasteleria - Panaderia Capricho,Panaderia,Fuenlabrada,"C. de la Alegria, 28942 Fuenlabrada, Madrid, España",,,False,,,,ninguna,,True,,
,Pastelería Chilena Biglia,Panaderia,Fuenlabrada,"C. de Nazaret, 24 Bis, 28941 Fuenlabrada, Madrid, España",+34 912 68 05 21,http://www.pasteleriabiglia.com/,True,,,,propia,,True,,
,Pastelería Luna,Panaderia,Fuenlabrada,"C. de la Luna, 12, 28944 Fuenlabrada, Madrid, España",+34 624 35 16 31,,False,,,,ninguna,,True,,
,Pastelería Panadería Fuentes,Panaderia,Fuenlabrada,"Av. de Europa, 5, 28943 Fuenlabrada, Madrid, España",+34 916 06 93 05,,False,,,,ninguna,,True,,
,Pastelería Violeta,Panaderia,Fuenlabrada,"C. Matarrosa, 40, 28947 Fuenlabrada, Madrid, España",+34 911 73 22 28,,False,,,,ninguna,,True,,
,Pastelería eboli,Panaderia,Fuenlabrada,"C. de Portugal, 37, 28943 Fuenlabrada, Madrid, España",+34 677 41 41 92,http://pasteleriaeboli.es/,True,,,,propia,,True,,
,Pastelería y panadería J&P,Panaderia,Fuenlabrada,"C. de Suecia, 3, 28942 Fuenlabrada, Madrid, España",+34 631 07 20 03,,False,,,,ninguna,,True,,
,"Pastelería, panadería Éboli",Panaderia,Fuenlabrada,"C/ de Extremadura, 16, 28944 Fuenlabrada, Madrid, España",+34 677 41 41 92,http://www.pasteleriaeboli.es/,True,,,,propia,,True,,
,Productos Redondo,Panaderia,Fuenlabrada,"C. del Aconcagua, 2, 28944 Fuenlabrada, Madrid, España",+34 916 90 13 02,,False,,,,ninguna,,True,,
,RUBICÓN Obrador de Pan - Especialidad en Palmeras de Chocolate,Panaderia,Fuenlabrada,"C. de San José, 12, 28944 Fuenlabrada, Madrid, España",+34 916 08 59 19,,False,,,,ninguna,,True,,
,Restaurante pastelería Alianza de Oro,Panaderia,Fuenlabrada,"Lugar Urbanización Parque Miraflores, 4 Lugar, 28942 Fuenlabrada, Madrid, España",+34 916 45 04 87,http://www.alianzadeoro.com/,True,,,,propia,,True,,
,Sweetcakes & Bakery,Panaderia,Fuenlabrada,"C. del Laurel, 1, Loc 7, 28942 Fuenlabrada, Madrid, España",+34 646 77 85 44,https://www.sweetcakesbakery.es/,True,,,,propia,,True,,
,productos Latinos Rey,Panaderia,Fuenlabrada,"C. de Miguel de Unamuno, 22, 28944 Fuenlabrada, Madrid, España",+34 614 78 94 69,https://productos-latinos-rey-zzmi9ri.gamma.site/,True,,,,propia,,True,,
