place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJs6Th31qLQQ0RfkeYQfs-Sr4,Restaurante Atípico Fuenlabrada,Restaurante,Fuenlabrada,"C/ de Cuzco, 32, 28945 Fuenlabrada, Madrid, España",+34 815 01 15 92,https://atipico.metro.bar/?fbclid=PAdGRleAQuAdZleHRuA2FlbQIxMQBzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacP2In5yBm3li4y4B8S61hUivtuIAjhAPYKfNsgeBc94YuzOQQthpSbsQ0c8Q_aem_KpwHwWytyCmncf3kgn7-wA&utm_content=link_in_bio&utm_medium=social&utm_source=ig&lang=es,True,4.9,357,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJs6Th31qLQQ0RfkeYQfs-Sr4.jpg,propia,garceswilliam796@gmail.com,False,no,web moderna
ChIJZSI2kbKLQQ0RHPuoUO0K_Eg,Ponzano Restaurante Coctelería,Restaurante,Fuenlabrada,"C. de las Navas, 11, 13 13, 28944 Fuenlabrada, Madrid, España",+34 911 23 28 84,https://ponzanococteleria.es/es,True,4.7,1427,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJZSI2kbKLQQ0RHPuoUO0K_Eg.jpg,propia,,True,si,copyright 2014
ChIJ6e3rXMSLQQ0RSlKIYqtqsnY,Restaurante Time‘s,Restaurante,Fuenlabrada,"C/ de la Constitución, 69, 65, 28946 Fuenlabrada, Madrid, España",+34 910 26 94 12,https://smartmenu.agorapos.com/?id=88xz3whk#/,True,4.4,1510,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ6e3rXMSLQQ0RSlKIYqtqsnY.jpg,propia,,True,no,pagina minima (15 chars)
ChIJSx4ilQGLQQ0RLrP1U3Izxg0,Restaurante Asador Fuentelabrada,Restaurante,Fuenlabrada,"C. de Valparaíso, 10, 28944 Fuenlabrada, Madrid, España",+34 912 08 05 25,https://restaurantefuentelabrada.com/,True,4.3,1940,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJSx4ilQGLQQ0RLrP1U3Izxg0.jpg,propia,info@restaurantefuentelabrada.es,False,no,web moderna
ChIJrdO_Yg6LQQ0RPTRwVg5EUqw,Mesón Galicia,Restaurante,Fuenlabrada,"C/ de Extremadura, 4, 28944 Fuenlabrada, Madrid, España",+34 916 90 40 44,https://mesongaliciafuenlabrada.com/,True,4.2,2258,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJrdO_Yg6LQQ0RPTRwVg5EUqw.jpg,propia,info@mesongaliciafuenlabrada.com,False,no,web moderna
ChIJVaqEg4-LQQ0RMryM8djDpxc,La Breña Asador,Restaurante,Fuenlabrada,"C. Sauce, 2, 28942 Fuenlabrada, Madrid, España",+34 917 65 38 00,http://www.restaurantelabrena.com/,True,4.5,2690,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJVaqEg4-LQQ0RMryM8djDpxc.jpg,propia,info@restaurantelabrena.com,False,si,sin https
ChIJp2-2bhKLQQ0RHVqLaz1SX9M,Restaurante Bacanal Fuenlabrada,Restaurante,Fuenlabrada,"C/ de Leganés, 51, 28945 Fuenlabrada, Madrid, España",+34 919 99 41 40,https://www.bacanalmadrid.com/,True,4.6,4961,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJp2-2bhKLQQ0RHVqLaz1SX9M.jpg,propia,gerencia.grupobacanal@gmail.com,False,no,web moderna
ChIJFf2lGqSLQQ0RtsoUnSevQj8,Restaurante La Espuela de Fuenlabrada,Restaurante,Fuenlabrada,"C. Canario, 17, 28946 Fuenlabrada, Madrid, España",+34 657 97 18 34,,False,4.8,139,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJFf2lGqSLQQ0RtsoUnSevQj8.jpg,ninguna,,True,,
ChIJn7uGb0SLQQ0RMJ-w6CM_l0k,Nellas Fuenlabrada,Restaurante,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 31, 28944 Fuenlabrada, Madrid, España",+34 916 96 55 14,http://nellas.es/,True,4.3,167,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJn7uGb0SLQQ0RMJ-w6CM_l0k.jpg,propia,nellas.fuenla@outlook.es,False,si,sin https
ChIJ-_2v2waLQQ0RIKVMxBC8NqA,"Restaurante The Black co, desde 2012",Restaurante,Fuenlabrada,"C. de Castillejos, 24, LOCAL 3, 28944 Fuenlabrada, Madrid, España",+34 650 82 82 29,https://www.theblackco.es/,True,4.5,1590,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ-_2v2waLQQ0RIKVMxBC8NqA.jpg,propia,theblackfuenlabrada@gmail.com,False,no,web moderna
