place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,A.S.G. MOTOR,Taller,Fuenlabrada,"Av. de las Regiones, 2, Loc 27, 28941 Fuenlabrada, Madrid, España",+34 916 97 41 65,https://asgmotor.com.es/,True,,,,propia,,True,,
,Arc Taller Mecánico,Taller,Fuenlabrada,"C. de Castillejos, 24, 28944 Fuenlabrada, Madrid, España",+34 912 38 12 82,http://facebook.com/arcmotorsport.fuenla,False,,,,social,,True,,
,Autos Mobax (Taller Mecánico Chapa Pintura Coche Sustitución Gratis en Fuenlabrada),Taller,Fuenlabrada,"C. Sierra de los Filabres, 2, 28946 Fuenlabrada, Madrid, España",+34 916 90 88 84,https://www.tallermobaxfuenlabrada.es/,True,,,,propia,,True,,
,Autos Tecnomovil,Taller,Fuenlabrada,"C. Nicolás Copérnico, 28, 28946 Fuenlabrada, Madrid, España",+34 916 15 90 02,,False,,,,ninguna,,True,,
,Autotalleres Maype,Taller,Fuenlabrada,"C. de Valladolid, 1, 28941 Fuenlabrada, Madrid, España",+34 916 97 95 71,,False,,,,ninguna,,True,,
,Bosgasa,Taller,Fuenlabrada,"C. León, 14, 28947 Fuenlabrada, Madrid, España",+34 916 42 02 57,,False,,,,ninguna,,True,,
,Castrol Service Talleres Herbie Car,Taller,Fuenlabrada,"Cam. de la Casilla, 34, 28944 Fuenlabrada, Madrid, España",+34 910 56 91 72,https://talleresherbiecar.es/,True,,,,propia,,True,,
,Ceda Motor,Taller,Fuenlabrada,"C. Morezón, 2, 28944 Fuenlabrada, Madrid, España",+34 914 98 96 62,,False,,,,ninguna,,True,,
,HERMANOS CANDIL,Taller,Fuenlabrada,"Pol.Ind Los Gallegos, C. Canario, 5, 28946 Fuenlabrada, Madrid, España",+34 916 42 26 63,,False,,,,ninguna,,True,,
,MNPerformance,Taller,Fuenlabrada,"C. Everest, 15, 28944 Fuenlabrada, Madrid, España",+34 619 34 89 55,https://mnperformance.es/,True,,,,propia,,True,,
,Mg Atlas Fuenlabrada,Taller,Fuenlabrada,"C/ de la Constitución, 111, 28946 Fuenlabrada, Madrid, España",+34 657 38 76 37,,False,,,,ninguna,,True,,
,Midas FUENLABRADA/El Naranjo,Taller,Fuenlabrada,"C/ de Móstoles, 62, 28940 Fuenlabrada, Madrid, España",+34 916 00 06 17,https://www.midas.es/talleres-coche-moto-midas/comunidad-de-madrid/madrid/fuenlabrada/fuenlabradael-naranjo_3201,True,,,,propia,,True,,
,Miguelauto,Taller,Fuenlabrada,"C. de Venezuela, 4, 28945 Fuenlabrada, Madrid, España",+34 910 71 24 94,https://m.facebook.com/MiguelAutoFuenlabrada/,False,,,,social,,True,,
,NEUMÁTICOS JOFRAUTO,Taller,Fuenlabrada,"C/ de Málaga, 7, 28945 Fuenlabrada, Madrid, España",+34 916 06 78 25,,False,,,,ninguna,,True,,
,Oncar Talleres S.L.,Taller,Fuenlabrada,"C. de Italia, 35, 28943 Fuenlabrada, Madrid, España",+34 916 07 99 48,http://www.oncartalleres.es/,True,,,,propia,,True,,
,PIT STOP BOXES FUENLABRADA,Taller,Fuenlabrada,"C. Embalse, 12, 28942 Fuenlabrada, Madrid, España",+34 690 33 34 03,,False,,,,ninguna,,True,,
,TALLER MECÁNICO MIGUEL ANGEL FLORES,Taller,Fuenlabrada,"C. de Getafe, 21, 28944 Fuenlabrada, Madrid, España",+34 918 27 87 25,https://tallermflores.es/,True,,,,propia,,True,,
,TALLERES MB.MOTOR,Taller,Fuenlabrada,"C. Azor, 38a, 28946 Fuenlabrada, Madrid, España",+34 622 32 52 66,,False,,,,ninguna,,True,,
,TALLERES TRICAR S.L,Taller,Fuenlabrada,"C. de Venezuela, 3, 28945 Fuenlabrada, Madrid, España",+34 911 68 79 19,https://www.facebook.com/talleres.tricar,False,,,,social,,True,,
,Taller Civauto,Taller,Fuenlabrada,"C. Batalla de Brunete, 44, 28946 Fuenlabrada, Madrid, España",+34 916 15 08 82,https://www.reparacionescivauto.es/,True,,,,propia,,True,,
,Taller Mecánico en Fuenlabrada - Neumáticos - Motos - Coches - REPUESTOS REYES,Taller,Fuenlabrada,"C. Almendro, 2, 28942 Fuenlabrada, Madrid, España",+34 916 07 01 25,https://www.euromaster-neumaticos.es/centros/comunidad-de-madrid/fuenlabrada/euromaster-fuenlabrada-repuestos-reyes,True,,,,propia,,True,,
,Taller T.D. Fuenlabrada ( Madrid ),Taller,Fuenlabrada,"C. de Luis Vives, 6, 28946 Fuenlabrada, Madrid, España",+34 697 67 62 42,https://tallertdmadrid.es/,True,,,,propia,,True,,
,Taller mecánico Multiservice AM,Taller,Fuenlabrada,"C. de Huesca S/N, Fuenlabrada calle teruel 1, C. Teruel, 2, 28941 Fuenlabrada, Madrid, España",+34 916 15 82 08,https://talleram.es/#formulario-cita,True,,,,propia,,True,,
,"Talleres Ayamonte Taller Mecánico, Chapa y Pintura Fuenlabrada",Taller,Fuenlabrada,"C. Atienza, 16, 28946 Fuenlabrada, Madrid, España",+34 618 07 00 31,https://talleresayamonte.es/,True,,,,propia,,True,,
,Talleres Batista,Taller,Fuenlabrada,"C. del Paular, 3, 28944 Fuenlabrada, Madrid, España",+34 916 97 60 47,http://talleresbatista.com/,True,,,,propia,,True,,
,Talleres Castilmar,Taller,Fuenlabrada,"C. de Uruguay, 1, 28944 Fuenlabrada, Madrid, España",+34 916 15 63 39,http://www.tallerescastilmar.com/,True,,,,propia,,True,,
,Talleres Chacón Peña,Taller,Fuenlabrada,"C. de Andorra, S/N, 28943 Fuenlabrada, Madrid, España",+34 916 08 23 07,,False,,,,ninguna,,True,,
,Talleres Cobos,Taller,Fuenlabrada,"Calle del Monte Perdido, 6, 28944 Fuenlabrada, Madrid, España",+34 910 42 73 80,,False,,,,ninguna,,True,,
,Talleres Daleo,Taller,Fuenlabrada,"C. Tomás Edison, 1, 28946 Fuenlabrada, Madrid, España",+34 626 82 92 82,,False,,,,ninguna,,True,,
,Talleres Easytronic,Taller,Fuenlabrada,"Av. de los Andes, 12, 28945 Fuenlabrada, Madrid, España",+34 633 56 14 82,,False,,,,ninguna,,True,,
,Talleres Escobar e Hijos,Taller,Fuenlabrada,"C. de Sevilla, 23, 25/27 25 27, 28941 Fuenlabrada, Madrid, España",+34 606 53 74 78,http://www.tallerescobar.es/,True,,,,propia,,True,,
