place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,ANIMALES EXÓTICOS 24H - Veterinarios especialistas,Veterinario,Fuenlabrada,"C. de Cartagena, 160, Chamartín, 28002 Madrid, España",+34 912 20 72 27,http://www.animalesexoticos24h.es/,True,,,,propia,,True,,
,AniCura Estoril Hospital Veterinario | Urgencias 24h,Veterinario,Fuenlabrada,"Av. de Portugal, 4, 28931 Móstoles, Madrid, España",+34 916 46 66 25,https://www.anicura.es/clinicas/estoril-hospital-veterinario/,True,,,,propia,,True,,
,AniCura Vetsia Hospital,Veterinario,Fuenlabrada,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,AnimaLur Clínica Veterinaria,Veterinario,Fuenlabrada,"Calle Laurel,2 (Entrada Avda. Del Vivero), 28942 Fuenlabrada, Madrid, España",+34 914 98 50 01,http://www.animalur.es/,True,,,,propia,,True,,
,CLINICA VETERINARIA LORANCA,Veterinario,Fuenlabrada,"C. Concepción Arenal, 8, 28942 Fuenlabrada, Madrid, España",+34 916 04 70 80,http://www.clinica-veterinaria-loranca.com/,True,,,,propia,,True,,
,Canitas Veterinaria Getafe - CC Getafe 3,Veterinario,Fuenlabrada,"Centro Comercial Getafe 3, 28905 Getafe, Madrid, España",+34 918 31 00 10,https://canitasveterinaria.com/tus-clinicas/veterinario-getafe-cc-getafe-3/,True,,,,propia,,True,,
,Centro Veterinario Nuevo Versalles,Veterinario,Fuenlabrada,"C. Gabriela Mistral, 8, 28942 Fuenlabrada, Madrid, España",+34 914 86 85 63,http://www.veterinarionuevoversalles.com/,True,,,,propia,,True,,
,Centro Veterinario la Serna,Veterinario,Fuenlabrada,"C. de Castilla la Nueva, 43, 28941 Fuenlabrada, Madrid, España",+34 916 06 80 96,https://veterinariolaserna.com/,True,,,,propia,,True,,
,Clinica Veterinaria Perseo Alcorcón,Veterinario,Fuenlabrada,"C. Oslo, 10, 28922 Alcorcón, Madrid, España",+34 919 20 86 64,https://clinicaveterinariaperseo.com/,True,,,,propia,,True,,
,Clínica Veterinaria Alameda,Veterinario,Fuenlabrada,"Urb. Arroyoculebro, C. del Alcalde Pedro González González, 11, locales 1-2, 28914 Madrid, España",+34 916 48 50 56,https://www.clinicaveterinarialameda.com/,True,,,,propia,,True,,
,Clínica Veterinaria Azahar,Veterinario,Fuenlabrada,"C. Río Duero, s/n, 28923 Alcorcón, Madrid, España",+34 912 26 01 06,https://www.clinicaveterinaria-azahar.es/,True,,,,propia,,True,,
,Clínica Veterinaria Europa,Veterinario,Fuenlabrada,"Av. de Europa, 10, Pta 12, 28942 Fuenlabrada, Madrid, España",+34 916 08 42 05,https://clinicaeuropafuenlabrada.es/,True,,,,propia,,True,,
,Clínica Veterinaria Exóticos,Veterinario,Fuenlabrada,"Calle Húmera 16 posterior Acceso por calle Villalba y, C/ de Málaga, 28945 Fuenlabrada, Madrid, España",+34 916 90 07 57,http://www.clinicaexoticos.com/,True,,,,propia,,True,,
,Clínica Veterinaria Humanes,Veterinario,Fuenlabrada,"C. de Santiago Ramón y Cajal, 9, 28970 Humanes de Madrid, Madrid, España",+34 916 04 89 48,http://www.clinicaveterinariahumanes.com/,True,,,,propia,,True,,
,Clínica Veterinaria LA AVANZADA,Veterinario,Fuenlabrada,"Av. de la Hispanidad, 12, 28945 Fuenlabrada, Madrid, España",+34 911 43 13 76,http://www.veterinarialaavanzada.es/,True,,,,propia,,True,,
,Clínica Veterinaria Malina,Veterinario,Fuenlabrada,"Av. de Fuenlabrada, 99, 28912 Leganés, Madrid, España",+34 916 93 29 55,,False,,,,ninguna,,True,,
,Clínica Veterinaria Panda,Veterinario,Fuenlabrada,"C. de Irlanda, 2, 28942 Fuenlabrada, Madrid, España",+34 916 07 48 11,http://clinicasveterinariaspanda.com/,True,,,,propia,,True,,
,Clínica Veterinaria Parque de los Estados,Veterinario,Fuenlabrada,"C. de Venezuela, 3, 28945 Fuenlabrada, Madrid, España",+34 916 97 15 71,https://www.cvparquedelosestados.es/,True,,,,propia,,True,,
,Clínica Veterinaria Vereda de los Estudiantes,Veterinario,Fuenlabrada,"C. Cuenca, 9, 28914 Leganés, Madrid, España",+34 912 64 03 80,https://vereda.mivet.com/,True,,,,propia,,True,,
,Clínica veterinaria San Esteban,Veterinario,Fuenlabrada,"C. Torrejón, 4, 28944 Fuenlabrada, Madrid, España",+34 916 97 08 10,https://www.adopciondeperros.info/esterilizacion-perros-y-gatos-madrid/,True,,,,propia,,True,,
,Clínica veterinaria Vet’s Friends,Veterinario,Fuenlabrada,"Av. de Francisco Javier Sauquillo, 34, Loc 2, 28944 Fuenlabrada, Madrid, España",+34 919 12 27 70,,False,,,,ninguna,,True,,
,FARMAPETS - MEDICAMENTOS VETERINARIOS,Veterinario,Fuenlabrada,"Paseo del Pireo, 4, 28943 Fuenlabrada, Madrid, España",+34 604 87 78 28,,False,,,,ninguna,,True,,
,GWANA VET Veterinario Exóticos,Veterinario,Fuenlabrada,"C. de Gutierre de Cetina, 19, Cdad. Lineal, 28017 Madrid, España",+34 917 12 87 29,https://veterinarioexoticosmadrid.com/,True,,,,propia,,True,,
,Habana Vets Fuenlabrada,Veterinario,Fuenlabrada,"C. de Galicia, 38, 28942 Fuenlabrada, Madrid, España",+34 669 51 58 01,https://habanavets.com/,True,,,,propia,,True,,
,Medivet Hospital Veterinario 24 horas Animales Exóticos Los Sauces Chamberí,Veterinario,Fuenlabrada,"C. de Sagunto, 63, Chamberí, 28010 Madrid, España",+34 914 45 43 05,https://www.medivetgroup.com/es-es/veterinario-urgencia-24-horas/24-horas-los-sauces-chamberi/,True,,,,propia,,True,,
,Medivet Hospital Veterinario 24 horas Delicias,Veterinario,Fuenlabrada,"Calle de las Delicias, 35, Arganzuela, 28045 Madrid, España",+34 915 27 58 28,https://www.medivetgroup.com/es-es/veterinario-urgencia-24-horas/24-horas-delicias/,True,,,,propia,,True,,
,Neko Clínica Felina,Veterinario,Fuenlabrada,"C. Los Robles, 7, 28922 Alcorcón, Madrid, España",+34 912 36 80 23,http://www.nekovet.com/,True,,,,propia,,True,,
,Puppy Guau,Veterinario,Fuenlabrada,"C. de Portugal, 33, 28943 Fuenlabrada, Madrid, España",+34 916 08 54 31,,False,,,,ninguna,,True,,
,Urgencias Veterinarias Reina Cristina,Veterinario,Fuenlabrada,"Paseo de la R. Cristina, 11, Retiro, 28014 Madrid, España",+34 915 01 96 63,http://www.urgenciasveterinariasmadrid.com/,True,,,,propia,,True,,
,VETCON Veterinario Animales Exóticos,Veterinario,Fuenlabrada,"Calle de Colomer, 18, Salamanca, 28028 Madrid, España",+34 911 19 31 03,https://www.vetcon.es/,True,,,,propia,,True,,
,Veterinario Fuenlabrada - El Naranjo,Veterinario,Fuenlabrada,"C. de Ribadeo, 23, 28942 Fuenlabrada, Madrid, España",+34 916 08 15 77,https://clinicaveterinariafuenlabrada.com/,True,,,,propia,,True,,
,Veterinario en Fuenlabrada | Clínica Vivero,Veterinario,Fuenlabrada,"av.vivero, C. de las Gardenias, esquina, 28942 Fuenlabrada, Madrid, España",+34 916 00 10 40,https://clinicaveterinariavivero.es/,True,,,,propia,,True,,
