place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJDRgb5TUhQg0RPvmhBxn3Hns,Abogado Getafe José Miguel Calvo Piñar,Abogado,Getafe,"C. Madrid, 85, 4ª Planta, 28902 Getafe, Madrid, España",+34 657 01 95 15,https://cpabogadosyasociados.com/,True,4.9,258,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJDRgb5TUhQg0RPvmhBxn3Hns.jpg,propia,info@cpabogadosyasociados.com,False,no,web moderna
ChIJUeVDQdQhQg0RQ3zYt19CGAw,Ius & Law,Abogado,Getafe,"C. Escaño, 10, 28901 Getafe, Madrid, España",+34 916 98 75 87,https://www.asesoria-iuslaw.com/,True,4.7,23,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJUeVDQdQhQg0RQ3zYt19CGAw.jpg,propia,info@asesoria-iuslaw.com,False,no,copyright 2019
ChIJE8FwPMshQg0RLgiUxP9GtbM,ABOGADOS GETAFE POUSO FERNANDEZ Y ASOCIADOS BY PMF,Abogado,Getafe,"Pouso Fernandez, C. Pizarro, 7, Loc 1, 28902 Getafe, Madrid, España",+34 742 03 69 95,https://www.pmfglobalbusiness.com/,True,5,3,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJE8FwPMshQg0RLgiUxP9GtbM.jpg,propia,,True,no,pagina minima (16 chars)
ChIJO6LSPN0hQg0RmmciBRIkd-o,Vilches Abogados Getafe,Abogado,Getafe,"C. Madrid, 98, Esc. Der. 1º Oficina 3, 28902 Getafe, Madrid, España",+34 915 75 90 82,https://blog.hernandez-vilches.com/abogados-getafe/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=getafe,True,4.5,51,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJO6LSPN0hQg0RmmciBRIkd-o.jpg,propia,despacho@vilchesabogados.com,False,no,web moderna
ChIJfUpD0OwZPGIRVsc2GStgd7w,Abogada de Extranjería Anny Barba,Abogado,Getafe,"C. Gral. Pingarrón, 3, 28901 Getafe, Madrid, España",+34 911 40 99 30,https://www.annyextranjeria.es/,True,5,184,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJfUpD0OwZPGIRVsc2GStgd7w.jpg,propia,,True,si,en construccion; pagina minima (63 chars)
ChIJu37h8juHtiYR7mDTyIAKmjI,CP ABOGADOS & ASOCIADOS,Abogado,Getafe,"C. Madrid, 85, 4ºplanta, 28902 Getafe, Madrid, España",+34 657 01 95 15,https://cpabogadosyasociados.com/,True,5,18,,propia,info@cpabogadosyasociados.com,False,no,web moderna
ChIJs4QrNJEgQg0RxnIpa2XVXFI,Abr Abogados,Abogado,Getafe,"C. de la Magdalena, 32, 28901 Getafe, Madrid, España",+34 916 01 73 76,https://abrabogados.com/,True,4.9,45,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJs4QrNJEgQg0RxnIpa2XVXFI.jpg,propia,rosamariaalvarezdeluna@abrabogados.com,False,no,web moderna
ChIJmT-kHuMhQg0RY3VElekC3Sw,Bufete Abogados Divorcio – Nuestro Divorcio Getafe,Abogado,Getafe,"C. Leganés, 37, 28904 Getafe, Madrid, España",+34 663 97 18 30,https://nuestrodivorcio.com/getafe,True,5,10,,propia,,True,?,HTTP 403
ChIJ2-g2G5cgQg0R-HC125isiFY,Abogado Jesús Gallego Rol,Abogado,Getafe,"C. Sevilla, 2, 28901 Getafe, Madrid, España",+34 916 96 93 73,http://www.jesusgallegorolabogados.es/,True,4.2,19,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ2-g2G5cgQg0R-HC125isiFY.jpg,propia,,True,si,sin https; pagina minima (118 chars)
ChIJPQsqCbohQg0R03OQfW4d3uE,"Abogados Jeypa Gestión - Jurídico, S.L.",Abogado,Getafe,"C. Escaño, 24, 28901 Getafe, Madrid, España",+34 652 72 24 37,https://www.abogadosdegetafe.es/,True,5,29,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJPQsqCbohQg0R03OQfW4d3uE.jpg,propia,,True,no,web moderna
ChIJBVif7B8hQg0RxP2PFRN_6iY,MEDINA ABOGADOS,Abogado,Getafe,"C. Ferrocarril, 14, 28904 Getafe, Madrid, España",+34 667 62 66 89,,False,4.5,35,,ninguna,,True,,
