place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTOESCUELA CALLE MADRID,Autoescuela,Getafe,"C. Madrid, 118, 28903 Getafe, Madrid, España",+34 912 49 69 69,http://www.aecallemadrid.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN JOSE,Autoescuela,Getafe,"C. Rayo, 49, 28904 Getafe, Madrid, España",+34 916 95 48 79,https://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN JOSE GETAFE CENTRAL,Autoescuela,Getafe,"C. San José de Calasanz, 18, 28902 Getafe, Madrid, España",+34 916 95 20 19,http://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN JOSE GETAFE UNIVERSIDAD,Autoescuela,Getafe,"C. Violeta Parra, 1, 28903 Getafe, Madrid, España",+34 916 84 02 18,https://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,Autoescuela,Autoescuela,Getafe,"Calle Padre, Calle Felipe Estevez, 18, 28901 Getafe, Madrid, España",+34 916 83 30 12,https://autoescuelagandia.es/autoescuela-getafe/,True,,,,propia,,True,,
,Autoescuela Almendrales Getafe,Autoescuela,Getafe,"C. Guanabacoa, 11, 28907 Getafe, Madrid, España",+34 910 85 35 19,https://almendrales.es/,True,,,,propia,,True,,
,Autoescuela Campus Getafe,Autoescuela,Getafe,"C. Azahar, 2, 28903 Getafe, Madrid, España",+34 630 54 86 39,http://www.autoescuelacampusgetafe.com/,True,,,,propia,,True,,
,Autoescuela LUCEX - Getafe,Autoescuela,Getafe,"P.º de La Estación, 14, 28902 Getafe, Madrid, España",+34 635 76 33 24,http://www.autoescuelalucex.com/,True,,,,propia,,True,,
,Autoescuela Lara Getafe,Autoescuela,Getafe,"C. Núñez de Balboa, 45, 28902 Getafe, Madrid, España",+34 910 18 83 43,http://www.autoescuelalara.com/centros/getafe,True,,,,propia,,True,,
,Autoescuela Montero Espinosa,Autoescuela,Getafe,"C. Arquitectos, 8, 28903 Getafe, Madrid, España",+34 916 83 78 29,http://autoescuelamonteroespinosa.com/autoescuela-en-getafe,True,,,,propia,,True,,
,Autoescuela Nayer El Bercial,Autoescuela,Getafe,"C. Austria, 11, 28907 Getafe, Madrid, España",+34 699 21 58 62,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,Autoescuela Nueva Naru Getafe,Autoescuela,Getafe,"C. Cataluña, 1, 28903 Getafe, Madrid, España",+34 695 80 90 30,https://nuevanaruautoescuelas.es/,True,,,,propia,,True,,
,Autoescuela Paez,Autoescuela,Getafe,"Av. de las Ciudades, 54, 28903 Getafe, Madrid, España",+34 916 95 72 96,http://www.autoescuelapaez.com/,True,,,,propia,,True,,
,Autoescuela REPRISS,Autoescuela,Getafe,"C. Alicante, 18, 28903 Getafe, Madrid, España",+34 916 96 78 96,https://autoescuelarepriss.com/,True,,,,propia,,True,,
,Autoescuela RosAngel,Autoescuela,Getafe,"C. Manzana, 14, 28901 Getafe, Madrid, España",+34 640 27 40 38,,False,,,,ninguna,,True,,
,Autoescuela San José Getafe Sección 6,Autoescuela,Getafe,"Av. Don Juan de Borbón, S/N, 28903 Getafe, Madrid, España",+34 916 83 28 27,http://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,Autoescuelas Abril - Autoescuela Getafe,Autoescuela,Getafe,"Av. Juan de la Cierva, 34, 28901 Getafe, Madrid, España",+34 916 96 76 36,http://www.autoeabril.com/autoescuela-getafe-Madrid.aspx,True,,,,propia,,True,,
,Autoescuelas Abril - Autoescuela Getafe Centro,Autoescuela,Getafe,"C. de la Magdalena, 17, 28901 Getafe, Madrid, España",+34 916 81 14 99,https://www.autoeabril.com/autoescuela-getafe-centro-Madrid.aspx,True,,,,propia,,True,,
,Autoescuelas Abril - Autoescuela Getafe Sector III,Autoescuela,Getafe,"C. los Sauces, 28, 28905 Getafe, Madrid, España",+34 916 82 57 46,http://www.autoeabril.com/autoescuela-getafe-sector-3-Madrid.aspx,True,,,,propia,,True,,
,Getafe | GALA Autoescuela,Autoescuela,Getafe,"C. Polvoranca, 5, 28901 Getafe, Madrid, España",+34 637 77 68 47,https://autoescuelagala.com/autoescuela-getafe/,True,,,,propia,,True,,
,Rosangel Autoescuela,Autoescuela,Getafe,"C. Titulcia, 23, 28903 Getafe, Madrid, España",+34 916 82 48 51,,False,,,,ninguna,,True,,
,San José,Autoescuela,Getafe,"C. Leganés, 67, 28904 Getafe, Madrid, España",+34 916 83 93 93,http://www.autoescuelasanjose.com/,True,,,,propia,,True,,
