place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,80’s coffee Getafe,Cafeteria,Getafe,"C. Madrid, 28902 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Al Grano Specialty Coffee,Cafeteria,Getafe,"C. San Sebastián, 7, 28903 Getafe, Madrid, España",,https://algranogetafe.es/,True,,,,propia,,True,,
,Bar Cafetería Guerrero,Cafeteria,Getafe,"C. Doña Romera, 8, 28901 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Cafetería Valle de Sula,Cafeteria,Getafe,"C. Alonso de Mendoza, 20, 28904 Getafe, Madrid, España",+34 603 36 91 28,,False,,,,ninguna,,True,,
,Bar California,Cafeteria,Getafe,"C. Serranillos, 38, 28902 Getafe, Madrid, España",+34 625 54 11 53,https://www.instagram.com/barcaliforniag/,False,,,,social,,True,,
,Bar Gallardo,Cafeteria,Getafe,"C. Pizarro, 34, 28902 Getafe, Madrid, España",+34 696 35 30 61,,False,,,,ninguna,,True,,
,Bar restaurante Petit cactus,Cafeteria,Getafe,"C. Sánchez Morate, 10, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Baviera,Cafeteria,Getafe,"C. Garcilaso, 65, 28904 Getafe, Madrid, España",+34 916 83 63 89,,False,,,,ninguna,,True,,
,Bendita Esquinita,Cafeteria,Getafe,"Av. Aragón, 2, 28903 Getafe, Madrid, España",+34 642 94 78 39,,False,,,,ninguna,,True,,
,CAFETERÍA NUEVO CABAÑAS,Cafeteria,Getafe,"Av. Buenos Aires, 19, 28907 Getafe, Madrid, España",+34 916 82 01 27,https://www.barcabanasgetafe.com/,True,,,,propia,,True,,
,Cafeteria,Cafeteria,Getafe,"C. Madrid, S/N, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Dusseldorf,Cafeteria,Getafe,"Av. España, 47, 28903 Getafe, Madrid, España",+34 916 95 36 72,,False,,,,ninguna,,True,,
,Cafeteria El Parque,Cafeteria,Getafe,"C. Garcilaso, 54, 28904 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Pereira,Cafeteria,Getafe,"Pl. Gral. Palacio, 3, 28901 Getafe, Madrid, España",+34 916 82 55 48,,False,,,,ninguna,,True,,
,Cafeteria panaderia Sofia,Cafeteria,Getafe,"Calle Felipe Estevez, 4, 28901 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería - The Chatter Cafe,Cafeteria,Getafe,"Av. Río Guadalquivir, 28906 Getafe, Madrid, España",,https://thechattercafe.com/,True,,,,propia,,True,,
,Cafetería Alberto,Cafeteria,Getafe,"C. Pizarro, 8, 28902 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Alhamar,Cafeteria,Getafe,"Av. España, 30, 28903 Getafe, Madrid, España",+34 699 52 84 17,,False,,,,ninguna,,True,,
,Cafetería Bar La Parra,Cafeteria,Getafe,"Av. de las Ciudades, 72, 28903 Getafe, Madrid, España",+34 911 15 68 87,,False,,,,ninguna,,True,,
,Cafetería Cervecería El Trébol,Cafeteria,Getafe,"C. de los Depósitos, 1, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Cibelina,Cafeteria,Getafe,"C. Villaverde, 1, 28902 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería El Euro,Cafeteria,Getafe,"C. Cataluña, 22, 28903 Getafe, Madrid, España",+34 916 95 72 41,,False,,,,ninguna,,True,,
