place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,instagram,necesita_busqueda_manual,email,contactar_por_telefono,web_estado
ChIJV7GTT5UgQg0Rp9HiwuEE9do,Floristería Eterna Primavera,Floristeria,Getafe,"Av. de los Ángeles, 3, 28903 Getafe, Madrid, España",+34 916 95 62 71,https://eternaprimaveratichigifts.com/,True,4.8,253,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJV7GTT5UgQg0Rp9HiwuEE9do.jpg,,True,,True,propia
ChIJh9WV2mEhQg0Rb2Uyer9qNiU,MARSILEA FLORISTAS,Floristeria,Getafe,"C. Madrid, 36, local izquierdo, 28901 Getafe, Madrid, España",+34 912 99 81 01,,False,4.7,170,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJh9WV2mEhQg0Rb2Uyer9qNiU.jpg,,True,,True,ninguna
ChIJBf3ly70gQg0RfnGYsyVyFMQ,Floristería Panés,Floristeria,Getafe,"C. San José de Calasanz, 41, 28902 Getafe, Madrid, España",+34 916 81 50 57,,False,4.5,77,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJBf3ly70gQg0RfnGYsyVyFMQ.jpg,,True,,True,ninguna
ChIJWQg8D-IhQg0RbluOyvthtlE,Floristeria La Buganvilla de Lupi,Floristeria,Getafe,"Plaza Obispo Felipe Scio Riaza, 3, 28901 Getafe, Madrid, España",+34 910 82 72 51,,False,4.8,36,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJWQg8D-IhQg0RbluOyvthtlE.jpg,,True,,True,ninguna
ChIJu6sUjzQhQg0RD0f5BFZGJAE,QUILES Floristería,Floristeria,Getafe,"C. Leganés, 55, 28904 Getafe, Madrid, España",+34 913 11 24 44,https://www.grupoquiles.es/,True,4.7,100,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJu6sUjzQhQg0RD0f5BFZGJAE.jpg,https://instagram.com/quilesfloristeria,False,info@grupoquiles.es,False,propia
ChIJkRyd4n8hQg0Rt-13uGK0Coo,DOMINGA FLORES,Floristeria,Getafe,"C. Valdemorillo, 6, 28901 Getafe, Madrid, España",+34 609 42 29 03,https://domingaflores.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,True,5,19,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJkRyd4n8hQg0Rt-13uGK0Coo.jpg,,True,,True,propia
ChIJpR6AW8IgQg0RiGbBDdBYRoA,Tu Floristería en Casa,Floristeria,Getafe,"C. Murcia, 20, 28903 Getafe, Madrid, España",+34 657 05 41 21,http://www.tufloristeriaencasa.com/,True,4.2,72,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJpR6AW8IgQg0RiGbBDdBYRoA.jpg,,True,,True,propia
ChIJic1m05AgQg0RBKE8nsH1QbM,Flor tienda,Floristeria,Getafe,"C. Jardines, 2, 28901 Getafe, Madrid, España",+34 910 33 87 77,,False,4.7,29,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJic1m05AgQg0RBKE8nsH1QbM.jpg,,True,,True,ninguna
ChIJ779cTSYhQg0RBjTQ3gST450,Floréate VENTA ONLINE,Floristeria,Getafe,"C. Progreso, 28906 Getafe, Madrid, España",+34 633 75 76 67,,False,4.7,28,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ779cTSYhQg0RBjTQ3gST450.jpg,,True,,True,ninguna
ChIJG9yaKSUhQg0RX_Ewj4S6mww,Pepe Camacho Floristeria | Taller y Proyectos Florales,Floristeria,Getafe,"C. Concha Espina, 6, 28903 Getafe, Madrid, España",+34 606 64 53 49,https://linktr.ee/pepecamacho,False,5,53,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJG9yaKSUhQg0RX_Ewj4S6mww.jpg,https://instagram.com/pepe_camacho_florista,False,,True,social
ChIJFRRtrH-KQQ0R3J-vDOHneyM,Floristeria Capricho,Floristeria,Getafe,"Av. de las Arcas del Agua, 6, 28905 Getafe, Madrid, España",+34 916 83 96 68,,False,4.8,85,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJFRRtrH-KQQ0R3J-vDOHneyM.jpg,,True,,True,ninguna
ChIJwwq6p6whQg0RvRewfSvJnb8,Träume_ Luxury 24h | Regalos Personalizados y Camisetas Express Getafe,Floristeria,Getafe,"C. San José de Calasanz, 24, 28902 Getafe, Madrid, España",+34 642 81 59 66,,False,4.7,267,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJwwq6p6whQg0RvRewfSvJnb8.jpg,,True,,True,ninguna
ChIJj2sXDCwnQg0RDbsKvwodFko,Floristería Flor África,Floristeria,Getafe,"Calle de la Resina, 53, Nave B, Villaverde, 28021 Madrid, España",+34 900 907 684,https://www.florafrica.com/,True,4.2,31,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJj2sXDCwnQg0RDbsKvwodFko.jpg,https://instagram.com/florafrica_floristeria,False,info@florafrica.com,False,propia
