place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alimentación Panadería,Panaderia,Getafe,"Av. España, 28, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria panaderia Sofia,Panaderia,Getafe,"Calle Felipe Estevez, 4, 28901 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Chema and Cheese| Tartas de queso artesanales 🧀,Panaderia,Getafe,"C. Arboleda, 8, 28901 Getafe, Madrid, España",+34 614 80 42 79,http://www.chemacheese.com/,True,,,,propia,,True,,
,Chocolate con Pimienta,Panaderia,Getafe,"C. Cádiz, 6, 28903 Getafe, Madrid, España",+34 667 35 16 04,,False,,,,ninguna,,True,,
,Confiteria El Valle,Panaderia,Getafe,"C. Madrid, 19, 28901 Getafe, Madrid, España",+34 914 34 72 10,,False,,,,ninguna,,True,,
,Dulce & Salado,Panaderia,Getafe,"C. Alcalde Jesús Prieto, 3, 28907 Getafe, Madrid, España",+34 617 07 50 36,,False,,,,ninguna,,True,,
,El Obrador De Goya Getafe Norte,Panaderia,Getafe,"C. Concha Espina, 3, 28903 Getafe, Madrid, España",+34 691 35 52 77,https://obradordegoya.com/,True,,,,propia,,True,,
,El Obrador De Goya Getafe Paseo de la Estación,Panaderia,Getafe,"P.º de La Estación, 23, 28902 Getafe, Madrid, España",+34 651 61 31 06,https://obradordegoya.com/,True,,,,propia,,True,,
,Era Productos Artesanos,Panaderia,Getafe,"C. Polvoranca, 8, 28901 Getafe, Madrid, España",+34 639 68 73 77,,False,,,,ninguna,,True,,
,Forno de Lugo,Panaderia,Getafe,"C. Toledo, 3, 28901 Getafe, Madrid, España",+34 918 17 53 93,http://www.fornodelugo.com/,True,,,,propia,,True,,
,Fruteria Merche Panaderia,Panaderia,Getafe,"C. Núñez de Balboa, 45, 28902 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,LA YAYA | PASTELERÍA EN GETAFE,Panaderia,Getafe,"C. Madrid, 75, 28902 Getafe, Madrid, España",+34 640 80 23 98,,False,,,,ninguna,,True,,
,La Exitosa panaderia y cafeteria SL,Panaderia,Getafe,"C. Pizarro, 15, B, 28902 Getafe, Madrid, España",+34 641 15 33 57,http://www.laexitosapanaderiaycafeteria.es/,True,,,,propia,,True,,
,Las Delicias de Rosse,Panaderia,Getafe,"C. Pizarro, 1, 28902 Getafe, Madrid, España",+34 910 74 44 72,,False,,,,ninguna,,True,,
,Le Croissant,Panaderia,Getafe,"Cl. Andalucia, 12, 28903 Getafe, Madrid, España",+34 695 36 02 40,,False,,,,ninguna,,True,,
,Levaduramadre,Panaderia,Getafe,"C. Madrid, 98, 28902 Getafe, Madrid, España",+34 919 51 40 18,https://www.levaduramadre.es/,True,,,,propia,,True,,
,Los Hornitos Panadería,Panaderia,Getafe,"Cl. Andalucia, 23, 28903 Getafe, Madrid, España",+34 912 28 50 77,,False,,,,ninguna,,True,,
,Mastranto - Pastelería & Café,Panaderia,Getafe,"C. de los Depósitos, 2, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Moon Cookies,Panaderia,Getafe,"C. Dulce Chacón, 5, 28904 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,O´Dreams Bubble Tea & Coffee Getafe,Panaderia,Getafe,"C. Leganés, 2, 28901 Getafe, Madrid, España",+34 611 72 48 45,https://dreamsdonuts.com/,True,,,,propia,,True,,
,PANADERÍA Y PASTELERÍA HALAL حلال LA PAZ-ASALAM,Panaderia,Getafe,"Pl. España, 3, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Panadería Casual,Panaderia,Getafe,"C. San Vicente, 38, 28902 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
