place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJSSmzKZYgQg0RxP6-I5vFx9w,Natalia Gadeo Estilistas,Peluqueria,Getafe,"C. San José de Calasanz, 6, 28902 Getafe, Madrid, España",+34 918 31 01 46,https://nataliagadeoestilistas.com/,True,4.7,308,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJSSmzKZYgQg0RxP6-I5vFx9w.jpg,,True,propia
ChIJp0_uqe0hQg0RT7hYJV94vmA,Peluquería en Getafe ️ | LO MAS IN,Peluqueria,Getafe,"C. de la Magdalena, 13, 28901 Getafe, Madrid, España",+34 916 84 24 03,https://lomasinlamagiacomienzaaqui.com/,True,4.7,462,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJp0_uqe0hQg0RT7hYJV94vmA.jpg,,True,propia
ChIJsYADjJkgQg0Rxlyi2jRKN6g,Gaudencio Peluquerías - Estilistas - Alisados - Rizos - Afeitados,Peluqueria,Getafe,"C. Villaviciosa, S/N, 28901 Getafe, Madrid, España",+34 916 81 00 68,http://gaudenciopeluquerias.es/,True,4.9,340,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJsYADjJkgQg0Rxlyi2jRKN6g.jpg,,True,propia
ChIJq6qqqnpMc7QRedTuSlT0G4Y,Javier GLODOSINDO - Estilistas - Peluquería unisex especialista en tintes 100% vegetales,Peluqueria,Getafe,"C. Hospital de San José, 17, 28901 Getafe, Madrid, España",+34 916 83 47 45,http://www.getafeonline.es/Empresas/Detalle/6541/peluquerias_Getafe/javier-glodosindo,False,4.7,255,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJq6qqqnpMc7QRedTuSlT0G4Y.jpg,,True,agregador
ChIJ7-v-dC4hQg0RM7ucluvkLtg,Javier Palacios Peluqueros,Peluqueria,Getafe,"Av. Mariano Moreno el Musico, 6, 28907 Getafe, Madrid, España",+34 914 91 55 90,http://www.byjavierpalacios.com/,True,4.8,1169,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ7-v-dC4hQg0RM7ucluvkLtg.jpg,,True,propia
ChIJa6l0MpYgQg0RWNZOdrm-CCY,KAPAS PELUQUEROS,Peluqueria,Getafe,"Calle Felipe Estevez, 21, 28902 Madrid, España",+34 916 83 70 98,http://www.kapaspeluqueros.com/,True,4.8,462,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJa6l0MpYgQg0RWNZOdrm-CCY.jpg,kapaspeluqueros@gmail.com,False,propia
ChIJZyaGJfQhQg0RPmTWUElQDjo,Atelier 42 Estilistas Peluquería y Barbería en Getafe,Peluqueria,Getafe,"Av. de La Paz, 1, 28907 Getafe, Madrid, España",+34 633 68 27 90,https://www.atelier42estilistas.com/,True,4.6,177,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZyaGJfQhQg0RPmTWUElQDjo.jpg,atelier42.estilistas@gmail.com,False,propia
ChIJ97orsAwhQg0RBxAxcMjBpAw,Natural Paradise Peluquería Orgánica Getafe,Peluqueria,Getafe,"C. Hospital de San José, 3, 28901 Getafe, Madrid, España",+34 910 29 86 78,https://instagram.com/naturalparadisepeluqueria?igshid=YmMyMTA2M2Y=,False,4.9,144,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ97orsAwhQg0RBxAxcMjBpAw.jpg,,True,social
ChIJz0vmwW8hQg0RhNELgtGVIqc,Peluquería Bercial ️| Lo más IN,Peluqueria,Getafe,"C. Pilar Soler, 4, 28907 Getafe, Madrid, España",+34 912 51 47 95,https://lomasinlamagiacomienzaaqui.com/,True,4.8,112,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJz0vmwW8hQg0RhNELgtGVIqc.jpg,,True,propia
ChIJh5KOkbEgQg0RniTNmcfSapg,Estilistas por Fin | Expertos Coloristas & SPA - Barbería,Peluqueria,Getafe,"Av. de La Paz, 33, 28907 Getafe, Madrid, España",+34 914 91 64 58,https://estilistasporfin.es/,True,4.7,742,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJh5KOkbEgQg0RniTNmcfSapg.jpg,hola@estilistasporfin.es,False,propia
ChIJ4e0s__YhQg0RfIUGPZkMI0Y,Peluqueros Eva Saiz,Peluqueria,Getafe,"Calle Felipe Estevez, 8, 28901 Getafe, Madrid, España",+34 914 66 90 85,,False,4.9,178,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ4e0s__YhQg0RfIUGPZkMI0Y.jpg,,True,ninguna
ChIJz5ryOMAgQg0Rs3RR8xmiIho,Dh Peluqueros,Peluqueria,Getafe,"C. Valencia, 21, 28903 Getafe, Madrid, España",+34 912 95 24 09,,False,4.9,152,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJz5ryOMAgQg0Rs3RR8xmiIho.jpg,,True,ninguna
