place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Automóviles Guerrero E Hijos SL,Taller,Getafe,"C. Zafra, 51, 28903 Getafe, Madrid, España",+34 916 95 93 83,,False,,,,ninguna,,True,,
,Bys Customs Garage,Taller,Getafe,"C. Eugenio Serrano, 10, 28904 Getafe, Madrid, España",+34 635 45 04 99,,False,,,,ninguna,,True,,
,Confortauto Mecánica - Neumáticos Soledad,Taller,Getafe,"Pol. Ind. San Marcos, C. Diesel, 9, 28906 Getafe, Madrid, España",+34 911 09 32 73,https://www.confortauto.com/talleres-mecanicos-neumaticos/madrid/confortauto-neumaticos-soledad-getafe,True,,,,propia,,True,,
,"FECARS Av Aragon 8, Getafe, Mecánica en General",Taller,Getafe,"Av. Aragón, 8, 28903 Getafe, Madrid, España",+34 679 49 84 49,,False,,,,ninguna,,True,,
,G13 Automoción,Taller,Getafe,"Calle Cataluña, ESQUINA HOSPITAL, C. Lérida, 22, 6 B, 28903 Getafe, Madrid, España",+34 910 93 52 75,https://g13automocion.es/,True,,,,propia,,True,,
,JC CARS / Limpieza filtro particulas/Compraventa de coches,Taller,Getafe,"C. Ferrocarril, 15, 28901 Getafe, Madrid, España",+34 919 47 59 34,https://jccars.es/,True,,,,propia,,True,,
,Johnnie Pyston - Alquiler de boxes de mecánica y taller mecánico,Taller,Getafe,"Carr. Madrid - Toledo, Km.11, 1, 28903 Getafe, Madrid, España",+34 911 61 01 57,https://www.johnniepyston.es/,True,,,,propia,,True,,
,MECAUTO 21 S.L.,Taller,Getafe,"C. Torneros, 8, 28906 Getafe, Madrid, España",+34 620 99 48 67,,False,,,,ninguna,,True,,
,Mecaboss Taller Mecánica Y Electricidad,Taller,Getafe,"C. Hospitalet de Llobregat, 28903 Getafe, Madrid, España",+34 916 01 99 05,,False,,,,ninguna,,True,,
,Mecha Auto Getafe,Taller,Getafe,"C. Gral. Pingarrón, 8, 28901 Getafe, Madrid, España",+34 916 83 81 32,https://www.mechaautogetafe.com/,True,,,,propia,,True,,
,Midas GETAFE/Ctra. Villaverde,Taller,Getafe,"C/ Gaudi, Ctra. de Villaverde, 22, 28903 Getafe, Madrid, España",+34 916 65 25 74,https://www.midas.es/talleres-coche-moto-midas/comunidad-de-madrid/madrid/getafe/getafectra-villaverde_3617,True,,,,propia,,True,,
,MotorTown Madrid Getafe El Bercial,Taller,Getafe,"Av. Marruecos, 62, 28907 Getafe, Madrid, España",+34 911 17 53 18,http://www.motortown.es/,True,,,,propia,,True,,
,Roesmovil Getafe,Taller,Getafe,"C. Cervantes, 12, 28904 Getafe, Madrid, España",+34 912 02 24 14,,False,,,,ninguna,,True,,
,Servicio Rápido Del Automóvil Getafe,Taller,Getafe,"C. Gálvez, 12, 28902 Getafe, Madrid, España",+34 916 95 70 20,,False,,,,ninguna,,True,,
,"TALLER SATAFI MOTOR , SL",Taller,Getafe,"C. Herreros, 35, 28906 Getafe, Madrid, España",+34 916 65 22 48,https://www.satafimotor.com.es/,True,,,,propia,,True,,
,TALLER ZUBER - Mecánica automóvil - Diagnosis - Neumáticos - Baterías - Aire acondicionado,Taller,Getafe,"C. Sindicalismo, 27, Poligono Industrial los Olivos, 28906 Getafe, Madrid, España",+34 698 54 51 87,,False,,,,ninguna,,True,,
,TALLERES FRAMIAUTO,Taller,Getafe,"C. Churruca, 3, 28902 Getafe, Madrid, España",+34 916 83 43 43,,False,,,,ninguna,,True,,
,Taller Aragón,Taller,Getafe,"de, Av. Aragón, 27, 28903 Getafe, Madrid, España",+34 642 96 56 11,,False,,,,ninguna,,True,,
,Taller Delfín NC Autos | Taller Mecánico Multimarca en Getafe,Taller,Getafe,"Cl. Andalucia, 25, 28903 Getafe, Madrid, España",+34 671 83 36 22,https://www.tallerdelfingetafe.es/,True,,,,propia,,True,,
,Taller Mecánico Basilio,Taller,Getafe,"C. San Isidro, 7, 28901 Getafe, Madrid, España",+34 912 95 60 58,https://www.tallerbasilio.es/,True,,,,propia,,True,,
,Taller Mecánico Los Olivos,Taller,Getafe,"C. Destreza, 3, nave A12, Poligono Industrial los Olivos, 28906 Getafe, Madrid, España",+34 643 09 74 64,,False,,,,ninguna,,True,,
,"Taller Mecánico Mecha Auto Getafe, S.L.",Taller,Getafe,"C. Edison, 3, 28906 Getafe, Madrid, España",+34 916 83 81 32,https://www.mechaautogetafe.com/,True,,,,propia,,True,,
,Taller Mecánico en Getafe - Pintura - Carrocería - Chapa - CAR CARE Taller - GRUPO TORREJON,Taller,Getafe,"Polígono Industrial Los Ángeles, C. Torneros, 52, 28906 Getafe, Madrid, España",+34 648 88 08 94,https://www.grupotorrejon.com/car-care-getafe/,True,,,,propia,,True,,
,Taller Mecánico en Getafe | Neumáticos Joaquín,Taller,Getafe,"C. Morse, 1, 28906 Getafe, Madrid, España",+34 917 29 54 96,https://neumaticosjoaquin.es/,True,,,,propia,,True,,
,Taller Moncamovil,Taller,Getafe,"Av. del Parque, 1, 28907 Getafe, Madrid, España",+34 916 83 47 59,,False,,,,ninguna,,True,,
,Taller Saeska Mecánica y Lavado,Taller,Getafe,"C. Progreso, 2, Local 2, Poligono Industrial los Olivos, 28906 Getafe, Madrid, España",+34 638 53 22 60,https://talleres-saeska.com/,True,,,,propia,,True,,
,Talleres DO-MAR,Taller,Getafe,"P.º de La Estación, 10-12, 28902 Getafe, Madrid, España",+34 916 82 77 02,,False,,,,ninguna,,True,,
,Talleres Fórmula Tec S.L,Taller,Getafe,"C. Churruca, 1, 28902 Getafe, Madrid, España",+34 916 82 55 67,,False,,,,ninguna,,True,,
,Talleres Gómez y Gómez C.B.,Taller,Getafe,"C. Doña Romera, 30, 28901 Getafe, Madrid, España",+34 912 51 12 84,http://www.talleresgomezgomez.com/,True,,,,propia,,True,,
,"Talleres Justo Álvarez, S.L.",Taller,Getafe,"C. Adaptación, 20, Poligono Industrial los Olivos, 28906 Getafe, Madrid, España",+34 916 01 93 51,https://www.talleresjustoalvarez.es/,True,,,,propia,,True,,
,Talleres LGA / Lavado y desinfección de coches / Limpieza de motores y filtro de partículas,Taller,Getafe,"C. Doña Romera, 30, 28901 Getafe, Madrid, España",+34 645 89 89 25,http://www.tallereslga.net/,True,,,,propia,,True,,
,Talleres Lancar Motor,Taller,Getafe,"Calle Oriente, 21, 28901 Getafe, Madrid, España",+34 910 27 11 87,http://lancarmotor.com/,True,,,,propia,,True,,
,Talleres Lerauto,Taller,Getafe,"C. Murillo, 4, 28904 Getafe, Madrid, España",+34 916 81 09 34,,False,,,,ninguna,,True,,
,Talleres Magaro S.L,Taller,Getafe,"Acceso a Carpetania, 28906, C. Fundidores, 19, 28906 Madrid, España",+34 910 53 16 97,https://wa.me/qr/7kzpgb767cd3n1,False,,,,social,,True,,
,Talleres Nicolás Aliende,Taller,Getafe,"Av. Buenos Aires, 25, 28907 Getafe, Madrid, España",+34 916 82 29 90,http://www.talleresnicolas.com/,True,,,,propia,,True,,
,Talleres Oriente,Taller,Getafe,"C. Perate, 7, 28901 Getafe, Madrid, España",+34 916 95 85 68,,False,,,,ninguna,,True,,
,Talleres Veguillas C.B.,Taller,Getafe,"C. Daoiz, 26, 28903 Getafe, Madrid, España",,,False,,,,ninguna,,True,,
,Talleres Vogauto,Taller,Getafe,"C. Núñez de Balboa, 51, BAJO, 28902 Getafe, Madrid, España",+34 916 81 93 80,https://www.vogautocarroceriamecanica.es/,True,,,,propia,,True,,
,Talleres Óscar (CGA) sacorauto service,Taller,Getafe,"Cl. Andalucia, N 27, 28903 Getafe, Madrid, España",+34 911 29 38 53,http://www.tallerescga.com/,True,,,,propia,,True,,
,Tres Autos SL,Taller,Getafe,"Av. Aragón, 17, 28903 Getafe, Madrid, España",+34 916 96 94 68,http://tallertresautos.blogspot.com.es/,True,,,,propia,,True,,
