place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJmYUR_mAhQg0RujanuFz56IA,Me Molan tus Uñas,Unas,Getafe,"C. Gálvez, 21, 28901 Getafe, Madrid, España",+34 674 86 33 86,https://wa.me/message/E2FDYUYPDV7GL1,False,4.9,252,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJmYUR_mAhQg0RujanuFz56IA.jpg,,True,social
ChIJa4XSyYAkjSgRgny-YhO1p8Y,Atry Beauty Nails - Manicura & Pedicura Especializada en Getafe,Unas,Getafe,"C. Gral. Pingarrón, 28901 Getafe, Madrid, España",+34 614 40 98 59,,False,5,24,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJa4XSyYAkjSgRgny-YhO1p8Y.jpg,,True,ninguna
ChIJx2bsm5AgQg0RV3s1rJJJIYY,d-uñas nails & beauty,Unas,Getafe,"C. Toledo, 22, 28901 Getafe, Madrid, España",+34 615 73 50 03,,False,4.2,106,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJx2bsm5AgQg0RV3s1rJJJIYY.jpg,,True,ninguna
ChIJPx8LTpUgQg0RNKh62svSqTM,Nail ballet uñas,Unas,Getafe,"Av. de los Ángeles, 7, 28903 Getafe, Madrid, España",+34 602 18 65 56,,False,4.8,56,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJPx8LTpUgQg0RNKh62svSqTM.jpg,,True,ninguna
ChIJr5W48JYgQg0Ra2MxnyPrZIQ,Salón De Uñas,Unas,Getafe,"C. Madrid, 34, 28901 Getafe, Madrid, España",+34 910 39 15 86,,False,3.5,91,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJr5W48JYgQg0Ra2MxnyPrZIQ.jpg,,True,ninguna
ChIJAbBH4uQhQg0R3eHi_cNO5Do,Lalis Beauty Salon,Unas,Getafe,"C. San José de Calasanz, 29, 28902 Getafe, Madrid, España",+34 647 33 87 53,https://lalis-beauty.vercel.app/,True,4.4,82,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJAbBH4uQhQg0R3eHi_cNO5Do.jpg,info@lalisbeautysalon.com,False,propia
ChIJ90JY4r0gQg0R_PNZYFf6MqM,MaXSuM Nails & Beauty | Getafe,Unas,Getafe,"C. Madrid, 97, 28902 Getafe, Madrid, España",+34 916 21 73 72,http://maxsumnailsbeauty.com/,True,4.7,276,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ90JY4r0gQg0R_PNZYFf6MqM.jpg,info@maxsumnailsbeauty.com,False,propia
ChIJ6QdxTJEgQg0R5qwOulyPwF4,Nails Room,Unas,Getafe,"C. Arboleda, 6, 28901 Getafe, Madrid, España",+34 910 09 59 12,,False,4.6,155,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ6QdxTJEgQg0R5qwOulyPwF4.jpg,,True,ninguna
ChIJjczMGyIhQg0RbgNHBCKUi24,Hello Nails,Unas,Getafe,"C. Madrid, 62, 28901 Getafe, Madrid, España",+34 614 18 46 99,https://hellonails.es/,True,4.5,225,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJjczMGyIhQg0RbgNHBCKUi24.jpg,,True,propia
ChIJGetFlP-LQQ0RFvTti94SOmw,La Esmaltería Getafe,Unas,Getafe,"P.º de Santiago Casares Quiroga, 1, 28905 Getafe, Madrid, España",+34 605 77 11 89,https://laesmalteria.es/centros/,True,4.9,282,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJGetFlP-LQQ0RFvTti94SOmw.jpg,comunicacion@laesmalteria.es,False,propia
ChIJ9f9M3f4hQg0RvwN7SsrKgew,LuuNails _NailArt,Unas,Getafe,"Av. Juan Carlos I, 11, 28905 Getafe, Madrid, España",+34 643 20 47 75,,False,5,92,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ9f9M3f4hQg0RvwN7SsrKgew.jpg,,True,ninguna
