place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,ANIMALES EXÓTICOS 24H - Veterinarios especialistas,Veterinario,Getafe,"C. de Cartagena, 160, Chamartín, 28002 Madrid, España",+34 912 20 72 27,http://www.animalesexoticos24h.es/,True,,,,propia,,True,,
,AniCura Madrid Este Hospital Veterinario | Urgencias 24h,Veterinario,Getafe,"P.º de la Democracia, 10, 28850 Torrejón de Ardoz, Madrid, España",+34 915 29 69 09,https://www.anicura.es/clinicas/anicura-madrid-este-hospital-veterinario/,True,,,,propia,,True,,
,AniCura Vetsia Hospital,Veterinario,Getafe,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,Buenavista Veterinarios S.L.,Veterinario,Getafe,"Av. de Manuel Azaña, 28905 Getafe, Madrid, España",+34 918 05 37 63,http://www.buenavistaveterinarios.com/,True,,,,propia,,True,,
,CLINICA VETERINARIA EUROPA,Veterinario,Getafe,"Av. de Francia, 21, 28916 Leganés, Madrid, España",+34 916 80 61 74,http://www.clinicaveterinariaeuropa.es/,True,,,,propia,,True,,
,CLINICA VETERINARIA WECAN GETAFE CENTRO,Veterinario,Getafe,"C. Concepción, 2, 28901 Getafe, Madrid, España",+34 916 95 52 82,,False,,,,ninguna,,True,,
,Canitas Veterinaria Getafe - CC Getafe 3,Veterinario,Getafe,"Centro Comercial Getafe 3, 28905 Getafe, Madrid, España",+34 918 31 00 10,https://canitasveterinaria.com/tus-clinicas/veterinario-getafe-cc-getafe-3/,True,,,,propia,,True,,
,Centro Clínico Veterinario Ciudad de Los Ángeles,Veterinario,Getafe,"P.º de Gigantes y Cabezudos, 20, Villaverde, 28041 Madrid, España",+34 913 17 55 62,https://www.ciudaddelosangeles.com/,True,,,,propia,,True,,
,Centro Veterinario Los Parques,Veterinario,Getafe,"Av. Juan Carlos I, 20, 28905 Getafe, Madrid, España",+34 916 65 13 69,,False,,,,ninguna,,True,,
,Centro Veterinario Zaragoza,Veterinario,Getafe,"C. Zaragoza, 3, 28903 Getafe, Madrid, España",+34 916 81 79 34,https://www.clinicaveterinariazaragoza.com/,True,,,,propia,,True,,
,Clinica Veterinaria Dobermann I,Veterinario,Getafe,"C. Barberan y Collar, S/N, 28903 Getafe, Madrid, España",+34 916 95 91 94,https://www.clinicaveterinariadobermann.es/,True,,,,propia,,True,,
,Clinica Veterinaria El Bercial,Veterinario,Getafe,"Av. del Parque, 1, 28907 Getafe, Madrid, España",+34 916 96 27 34,https://www.veterinariaelbercial.es/,True,,,,propia,,True,,
,Clinica Veterinaria Norivet,Veterinario,Getafe,"C. Melilla, 5, Loc 3, 28913 Leganés, Madrid, España",+34 684 36 62 80,http://www.norivet.es/,True,,,,propia,,True,,
,Clinica Veterinaria Zarzaquemada,Veterinario,Getafe,"C. de las Alpujarras, 4, 28915 Leganés, Madrid, España",+34 916 80 82 82,,False,,,,ninguna,,True,,
,Clínica Veterinaria Alameda,Veterinario,Getafe,"Urb. Arroyoculebro, C. del Alcalde Pedro González González, 11, locales 1-2, 28914 Madrid, España",+34 916 48 50 56,https://www.clinicaveterinarialameda.com/,True,,,,propia,,True,,
,Clínica Veterinaria Animal Kingdom,Veterinario,Getafe,"Calle Francisco Ribera, esquina, C. Goya, 1, 28918 Leganés, Madrid, España",+34 646 91 03 13,,False,,,,ninguna,,True,,
