place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTOESCUELA CALLE MADRID,Autoescuela,Leganes,"C. Madrid, 118, 28903 Getafe, Madrid, España",+34 912 49 69 69,http://www.aecallemadrid.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN ANTONIO,Autoescuela,Leganes,"Av. Rey Juan Carlos I, 76, 28916 Leganés, Madrid, España",+34 685 19 56 46,https://www.sanantonioautoescuela.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN JOSE GETAFE CENTRAL,Autoescuela,Leganes,"C. San José de Calasanz, 18, 28902 Getafe, Madrid, España",+34 916 95 20 19,http://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,AUTOESCUELA SAN JOSE GETAFE UNIVERSIDAD,Autoescuela,Leganes,"C. Violeta Parra, 1, 28903 Getafe, Madrid, España",+34 916 84 02 18,https://www.autoescuelasanjose.com/,True,,,,propia,,True,,
,AUTOESCUELA ZARZAQUEMADA,Autoescuela,Leganes,"C. de la Moraña, 25, 28915 Leganés, Madrid, España",+34 601 23 00 25,http://www.autoescuelazarzaquemada.com/,True,,,,propia,,True,,
,Autoescuela Almendrales,Autoescuela,Leganes,"C. de La Alcarria, 54, 28915 Leganés, Madrid, España",+34 916 80 81 48,https://almendrales.es/,True,,,,propia,,True,,
,Autoescuela Almendrales Getafe,Autoescuela,Leganes,"C. Guanabacoa, 11, 28907 Getafe, Madrid, España",+34 910 85 35 19,https://almendrales.es/,True,,,,propia,,True,,
,Autoescuela Butarque,Autoescuela,Leganes,"C. de Argentina, 6, 28918 Leganés, Madrid, España",+34 916 80 08 47,http://www.autoescuelabutarque.com/,True,,,,propia,,True,,
,"Autoescuela Butarque, Los Monegros",Autoescuela,Leganes,"C. de los Monegros, 79, 28915 Leganés, Madrid, España",+34 916 86 55 80,https://www.autoescuelabutarque.com/,True,,,,propia,,True,,
,Autoescuela Cambio - Léganes,Autoescuela,Leganes,"Av. de la Reina Sofía, 33, 28919 Leganés, Madrid, España",+34 915 02 23 89,http://www.autoescuelacambio.com/,True,,,,propia,,True,,
,Autoescuela Campus Getafe,Autoescuela,Leganes,"C. Azahar, 2, 28903 Getafe, Madrid, España",+34 630 54 86 39,http://www.autoescuelacampusgetafe.com/,True,,,,propia,,True,,
,Autoescuela GO! Leganés - Av. Rey Juan Carlos I (Broker),Autoescuela,Leganes,"Av. Rey Juan Carlos I, 19, 28915 Leganés, Madrid, España",+34 916 88 53 04,https://goautoescuelas.es/autoescuelas/leganes/avenida-rey-juan-carlos-i/,True,,,,propia,,True,,
,Autoescuela GO! Leganés - San Nicasio (Broker),Autoescuela,Leganes,"C. Río Urbión, 2, 28913 Leganés, Madrid, España",+34 916 89 64 88,https://goautoescuelas.es/autoescuelas/leganes/san-nicasio/,True,,,,propia,,True,,
,Autoescuela Jose Luis,Autoescuela,Leganes,"C. de la Bureba, 21, 28915 Leganés, Madrid, España",+34 916 87 03 73,http://www.aejoseluis.es/,True,,,,propia,,True,,
,Autoescuela LUCEX - Getafe,Autoescuela,Leganes,"P.º de La Estación, 14, 28902 Getafe, Madrid, España",+34 635 76 33 24,http://www.autoescuelalucex.com/,True,,,,propia,,True,,
,Autoescuela Lagosur,Autoescuela,Leganes,"C. de Austria, 3, 28916 Leganés, Madrid, España",+34 916 88 10 12,,False,,,,ninguna,,True,,
,Autoescuela Lara Getafe,Autoescuela,Leganes,"C. Núñez de Balboa, 45, 28902 Getafe, Madrid, España",+34 910 18 83 43,http://www.autoescuelalara.com/centros/getafe,True,,,,propia,,True,,
,Autoescuela Lara Leganés,Autoescuela,Leganes,"Pl. Salvador, 8, 28911 Leganés, Madrid, España",+34 685 74 63 41,,False,,,,ninguna,,True,,
,Autoescuela Lara Leganés - Zarzaquemada,Autoescuela,Leganes,"C. del Priorato, 27, 28915 Leganés, Madrid, España",+34 916 80 17 04,,False,,,,ninguna,,True,,
,Autoescuela Leganés - Súper Express,Autoescuela,Leganes,"Despacho SE, C. Clara Janés, 9, 28919 Leganés, Madrid, España",+34 910 05 30 10,https://superexpress.es/autoescuela-leganes,True,,,,propia,,True,,
,Autoescuela Montero Espinosa,Autoescuela,Leganes,"C. Arquitectos, 8, 28903 Getafe, Madrid, España",+34 916 83 78 29,http://autoescuelamonteroespinosa.com/autoescuela-en-getafe,True,,,,propia,,True,,
,Autoescuela Nayer El Bercial,Autoescuela,Leganes,"C. Austria, 11, 28907 Getafe, Madrid, España",+34 699 21 58 62,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,Autoescuela Nueva Naru Getafe,Autoescuela,Leganes,"C. Cataluña, 1, 28903 Getafe, Madrid, España",+34 695 80 90 30,https://nuevanaruautoescuelas.es/,True,,,,propia,,True,,
,Autoescuela Q5 Motocarnet / Cochecarnet,Autoescuela,Leganes,"Pl. Alcalde José Manuel Ma, 11, 28914 Leganés, Madrid, España",+34 663 20 41 86,http://www.motocarnet.net/,True,,,,propia,,True,,
,Autoescuela Radar,Autoescuela,Leganes,"C. Río Manzanares, 35, 28910 Leganés, Madrid, España",+34 916 94 02 71,,False,,,,ninguna,,True,,
,Autoescuela Solagua Leganés,Autoescuela,Leganes,"Av. Juan XXIII, 7, 28918 Leganés, Madrid, España",+34 912 64 36 71,http://www.autoescuelasolagua.com/,True,,,,propia,,True,,
,Autoescuela Xanadú,Autoescuela,Leganes,"C. Clara Janés, 9, 28919 Leganés, Madrid, España",+34 916 80 53 38,https://autoescuelaxanadu.com/,True,,,,propia,,True,,
,Autoescuelas Abril - Autoescuela Getafe,Autoescuela,Leganes,"Av. Juan de la Cierva, 34, 28901 Getafe, Madrid, España",+34 916 96 76 36,http://www.autoeabril.com/autoescuela-getafe-Madrid.aspx,True,,,,propia,,True,,
,El Carrascal | GALA Autoescuela,Autoescuela,Leganes,"Av del, Av. Rey Juan Carlos I, 89, 28916 Leganés, Madrid, España",+34 687 71 69 36,https://autoescuelagala.com/autoescuela-leganes-parque-sur/,True,,,,propia,,True,,
,Formación Zarzaquemada,Autoescuela,Leganes,"C. de la Moraña, 25, bajo, 28915 Leganés, Madrid, España",+34 601 23 00 25,http://www.formacionzarzaquemada.com/,True,,,,propia,,True,,
,Getafe | GALA Autoescuela,Autoescuela,Leganes,"C. Polvoranca, 5, 28901 Getafe, Madrid, España",+34 637 77 68 47,https://autoescuelagala.com/autoescuela-getafe/,True,,,,propia,,True,,
,Go! Autoescuelas,Autoescuela,Leganes,"Av. de la Universidad, 37, 28911 Leganés, Madrid, España",,https://goautoescuelas.es/autoescuela-leganes-centro/,True,,,,propia,,True,,
,La Fuente | GALA Autoescuela,Autoescuela,Leganes,"C. de la Fuente, 9, 28911 Leganés, Madrid, España",+34 637 77 68 46,https://autoescuelagala.com/autoescuela-leganes-centro/,True,,,,propia,,True,,
,Leganés Central - Estación de Renfe | GALA Autoescuela,Autoescuela,Leganes,"Central - Estación de Renfe, C. Virgen del Camino, 5, Planta -1, 28911 Leganés, Madrid, España",+34 687 71 71 28,https://autoescuelagala.com/autoescuela-leganes-central/,True,,,,propia,,True,,
,Reina Sofia 12 |GALA Autoescuela - Centro Recuperación de Puntos,Autoescuela,Leganes,"Av. de la Reina Sofía, 12, 28919 Leganés, Madrid, España",+34 637 77 68 54,https://autoescuelagala.com/autoescuela-reina-sofia-12/,True,,,,propia,,True,,
,San José,Autoescuela,Leganes,"C. Leganés, 67, 28904 Getafe, Madrid, España",+34 916 83 93 93,http://www.autoescuelasanjose.com/,True,,,,propia,,True,,
