place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,"BAR PEYMA, LA CASA DE LA OREJA",Bar,Leganes,"C. de Madrid, 24, 28912 Leganés, Madrid, España",+34 910 46 16 53,,False,,,,ninguna,,True,,
,Bar Avenida,Bar,Leganes,"Av. de Fuenlabrada, 28, 28912 Leganés, Madrid, España",+34 666 33 42 10,,False,,,,ninguna,,True,,
,Bar Cooper,Bar,Leganes,"Pl. Tahona, 1, 28911 Leganés, Madrid, España",+34 910 64 91 03,https://www.facebook.com/Bar-Cooper-Ln-502493316815811/,False,,,,social,,True,,
,Bar El Rey del Torrezno,Bar,Leganes,"C. de la Moraña, 26, 28915 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Bar F Morales,Bar,Leganes,"C. el Charco, 55, 28911 Leganés, Madrid, España",+34 698 61 81 51,,False,,,,ninguna,,True,,
,Bar Gaira,Bar,Leganes,"C. Cost.ª de Tovares, 9, 28911 Leganés, Madrid, España",+34 672 38 57 38,,False,,,,ninguna,,True,,
,Bar González,Bar,Leganes,"C. del Ampurdán, 10, 28915 Leganés, Madrid, España",+34 919 36 66 97,,False,,,,ninguna,,True,,
,Bar Hawaiano Royalty Kiwai/shishas/cocteleria,Bar,Leganes,"C. del Ártico, 11, 28912 Leganés, Madrid, España",+34 657 51 36 65,,False,,,,ninguna,,True,,
,Bar La Inmacu,Bar,Leganes,"Av. de Orellana, 18, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Manolo,Bar,Leganes,"C. Panadés, 28915 Leganés, Madrid, España",+34 917 52 44 81,,False,,,,ninguna,,True,,
,Bar Villanueva de Ávila,Bar,Leganes,"C. de la Rioja, 71, 28915 Leganés, Madrid, España",+34 916 80 07 02,,False,,,,ninguna,,True,,
,Bar cafetería rayan,Bar,Leganes,"C. de Argentina, 15, Loc 3, 28918 Leganés, Madrid, España",+34 631 37 47 67,,False,,,,ninguna,,True,,
,Bar casa Dani,Bar,Leganes,"Av. de la Reina Sofía, 25, 28919 Leganés, Madrid, España",+34 679 40 18 73,,False,,,,ninguna,,True,,
,"Bar de tapas ""El Balcón de Rodri""",Bar,Leganes,"C. de Austria, 1, 28916 Leganés, Madrid, España",+34 911 40 63 48,,False,,,,ninguna,,True,,
,Bar restaurante El Viejo Café,Bar,Leganes,"Pl. de España, 20, 28911 Leganés, Madrid, España",+34 916 93 66 97,https://elviejocafe.es/,True,,,,propia,,True,,
,Bar restaurante Lizaly,Bar,Leganes,"C. de la Rioja, 81, 28915 Leganés, Madrid, España",+34 914 96 09 35,https://www.lizaly.com/,True,,,,propia,,True,,
,Bar restaurante Minuit,Bar,Leganes,"C. el Charco, 2, 28911 Leganés, Madrid, España",+34 916 93 84 24,http://www.minuitleganes.com/,True,,,,propia,,True,,
,Bar-Rte. Gran Nemrut Leganés,Bar,Leganes,"C. Cuenca, 19, 28914 Leganés, Madrid, España",+34 919 95 83 09,,False,,,,ninguna,,True,,
,"Bomber Cocktail Bar, Coctelería",Bar,Leganes,"Pl. de Ventura Rodríguez, 4, Loc 4, 28911 Leganés, Madrid, España",+34 622 59 82 54,https://bombercocktailbar.es/,True,,,,propia,,True,,
,Café Bar Tapas,Bar,Leganes,"C. de las Alpujarras, 38, 28915 Leganés, Madrid, España",+34 912 63 20 16,,False,,,,ninguna,,True,,
,Cervecería Bar El Paraíso,Bar,Leganes,"28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cervecería Tú Eliges,Bar,Leganes,"C. de la Rioja, 44, 28915 Leganés, Madrid, España",+34 919 29 46 13,,False,,,,ninguna,,True,,
,Derry Irish Tavern,Bar,Leganes,"Av. Rey Juan Carlos I, 35, 28915 Leganés, Madrid, España",+34 627 52 14 68,http://www.officialirishpub.es/,True,,,,propia,,True,,
,El Cavalito,Bar,Leganes,"C. Clara Janés, 7, 28919 Leganés, Madrid, España",+34 641 65 98 74,,False,,,,ninguna,,True,,
,Garret Irish Tavern,Bar,Leganes,"Av. Rey Juan Carlos I, 110, 28916 Leganés, Madrid, España",+34 912 27 24 11,https://www.facebook.com/garretirishtavern/,False,,,,social,,True,,
,Kaizen Lounge Madrid (Leganés) Tetería,Bar,Leganes,"Calle Madrid 12, C. Torrubia, 1, 28911 Leganés, Madrid, España",,https://kaizenmadrid.com/,True,,,,propia,,True,,
,Kaligula's Leganes (Jarrakas),Bar,Leganes,"Av. Rey Juan Carlos I, 83, 28916 Leganés, Madrid, España",+34 616 50 94 40,http://www.kaligulas.com/,True,,,,propia,,True,,
,LA POSITIVA BAR,Bar,Leganes,"C. Jeromín, 13, 28911 Leganés, Madrid, España",+34 914 21 40 97,https://m.facebook.com/profile.php,False,,,,social,,True,,
,La Picota,Bar,Leganes,"Av. Rey Juan Carlos I, 35, 28915 Leganés, Madrid, España",+34 910 14 86 13,,False,,,,ninguna,,True,,
,Leganés Bar Joima,Bar,Leganes,"C. del Seminario, 13, 28911 Leganés, Madrid, España",+34 916 94 49 90,,False,,,,ninguna,,True,,
,Loyal Lounge,Bar,Leganes,"C. San Nicasio, 43, 28911 Leganés, Madrid, España",,https://instagram.com/loyal___lounge,False,,,,social,,True,,
,Lunatica Pub,Bar,Leganes,"Av. de Fuenlabrada, 89, 28912 Leganés, Madrid, España",+34 674 91 54 32,,False,,,,ninguna,,True,,
,Olympo Leganés,Bar,Leganes,"C. Anita Martínez, 18, 28918 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,PUB GENTLEMAN,Bar,Leganes,"Av. de Orellana, 28911 Leganés, Madrid, España",+34 916 94 18 04,,False,,,,ninguna,,True,,
,RESTAURANTE BAR K-ESTEBAN,Bar,Leganes,"C. de Holanda, 8, 28916 Leganés, Madrid, España",+34 659 79 15 18,https://www.facebook.com/barkesteban/,False,,,,social,,True,,
,SALA STIGMA,Bar,Leganes,"C. de Hernán Cortés, 1A, 28911 Leganés, Madrid, España",+34 916 93 69 55,,False,,,,ninguna,,True,,
,Segovia II,Bar,Leganes,"C. Bardenas, 2, 28915 Leganés, Madrid, España",+34 679 83 20 90,,False,,,,ninguna,,True,,
,Segovia bar,Bar,Leganes,"Av. del Dr. Martín Vegue Jaύdenes, 24, 28912 Leganés, Madrid, España",+34 916 94 46 19,,False,,,,ninguna,,True,,
,Stefany,Bar,Leganes,"C. del Ampurdán, 16, 28915 Leganés, Madrid, España",+34 916 88 56 55,,False,,,,ninguna,,True,,
,Tramore Irish Tavern,Bar,Leganes,"Av. Juan XXIII, 13, 28918 Leganés, Madrid, España",+34 910 22 66 96,https://eldeivich.github.io/Carta-tramore/,True,,,,propia,,True,,
