place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Bar Adriana,Cafeteria,Leganes,"C. de Italia, 2, Loc 1, 28916 Leganés, Madrid, España",+34 642 28 54 84,https://baradriana.eatbu.com/,True,,,,propia,,True,,
,Bar Cafetería Barrios,Cafeteria,Leganes,"C. de Calderón de la Barca, 17, 28912 Leganés, Madrid, España",+34 919 35 34 21,,False,,,,ninguna,,True,,
,Bar Cafetería Hermanos San Juan,Cafeteria,Leganes,"C. de la Rioja, 55, Loc, 28915 Leganés, Madrid, España",+34 602 87 62 04,,False,,,,ninguna,,True,,
,Bar restaurante El Viejo Café,Cafeteria,Leganes,"Pl. de España, 20, 28911 Leganés, Madrid, España",+34 916 93 66 97,https://elviejocafe.es/,True,,,,propia,,True,,
,Cafe de la Estación Leganes,Cafeteria,Leganes,"C. Virgen del Camino, S/N, Local L-1, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria El Rincón De Poli,Cafeteria,Leganes,"C. de Pizarro, 7, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria LAYLA,Cafeteria,Leganes,"Av. Puerta del Sol, 2, 28918 Leganés, Madrid, España",+34 670 67 80 39,,False,,,,ninguna,,True,,
,Cafeteria Orly,Cafeteria,Leganes,"C. de la Constitución, esquina con, Av. de Fuenlabrada, 2, 28912 Leganés, Madrid, España",+34 916 80 62 57,,False,,,,ninguna,,True,,
,Cafeteria Zamin,Cafeteria,Leganes,"Av. de Bélgica, 12, 28916 Leganés, Madrid, España",+34 916 80 14 94,,False,,,,ninguna,,True,,
,Cafetería,Cafeteria,Leganes,"C. de los Monegros, 37, 28915 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería América,Cafeteria,Leganes,"Av. del Conde de Barcelona, 19, local 17, 28914 Leganés, Madrid, España",+34 916 94 22 43,http://america.eltenedor.rest/,False,,,,agregador,,True,,
,Cafetería Atlanta,Cafeteria,Leganes,"Av. Mar Mediterráneo, 8A, 28918 Leganés, Madrid, España",+34 916 80 49 00,https://omaps.top/cafeteria-atlanta,True,,,,propia,,True,,
,Cafetería Borja,Cafeteria,Leganes,"C. del Seminario, 26, 28911 Leganés, Madrid, España",+34 691 05 06 18,,False,,,,ninguna,,True,,
,Cafetería Carpe Diem I,Cafeteria,Leganes,"Plaza, 28914 Leganés, Madrid, España",+34 630 98 43 88,,False,,,,ninguna,,True,,
,Cafetería Cervecería Bilbao,Cafeteria,Leganes,"Av. Rey Juan Carlos I, 54, 28915 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Eiffel Cervecería,Cafeteria,Leganes,"Av. de Fuenlabrada, 10, 28912 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Entre Parques,Cafeteria,Leganes,"Av. del Conde de Barcelona, 37, 28914 Leganés, Madrid, España",+34 916 94 41 31,,False,,,,ninguna,,True,,
,Cafetería J.J.,Cafeteria,Leganes,"C. de Eduardo Torroja, 19, 28914 Leganés, Madrid, España",+34 916 80 92 42,,False,,,,ninguna,,True,,
,Cafetería La Parada II,Cafeteria,Leganes,"C. Rio Duero, 8, 28913 Leganés, Madrid, España",+34 611 07 13 83,,False,,,,ninguna,,True,,
,Cafetería Miguel Ángel,Cafeteria,Leganes,"5º, C. Panadés, 9, 28915 Leganés, Madrid, España",+34 660 50 49 59,,False,,,,ninguna,,True,,
,Cafetería Ohana Panadería,Cafeteria,Leganes,"C. de la Rioja, 53, 28915 Leganés, Madrid, España",+34 643 74 02 93,,False,,,,ninguna,,True,,
,Cafetería Parra’s,Cafeteria,Leganes,"C. de Bilbao, 2, 28914 Leganés, Madrid, España",+34 916 93 55 12,https://www.facebook.com/Cafeter%C3%ADa-ParraS-276624689178886/,False,,,,social,,True,,
,Cafetería Polvoranca,Cafeteria,Leganes,"C. de Polvoranca, 17, 28911 Leganés, Madrid, España",+34 916 93 24 16,,False,,,,ninguna,,True,,
,Cafetería Stela,Cafeteria,Leganes,"Av. Rey Juan Carlos I, 45, 28915 Leganés, Madrid, España",+34 916 80 24 54,https://aleweb01.wixsite.com/stela,True,,,,builder,,True,,
,Cafetería y Panadería DelyPans JR,Cafeteria,Leganes,"C. de la Rioja, 68-70, 28915 Leganés, Madrid, España",+34 685 58 65 23,,False,,,,ninguna,,True,,
,Café Contreras Bar,Cafeteria,Leganes,"C. de San Antonio de Padua, 16, 28912 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Café Milano,Cafeteria,Leganes,"Av. de la Reina Sofía, 32, 28919 Leganés, Madrid, España",+34 914 96 02 09,http://www.cafemilanoleganes.es/,True,,,,propia,,True,,
,Café del diez,Cafeteria,Leganes,"C. de Navarra, 10, 28913 Leganés, Madrid, España",,https://es-es.facebook.com/lastapasdeldiez,False,,,,social,,True,,
