place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,CLINICA DENTAL ESTDENT LEGANES NORTE,Dental,Leganes,"C. Petra Kelly, 3, Loc 13, 28919 Leganés, Madrid, España",+34 916 80 89 17,http://www.estdent.es/,True,,,,propia,,True,,
,CLINICA GUILLEN DENTAL LEGANES,Dental,Leganes,"Pl. Fuente Honda, 3, Loc 1, 28911 Leganés, Madrid, España",+34 911 13 82 68,http://www.guillendental.es/,True,,,,propia,,True,,
,Caredent Zarzaquemada,Dental,Leganes,"Av. Rey Juan Carlos I, 72, 28916 Leganés, Madrid, España",+34 918 27 21 59,https://www.caredent.es/clinicas-dentales/madrid/clinica-dental-leganes-zarzaquemada,True,,,,propia,,True,,
,Clinica Dental Centro Dental Leganes,Dental,Leganes,"Pl. Salvador, 7, 28911 Leganés, Madrid, España",+34 916 93 59 54,https://www.centrodentalleganes.com/,True,,,,propia,,True,,
,Clinica Dental Dr. Adrián Alonso García,Dental,Leganes,"Plaza de Roma nº2 esquina Calle Madrid, Pl. de Roma, 2, 28911 Leganés, Madrid, España",+34 916 80 93 80,,False,,,,ninguna,,True,,
,Clinica Dental Dra. Blanco Marenco,Dental,Leganes,"Av. de Francia, 34, Bajo Posterior, 28916 Leganés, Madrid, España",+34 916 87 77 13,http://dentalblancomarenco.com/,True,,,,propia,,True,,
,Clinica Dental Renessans,Dental,Leganes,"C. de la Margarita, 14, Loc 3, 28912 Leganés, Madrid, España",+34 686 85 17 02,https://www.facebook.com/Cl%C3%ADnica-Dental-Renessans-111236178331171,False,,,,social,,True,,
,Clínica ASISA Dental Leganés,Dental,Leganes,"Pl. Salvador, 8, 28911 Leganés, Madrid, España",+34 637 33 90 20,https://www.asisadental.es/centro/clinica-madrid-leganes/,True,,,,propia,,True,,
,Clínica Dental Bel en Leganés,Dental,Leganes,"C. de Hernán Cortés, 5A, 28911 Leganés, Madrid, España",+34 916 93 24 24,https://www.clinicabel.com/,True,,,,propia,,True,,
,Clínica Dental Doctores Beca,Dental,Leganes,"Av. de Europa, 41, Bajo B, 28915 Leganés, Madrid, España",+34 916 86 47 98,,False,,,,ninguna,,True,,
,Clínica Dental Dra. Eva Martín Molina,Dental,Leganes,"Av. de la Reina Sofía, 10, 28919 Leganés, Madrid, España",+34 916 80 67 24,https://www.dentalevamartinmolina.com/,True,,,,propia,,True,,
,Clínica Dental Egle,Dental,Leganes,"C. de la Sagra, 21-23, 28915 Leganés, Madrid, España",+34 916 85 76 73,https://www.clinicaegle.com/,True,,,,propia,,True,,
,Clínica Dental Estética Leganés,Dental,Leganes,"C. de la Sagra, 16, 28915 Leganés, Madrid, España",+34 916 86 17 75,http://clinicadentalestetica.es/,True,,,,propia,,True,,
