place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,+QLinda Centro de estética,Estetica,Leganes,"C. de la Rioja, 73, Loc 2, 28915 Leganés, Madrid, España",+34 621 01 41 62,,False,,,,ninguna,,True,,
,Angels Estetic,Estetica,Leganes,"C. de Ramón y Cajal, 18, Nave 5, 28914 Leganés, Madrid, España",+34 667 83 62 09,https://angelspolestudio.es/centro-de-estetica-leganes/,True,,,,propia,,True,,
,Antoine Experiences,Estetica,Leganes,"Av. de la Mancha, 36, 28915 Leganés, Madrid, España",+34 722 22 66 54,https://www.antoinexperiences.es/,True,,,,propia,,True,,
,Belu's Centro Estético,Estetica,Leganes,"Calle de Ntra. Sra. de Guadalupe, N2, 28911 Leganés, Madrid, España",+34 911 16 66 99,https://beluscentroestetico.com/,True,,,,propia,,True,,
,CAREL Estética Leganés,Estetica,Leganes,"Av. Rey Juan Carlos I, 34, 28915 Leganés, Madrid, España",+34 916 85 09 85,http://carelestetica.com/,True,,,,propia,,True,,
,CENTRO DE ESTETICA Y DEPILACIÓN LÁSER EN LEGANÉS CENTROLÁSER ANA MAYORAL,Estetica,Leganes,"Ana Mayoral, C. de Yugoslavia, 7, Loc 5 local Centrolaser, 28916 Leganés, Madrid, España",+34 601 05 99 50,http://centrolaseranamayoral.es/,True,,,,propia,,True,,
,CENTRO ESTÉTICO ESTHER CABALLERO,Estetica,Leganes,"C. de Argentina, 2, 28918 Leganés, Madrid, España",+34 916 80 57 20,https://www.esteticaesthercaballero.com/,True,,,,propia,,True,,
,Centro De Estética Verónica Vico,Estetica,Leganes,"C. de Batalla de Brunete, 4, y 6, 28912 Leganés, Madrid, España",+34 663 78 91 77,http://www.esteticaveronicavico.es/,True,,,,propia,,True,,
,Centro De Uñas Y Estética Elizabeth,Estetica,Leganes,"C. de la Sagra, 8, 28915 Leganés, Madrid, España",+34 612 44 19 11,http://www.elizabethnailsesthetic.es/,True,,,,propia,,True,,
,Centro Estetica Isabel Talavera S.L,Estetica,Leganes,"Av. Rey Juan Carlos I, 114, 28916 Leganés, Madrid, España",+34 916 86 01 38,https://instagram.com/it_centro_estetica,False,,,,social,,True,,
,Centro Médico Estético Lola Guzmán | Clínica Estética en Getafe,Estetica,Leganes,"C. Leganés, 35, 28904 Getafe, Madrid, España",+34 624 21 63 21,http://www.centromedicoesteticololaguzman.es/,True,,,,propia,,True,,
,Centro de Estética - Bella Esencia Natural,Estetica,Leganes,"Centro de belleza y estetica en, C. Francisco Ribera, 3, 28918 Leganés, Madrid, España",+34 917 64 83 52,https://www.bellaesencianatural.com/%20%20https://www.bellaesencianatural.com/forja-training,True,,,,propia,,True,,
,Centro de Estética Soledad Pérez,Estetica,Leganes,"C. de los Pedroches, 26, 28915 Leganés, Madrid, España",+34 687 25 10 41,,False,,,,ninguna,,True,,
,Centro de Estética y Electrologia,Estetica,Leganes,"C. Juan Muñoz, 17, 28911 Leganés, Madrid, España",+34 916 94 91 78,https://esteticayelectrologia.com/,True,,,,propia,,True,,
,Centro de Medicina Estética Nuria Gómez,Estetica,Leganes,"Av. Dr. Mendiguchía Carriche, 13, 28913 Leganés, Madrid, España",+34 676 87 36 91,https://nuriagomez.es/,True,,,,propia,,True,,
,Centro de estética BT Beauty Center,Estetica,Leganes,"C. del Cid, 5, Local B, 28912 Leganés, Madrid, España",+34 682 01 63 87,https://booksy.com/es-es/162137_bt-beauty-center_cuidado-de-la-piel_52996_leganes,True,,,,propia,,True,,
