place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado
ChIJsd0d8x-KQQ0ROMskjfYJ5jA,Clínica Leganés | Fisioterapia y Especialidades,Fisioterapia,Leganes,"Av. de Fuenlabrada, 46, 28911 Leganés, Madrid, España",+34 640 35 67 92,https://clinica-leganes.com/,True,4.8,285,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJsd0d8x-KQQ0ROMskjfYJ5jA.jpg,propia
ChIJP7Xfgf2JQQ0RGUp7c-XAC0c,Globalfios Fisioterapia Leganés,Fisioterapia,Leganes,"Av. de Portugal, 4, 28916 Leganés, Madrid, España",+34 910 37 68 10,https://globalfios.com/,True,4.9,163,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJP7Xfgf2JQQ0RGUp7c-XAC0c.jpg,propia
ChIJlfJvBFcnQg0RzpytCpND6Ic,Clínica de fisioterapia Kinemed,Fisioterapia,Leganes,"C. de Holanda, 2, Loc 3, 28916 Leganés, Madrid, España",+34 910 85 49 36,https://kinemed.es/,True,5,43,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJlfJvBFcnQg0RzpytCpND6Ic.jpg,propia
ChIJmdB-WwCLQQ0ROqBF5W4WMOI,Fisiomas,Fisioterapia,Leganes,"C. de las Alpujarras, 36, 28915 Leganés, Madrid, España",+34 672 94 65 51,,False,5,214,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJmdB-WwCLQQ0ROqBF5W4WMOI.jpg,ninguna
ChIJozSrWQCKQQ0RYGC83Ag9U94,Clínica Paula Vega - Fisioterapia y Podología Leganés,Fisioterapia,Leganes,"C. Dublín, 4, 28918 Leganés, Madrid, España",+34 687 11 84 92,https://paulavegafisioterapia.com/,True,5,104,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJozSrWQCKQQ0RYGC83Ag9U94.jpg,propia
ChIJSQWKM_WJQQ0Rq_YAjlBtuEo,Fisioterapia y Masajes Terapéuticos Fimat.,Fisioterapia,Leganes,"C. de Madrid, 29, 28912 Leganés, Madrid, España",+34 916 86 81 34,http://fisioterapiafimat.es/,True,4.6,134,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJSQWKM_WJQQ0Rq_YAjlBtuEo.jpg,propia
ChIJG31DLZeJQQ0R0bQIVYE6VOc,Letfisio Fisioterapia,Fisioterapia,Leganes,"C. Anita Martínez, 3, 28918 Leganés, Madrid, España",+34 912 64 27 88,http://www.letfisio.es/,True,4.9,205,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJG31DLZeJQQ0R0bQIVYE6VOc.jpg,propia
ChIJGf1QQGmLQQ0RiijyLz4CDbc,Fisioentrena Leganés,Fisioterapia,Leganes,"WellSport Padel Club, C. de Humanes de Madrid, 28914 Leganés, Madrid, España",+34 699 64 47 85,https://fisioentrenamadrid.es/,True,5,105,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJGf1QQGmLQQ0RiijyLz4CDbc.jpg,propia
ChIJa0l89-SJQQ0Rc_3RLYVA2L8,Fisioterapia Sanara,Fisioterapia,Leganes,"Av. de la Reina Sofía, 14, Loc 6, 28919 Leganés, Madrid, España",+34 644 63 85 40,https://www.fisioterapiasanara.es/,True,5,83,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJa0l89-SJQQ0Rc_3RLYVA2L8.jpg,propia
ChIJ8wIXOImJQQ0R2AenmjbMZ4w,Fisioterapia Osteopatía MARUGAN - Leganes Madrid,Fisioterapia,Leganes,"C. Río Miño, 8, 28913 Leganés, Madrid, España",+34 911 46 05 57,https://www.fisioterapiamarugan.es/,True,4.9,74,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ8wIXOImJQQ0R2AenmjbMZ4w.jpg,propia
ChIJpRY8HlQnQg0RjPCWyvritPM,Clinica Varoa - Fisioterapeuta,Fisioterapia,Leganes,"C. de Yugoslavia, 1, Loc 3, 28915 Leganés, Madrid, España",+34 916 88 66 84,http://www.clinicavaroa.es/,True,4.6,87,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJpRY8HlQnQg0RjPCWyvritPM.jpg,propia
ChIJc881oSCKQQ0R0VdFpjgb9uY,Fisioterapia Abanda,Fisioterapia,Leganes,"Pl. Fuente Honda, 6, 28911 Leganés, Madrid, España",+34 916 89 47 27,http://www.fisioterapiaabanda.com/,True,4.8,46,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJc881oSCKQQ0R0VdFpjgb9uY.jpg,propia
