place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,instagram,necesita_busqueda_manual,email,contactar_por_telefono,web_estado
ChIJZ1pECyCKQQ0RXN4fNQblYNE,El Jardín de Butarque,Floristeria,Leganes,"C. Palomares, 1, 28911 Leganés, Madrid, España",+34 916 93 94 88,https://www.eljardindebutarque.com/,True,4.9,127,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZ1pECyCKQQ0RXN4fNQblYNE.jpg,https://instagram.com/floristeriajardindebutarque,False,info@eljardindebutarque.com,False,propia
ChIJu1nVt-qJQQ0RrKvtTu2o4Kw,Floristería La Irónica,Floristeria,Leganes,"C. de Madrid, 3, 28911 Leganés, Madrid, España",+34 644 98 94 44,https://floristerialaironica.com/,True,4.9,189,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJu1nVt-qJQQ0RrKvtTu2o4Kw.jpg,,True,floristerialaironica@gmail.com,False,propia
ChIJTVO1_4GLQQ0RtaDmrjAzNCY,Floristería Ana María,Floristeria,Leganes,"Pl. de España, 2, Loc 4c, 28911 Leganés, Madrid, España",+34 616 81 65 52,,False,5,87,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJTVO1_4GLQQ0RtaDmrjAzNCY.jpg,,True,,True,ninguna
ChIJVfZ_jvmJQQ0RjDS4AL13qOk,Alonso Floristas,Floristeria,Leganes,"Av. Rey Juan Carlos I, 44, 28915 Leganés, Madrid, España",+34 916 80 97 88,https://alonsofloristas.es/,True,4.5,123,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJVfZ_jvmJQQ0RjDS4AL13qOk.jpg,,True,alonso@alonsofloristas-ogsxw257c1.live-website.com,False,propia
ChIJFXzO3FEnQg0RajnFk5C7Jaw,Verdecora Parquesur,Floristeria,Leganes,"Centro Comercial Parquesur, 28916 Leganés, Madrid, España",+34 914 81 59 14,https://verdecora.es/tiendas/4-parquesur-madrid,True,4.3,9437,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJFXzO3FEnQg0RajnFk5C7Jaw.jpg,https://instagram.com/verdecora,False,,True,propia
ChIJ_xet3WmJQQ0RxqEftyRCQSs,LADYBLUE FLORISTERÍA,Floristeria,Leganes,"Av. de Fuenlabrada, 14, 28912 Leganés, Madrid, España",+34 614 07 02 38,,False,4.9,29,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_xet3WmJQQ0RxqEftyRCQSs.jpg,,True,,True,ninguna
ChIJ8UVt6ImJQQ0RaEKnClsWawI,FLORISTERÍA AMAZONIA. RAMOS DE NOVIA FLOR PRESERVADA. SEUR PICKUP,Floristeria,Leganes,"Calle de Sta. Rosa, 9, 28911 Leganés, Madrid, España",+34 605 66 77 93,,False,4.7,151,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ8UVt6ImJQQ0RaEKnClsWawI.jpg,,True,,True,ninguna
ChIJ-4FAxXuJQQ0RpoxyO6ngYBA,Chena Floristeria,Floristeria,Leganes,"Av. de la Mancha, 22, 28915 Leganés, Madrid, España",+34 912 44 25 37,https://chenafloristeria.com/,True,5,57,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ-4FAxXuJQQ0RpoxyO6ngYBA.jpg,https://instagram.com/chenafloristeria,False,chenafloristeria@gmail.com,False,propia
ChIJwVvBWPWJQQ0RZxAcUtdONnQ,Floristería Mari Juli,Floristeria,Leganes,"Av. de Fuenlabrada, 36, 28912 Leganés, Madrid, España",+34 912 27 32 20,http://www.floristeriamarijuli.com/,True,4.3,152,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJwVvBWPWJQQ0RZxAcUtdONnQ.jpg,,True,info@floristeriamarijuli.com,False,propia
ChIJpZCWAYmJQQ0RE2OsLOIl_UY,Floristería Nevado,Floristeria,Leganes,"Av. Dr. Mendiguchía Carriche, 26, 28913 Leganés, Madrid, España",+34 910 23 96 83,https://www.floristerianevado.com/,True,4.4,147,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJpZCWAYmJQQ0RE2OsLOIl_UY.jpg,https://instagram.com/floristeria_nevado1,False,,True,propia
ChIJe0xk9VYnQg0RrAIfbBr7L_E,Galva Floristas,Floristeria,Leganes,"Av. Rey Juan Carlos I, 83, 28916 Leganés, Madrid, España",+34 916 86 31 96,http://www.galvafloristas.com/,True,4.6,74,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJe0xk9VYnQg0RrAIfbBr7L_E.jpg,,True,,True,propia
ChIJYemXP1aJQQ0RvXa3bWb5f2w,ECUAFLOR floristeria,Floristeria,Leganes,"Av. Puerta del Sol, 2 Centro COMERCIAL PLAZA NUEVA, frente lineas de caja Carrefour, local 18, 28918 Leganés, Madrid, España",+34 910 41 69 05,http://floristeriaecuaflor.com/,True,4.6,70,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJYemXP1aJQQ0RvXa3bWb5f2w.jpg,https://instagram.com/floristeriaecuaflor,False,ecuaflormadrid@gmail.com,False,propia
ChIJMURZCGeKQQ0RYtysZKHQN8Q,Verdecora Arroyo Culebro M-50,Floristeria,Leganes,"C. Fuente de la Teja, 2, 28914 Leganés, Madrid, España",+34 916 89 58 41,https://verdecora.es/tiendas/3-arroyo-culebro-m50-madrid,True,4.2,9734,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJMURZCGeKQQ0RYtysZKHQN8Q.jpg,https://instagram.com/verdecora,False,,True,propia
ChIJxSPUV7uJQQ0Rpray2uyykF8,Bouquets Alonso Leganes,Floristeria,Leganes,"Galería Pryconsa, C. de los Monegros, 10, Puesto 14, 28915 Leganés, Madrid, España",+34 673 69 44 40,https://bouquetsalonso.com/,True,4.8,25,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJxSPUV7uJQQ0Rpray2uyykF8.jpg,https://instagram.com/alonso_floristas,False,floristeria@bouquetsalonso.com,False,propia
ChIJOcVy_4OJQQ0R8QaPv7Scx7E,Klitie · Flores y Velas,Floristeria,Leganes,"C. de la Rioja, 120, 28915 Leganés, Madrid, España",+34 638 31 78 04,http://www.klitie.com/,True,5,25,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJOcVy_4OJQQ0R8QaPv7Scx7E.jpg,https://instagram.com/klitie_,False,,True,propia
ChIJu6sUjzQhQg0RD0f5BFZGJAE,QUILES Floristería,Floristeria,Leganes,"C. Leganés, 55, 28904 Getafe, Madrid, España",+34 913 11 24 44,https://www.grupoquiles.es/,True,4.7,100,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJu6sUjzQhQg0RD0f5BFZGJAE.jpg,https://instagram.com/quilesfloristeria,False,info@grupoquiles.es,False,propia
ChIJj2sXDCwnQg0RDbsKvwodFko,Floristería Flor África,Floristeria,Leganes,"Calle de la Resina, 53, Nave B, Villaverde, 28021 Madrid, España",+34 900 907 684,https://www.florafrica.com/,True,4.2,31,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJj2sXDCwnQg0RDbsKvwodFko.jpg,https://instagram.com/florafrica_floristeria,False,info@florafrica.com,False,propia
ChIJkRyd4n8hQg0Rt-13uGK0Coo,DOMINGA FLORES,Floristeria,Leganes,"C. Valdemorillo, 6, 28901 Getafe, Madrid, España",+34 609 42 29 03,https://domingaflores.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio,True,5,19,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJkRyd4n8hQg0Rt-13uGK0Coo.jpg,,True,,True,propia
ChIJh9WV2mEhQg0Rb2Uyer9qNiU,MARSILEA FLORISTAS,Floristeria,Leganes,"C. Madrid, 36, local izquierdo, 28901 Getafe, Madrid, España",+34 912 99 81 01,,False,4.7,170,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJh9WV2mEhQg0Rb2Uyer9qNiU.jpg,,True,,True,ninguna
ChIJWQg8D-IhQg0RbluOyvthtlE,Floristeria La Buganvilla de Lupi,Floristeria,Leganes,"Plaza Obispo Felipe Scio Riaza, 3, 28901 Getafe, Madrid, España",+34 910 82 72 51,,False,4.8,36,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJWQg8D-IhQg0RbluOyvthtlE.jpg,,True,,True,ninguna
ChIJV7GTT5UgQg0Rp9HiwuEE9do,Floristería Eterna Primavera,Floristeria,Leganes,"Av. de los Ángeles, 3, 28903 Getafe, Madrid, España",+34 916 95 62 71,https://eternaprimaveratichigifts.com/,True,4.8,253,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJV7GTT5UgQg0Rp9HiwuEE9do.jpg,,True,,True,propia
ChIJecL_4PiJQQ0RcJlFsy5h-_k,Floristería Mayoflor | Oficina,Floristeria,Leganes,"C. de Artesanos, 19, 28923 Alcorcón, Madrid, España",+34 676 48 26 55,https://mayoflor.com/,True,4.9,30,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJecL_4PiJQQ0RcJlFsy5h-_k.jpg,https://instagram.com/mayoflor,False,info@mayoflor.com,False,propia
ChIJBf3ly70gQg0RfnGYsyVyFMQ,Floristería Panés,Floristeria,Leganes,"C. San José de Calasanz, 41, 28902 Getafe, Madrid, España",+34 916 81 50 57,,False,4.5,77,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJBf3ly70gQg0RfnGYsyVyFMQ.jpg,,True,,True,ninguna
ChIJ_2TMhMqOQQ0R_DDzdeAAL-w,Floristería Las Camelias Arte Floral,Floristeria,Leganes,"C. Nueva, 10, 28921 Alcorcón, Madrid, España",+34 914 86 04 50,https://www.lascameliasartefloral.com/,True,4.8,985,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ_2TMhMqOQQ0R_DDzdeAAL-w.jpg,https://instagram.com/lascamelias,False,info@lascameliasartefloral.com,False,propia
ChIJpR6AW8IgQg0RiGbBDdBYRoA,Tu Floristería en Casa,Floristeria,Leganes,"C. Murcia, 20, 28903 Getafe, Madrid, España",+34 657 05 41 21,http://www.tufloristeriaencasa.com/,True,4.2,72,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJpR6AW8IgQg0RiGbBDdBYRoA.jpg,,True,,True,propia
ChIJP4L-9WyJQQ0RsnR1vEfuBTY,MACJARDIN,Floristeria,Leganes,"Poligono industrial san jose de valderas, C. del Trueno, 40, 28918 Leganés, Madrid, España",+34 912 36 87 06,http://www.macjardin.com/,True,4.5,92,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJP4L-9WyJQQ0RsnR1vEfuBTY.jpg,https://instagram.com/macjardin,False,macjardin@macjardin.com,False,propia
ChIJEwKFXRiJQQ0R0y8hP5Z-nck,Flores Butarqueñas,Floristeria,Leganes,"P.º de la Ermita, 25, 28918 Leganés, Madrid, España",+34 665 23 63 25,,False,3,4,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJEwKFXRiJQQ0R0y8hP5Z-nck.jpg,,True,,True,ninguna
ChIJBVk2yQYnQg0RPgUco44i9BA,Floristería Rosa de Jericó,Floristeria,Leganes,"C. del Camino Viejo de Leganés, 143, Carabanchel, 28025 Madrid, España",+34 633 40 12 64,,False,4.5,51,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJBVk2yQYnQg0RPgUco44i9BA.jpg,,True,,True,ninguna
ChIJG9yaKSUhQg0RX_Ewj4S6mww,Pepe Camacho Floristeria | Taller y Proyectos Florales,Floristeria,Leganes,"C. Concha Espina, 6, 28903 Getafe, Madrid, España",+34 606 64 53 49,https://linktr.ee/pepecamacho,False,5,53,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJG9yaKSUhQg0RX_Ewj4S6mww.jpg,https://instagram.com/pepe_camacho_florista,False,,True,social
ChIJ6yT30UeJQQ0RcZGcyl0QIic,Floristeria Dos Brotes,Floristeria,Leganes,"Calle Río Segre Nº 9 esquina, Av. de Leganés, 28923 Alcorcón, Madrid, España",+34 910 17 75 22,https://floristeriadosbrotes.com/,True,4.8,142,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ6yT30UeJQQ0RcZGcyl0QIic.jpg,https://instagram.com/dosbrotes,False,info@floristeriadosbrotes.com,False,propia
