place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJyWpfwSGKQQ0R9sy_aeTT__0,PASOCORRECTO,Inmobiliaria,Leganes,"Av. de Fuenlabrada, 93, 28912 Leganés, Madrid, España",+34 916 89 56 00,http://www.pasocorrecto.es/,True,4.7,262,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJyWpfwSGKQQ0R9sy_aeTT__0.jpg,propia,,True,?,no carga (SSLError)
ChIJxWR4MH6JQQ0Ry7QXdmriWW0,Inmobiliaria Hogares en Leganés Centro,Inmobiliaria,Leganes,"Av. de la Universidad, 24, 28911 Leganés, Madrid, España",+34 615 33 89 12,https://www.hogaresgroup.es/localidad-compra/leganes/,True,4.8,161,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJxWR4MH6JQQ0Ry7QXdmriWW0.jpg,franquicia,reclamaciones@hogaresgroup.es,False,,
ChIJuzyLxRuJQQ0RAPNKwUAMm-8,"Inmobiliaria Hogares en Leganés, Monegros",Inmobiliaria,Leganes,"C. de los Monegros, 11, 28915 Leganés, Madrid, España",+34 648 49 86 06,https://www.leganesmonegros.hogaresgroup.es/,True,3.9,181,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJuzyLxRuJQQ0RAPNKwUAMm-8.jpg,franquicia,leganesmonegros@hogaresgroup.es,False,,
ChIJAQDQISCKQQ0RBydNVo-xB4E,UNIPISO,Inmobiliaria,Leganes,"C. de la Fuente, 1, 28911 Leganés, Madrid, España",+34 914 98 72 26,http://unipiso.es/,True,4.5,127,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJAQDQISCKQQ0RBydNVo-xB4E.jpg,propia,info@unipiso.es,False,no,web moderna
ChIJEert0h-KQQ0RJMckLED4kVM,Inmobiliaria Leganés Centro Redpiso,Inmobiliaria,Leganes,"Av. del Dr. Martín Vegue Jaύdenes, 7, 28912 Leganés, Madrid, España",+34 910 22 88 80,https://www.redpiso.es/oficina/inmobiliaria-leganes-centro/venta,True,4.8,105,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJEert0h-KQQ0RJMckLED4kVM.jpg,franquicia,,True,,
ChIJK3239_SJQQ0RlU0d1bqvujA,"N13 Inmobiliaria en Leganes | Esfuerzo, Calidad y Confianza",Inmobiliaria,Leganes,"Av. de Fuenlabrada, 5, 28912 Leganés, Madrid, España",+34 916 94 21 02,https://www.n13inmobiliaria.es/,True,4.7,183,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJK3239_SJQQ0RlU0d1bqvujA.jpg,propia,,True,no,web moderna
ChIJd87NWH6JQQ0RJHkmRJqgjME,Hogar Ideal Inmobiliaria,Inmobiliaria,Leganes,"C. de Butarque, 5, 28911 Leganés, Madrid, España",+34 919 32 52 49,http://www.hogarideal.es/,True,4.8,125,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd87NWH6JQQ0RJHkmRJqgjME.jpg,propia,inmobiliaria@hogarideal.es,False,no,web moderna
ChIJ7_bE_YiJQQ0RveWhlMe2Mhs,Api Sur,Inmobiliaria,Leganes,"Av. Dr. Mendiguchía Carriche, 18, 28913 Leganés, Madrid, España",+34 914 98 79 20,http://www.api-sur.com/,True,4.6,63,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ7_bE_YiJQQ0RveWhlMe2Mhs.jpg,propia,vsanchez@api-sur.com,False,no,web moderna
ChIJoaLxZHiLQQ0R5VR9z8YWh0k,Inmobiliaria Bancasa en Leganés,Inmobiliaria,Leganes,"C. de la Fuente, 2, 28911 Leganés, Madrid, España",+34 915 06 29 26,https://bancasa.es/,True,4.6,170,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJoaLxZHiLQQ0R5VR9z8YWh0k.jpg,propia,bancasa@bancasa.es,False,no,web moderna
ChIJa6WYlo-JQQ0RYnIrnx6Niik,Inmobiliaria GrupoUrbamar,Inmobiliaria,Leganes,"C. de Pablo Freire, 2, 28918 Leganés, Madrid, España",+34 918 27 73 27,http://www.grupourbamar.com/,True,4.7,154,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJa6WYlo-JQQ0RYnIrnx6Niik.jpg,propia,info@grupourbamar.com,False,no,web moderna
ChIJT_L0klqJQQ0Rlo3v89S-oE8,"Inmobiliaria Hogares en Leganés, Solagua",Inmobiliaria,Leganes,"Av. Juan XXIII, 6, 28918 Leganés, Madrid, España",+34 911 48 07 95,https://www.solagua.hogaresgroup.es/,True,4.9,70,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT_L0klqJQQ0Rlo3v89S-oE8.jpg,franquicia,solagua@hogaresgroup.es,False,,
ChIJd-05EvN_b0ARq4-T-ZoTB-8,Troya Servicios Inmobiliarios,Inmobiliaria,Leganes,"Av. Rey Juan Carlos I, 69, 28916 Leganés, Madrid, España",+34 916 80 83 30,https://inmotroya.com/,True,4.5,146,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd-05EvN_b0ARq4-T-ZoTB-8.jpg,propia,info@inmotroya.com,False,no,web moderna
