place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,"""Mon""",Panaderia,Leganes,"C. de los Monegros, 43, 28915 Leganés, Madrid, España",+34 910 13 64 95,,False,,,,ninguna,,True,,
,ADIPAN,Panaderia,Leganes,"C. Río Manzanares, 25, 28913 Leganés, Madrid, España",+34 622 30 74 85,,False,,,,ninguna,,True,,
,Boutique Artesanal Coliseum,Panaderia,Leganes,"C. de Argentina, 28918 Leganés, Madrid, España",+34 661 72 53 86,,False,,,,ninguna,,True,,
,Cafetería Ohana Panadería,Panaderia,Leganes,"C. de la Rioja, 53, 28915 Leganés, Madrid, España",+34 643 74 02 93,,False,,,,ninguna,,True,,
,EL HORNO DE CLAUDIA,Panaderia,Leganes,"Av. de los Derechos Humanos, 18, 28914 Leganés, Madrid, España",+34 602 42 28 53,https://el-horno-de-claudia.eatbu.com/,True,,,,propia,,True,,
,Industrial Panificadora Nuestra Señora De Butarque,Panaderia,Leganes,"C. de Gregorio Marañón, 17, 28914 Leganés, Madrid, España",+34 916 85 11 62,,False,,,,ninguna,,True,,
,Jopama,Panaderia,Leganes,"C. de Vasco de Gama, 4, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Josepan Leganés,Panaderia,Leganes,"Av. del Dr. Martín Vegue Jaύdenes, 24, 28912 Leganés, Madrid, España",+34 912 28 24 24,https://josepan.es/,True,,,,propia,,True,,
,La Colomina Fernandez,Panaderia,Leganes,"C. Juan Muñoz, 43, Loc, 28911 Leganés, Madrid, España",+34 919 47 76 25,,False,,,,ninguna,,True,,
,La moderna,Panaderia,Leganes,"C. Petra Kelly, 6, portal d local 2, 28919 Leganés, Madrid, España",+34 624 73 13 26,,False,,,,ninguna,,True,,
,Levaduramadre,Panaderia,Leganes,"Av. Juan XXIII, 9, 28918 Leganés, Madrid, España",+34 912 51 09 24,https://www.levaduramadre.es/,True,,,,propia,,True,,
,Monruss Bizcochería,Panaderia,Leganes,"Av. de Fuenlabrada, 31, 28912 Leganés, Madrid, España",+34 605 71 61 94,,False,,,,ninguna,,True,,
,NuBo Pasteleria,Panaderia,Leganes,"C. Juan Muñoz, 7, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Oohlala Bistró,Panaderia,Leganes,"C. de la Rioja, 134, 28915 Leganés, Madrid, España",+34 688 46 12 36,https://oohlalabistro.es/,True,,,,propia,,True,,
,Paes Bakery Leganés,Panaderia,Leganes,"C. la Coruña, 6, 28914 Leganés, Madrid, España",+34 910 23 81 29,,False,,,,ninguna,,True,,
,Pan Masa Madre,Panaderia,Leganes,"C. de Vasco de Gama, 4, 28911 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Pan Natural,Panaderia,Leganes,"C. del Relámpago, 20, 28918 Leganés, Madrid, España",+34 916 12 41 87,http://www.pannatural.es/,True,,,,propia,,True,,
,Panaderia Bolleria,Panaderia,Leganes,"C. Bardenas, 8, 28915 Leganés, Madrid, España",+34 603 24 92 13,,False,,,,ninguna,,True,,
,Panaderia Semitas de Aby,Panaderia,Leganes,"Av. de la Mancha, 15, 28912 Leganés, Madrid, España",+34 642 46 47 91,,False,,,,ninguna,,True,,
,Panadería Granier,Panaderia,Leganes,"C. Juan Muñoz, 6, 28911 Leganés, Madrid, España",+34 916 93 85 61,http://www.pansgranier.com/,True,,,,propia,,True,,
,Panadería Paqui,Panaderia,Leganes,"C. de la Rioja, 86, 28915 Leganés, Madrid, España",,,False,,,,ninguna,,True,,
,Panadería Pastelería la Gallega,Panaderia,Leganes,"C. de Navarra, 6, 28913 Leganés, Madrid, España",+34 916 94 72 63,,False,,,,ninguna,,True,,
,Panadería TachiraPan,Panaderia,Leganes,"C. de La Alcarria, 38, 28915 Leganés, Madrid, España",+34 614 38 25 29,,False,,,,ninguna,,True,,
