place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJHWkAwbKLQQ0R7NPJEabHz94,La fama Barber shop LEGANÉS,Peluqueria,Leganes,"Av. del Dr. Fleming, 22, Planta baja local a, 28912 Leganés, Madrid, España",+34 613 21 74 08,,False,4.9,102,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJHWkAwbKLQQ0R7NPJEabHz94.jpg,,True,ninguna
ChIJfSMMkYqJQQ0Re7FAzpQ37Ls,Odeoz Hair Lab,Peluqueria,Leganes,"C. Torrubia, 6, 28911 Leganés, Madrid, España",+34 916 80 35 37,https://odeozhairlab.com/,True,4.8,580,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJfSMMkYqJQQ0Re7FAzpQ37Ls.jpg,hola@odeozhairlab.com,False,propia
ChIJ8TAzm1GJQQ0RLwbNbDO60z8,BARBERIA-ANAS,Peluqueria,Leganes,"C. Mayorazgo, 1, bajo a, 28915 Leganés, Madrid, España",+34 919 20 18 59,,False,4.8,222,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ8TAzm1GJQQ0RLwbNbDO60z8.jpg,,True,ninguna
ChIJ486yY1YnQg0RxY5C7n-z0l0,Gascueña Peluqueros,Peluqueria,Leganes,"Av. Rey Juan Carlos I, 98, 28916 Leganés, Madrid, España",+34 916 80 26 24,http://www.gascuenapeluqueros.com/,True,4.6,300,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ486yY1YnQg0RxY5C7n-z0l0.jpg,info@gascuenapeluqueros.com,False,propia
ChIJoUgR2eWJQQ0RD9PVFvFVBkw,BARBER SHOP ADAM,Peluqueria,Leganes,"C. de Teresa Claramunt, 28919 Leganés, Madrid, España",+34 602 05 04 70,,False,4.6,109,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJoUgR2eWJQQ0RD9PVFvFVBkw.jpg,,True,ninguna
ChIJR7lR7h-KQQ0RoslEWQLoDcg,Peluqueria Agadir,Peluqueria,Leganes,"Av. de Fuenlabrada, 47, 28912 Leganés, Madrid, España",+34 630 64 42 52,,False,4.5,131,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJR7lR7h-KQQ0RoslEWQLoDcg.jpg,,True,ninguna
ChIJ9aV0qHeJQQ0RTMr3A6Dt-sI,K-ANUKA Leganés,Peluqueria,Leganes,"Calle Santa Rosa, C. Juan Muñoz, 1 esquina, 28911 Leganés, Madrid, España",+34 914 96 65 49,http://www.k-anuka.com/,True,4.4,261,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ9aV0qHeJQQ0RTMr3A6Dt-sI.jpg,info@k-anuka.com,False,propia
ChIJdb8ZB_qJQQ0RHv0xInKLHRM,La Pelu de Olalla,Peluqueria,Leganes,"Av. Rey Juan Carlos I, 13, 28915 Leganés, Madrid, España",+34 916 88 49 69,https://www.lapeludeolalla.es/,True,4.8,194,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJdb8ZB_qJQQ0RHv0xInKLHRM.jpg, hola@lapeludeolalla.es,False,propia
ChIJAanIbyyJQQ0RDsHSHxauw18,Promise Hairstudio,Peluqueria,Leganes,"C. de la Rioja, 39, 28915 Leganés, Madrid, España",+34 614 15 12 36,http://www.promisehairstudio.com/,True,5,237,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJAanIbyyJQQ0RDsHSHxauw18.jpg,promisehairstudio01@gmail.com,False,propia
ChIJk3RcNQCLQQ0RLhCvnGt5JxY,Peluquería Sebastián,Peluqueria,Leganes,"Pl. de España, 2, Loc 10, 28911 Leganés, Madrid, España",+34 604 86 48 18,,False,4.7,14,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJk3RcNQCLQQ0RLhCvnGt5JxY.jpg,,True,ninguna
ChIJZQrd7ImJQQ0RGFZRVU4cSUs,Barberia K&M,Peluqueria,Leganes,"Calle de Sta. Rosa, 8, 28911 Leganés, Madrid, España",+34 692 72 47 05,,False,4.5,226,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZQrd7ImJQQ0RGFZRVU4cSUs.jpg,,True,ninguna
ChIJod0RC9KLQQ0RvO7qn7oEhnQ,Barbería K&M,Peluqueria,Leganes,"Av. de Fuenlabrada, 80, 28911 Leganés, Madrid, España",+34 919 35 14 28,,False,4.6,195,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJod0RC9KLQQ0RvO7qn7oEhnQ.jpg,,True,ninguna
ChIJF4aU-vSJQQ0Ra8pgW1gDeQo,Peluqueria maroune,Peluqueria,Leganes,"Av. de Fuenlabrada, 12, 28912 Leganés, Madrid, España",+34 632 05 08 59,,False,5,5,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJF4aU-vSJQQ0Ra8pgW1gDeQo.jpg,,True,ninguna
ChIJK_YlXfWJQQ0RcdgEptw3-Kw,Peluquería en Leganés - Estética - Masajes - LAKSHIMI,Peluqueria,Leganes,"Av. de Fuenlabrada, 34, 28912 Leganés, Madrid, España",+34 916 87 85 92,http://www.lakshmibellezaybienestar.com/,True,4.8,187,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJK_YlXfWJQQ0RcdgEptw3-Kw.jpg,info@lakshmibellezaybienestar.com,False,propia
