place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJSf4uTZEpQg0R01EjHYTvjLE,Restaurante Maridaje Divino,Restaurante,Leganes,"Pl. de París, 6, 28911 Leganés, Madrid, España",+34 911 05 00 39,,False,4.8,549,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJSf4uTZEpQg0R01EjHYTvjLE.jpg,ninguna,,True,,
ChIJcx4CguGJQQ0R7wTmMwz4dZ8,Restaurante la Cuchara Mágica,Restaurante,Leganes,"N º 57, Av. de Carmen Martín Gaite, 28919 Leganés, Madrid, España",+34 916 86 23 46,https://www.lacucharamagica.com/,True,4.7,1376,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJcx4CguGJQQ0R7wTmMwz4dZ8.jpg,propia,,True,no,web moderna
ChIJk38LsSKLQQ0RM7Mepaf8k1E,Restaurante Napoli Rules,Restaurante,Leganes,"C. de Ordóñez, 1, 28911 Leganés, Madrid, España",+34 910 11 45 81,http://www.napolirules.com/,True,4.7,1654,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJk38LsSKLQQ0RM7Mepaf8k1E.jpg,propia,,True,no,web moderna
ChIJuYi3-FCJQQ0RT_XiMttPSmc,La Esquina By Milano,Restaurante,Leganes,"C. Petra Kelly, 10, 28919 Leganés, Madrid, España",+34 910 16 23 22,,False,4.5,913,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJuYi3-FCJQQ0RT_XiMttPSmc.jpg,ninguna,,True,,
ChIJtaJcH6qLQQ0Ryx6CjApw7C4,Restaurante Trigo Menú Fin de Semana Económico Diario del Día en Leganés,Restaurante,Leganes,"C. del Trigo, 36, 28914 Leganés, Madrid, España",+34 635 50 56 93,https://www.restaurantetrigoleganes.com/,True,4.5,1823,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJtaJcH6qLQQ0Ryx6CjApw7C4.jpg,propia,,True,no,web moderna
ChIJQd4FgeaJQQ0RneSSRhahVBc,santé,Restaurante,Leganes,"Av. Juan XXIII, 12, 28918 Leganés, Madrid, España",+34 910 63 88 45,https://santerestaurante.es/,True,4.6,723,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJQd4FgeaJQQ0RneSSRhahVBc.jpg,propia,,True,?,HTTP 403
ChIJvWoq9YmJQQ0RPbtmUsgiaqE,Restaurante Rita la Cantaora,Restaurante,Leganes,"C. Juan Muñoz, 43, 28911 Leganés, Madrid, España",+34 918 32 19 61,http://www.ritalacantaora.es/,True,4.4,2027,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJvWoq9YmJQQ0RPbtmUsgiaqE.jpg,propia,,True,no,web moderna
ChIJjT00e-WJQQ0RwzjYbYgyDnw,El Toke Leganés,Restaurante,Leganes,"C. Anita Martínez, 18, 28918 Leganés, Madrid, España",+34 686 08 75 48,,False,4.7,73,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJjT00e-WJQQ0RwzjYbYgyDnw.jpg,ninguna,,True,,
ChIJq0mZjaGJQQ0RNduTj2E4S-k,Restaurante LaPoza Leganés,Restaurante,Leganes,"Av. Vicente Ferrer, 9, 28918 Leganés, Madrid, España",+34 910 08 20 20,https://lapoza.es/,True,4.5,1078,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJq0mZjaGJQQ0RNduTj2E4S-k.jpg,propia,info@lapoza.es,False,no,web moderna
ChIJkezqJSuLQQ0RMNI7Er2bDiY,RESTAURANTE MANILA,Restaurante,Leganes,"Pl. Andalucía, 1, 28911 Leganés, Madrid, España",+34 916 94 53 34,http://www.restaurantemanila.es/,True,4.5,202,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJkezqJSuLQQ0RMNI7Er2bDiY.jpg,propia,,True,no,web moderna
ChIJC21Y3ryJQQ0R-czSM9T6DPE,Dragon Kitchen Leganés,Restaurante,Leganes,"Av. Vicente Ferrer, 3, 28918 Leganés, Madrid, España",+34 913 78 96 51,http://www.dragonkitchen.es/,True,4.6,827,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJC21Y3ryJQQ0R-czSM9T6DPE.jpg,propia,info@dragonkitchen.es,False,no,web moderna
ChIJ2dh91xqKQQ0RSrqQ3yIbEh0,Mesón Rías Gallegas,Restaurante,Leganes,"C. Lugo, 4, 28914 Leganés, Madrid, España",+34 916 93 00 02,http://www.mesonriasgallegas.es/,True,4.3,1621,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ2dh91xqKQQ0RSrqQ3yIbEh0.jpg,propia,riasgallegas@mesonriasgallegas.es,False,no,"marcado obsoleto: center, font"
ChIJRbQg7VYnQg0REiOdEYM7Zuc,Restaurante Changô,Restaurante,Leganes,"Parque de El Carrascal S/N, 28916 Leganés, Madrid, España",+34 699 06 05 81,https://changoleganes.com/,True,4.1,4182,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJRbQg7VYnQg0REiOdEYM7Zuc.jpg,propia,changohosteleria@gmail.com,False,no,web moderna
ChIJd4zk4fGJQQ0RdtOGun3bOaw,Castizö Gastrobar,Restaurante,Leganes,"C. Mayorazgo, 22, 28915 Leganés, Madrid, España",+34 910 93 87 46,https://www.castizogastrobar.com/,True,4.6,514,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd4zk4fGJQQ0RdtOGun3bOaw.jpg,propia,,True,no,web moderna
ChIJu1zFzCaKQQ0RaAkMYX4uscg,Restaurante El Caldero de Roal,Restaurante,Leganes,"Pl. Mayor, 6, 28911 Leganés, Madrid, España",+34 912 28 39 44,,False,4.3,933,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJu1zFzCaKQQ0RaAkMYX4uscg.jpg,ninguna,,True,,
ChIJd3fE70SLQQ0RzLcoIOjLYJQ,Gastro Bar Lusitano,Restaurante,Leganes,"Pl. Salvador, 5, 28911 Leganés, Madrid, España",+34 632 35 08 83,https://gastrobarlusitano.com/,True,4,1874,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd3fE70SLQQ0RzLcoIOjLYJQ.jpg,propia,contacto@gastrobarlusitano.com,False,no,web moderna
ChIJJebE-o2LQQ0R15rZ-wGzhSU,Da' Bacco Bar-Restaurante,Restaurante,Leganes,"C. Mediodía, 4, 28911 Leganés, Madrid, España",+34 603 12 85 02,,False,4.7,325,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJJebE-o2LQQ0R15rZ-wGzhSU.jpg,ninguna,,True,,
ChIJdzaI7CCKQQ0RALj-8fiTqI4,Bar restaurante Minuit,Restaurante,Leganes,"C. el Charco, 2, 28911 Leganés, Madrid, España",+34 916 93 84 24,http://www.minuitleganes.com/,True,4.5,2309,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJdzaI7CCKQQ0RALj-8fiTqI4.jpg,propia,,True,no,pagina minima (631 chars)
ChIJe3JfH_uJQQ0RdbvS_DYo3RM,Restaurante Carpanta,Restaurante,Leganes,"C. de los Monegros, 51, 28915 Leganés, Madrid, España",+34 810 52 16 46,http://www.restaurantecarpanta.com/,True,4.1,1610,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJe3JfH_uJQQ0RdbvS_DYo3RM.jpg,propia,,True,si,sin https
ChIJcYIpZgCLQQ0R_rhrRFzuPEQ,Tropical House Gastro Bar,Restaurante,Leganes,"Pl. Fuente Honda, 3, 28911 Leganés, Madrid, España",+34 662 10 97 94,,False,4.5,94,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJcYIpZgCLQQ0R_rhrRFzuPEQ.jpg,ninguna,,True,,
ChIJTXb1CbCLQQ0Rh-kvbgC-kUw,El Venezolano,Restaurante,Leganes,"C. de el Sol, 11, 28911 Leganés, Madrid, España",+34 642 06 21 98,https://www.instagram.com/elvenezolano24?igsh=MW83MjdwcXJnYm1iMA==,False,4.8,2351,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJTXb1CbCLQQ0Rh-kvbgC-kUw.jpg,social,,True,,
ChIJfQCu9oiJQQ0RDlFd5G8wQr4,Restaurante La Terraza de Leganes,Restaurante,Leganes,"Av. Dr. Mendiguchía Carriche, 15, 28913 Leganés, Madrid, España",+34 911 74 59 03,https://restaurantelaterrazadeleganes.eatbu.com/,True,4.3,639,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJfQCu9oiJQQ0RDlFd5G8wQr4.jpg,propia,mrri88@hotmail.com,False,no,web moderna
ChIJoRA-RkeJQQ0R05H-Zt-BNbU,Mesón Teo,Restaurante,Leganes,"C. Rio Duero, 69, 28913 Leganés, Madrid, España",+34 609 02 95 87,,False,4.8,175,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJoRA-RkeJQQ0R05H-Zt-BNbU.jpg,ninguna,,True,,
ChIJT3ha1fOJQQ0RjCe8g_6CjeM,Restaurante La Chopera,Restaurante,Leganes,"C. Adolfo Marsillach, 2, 28915 Leganés, Madrid, España",+34 916 80 71 45,https://www.lachoperaleganes.com/,True,4,4406,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT3ha1fOJQQ0RjCe8g_6CjeM.jpg,propia,contacta@lachoperaleganes.com,False,no,web moderna
ChIJGzXZN8yLQQ0RK7X532YE5QQ,Restaurante El Rincón de Rick,Restaurante,Leganes,"Plaza Alcalde José Manuel Matheo Luaces, 1, 28914 Madrid, España",+34 916 48 52 31,http://www.elrinconderick.es/,True,4,1158,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJGzXZN8yLQQ0RK7X532YE5QQ.jpg,propia,info@elrinconderick.es,False,si,sin https
ChIJV5p6IyWKQQ0RNB6dwCmF4xU,Restaurante Los Frailes,Restaurante,Leganes,"C. de los Frailes, 10, 28914 Leganés, Madrid, España",+34 917 65 04 11,http://restaurantelosfrailes.com/,True,3.8,3295,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJV5p6IyWKQQ0RNB6dwCmF4xU.jpg,propia,,True,no,web moderna
ChIJgVmOHsuJQQ0RcfwmSBIUCBo,Casa Nina Restaurante Leganés,Restaurante,Leganes,"Av. de la Universidad, 35, 28911 Leganés, Madrid, España",+34 912 27 20 79,http://www.restaurantecasanina.es/,True,4.5,22,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJgVmOHsuJQQ0RcfwmSBIUCBo.jpg,propia,,True,si,sin viewport (no responsive); pagina minima (128 chars)
ChIJ1S5hA-SJQQ0RwnnvYh0Jmcg,Casa Ángel,Restaurante,Leganes,"C. Clara Janés, 9, 28919 Leganés, Madrid, España",+34 916 86 80 25,https://casa-angel.com/,True,4,1747,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ1S5hA-SJQQ0RwnnvYh0Jmcg.jpg,propia,,True,?,HTTP 503
ChIJ9yD_yPWLQQ0RYhsDzjfTp0E,Restaurante Amaro Pargo,Restaurante,Leganes,"C. de los Mesones, 9, 28911 Leganés, Madrid, España",+34 916 93 84 48,https://www.amaropargorestaurante.es/,True,4.6,602,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ9yD_yPWLQQ0RYhsDzjfTp0E.jpg,propia,,True,no,web moderna
ChIJVYZTMoSLQQ0RE90s1WgL-LA,Restaurante Sabores Latinos,Restaurante,Leganes,"C. de Polvoranca, 26, 28911 Leganés, Madrid, España",+34 919 35 19 66,http://www.saboreslatinoss.com/,True,4.8,913,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJVYZTMoSLQQ0RE90s1WgL-LA.jpg,propia,,True,si,sin https
ChIJLePvyk6LQQ0R_p3Hwj_Xrvg,Amazonia Açaí Leganés,Restaurante,Leganes,"Pl. Fuente Honda, 9, 28911 Leganés, Madrid, España",+34 913 27 48 69,https://amazoniacai.com/,True,4.9,533,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJLePvyk6LQQ0R_p3Hwj_Xrvg.jpg,propia,info@amazoniacai.com,False,no,web moderna
