place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,A&A Motor,Taller,Leganes,"C. de Celinda, 10, 28912 Leganés, Madrid, España",+34 722 21 00 59,,False,,,,ninguna,,True,,
,AMJ-MOTOR,Taller,Leganes,"C. Polonia, 10, Loc 2y3, 28916 Leganés, Madrid, España",+34 636 38 09 17,,False,,,,ninguna,,True,,
,Agisa,Taller,Leganes,"C. de Yugoslavia, 7, 28916 Leganés, Madrid, España",+34 916 88 96 76,,False,,,,ninguna,,True,,
,Autobercial,Taller,Leganes,"C. Miguel Català, 10, nave 16, 28914 Leganés, Madrid, España",+34 916 85 72 11,http://autobercial.es/,True,,,,propia,,True,,
,Automecanica Raes,Taller,Leganes,"C. de Calderón de la Barca, 17, 28912 Leganés, Madrid, España",+34 910 23 41 74,,False,,,,ninguna,,True,,
,Bosch Car Service Talleres Cubero,Taller,Leganes,"C. Lope de Vega, 25, 28912 Leganés, Madrid, España",+34 916 93 11 44,http://www.tallerescubero.com/,True,,,,propia,,True,,
,DLS Automoción,Taller,Leganes,"C. de Tarragona, 4, 28914 Leganés, Madrid, España",+34 910 49 73 90,,False,,,,ninguna,,True,,
,Fast Tallerauto,Taller,Leganes,"C. del Trigo, 1, Nave nº 10, 28914 Leganés, Madrid, España",+34 916 93 14 96,https://fasttallerauto.com/,True,,,,propia,,True,,
,Hiper Road Leganés,Taller,Leganes,"C. de Eduardo Torroja, 11, 28914 Leganés, Madrid, España",+34 914 81 21 43,https://hiperroad.es/,True,,,,propia,,True,,
,JuanmAutO taller mecánico,Taller,Leganes,"B, Av. de Orellana, 2, 28911 Leganés, Madrid, España",+34 916 94 75 12,http://www.juanmauto.es/,True,,,,propia,,True,,
,Leganés Bárdenas,Taller,Leganes,"C. Bardenas, 1, 28915 Leganés, Madrid, España",+34 916 80 74 89,,False,,,,ninguna,,True,,
