place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AniCura Vetsia Hospital,Veterinario,Leganes,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,C. Veterinario Acuario,Veterinario,Leganes,"Av. de Fuenlabrada, 17, 28912 Leganés, Madrid, España",+34 916 86 62 66,https://cvacuario.wixsite.com/nica-veterinaria-a-1,True,,,,builder,,True,,
,CLINICA VETERINARIA EUROPA,Veterinario,Leganes,"Av. de Francia, 21, 28916 Leganés, Madrid, España",+34 916 80 61 74,http://www.clinicaveterinariaeuropa.es/,True,,,,propia,,True,,
,Centro HGVET Quintana. Urgencias 24h,Veterinario,Leganes,"C. del Río Ulla, 15, Cdad. Lineal, 28017 Madrid, España",+34 914 07 80 02,http://www.clinicaveterinariaquintana.es/,True,,,,propia,,True,,
,Centro Veterinario San Nicasio,Veterinario,Leganes,"C. Río Guadiana, 12, 28913 Leganés, Madrid, España",+34 916 93 43 19,https://www.centrovet-sannicasio.com/,True,,,,propia,,True,,
,Centro Veterinario Valdeoso,Veterinario,Leganes,"C. Anita Martínez, 8, 28918 Leganés, Madrid, España",+34 667 35 77 20,https://www.centroveterinariovaldeoso.com/,True,,,,propia,,True,,
,Clinic Veterinaria Legavet,Veterinario,Leganes,"C. de Polvoranca, 11, 28911 Leganés, Madrid, España",+34 916 93 89 22,http://legavet.es/,True,,,,propia,,True,,
,Clinica Veterinaria El Bercial,Veterinario,Leganes,"Av. del Parque, 1, 28907 Getafe, Madrid, España",+34 916 96 27 34,https://www.veterinariaelbercial.es/,True,,,,propia,,True,,
,Clinica Veterinaria Norivet,Veterinario,Leganes,"C. Melilla, 5, Loc 3, 28913 Leganés, Madrid, España",+34 684 36 62 80,http://www.norivet.es/,True,,,,propia,,True,,
,Clinica Veterinaria Zarzaquemada,Veterinario,Leganes,"C. de las Alpujarras, 4, 28915 Leganés, Madrid, España",+34 916 80 82 82,,False,,,,ninguna,,True,,
,Clínica Veterinaria Alameda,Veterinario,Leganes,"Urb. Arroyoculebro, C. del Alcalde Pedro González González, 11, locales 1-2, 28914 Madrid, España",+34 916 48 50 56,https://www.clinicaveterinarialameda.com/,True,,,,propia,,True,,
,Clínica Veterinaria Animal Kingdom,Veterinario,Leganes,"Calle Francisco Ribera, esquina, C. Goya, 1, 28918 Leganés, Madrid, España",+34 646 91 03 13,,False,,,,ninguna,,True,,
,Clínica Veterinaria Animanuco,Veterinario,Leganes,"C. de Ordóñez, 28, Local, 28911 Leganés, Madrid, España",+34 916 94 87 56,,False,,,,ninguna,,True,,
,Clínica Veterinaria Azahar,Veterinario,Leganes,"C. Río Duero, s/n, 28923 Alcorcón, Madrid, España",+34 912 26 01 06,https://www.clinicaveterinaria-azahar.es/,True,,,,propia,,True,,
,Clínica Veterinaria Colorvet,Veterinario,Leganes,"C. del Carmen, 20, 28917 La Fortuna, Madrid, España",+34 916 08 93 02,https://www.colorvet.com/,True,,,,propia,,True,,
,Clínica Veterinaria Dobermann II,Veterinario,Leganes,"C. de la Rioja, 19, Posterior, 28915 Leganés, Madrid, España",+34 916 88 27 59,https://www.clinicaveterinariadobermann.es/es/,True,,,,propia,,True,,
,Clínica Veterinaria Don Félix,Veterinario,Leganes,"Calle Guanabacoa, C. Venezuela, 6 esquina, 28907 Getafe, Madrid, España",+34 914 91 11 27,https://www.clinicaveterinariadonfelix.es/,True,,,,propia,,True,,
,Clínica Veterinaria GetaPets,Veterinario,Leganes,"Av. de Chile, 2, 28907 Getafe, Madrid, España",+34 910 72 13 62,https://www.veterinariagetapets.com/,True,,,,propia,,True,,
,Clínica Veterinaria LA AVANZADA,Veterinario,Leganes,"Av. de la Hispanidad, 12, 28945 Fuenlabrada, Madrid, España",+34 911 43 13 76,http://www.veterinarialaavanzada.es/,True,,,,propia,,True,,
,Clínica Veterinaria La Paz,Veterinario,Leganes,"Av. de La Paz, 21, 28907 Getafe, Madrid, España",+34 912 53 55 48,http://www.clinicaveterinariaoporto.es/,True,,,,propia,,True,,
,Clínica Veterinaria Las Margaritas,Veterinario,Leganes,"C. Cataluña, 38, 28903 Getafe, Madrid, España",+34 916 83 88 38,,False,,,,ninguna,,True,,
,Clínica Veterinaria Leganés Norte,Veterinario,Leganes,"C. Petra Kelly, 3, local 9 y 10, 28919 Leganés, Madrid, España",+34 916 86 80 79,https://veterinarialeganesnorte.es/,True,,,,propia,,True,,
,Clínica Veterinaria Malina,Veterinario,Leganes,"Av. de Fuenlabrada, 99, 28912 Leganés, Madrid, España",+34 916 93 29 55,,False,,,,ninguna,,True,,
,Clínica Veterinaria Mascotiti Leganés,Veterinario,Leganes,"C. del Ampurdán, 12, 28915 Leganés, Madrid, España",+34 912 40 41 50,https://mascotiti.es/,True,,,,propia,,True,,
,Clínica Veterinaria Mukay Carabanchel,Veterinario,Leganes,"Av. de la Peseta, 55, Carabanchel, 28054 Madrid, España",+34 624 06 32 37,https://clinicaveterinariamukay.es/,True,,,,propia,,True,,
,Clínica Veterinaria Nuestra Señora de Begoña,Veterinario,Leganes,"C. de Albino Hernández Lázaro, 27, Villaverde, 28021 Madrid, España",+34 917 96 42 93,http://www.cvnuestrasenoradebegona.es/es/,True,,,,propia,,True,,
