place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJ7YH0e6-DQQ0RbH0MrNkebiQ,Wizner & Co ≫ Abogado en Móstoles,Abogado,Mostoles,"Av. de la Constitucion, 22, 1º, 28931 Móstoles, Madrid, España",+34 912 86 56 72,https://www.wiznerco.com/,True,4.9,259,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ7YH0e6-DQQ0RbH0MrNkebiQ.jpg,propia,consultas@wiznerco.com,False,no,web moderna
ChIJ7YI3njKNQQ0RkuXzryx0NWE,Vilches Abogados Móstoles,Abogado,Mostoles,"C. de la Rejilla, 9, Blq 1, piso 1º A, 28931 Móstoles, Madrid, España",+34 915 75 90 82,https://blog.hernandez-vilches.com/abogados-mostoles/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=mostoles,True,4.5,297,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ7YI3njKNQQ0RkuXzryx0NWE.jpg,propia,despacho@vilchesabogados.com,False,no,web moderna
ChIJWQMHw5uPQQ0R3I0oz7BxuSI,Ruiz Martín Abogados,Abogado,Mostoles,"Av. de la Constitucion, 22, 1º Planta Oficina 3, 28931 Móstoles, Madrid, España",+34 674 31 14 51,https://ruizmartinabogados.com/,True,5,21,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJWQMHw5uPQQ0R3I0oz7BxuSI.jpg,propia,ruizmartinabogado@outlook.es,False,no,web moderna
ChIJtdLjc5SNQQ0RMsu_cAb4VHQ,Legal Sttudio,Abogado,Mostoles,"Av. de la Constitucion, 22, 28931 Móstoles, Madrid, España",+34 601 50 09 29,http://www.legalsttudio.com/,True,5,42,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJtdLjc5SNQQ0RMsu_cAb4VHQ.jpg,propia,info@legalsttudio.com,False,no,web moderna
ChIJPfhaXiqMQQ0RaLPcgcMOUTo,Abogados del Derecho,Abogado,Mostoles,"Av. de la Constitucion, 31, 1 planta, 28931 Móstoles, Madrid, España",+34 916 13 45 46,http://www.abogadosdelderecho.com/,True,4.5,54,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJPfhaXiqMQQ0RaLPcgcMOUTo.jpg,propia,comunidades@abogadosdelderecho.com,False,no,web moderna
ChIJXYRBpLmNQQ0RRznZuR83w8I,ADMOS Abogados,Abogado,Mostoles,"Av. de la Constitucion, 31, 1 planta, 28931 Móstoles, Madrid, España",+34 916 13 45 46,http://www.admosabogados.com/,True,4.7,106,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJXYRBpLmNQQ0RRznZuR83w8I.jpg,propia,legal@admosabogados.com,False,no,web moderna
ChIJjyhNhXiNQQ0R3YJti1jdWzw,Abogados Lara Móstoles,Abogado,Mostoles,"Av. de la Constitucion, 39, 1ºC, 28931 Móstoles, Madrid, España",+34 917 46 81 78,https://www.abogadoslara.es/abogados-mostoles,True,5,23,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJjyhNhXiNQQ0R3YJti1jdWzw.jpg,propia,(despacho@abogadoslara.es) ,False,no,web moderna
ChIJsaV36HSOQQ0RN51YHVO-8Hc,ABOGADOS Juan Luis Rodríguez García,Abogado,Mostoles,"C. Antonio Hernández, 22, 28931 Móstoles, Madrid, España",+34 916 14 88 94,http://abogadojuanluisrodriguezgarcia.com/,True,4.6,95,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJsaV36HSOQQ0RN51YHVO-8Hc.jpg,propia,,True,no,web moderna
ChIJKVdrwO6NQQ0RIVbneri-3MU,Otus Abogados,Abogado,Mostoles,"Av. de la Constitucion, 22, piso 1, Local 6 y 7, 28931 Móstoles, Madrid, España",+34 639 53 57 13,https://otusabogados.es/,True,4.9,92,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJKVdrwO6NQQ0RIVbneri-3MU.jpg,propia,despacho@otusabogados.es,False,no,web moderna
ChIJ92N4sJ-NQQ0Re5koSHZoFtM,Antonio Gamez abogados,Abogado,Mostoles,"C. Cam. de Humanes, 65, 28936 Móstoles, Madrid, España",+34 643 67 51 80,http://www.antoniogamez.es/,True,5,63,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ92N4sJ-NQQ0Re5koSHZoFtM.jpg,propia,,True,?,HTTP 403
