place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTOESCUELA HYBRID,Autoescuela,Mostoles,"P.º de Arroyomolinos, 17, 28938 Móstoles, Madrid, España",+34 919 31 55 79,http://www.autoescuelahybrid.es/,True,,,,propia,,True,,
,Autoescuela Campamento S.L,Autoescuela,Mostoles,"Av. del dos de Mayo, 62, 28934 Móstoles, Madrid, España",+34 916 13 70 30,https://autoescuelacampamento.com/,True,,,,propia,,True,,
,Autoescuela Croquis,Autoescuela,Mostoles,"C. Violeta, 14, 28933 Móstoles, Madrid, España",+34 643 96 76 02,http://autoescuelacroquis.com/,True,,,,propia,,True,,
,Autoescuela El Cancho,Autoescuela,Mostoles,"Calle Parque Vosa, 27, 28933 Móstoles, Madrid, España",+34 911 39 31 64,http://autoescuelaelcancho.com/,True,,,,propia,,True,,
,Autoescuela Elices,Autoescuela,Mostoles,"Alfonso XII esquina, Pl. del Turia, 3, 28935 Móstoles, Madrid, España",+34 911 55 24 75,https://autoelices.com/,True,,,,propia,,True,,
,Autoescuela Estoril,Autoescuela,Mostoles,"C. de Montecarlo, 5, Posterior, 28936 Móstoles, Madrid, España",,http://www.autoescuelaestoril.com/,True,,,,propia,,True,,
,Autoescuela Euromotor,Autoescuela,Mostoles,"C. de Andrés Torrejón, 4, 28931 Móstoles, Madrid, España",+34 912 26 78 48,https://autoescuelaeuromotor.es/,True,,,,propia,,True,,
,Autoescuela Europea,Autoescuela,Mostoles,"C. Camino de Leganes, 51, 28936 Móstoles, Madrid, España",+34 912 26 81 12,https://autoescuelaeuropea.es/,True,,,,propia,,True,,
,Autoescuela GO! Alcorcón - Centro (Viseyam),Autoescuela,Mostoles,"C. Mayor, 66, 1º-3, 28921 Alcorcón, Madrid, España",+34 661 30 61 55,https://goautoescuelas.es/autoescuelas/alcorcon/centro/,True,,,,propia,,True,,
,Autoescuela GO! Alcorcón - Las Retamas (Anyma),Autoescuela,Mostoles,"C. Helsinki, 4, 28922 Alcorcón, Madrid, España",+34 916 85 57 19,https://goautoescuelas.es/autoescuelas/alcorcon/estacion-las-retamas/,True,,,,propia,,True,,
,Autoescuela GO! Móstoles - Baleares (Viseyam),Autoescuela,Mostoles,"Av. Cerro Prieto, 22, 28931 Móstoles, Madrid, España",+34 916 46 54 52,https://goautoescuelas.es/autoescuelas/mostoles/baleares/,True,,,,propia,,True,,
,Autoescuela GO! Móstoles - Centro (Viseyam),Autoescuela,Mostoles,"C. Huesca, 5, 28934 Móstoles, Madrid, España",+34 661 30 61 49,https://goautoescuelas.es/autoescuelas/mostoles/centro/,True,,,,propia,,True,,
,Autoescuela Gran Torino,Autoescuela,Mostoles,"C. Tulipán, 32, 28933 Móstoles, Madrid, España",+34 633 36 36 60,https://www.autoescuelagrantorino.com/,True,,,,propia,,True,,
,Autoescuela INDICAR,Autoescuela,Mostoles,"C. del Pintor el Greco, 11, Posterior, 28933 Móstoles, Madrid, España",+34 691 54 33 71,,False,,,,ninguna,,True,,
,Autoescuela Jaraiz,Autoescuela,Mostoles,"Av. Carlos V, 47, 28938 Móstoles, Madrid, España",+34 916 46 30 44,https://autoescuelajaraiz.es/permisos/,True,,,,propia,,True,,
,Autoescuela Jaraiz Travesía Dos de Mayo,Autoescuela,Mostoles,"Tr.ª Dos de Mayo, 11, 28931 Móstoles, Madrid, España",+34 916 14 51 79,,False,,,,ninguna,,True,,
,Autoescuela LUCEX - Getafe,Autoescuela,Mostoles,"P.º de La Estación, 14, 28902 Getafe, Madrid, España",+34 635 76 33 24,http://www.autoescuelalucex.com/,True,,,,propia,,True,,
,Autoescuela Lara Mostoles,Autoescuela,Mostoles,"C. de Simón Hernández, 57, 28936 Móstoles, Madrid, España",+34 603 89 04 62,https://autoescuelalara.com/centros/mostoles,True,,,,propia,,True,,
,Autoescuela Liana 1,Autoescuela,Mostoles,"Calle de Azorín, 20, C. de Joaquín Blume, 15, 28935 Móstoles, Madrid, España",+34 641 59 11 84,https://autoescuelaliana.com/,True,,,,propia,,True,,
,Autoescuela Liana 2,Autoescuela,Mostoles,"C. de Joaquín Blume, 15, 28935 Móstoles, Madrid, España",+34 624 27 08 62,https://www.autoescuelaliana.es/,True,,,,propia,,True,,
,Autoescuela Montero Espinosa,Autoescuela,Mostoles,"Av. del dos de Mayo, 73, 28934 Móstoles, Madrid, España",+34 916 47 57 53,https://autoescuelamonteroespinosa.com/,True,,,,propia,,True,,
,Autoescuela Mostoles,Autoescuela,Mostoles,"C. de Simón Hernández, 64, 28937 Móstoles, Madrid, España",+34 658 89 96 88,http://www.autoescuelamostoles.es/,True,,,,propia,,True,,
,Autoescuela Móstoles - Súper Express 🐵🚙,Autoescuela,Mostoles,"Despacho SE, C. de Joaquín Blume, 15, 28935 Móstoles, Madrid, España",+34 910 05 27 88,https://superexpress.es/autoescuela-mostoles,True,,,,propia,,True,,
,Autoescuela Móstoles C/ Río Odiel,Autoescuela,Mostoles,"C. Río Odiel, 5, 28935 Móstoles, Madrid, España",+34 625 79 32 44,https://autoescuelamostoles.es/,True,,,,propia,,True,,
,Autoescuela Rapid,Autoescuela,Mostoles,"PLAZA BIARRITZ Nº1 FRTE./ Nº34, C. de las Palmas, 28938 Móstoles, Madrid, España",+34 637 60 04 02,http://www.autoescuelarapid.es/,True,,,,propia,,True,,
,Autoescuela Triumph Móstoles,Autoescuela,Mostoles,"C. Salvador Dalí, 2, 28933 Móstoles, Madrid, España",+34 692 18 06 02,https://autoescuelatriumph.com/,True,,,,propia,,True,,
,Autoescuela Universitaria,Autoescuela,Mostoles,"C. Alfonso XII, 95, 28938 Móstoles, Madrid, España",+34 916 47 42 32,http://www.launiversitaria.com/,True,,,,propia,,True,,
,"Autoescuela Universitaria (Nº 27, Simón Hernández)",Autoescuela,Mostoles,"C. de Simón Hernández, 27, 28936 Móstoles, Madrid, España",+34 916 18 65 62,https://www.launiversitaria.com/,True,,,,propia,,True,,
,Autoescuela XD,Autoescuela,Mostoles,"C. Río Llobregat, 13, 28935 Móstoles, Madrid, España",+34 916 47 19 94,https://autoescuelaxd.es/,True,,,,propia,,True,,
,GO! Autoescuelas Móstoles-Circuito de practicas (VISEYAM),Autoescuela,Mostoles,"Av. de Alcorcón, S/N, 28936 Móstoles, Madrid, España",+34 661 30 61 02,https://goautoescuelas.es/autoescuelas/mostoles/circuito-de-practicas/,True,,,,propia,,True,,
,Mostoles Universidad | GALA Autoescuela - Centro Recuperación Puntos,Autoescuela,Mostoles,"C. Salvador Dalí, 4, 28933 Móstoles, Madrid, España",+34 659 65 95 81,https://autoescuelagala.com/autoescuela-mostoles-universidad/,True,,,,propia,,True,,
,MotoCircuito - Carnet de Moto en Madrid,Autoescuela,Mostoles,"Calle del, C. Puerto Linera, 7, Pol. Industrial nº 6, parcela 46 B, 28933 Móstoles, Madrid, España",+34 917 03 22 28,https://carnetmotoenmadrid.es/,True,,,,propia,,True,,
,Móstoles Este | GALA Autoescuela - Centro Recuperación Puntos,Autoescuela,Mostoles,"Av. Carlos V, 26, 28936 Móstoles, Madrid, España",+34 616 88 74 85,https://autoescuelagala.com/autoescuela-mostoles/,True,,,,propia,,True,,
,Trafic Autoescuela Mostoles,Autoescuela,Mostoles,"P.º de la Estación, 22, 28933 Móstoles, Madrid, España",+34 916 17 40 07,http://www.autotrafic.com/,True,,,,propia,,True,,
,autoescuela Guerrero,Autoescuela,Mostoles,"C. de Juan Ramón Jiménez, 4, posterior, 28932 Móstoles, Madrid, España",+34 625 34 70 45,https://autoescuelaguerrero.es/,True,,,,propia,,True,,
