place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,BAR LAS NIEVES,Bar,Mostoles,"Cl. Miguel Ángel, 30, 28932 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,BAR PICCOLO,Bar,Mostoles,"C. Pintor Velazquez, 3, 28932 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Cafetería Casa Blanca,Bar,Mostoles,"C. Canarias, 1C, 28937 Móstoles, Madrid, España",+34 914 44 62 61,,False,,,,ninguna,,True,,
,Bar Castaños,Bar,Mostoles,"Av. de Portugal, n 90, 28935 Móstoles, Madrid, España",+34 638 24 30 87,,False,,,,ninguna,,True,,
,Bar Donde Siempre Móstoles,Bar,Mostoles,"C. Andrómeda, 8, 28938 Móstoles, Madrid, España",+34 916 46 98 44,,False,,,,ninguna,,True,,
,Bar Euphoria Móstoles,Bar,Mostoles,"C. Camino de Leganes, 23, 28937 Móstoles, Madrid, España",+34 675 91 43 69,https://sites.google.com/view/bareuphoria,False,,,,agregador,,True,,
,Bar La Cuesta,Bar,Mostoles,"C. Cta. de la Virgen, 7, 28931 Móstoles, Madrid, España",+34 640 78 70 58,,False,,,,ninguna,,True,,
,Bar Los amigos,Bar,Mostoles,"P.º de Goya, 2, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Mirabel,Bar,Mostoles,"C. Pintor Murillo, 18, 28935 Móstoles, Madrid, España",+34 637 04 07 11,,False,,,,ninguna,,True,,
,Bar Planeta,Bar,Mostoles,"Av. Cerro Prieto, 3, 28931 Móstoles, Madrid, España",+34 631 20 05 90,,False,,,,ninguna,,True,,
,Bar Restaurante La esquinita,Bar,Mostoles,"C. del Pintor el Greco, 5, 28933 Móstoles, Madrid, España",+34 919 35 68 78,,False,,,,ninguna,,True,,
,Bar cafeteria Las Torres Del Minotauro,Bar,Mostoles,"C. Empecinado, 21, Loc, 28937 Móstoles, Madrid, España",+34 910 69 93 16,,False,,,,ninguna,,True,,
,Bar de Tapas Casa Julio,Bar,Mostoles,"C. Burgos, 10, 28931 Móstoles, Madrid, España",+34 918 92 35 12,https://www.facebook.com/profile.php,False,,,,social,,True,,
,Bar de Zabeska,Bar,Mostoles,"C. Nazaret, 4, 28936 Móstoles, Madrid, España",+34 912 38 20 40,https://bar-de-zabeska.makro.rest/,True,,,,propia,,True,,
,Bar restaurante El Aperitivo,Bar,Mostoles,"C. Río Segura, 7, 28935 Móstoles, Madrid, España",+34 916 85 33 73,,False,,,,ninguna,,True,,
,Bodega Extremeña,Bar,Mostoles,"C. Gran Capitán, 20, 28933 Móstoles, Madrid, España",+34 916 17 95 48,,False,,,,ninguna,,True,,
,Bohio Bar & Restaurant,Bar,Mostoles,"C. Huesca, 12, Loc 3, 28934 Móstoles, Madrid, España",+34 910 94 15 10,https://byruby12.github.io/BohioBar/,True,,,,propia,,True,,
,COCO'S BAR & RESTAURANTE,Bar,Mostoles,"Av. Olímpica, 7, 28935 Móstoles, Madrid, España",+34 672 86 82 93,,False,,,,ninguna,,True,,
,Cafetería Pub Oscar,Bar,Mostoles,"P.º de Goya, 24, 28932 Móstoles, Madrid, España",+34 916 18 06 43,https://pub-oscar-jvmwekx.gamma.site/,True,,,,propia,,True,,
,Camila tapas&bar,Bar,Mostoles,"C. Unicornio, 41, 28938 Móstoles, Madrid, España",+34 624 00 81 15,,False,,,,ninguna,,True,,
,Cervecería Bar-Restaurante La Plaza,Bar,Mostoles,"C. del Pintor el Greco, 1, 28933 Móstoles, Madrid, España",+34 916 18 55 13,https://www.laplazarestaurante.com/,True,,,,propia,,True,,
,Cervecería La Loma by Arturo's,Bar,Mostoles,"C. Berardo Martin, 3, 28937 Móstoles, Madrid, España",+34 915 90 39 41,,False,,,,ninguna,,True,,
,Cervecería de Cañas,Bar,Mostoles,"C. de Perseo, 27, 28938 Móstoles, Madrid, España",+34 601 18 72 54,,False,,,,ninguna,,True,,
,Chelsy café,Bar,Mostoles,"C. Andrómeda, 16, Loc 8, 28936 Móstoles, Madrid, España",+34 677 10 19 84,,False,,,,ninguna,,True,,
,DONDE MIGUEL,Bar,Mostoles,"C. Pintor Velazquez, 30, 28933 Móstoles, Madrid, España",+34 910 17 20 93,,False,,,,ninguna,,True,,
,De 5 Bar,Bar,Mostoles,"C. Río Tormes, 17, 28935 Móstoles, Madrid, España",+34 663 36 80 83,http://de5bar.eatbu.com/,True,,,,propia,,True,,
,Destino Raíz Restaurant Café,Bar,Mostoles,"Pl. del Sol, 35, 28938 Móstoles, Madrid, España",+34 659 50 22 25,https://destinoraiz.es/,True,,,,propia,,True,,
,El Búnker de Móstoles,Bar,Mostoles,"C. del Pintor Julio Romero, 6, 28932 Móstoles, Madrid, España",+34 613 58 63 69,,False,,,,ninguna,,True,,
,KM 18 Mostoles TAPAS Y TRAGOS,Bar,Mostoles,"C. Río Segura, 30, 28935 Móstoles, Madrid, España",+34 643 04 63 28,https://www.instagram.com/km18_mostole,False,,,,social,,True,,
,Kamikaze Rock Bar,Bar,Mostoles,"C. Salcillo, 7, Posterior, 28932 Móstoles, Madrid, España",+34 615 69 55 79,https://m.facebook.com/kamikazerockbar/,False,,,,social,,True,,
,La Calle del cubano🍹,Bar,Mostoles,"villa fontana, C. de Simón Hernández, 51, centro comercial, 28937 Móstoles, Madrid, España",+34 680 79 05 58,https://www.elmenuqr.com/la-calle,True,,,,propia,,True,,
,La Maltería HFL Tap Room,Bar,Mostoles,"C. Río Segura, 34, Loc 7, 28935 Móstoles, Madrid, España",+34 915 28 72 79,https://lamalteriahfltaproom.com/,True,,,,propia,,True,,
,Le Bombay Cafe,Bar,Mostoles,"C. Río Odiel, 11, 28935 Móstoles, Madrid, España",+34 911 38 93 30,http://le-bombay-cafe.webnode.es/,True,,,,builder,,True,,
,Piguis Bar,Bar,Mostoles,"C. Alonso Cano, 3, posterior, 28933 Móstoles, Madrid, España",+34 912 26 72 20,,False,,,,ninguna,,True,,
,Pub Remembeer's,Bar,Mostoles,"C. Clavel, 25, 28933 Móstoles, Madrid, España",+34 625 98 43 29,https://remembeers.pub/,True,,,,propia,,True,,
,Pub restaurante El Viejo Andén,Bar,Mostoles,"C. Orquídea, 8, 28933 Móstoles, Madrid, España",+34 916 21 74 93,,False,,,,ninguna,,True,,
,ROOI ROOK MÓSTOLES,Bar,Mostoles,"C. Río Segura, 22, Loc 15 - 16, 28935 Móstoles, Madrid, España",+34 605 49 18 28,http://www.rooirook.com/,True,,,,propia,,True,,
,Restaurante El Eslabón,Bar,Mostoles,"C. Río Segura, 22, 28935 Móstoles, Madrid, España",+34 916 46 23 16,http://www.restauranteeleslabon.es/,True,,,,propia,,True,,
,Taberna Hoyal,Bar,Mostoles,"C. Huesca, 20, 28934 Móstoles, Madrid, España",,https://stately-hummingbird-b6d9a2.netlify.app/,True,,,,builder,,True,,
,The new aperitivo,Bar,Mostoles,"Pl. del Sol, 28938 Móstoles, Madrid, España",+34 916 13 98 76,,False,,,,ninguna,,True,,
