place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Bar Cafetería Casa Blanca,Cafeteria,Mostoles,"C. Canarias, 1C, 28937 Móstoles, Madrid, España",+34 914 44 62 61,,False,,,,ninguna,,True,,
,Cafeteria Castañeda,Cafeteria,Mostoles,"C. Eduardo Torroja, 24, 28936 Móstoles, Madrid, España",+34 914 30 30 16,,False,,,,ninguna,,True,,
,Cafeteria Los Molinos Móstoles,Cafeteria,Mostoles,"Avda/ De Portugal Nº1 Posterior, Loc 2, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Nevada,Cafeteria,Mostoles,"C. Huesca, 11, 28934 Móstoles, Madrid, España",+34 651 51 56 48,,False,,,,ninguna,,True,,
,Cafeteria Pianca,Cafeteria,Mostoles,"C. Barcelona, 29, 28936 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Restaurante Puerta Del Sol,Cafeteria,Mostoles,"Av. de la Constitucion, 55, 28931 Móstoles, Madrid, España",+34 919 35 17 89,,False,,,,ninguna,,True,,
,Cafeteria Samoa,Cafeteria,Mostoles,"C. Moraleja de Enmedio, 28938 Móstoles, Madrid, España",+34 633 33 18 13,,False,,,,ninguna,,True,,
,Cafetería BB Móstoles,Cafeteria,Mostoles,"C. Violeta, 19, 28933 Móstoles, Madrid, España",+34 626 05 19 27,http://www.cafeteriabb.com/,True,,,,propia,,True,,
,Cafetería Bar Cruz,Cafeteria,Mostoles,"Av. del dos de Mayo, 27, 28934 Móstoles, Madrid, España",+34 916 14 56 57,,False,,,,ninguna,,True,,
,Cafetería Bar Flandes,Cafeteria,Mostoles,"C. Nueva York, 10, 28938 Móstoles, Madrid, España",+34 916 47 59 75,,False,,,,ninguna,,True,,
,Cafetería Cerveceria SoL,Cafeteria,Mostoles,"C. Baleares, 1, 28931 Móstoles, Madrid, España",+34 912 85 63 87,,False,,,,ninguna,,True,,
,Cafetería Eduardo's,Cafeteria,Mostoles,"Av. Carlos V, 44, 28938 Móstoles, Madrid, España",+34 916 47 62 83,https://cafeteriaeduardos.shop/,True,,,,propia,,True,,
,Cafetería El Capricho,Cafeteria,Mostoles,"Pl. del Turia, 5, 28934 Móstoles, Madrid, España",+34 912 39 11 00,,False,,,,ninguna,,True,,
,Cafetería García Móstoles,Cafeteria,Mostoles,"C. de la Libertad, 47, 28936 Móstoles, Madrid, España",+34 916 46 76 67,,False,,,,ninguna,,True,,
,Cafetería Hamburgo,Cafeteria,Mostoles,"C. Pintor Murillo, 9, 28933 Móstoles, Madrid, España",+34 912 36 10 53,,False,,,,ninguna,,True,,
,Cafetería Ibiza,Cafeteria,Mostoles,"C. Sitio de Zaragoza, 8, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Jimar,Cafeteria,Mostoles,"C. Estocolmo, 8, 28937 Móstoles, Madrid, España",+34 614 66 54 57,,False,,,,ninguna,,True,,
,Cafetería MAVE,Cafeteria,Mostoles,"C. de Azorín, 2, 28935 Móstoles, Madrid, España",+34 910 33 43 69,https://www.facebook.com/Cafeteria-Mave-1436306356620663,False,,,,social,,True,,
,Cafetería Mokalia Móstoles,Cafeteria,Mostoles,"Av. del Alcalde de Móstoles, 27, Posterior, 28933 Móstoles, Madrid, España",+34 915 15 79 06,,False,,,,ninguna,,True,,
,Cafetería Nuevo Bom-Bón,Cafeteria,Mostoles,"C. Río Segre, 2, 28935 Móstoles, Madrid, España",+34 919 91 69 02,https://cafeterianuevobom-bon.eatbu.com/,True,,,,propia,,True,,
,Cafetería Ortiz,Cafeteria,Mostoles,"C. del Río Genil, 17, 28934 Móstoles, Madrid, España",+34 916 47 40 59,,False,,,,ninguna,,True,,
,Cafetería Pub Oscar,Cafeteria,Mostoles,"P.º de Goya, 24, 28932 Móstoles, Madrid, España",+34 916 18 06 43,https://pub-oscar-jvmwekx.gamma.site/,True,,,,propia,,True,,
