place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alegra Clínica Dental Móstoles,Dental,Mostoles,"Av. Carlos V, 41, 28938 Móstoles, Madrid, España",+34 915 56 06 75,https://alegraclinicadental.es/,True,,,,propia,,True,,
,Atención Dentista 24H urgencias SKD Previa cita,Dental,Mostoles,"C. Becquer, 4 Posterior, Local G, 28932 Móstoles, Madrid, España",+34 615 68 20 53,http://www.clinicadentalurgenciaskd.com/,True,,,,propia,,True,,
,BR Dental Móstoles | Implantes dentales en Móstoles | Rehabilitación oral,Dental,Mostoles,"C. Barcelona, 28, 28937 Móstoles, Madrid, España",+34 604 80 15 15,https://clinicadentalmostolesbr.com/,True,,,,propia,,True,,
,CLÍNICA ASISA DENTAL MÓSTOLES,Dental,Mostoles,"C. de la Libertad, 3, Loc Posterior, 28934 Móstoles, Madrid, España",+34 916 64 18 24,,False,,,,ninguna,,True,,
,Caobadent - Clínica dental,Dental,Mostoles,"C. Zaragoza, 1, 28934 Móstoles, Madrid, España",+34 695 95 72 28,https://caobadent.es/,True,,,,propia,,True,,
,Clinica Dental Pereiro,Dental,Mostoles,"C. Pintor Murillo, 13, 28935 Móstoles, Madrid, España",+34 690 91 53 85,https://www.clinicadentalpereiro.com/,True,,,,propia,,True,,
,Clínica Arroyodental Móstoles,Dental,Mostoles,"C. Río Tormes, 8, 28935 Móstoles, Madrid, España",+34 618 22 66 77,https://www.arroyodentalmostoles.es/,True,,,,propia,,True,,
,Clínica Dental Bucosanitario,Dental,Mostoles,"C. Pintor Murillo, 20, 28933 Móstoles, Madrid, España",+34 633 73 44 92,https://www.clinicadentalbucosanitario.es/,True,,,,propia,,True,,
,Clínica Dental Dentisalud - Móstoles,Dental,Mostoles,"C. Benjamín Palencia, 11, 28933 Móstoles, Madrid, España",+34 916 13 63 67,https://dentistasmostoles.com/,True,,,,propia,,True,,
,Clínica Dental Doria Medina,Dental,Mostoles,"Cl. Miguel Ángel, 15, posterior Local 2-A, 28932 Móstoles, Madrid, España",+34 916 13 22 63,https://www.clinicadentaldoriamedina.es/,True,,,,propia,,True,,
,Clínica Dental Dra. Cuadrado,Dental,Mostoles,"C. de los Reyes Católicos, 41, 28938 Móstoles, Madrid, España",+34 916 18 51 94,https://www.clinicadentalcuadrado.com/mostoles/,True,,,,propia,,True,,
,Clínica Dental Empecinado,Dental,Mostoles,"C. Empecinado, 44, local, 28937 Móstoles, Madrid, España",+34 917 52 87 31,https://www.dentalempecinado.es/,True,,,,propia,,True,,
,Clínica Dental Kixx Dental,Dental,Mostoles,"Av. de la Constitucion, 1, 28931 Móstoles, Madrid, España",+34 910 61 80 58,http://www.kixxdental.com/,True,,,,propia,,True,,
,Clínica Dental Maol | Dentista Móstoles,Dental,Mostoles,"C. Río Ebro, 21, 28935 Móstoles, Madrid, España",+34 624 06 57 26,https://www.instagram.com/dentalmaol/,False,,,,social,,True,,
,Clínica Dental Milenium Móstoles El Soto - Sanitas,Dental,Mostoles,"C. Almería, 1, 28935 Móstoles, Madrid, España",+34 916 65 57 45,https://www.sanitas.es/dental/clinicas-dentales-milenium/madrid/mostoles/mostoles,True,,,,propia,,True,,
,Clínica Dental Milenium Móstoles Pradillo,Dental,Mostoles,"C. Honorio Ruibal, 6, 28931 Móstoles, Madrid, España",+34 916 13 04 03,https://www.sanitas.es/dental/clinicas-dentales-milenium/madrid/mostoles/mostoles-pradillo,True,,,,propia,,True,,
,Clínica Dental Más Que Sonrisas | Móstoles,Dental,Mostoles,"C. Echegaray, 11, 28932 Móstoles, Madrid, España",+34 916 17 86 53,https://www.masqsonrisas.es/,True,,,,propia,,True,,
,Clínica Dental Móstoles Central,Dental,Mostoles,"C. Fortuny, 2, 28932 Móstoles, Madrid, España",+34 910 32 90 38,https://clinicadentalmostolescentral.com/,True,,,,propia,,True,,
,Clínica Dental Norprodent DC,Dental,Mostoles,"C. Puerto Somosierra, 35, nave 25, 28935 Móstoles, Madrid, España",+34 916 10 49 14,https://dcdental.es/,True,,,,propia,,True,,
,Clínica Dental en Móstoles Esther Maján Dentistas Odontólogos Tratamientos Dentales EconómicosOferta,Dental,Mostoles,"Calle del Pintor Picasso, 5, posterior, 28932 Móstoles, Madrid, España",+34 916 17 12 22,https://www.clinicamajan.com/,True,,,,propia,,True,,
,Clínica Dental | Premium Dental Clinic,Dental,Mostoles,"Av. de Portugal, 14, 28932 Móstoles, Madrid, España",+34 912 23 34 18,https://clinicapremiumdental.es/,True,,,,propia,,True,,
,Clínica Dental | Premium Dental Móstoles,Dental,Mostoles,"C. Barcelona, 7, 28937 Móstoles, Madrid, España",+34 916 46 50 59,http://www.clinicapremiumdental.es/,True,,,,propia,,True,,
,Clínica dental Delgado y Gutiérrez,Dental,Mostoles,"C. de Andrés Torrejón, 2, 28931 Móstoles, Madrid, España",+34 911 27 18 24,https://www.dentaldelgadogutierrez.com/,True,,,,propia,,True,,
,Clínica dental Massident Móstoles,Dental,Mostoles,"Av. del dos de Mayo, 44, 28934 Móstoles, Madrid, España",+34 910 51 46 84,https://www.massidental.es/,True,,,,propia,,True,,
,Clínica dental Nadal,Dental,Mostoles,"Av. del dos de Mayo, 79, Loc 1, 28934 Móstoles, Madrid, España",+34 919 19 55 62,https://clinicadentalnadal.es/,True,,,,propia,,True,,
,Clínica dental en Móstoles | Veracruz,Dental,Mostoles,"C. Veracruz, 9, Loc, 28936 Móstoles, Madrid, España",+34 910 91 62 29,https://veracruzdental.es/,True,,,,propia,,True,,
,Dental Implantes Móstoles,Dental,Mostoles,"C. Andrómeda, 31, 28938 Móstoles, Madrid, España",+34 917 55 37 93,http://www.dentalimplantes.es/,True,,,,propia,,True,,
,GoalDental Móstoles,Dental,Mostoles,"C. de Juan XXIII, 2, 28938 Móstoles, Madrid, España",+34 623 41 14 67,https://clinicasgoaldental.com/,True,,,,propia,,True,,
,Grandental | Clínica Dental en Móstoles,Dental,Mostoles,"Av. de Portugal, 34, 28933 Móstoles, Madrid, España",+34 645 50 23 36,https://grandental.com/,True,,,,propia,,True,,
,Mayo Dental,Dental,Mostoles,"Av. del dos de Mayo, 65, 28934 Móstoles, Madrid, España",+34 916 64 18 59,http://www.mayodental.es/,True,,,,propia,,True,,
,Móstoles Dental,Dental,Mostoles,"Av. del dos de Mayo, 36, 28934 Móstoles, Madrid, España",+34 916 64 53 72,https://www.mostolesdental.es/,True,,,,propia,,True,,
,Nh Dental,Dental,Mostoles,"C. Unicornio, 41, 28938 Móstoles, Madrid, España",+34 652 38 54 99,https://www.nhdentalmostoles.es/,True,,,,propia,,True,,
,Odontocentro Móstoles,Dental,Mostoles,"C. de la Libertad, 20, 28936 Móstoles, Madrid, España",+34 912 26 75 75,https://www.odontocentroclinicas.es/,True,,,,propia,,True,,
,Ole Dental,Dental,Mostoles,"Pl. Valencia, 4, Loc 2, 28937 Móstoles, Madrid, España",+34 614 22 03 55,https://oledental.es/,True,,,,propia,,True,,
,URPIDENT CLÍNICAS DENTALES MÓSTOLES,Dental,Mostoles,"C. Camino de Leganes, 47, Local A, 28937 Móstoles, Madrid, España",+34 916 47 50 89,http://www.dentistasurpident.com/,True,,,,propia,,True,,
,Up Estudio Dental,Dental,Mostoles,"C. Andrómeda, 48, Loc 7, 28938 Móstoles, Madrid, España",+34 649 03 93 27,https://www.upestudiodental.es/,True,,,,propia,,True,,
,VegaMolina Dental,Dental,Mostoles,"C. Baleares, 10, 28931 Móstoles, Madrid, España",+34 916 64 11 61,https://www.vegamolinadental.com/,True,,,,propia,,True,,
,Witizz | Clínica Dental Móstoles,Dental,Mostoles,"Av. del dos de Mayo, 2, 28931 Móstoles, Madrid, España",+34 692 96 13 96,https://witizz.com/clinica-dental-mostoles/,True,,,,propia,,True,,
,malmo Dental | Clínica Dental Móstoles,Dental,Mostoles,"C. de Ricardo Medem, 8, 28931 Móstoles, Madrid, España",+34 911 93 02 06,https://malmodental.com/,True,,,,propia,,True,,
,vivantadental,Dental,Mostoles,"Av. del dos de Mayo, 9, 28934 Móstoles, Madrid, España",+34 912 99 80 93,https://vivantadental.es/clinicas/mostoles-i,True,,,,propia,,True,,
