place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Bambú,Estetica,Mostoles,"C. Huesca, 17, 28934 Móstoles, Madrid, España",+34 699 26 20 08,,False,,,,ninguna,,True,,
,Beauty G Estética Avanzada,Estetica,Mostoles,"C. Río Llobregat, 7p, 28935 Móstoles, Madrid, España",+34 667 32 79 59,,False,,,,ninguna,,True,,
,CLÍNICAS RENACER,Estetica,Mostoles,"C. Cartaya, 2, 28938 Móstoles, Madrid, España",+34 640 21 09 40,https://www.renacerclinic.com/,True,,,,propia,,True,,
,Centro De Belleza Paloma,Estetica,Mostoles,"C. de Joaquín Blume, 23, Loc 14 posterior, 28935 Móstoles, Madrid, España",+34 916 17 93 90,,False,,,,ninguna,,True,,
,Centro de Estética Cuidarte,Estetica,Mostoles,"Calle Parque Vosa, 36, Loc A, 28933 Móstoles, Madrid, España",+34 911 26 08 02,,False,,,,ninguna,,True,,
,Centro de Estética Fer Díaz Taller de Belleza | Micropigmentacion,Estetica,Mostoles,"Av. de la Onu, 70, Loc 1, 28936 Móstoles, Madrid, España",+34 617 24 74 11,http://ferdiazpmu.com/,True,,,,propia,,True,,
,Centro de Estética Y Masajes Zenksations,Estetica,Mostoles,"centro de estetica zenksations, Pl. del Turia, 5 local7, 28934 Móstoles, Madrid, España",+34 600 80 03 74,http://www.zenksations.com/,True,,,,propia,,True,,
,Centro de estética Coral y Turquesa,Estetica,Mostoles,"C. Cam. de Humanes, 26, 28938 Móstoles, Madrid, España",+34 911 69 72 05,,False,,,,ninguna,,True,,
,Centro de estética Zenk,Estetica,Mostoles,"Estética Zenk, C. Huesca, 5, 28934 Móstoles, Madrid, España",+34 916 64 16 98,,False,,,,ninguna,,True,,
,Centro estética Móstoles: YM centro de estética,Estetica,Mostoles,"C. Veracruz, 20, Loc, 28936 Móstoles, Madrid, España",+34 910 54 60 38,https://www.ymcentroestetica.es/,True,,,,propia,,True,,
,Centro estética Nina Menendez,Estetica,Mostoles,"C. de San Antonio, 10, 28931 Móstoles, Madrid, España",+34 690 90 58 04,http://www.esteticaninamenendez.es/,True,,,,propia,,True,,
,Clínica Dorsia Cirugía y Medicina Estética,Estetica,Mostoles,"C. de Cervantes, 20, 28932 Móstoles, Madrid, España",+34 917 37 24 60,https://www.dorsia.es/clinicas-dorsia/mostoles/,True,,,,propia,,True,,
