place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJXSikKoqOQQ0RXGe2WDujsFE,Inmobiliaria Mendesalles,Inmobiliaria,Mostoles,"Cita previa, C. Fragua, 1, Ofi 3.105, 28933 Móstoles, Madrid, España",+34 919 38 82 25,http://www.inmobiliariamendesalles.com/,True,4.9,336,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJXSikKoqOQQ0RXGe2WDujsFE.jpg,propia,elena@inmobiliariamendesalles.com,False,?,HTTP 500
ChIJG3VJ_NGNQQ0R4qZia__7InY,Inmobiliaria Móstoles Sur Redpiso,Inmobiliaria,Mostoles,"Calle Alfonso XII (Esq, P.º de Arroyomolinos, 28938 Móstoles, Madrid, España",+34 912 96 92 91,https://www.redpiso.es/oficina/inmobiliaria-mostoles-sur/venta,True,4.8,274,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJG3VJ_NGNQQ0R4qZia__7InY.jpg,franquicia,,True,,
ChIJM2XdOH6OQQ0RimAXvAiMhFI,Inmobiliaria Novogar,Inmobiliaria,Mostoles,"C. del Pintor el Greco, 2, 28933 Móstoles, Madrid, España",+34 916 13 55 22,https://www.novogar.net/,True,4.3,205,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJM2XdOH6OQQ0RimAXvAiMhFI.jpg,propia,damaris@novogar.net,False,no,copyright 2021
ChIJyzmFFm-NQQ0ROWfYnS3keGA,F&M Real Estate Inmobiliaria Móstoles,Inmobiliaria,Mostoles,"C. Villaamil, 78, 28934 Móstoles, Madrid, España",+34 919 30 06 34,https://fymrealestate.com/,True,5,124,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJyzmFFm-NQQ0ROWfYnS3keGA.jpg,propia, info@fymrealestate.com,False,no,web moderna
ChIJHdgBEoCOQQ0Rr5liDEuHyuY,Novalok Inmobiliaria,Inmobiliaria,Mostoles,"Av. de Portugal, 38, 28933 Móstoles, Madrid, España",+34 912 36 22 14,http://www.novalok.es/,True,4.4,146,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJHdgBEoCOQQ0Rr5liDEuHyuY.jpg,propia,,True,si,sin https
ChIJNabHO9GNQQ0RsCOH0BF7aLA,Inmobiliaria-Unna-Mostoles,Inmobiliaria,Mostoles,"Calle Padilla, Av. del dos de Mayo, 2, Esq, 28934 Móstoles, Madrid, España",+34 916 64 22 94,http://www.grupoinmobiliariounna.es/,True,4.3,142,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJNabHO9GNQQ0RsCOH0BF7aLA.jpg,propia,,True,?,HTTP 403
ChIJu3B9PSiMQQ0RnlcjTaFjqxM,INMOBILIARIA VISUAL HOGAR,Inmobiliaria,Mostoles,"C. Baleares, 19, 28937 Móstoles, Madrid, España",+34 912 26 34 05,http://www.visualhogar.es/,True,5,122,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJu3B9PSiMQQ0RnlcjTaFjqxM.jpg,propia,info@visualhogar.es,False,no,web moderna
ChIJ2eenzlmNQQ0RLRqqiNQWw2g,Inmobiliaria Hogares en Móstoles Centro,Inmobiliaria,Mostoles,"C. de San Marcial, 24, 28931 Móstoles, Madrid, España",,https://www.hogaresgroup.es/localidad-compra/mostoles/,True,4.7,101,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ2eenzlmNQQ0RLRqqiNQWw2g.jpg,franquicia,reclamaciones@hogaresgroup.es,False,,
ChIJEYcHSDWNQQ0RUclrZB3T30Y,Inmobiliaria Hogares en Móstoles el Soto - Universidad,Inmobiliaria,Mostoles,"C. Pintor Velazquez, 77, 28935 Móstoles, Madrid, España",+34 683 31 94 24,https://www.hogaresgroup.es/,True,5,107,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJEYcHSDWNQQ0RUclrZB3T30Y.jpg,franquicia,alcobendasnorte@hogaresgroup.es,False,,
ChIJdS3iZU6NQQ0RpvLUeOKrlpU,"Inmobiliaria Hogares en Móstoles, Dos de Mayo",Inmobiliaria,Mostoles,"Av. del dos de Mayo, 59, 28934 Móstoles, Madrid, España",+34 660 40 01 54,https://www.hogaresgroup.es/,True,4.9,151,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJdS3iZU6NQQ0RpvLUeOKrlpU.jpg,franquicia,alcobendasnorte@hogaresgroup.es,False,,
