place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Baezpan. Panadería Pastelería,Panaderia,Mostoles,"C. Cartaya, 17, 28938 Móstoles, Madrid, España",+34 916 13 11 14,http://www.laguia.es/empresas/panaderia+bolleria+pasteleria+mostoles+baezpan,True,,,,propia,,True,,
,Dulce Hogar,Panaderia,Mostoles,"C. de Simón Hernández, 17, 19, 28937 Móstoles, Madrid, España",+34 916 14 20 82,,False,,,,ninguna,,True,,
,FlaorCakes,Panaderia,Mostoles,"Pl. Tingo María, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Fogón de Lugo,Panaderia,Mostoles,"Av. de la Constitucion, 8, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Horno Candi,Panaderia,Mostoles,"Av. Cerro Prieto, 6, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Horno De Pan - Pastelería,Panaderia,Mostoles,"C. Barcelona, 28937 Móstoles, Madrid, España",+34 912 38 45 98,,False,,,,ninguna,,True,,
,Horno De Pan Conde Pasteleria Bomboneria,Panaderia,Mostoles,"C. de Azorín, 28935 Móstoles, Madrid, España",+34 646 13 91 94,,False,,,,ninguna,,True,,
,Horno de pan Loemi Artesanos,Panaderia,Mostoles,"C. Violeta, 17, 28933 Móstoles, Madrid, España",+34 609 82 91 33,http://www.loemiartesanos.es/,True,,,,propia,,True,,
,Hornos Rico Pan,Panaderia,Mostoles,"C. Alfonso XII, 50, 28938 Móstoles, Madrid, España",+34 916 47 66 26,https://hornosricopan.com/,True,,,,propia,,True,,
,La Buena Hornada ; Panalex panaderos,Panaderia,Mostoles,"28938 Móstoles, Madrid, España",+34 916 13 41 09,,False,,,,ninguna,,True,,
,La Casa de las Cheesecakes,Panaderia,Mostoles,"Av. de la Onu, 9, 28936 Móstoles, Madrid, España",+34 642 00 50 43,https://lacasadelascheesecakes.es/,True,,,,propia,,True,,
,Levaduramadre,Panaderia,Mostoles,"C. Dalia, 42, 28933 Móstoles, Madrid, España",+34 634 74 79 67,https://www.levaduramadre.es/,True,,,,propia,,True,,
,Los Dulces Artesanos,Panaderia,Mostoles,"Cl. Miguel Ángel, 26, 28932 Móstoles, Madrid, España",+34 916 13 00 27,,False,,,,ninguna,,True,,
,"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Casa Central.",Panaderia,Mostoles,"C. Moraleja de Enmedio, 8, 28938 Móstoles, Madrid, España",+34 916 45 96 99,http://www.losreyunos.es/,True,,,,propia,,True,,
,"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Malasaña",Panaderia,Mostoles,"Pl. del Sol, 30, 28938 Móstoles, Madrid, España",+34 911 73 92 13,http://www.losreyunos.es/,True,,,,propia,,True,,
,"Los Reyunos. Pastelerías, Panaderías, Cafeterías - Sucursal Pradillo",Panaderia,Mostoles,"Av. del dos de Mayo, 12, 28931 Móstoles, Madrid, España",+34 916 17 25 17,http://www.losreyunos.es/,True,,,,propia,,True,,
,Luni Garden,Panaderia,Mostoles,"C. Nueva York, 34, 28938 Móstoles, Madrid, España",+34 645 04 20 76,,False,,,,ninguna,,True,,
,ManolosPan Panaderia,Panaderia,Mostoles,"Av. de la Onu, 13, Loc 18, 28936 Móstoles, Madrid, España",+34 643 86 57 92,https://manolospan.com/,True,,,,propia,,True,,
,Martina's Panadería y Pastelería Creativa,Panaderia,Mostoles,"C. Cid Campeador, 7, 28935 Móstoles, Madrid, España",+34 624 61 75 76,http://kalamarigastro.com/,True,,,,propia,,True,,
,Obrador de Goya Móstoles,Panaderia,Mostoles,"Av. de la Constitucion, 20, 28931 Móstoles, Madrid, España",+34 919 12 06 73,,False,,,,ninguna,,True,,
,Obrador de Móstoles S.L.,Panaderia,Mostoles,"Av. Carlos V, 48, 28938 Móstoles, Madrid, España",+34 916 47 55 40,,False,,,,ninguna,,True,,
,Panaderia Los Antioqueños,Panaderia,Mostoles,"C. Castellón, 10, 28937 Móstoles, Madrid, España",+34 611 85 64 30,https://panaderiaslosantioquenos.com/,True,,,,propia,,True,,
,Panadería La Paz,Panaderia,Mostoles,"La Paz, 4, 28931 Móstoles, Madrid, España",+34 916 65 63 81,https://www.lomejordelbarrio.com/mostoles/comercios/panaderia_la_paz/tiendas_de_alimentacion_en_mostoles,True,,,,propia,,True,,
,Panadería Pastelería Entrehermanos,Panaderia,Mostoles,"Av. Carlos V, 28936 Móstoles, Madrid, España",+34 622 13 41 59,,False,,,,ninguna,,True,,
,Panettone,Panaderia,Mostoles,"C. de Perseo, 09, 28938 Móstoles, Madrid, España",+34 919 47 03 94,http://www.panettonemostoles.com/,True,,,,propia,,True,,
,Panificadora Jaramillo SLL,Panaderia,Mostoles,"Av. Cerro Prieto, 6, 28931 Móstoles, Madrid, España",,,False,,,,ninguna,,True,,
,Pasteleria Cafeteria Ales & Ana,Panaderia,Mostoles,"C. Río Segura, 16, 28935 Móstoles, Madrid, España",+34 910 93 04 26,,False,,,,ninguna,,True,,
,Pasteleria-Panaderia Jumaco,Panaderia,Mostoles,"Av. del dos de Mayo, 70, 28934 Móstoles, Madrid, España",+34 918 25 28 17,,False,,,,ninguna,,True,,
,Pastelerias Baena S L,Panaderia,Mostoles,"C. Roma, 7, 28938 Móstoles, Madrid, España",+34 916 45 05 74,,False,,,,ninguna,,True,,
,Pastelería Argentina - La Nueva Vienesa,Panaderia,Mostoles,"28935, C. Pintor Velazquez, 25, 28935 Móstoles, Madrid, España",+34 614 31 27 36,,False,,,,ninguna,,True,,
,Pastelería Manacor,Panaderia,Mostoles,"C. Plasencia, 67, 28935 Villaviciosa de Odón, Madrid, España",+34 917 04 96 99,http://pasteleriamanacor.es/,True,,,,propia,,True,,
,Pastelería Manjares,Panaderia,Mostoles,"C. de la Libertad, 6, 28936 Móstoles, Madrid, España",+34 604 35 50 10,,False,,,,ninguna,,True,,
,Pastelería Moumer,Panaderia,Mostoles,"C. Andrómeda, 23, 28938 Móstoles, Madrid, España",+34 614 82 74 52,,False,,,,ninguna,,True,,
,Pastelería Ortiz De Zárate,Panaderia,Mostoles,"C. Empecinado, 13, Loc 6, 28937 Móstoles, Madrid, España",+34 911 68 79 31,,False,,,,ninguna,,True,,
,Pastelería Velázquez,Panaderia,Mostoles,"C. Pintor Velazquez, 16, Posterior, 28933 Móstoles, Madrid, España",+34 916 17 73 68,https://www.lomejordelbarrio.com/mostoles/panaderias/pastelera_velzquez2,True,,,,propia,,True,,
,TIENDA Y ESCUELA DE REPOSTERIA CREATIVA - TARTAS PERSONALIZADAS - CLANDESTINE CAKES MADRID,Panaderia,Mostoles,"C. de la Libertad, 22, 28936 Móstoles, Madrid, España",+34 689 26 88 11,http://www.clandestinecakemadrid.es/,True,,,,propia,,True,,
,Tahona San José,Panaderia,Mostoles,"Pl. del Pradillo, 28931 Móstoles, Madrid, España",+34 916 19 09 04,https://tahonasanjose.com/,True,,,,propia,,True,,
,obrador hamani ( pastelería abuelita hamani),Panaderia,Mostoles,"C. del Pintor Julio Romero, 8, 28932 Móstoles, Madrid, España",+34 912 10 00 40,,False,,,,ninguna,,True,,
