place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJP3psYdCNQQ0RQwFPC60CPKU,PELUQUERÍA EN MÓSTOLES JULIA VILLARINO–Especialistas Alisados –Mechas Balayage–Láser diodo SHR-Coloración Natural BARROS,Peluqueria,Mostoles,"C. Alfonso XII, 29, Bajo B local, 28934 Móstoles, Madrid, España",+34 647 14 84 58,http://www.peluqueriayesteticamostoles.es/,True,4.9,370,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJP3psYdCNQQ0RQwFPC60CPKU.jpg,,True,propia
ChIJGf21N9GNQQ0R8tmgP3asjPI,Peluquería Copacabana Móstoles | Peluqueria y Estética | Tanya Alves Móstoles,Peluqueria,Mostoles,"C. Maldonado, 4, posterior, 28934 Móstoles, Madrid, España",+34 642 42 94 59,,False,4.9,49,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJGf21N9GNQQ0R8tmgP3asjPI.jpg,,True,ninguna
ChIJx-YJMtWNQQ0REsD1otMLTIc,Centro de belleza Amada's | Punto NACEX.shop,Peluqueria,Mostoles,"C. de Ricardo Medem, 26, 28931 Móstoles, Madrid, España",+34 916 46 23 61,https://centrobellezaamadas.es/,True,4.2,281,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJx-YJMtWNQQ0REsD1otMLTIc.jpg,,True,propia
ChIJlbnFmguNQQ0Rw8b4LwnBPQ4,The Barber Style,Peluqueria,Mostoles,"C. de las Palmas, 8, 28937 Móstoles, Madrid, España",+34 643 68 65 77,https://thebarberstyle.setmore.com/,True,4.9,504,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJlbnFmguNQQ0Rw8b4LwnBPQ4.jpg,thebarberstyle28937@gmail.com,False,propia
ChIJx3w0odSNQQ0REuOpWCoduXs,Peluqueria Longoria,Peluqueria,Mostoles,"C. Montero, 40, 28934 Móstoles, Madrid, España",+34 916 13 38 04,https://linksqr.es/peluquerialongoria/,True,4.5,216,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJx3w0odSNQQ0REuOpWCoduXs.jpg,info@linksqr.es,False,propia
ChIJ48RvTiGMQQ0RezUNYaCuML8,Peluquería Isabel Cámara,Peluqueria,Mostoles,"Av. Carlos V, 4, 28936 Móstoles, Madrid, España",+34 916 46 92 10,https://www.peluqueriaisabelcamara.es/,True,5,186,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ48RvTiGMQQ0RezUNYaCuML8.jpg,isabelcamarap@hotmail.com,False,propia
ChIJJe5OnKeNQQ0R9sY-IL__j7o,Peluquería Moha,Peluqueria,Mostoles,"C. Canarias, 14, 28937 Móstoles, Madrid, España",+34 632 86 84 79,https://instagram.com/moha_barber_artista?igshid=MzMyNGUyNmU2YQ==,False,4.8,36,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJJe5OnKeNQQ0R9sY-IL__j7o.jpg,,True,social
ChIJmZKv8iSMQQ0RTdxJN9hsr5k,Alcázar Peluqueros -Abbaglia-,Peluqueria,Mostoles,"Av. Carlos V, 26, 28936 Móstoles, Madrid, España",+34 910 32 59 38,https://instagram.com/alcazar.peluqueros?igshid=YmMyMTA2M2Y=,False,4.8,448,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJmZKv8iSMQQ0RTdxJN9hsr5k.jpg,,True,social
ChIJf_maDSqMQQ0Rk3JBDPRc7GE,Peluquería & barbería Abdul,Peluqueria,Mostoles,"C. Badajoz, 1, 28931 Móstoles, Madrid, España",+34 628 54 57 33,,False,4.7,327,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJf_maDSqMQQ0Rk3JBDPRc7GE.jpg,,True,ninguna
ChIJmzLZt9KNQQ0RtCzHibFIMGE,Pacaray Peluqueros,Peluqueria,Mostoles,"C. de las Palmas, 58, Loc, 28938 Móstoles, Madrid, España",+34 916 17 57 52,https://www.instagram.com/pacaray_peluqueros,False,4.7,160,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJmzLZt9KNQQ0RtCzHibFIMGE.jpg,,True,social
ChIJMVmtUXqNQQ0R7847fmm2agk,PELUQUERÍA ISSAM BARBERSHOP,Peluqueria,Mostoles,"C. Barcelona, 3, 28937 Móstoles, Madrid, España",+34 634 46 04 66,https://peluqueria-issam-barbershop-6.webnode.es/,True,4.8,75,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJMVmtUXqNQQ0R7847fmm2agk.jpg,issamgouad5@gmail.com,False,builder
