place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJVyqehMCNQQ0R2yDz0YiQqzM,Destino Raíz Restaurant Café,Restaurante,Mostoles,"Pl. del Sol, 35, 28938 Móstoles, Madrid, España",+34 659 50 22 25,https://destinoraiz.es/,True,4.7,8427,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJVyqehMCNQQ0R2yDz0YiQqzM.jpg,propia,destinoraiz@gmail.com,False,no,web moderna
ChIJMR1NtsWNQQ0RcqlTVIOt5iw,Restaurante El Eslabón,Restaurante,Mostoles,"C. Río Segura, 22, 28935 Móstoles, Madrid, España",+34 916 46 23 16,http://www.restauranteeleslabon.es/,True,4.2,3628,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJMR1NtsWNQQ0RcqlTVIOt5iw.jpg,propia,,True,no,web moderna
ChIJOWKuDYuOQQ0RbfstkuSEM-k,Restaurante La Fuencisla (Móstoles),Restaurante,Mostoles,"N-V, km 23,200, Autovía del Suroeste, 28935 Móstoles, Madrid, España",+34 916 47 22 89,,False,4.4,1424,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJOWKuDYuOQQ0RbfstkuSEM-k.jpg,ninguna,,True,,
ChIJ-c3Bom6OQQ0Rk5BS13OUWKQ,Restaurante Trufa y Boletus,Restaurante,Mostoles,"Parque Tecnológico de Móstoles, Av. Ramón de La Sagra, 7, 28933 Móstoles, Madrid, España",+34 914 52 90 16,https://trufayboletus.es/,True,4.2,4085,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ-c3Bom6OQQ0Rk5BS13OUWKQ.jpg,propia,info@trufayboletus.es,False,no,web moderna
ChIJT6ipcf-NQQ0RFM51V0_Oq3Q,Trattoria Dove Andiamo?,Restaurante,Mostoles,"C. Nápoles, 43, 28938 Móstoles, Madrid, España",+34 918 28 40 59,http://www.doveandiamo.es/,True,4.7,1318,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJT6ipcf-NQQ0RFM51V0_Oq3Q.jpg,propia,,True,si,sin https; pagina minima (548 chars)
ChIJ23XZtF-OQQ0RWoOrmaho3fY,Asador Restaurante Las Cañas,Restaurante,Mostoles,"C. Puerto Linera, 9, 28935 Móstoles, Madrid, España",+34 916 16 61 46,https://www.restauranteasadorenmostoles.com/,True,4.4,1981,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ23XZtF-OQQ0RWoOrmaho3fY.jpg,propia,,True,no,web moderna
ChIJg2h0FpqPQQ0R9Y8Un73K-7g,Restaurante La Carpintería de Lolo,Restaurante,Mostoles,"C. Violeta, 15, 28933 Móstoles, Madrid, España",+34 910 00 59 53,http://lacarpinteriadelolo.com/,True,4.5,880,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJg2h0FpqPQQ0R9Y8Un73K-7g.jpg,propia,pablohidalgolucia@gmail.com,False,no,web moderna
ChIJ1TSLEXiNQQ0RdVRBIOpTvzU,Restaurante Manila Urban Grill,Restaurante,Mostoles,"C. Andrómeda, 48, 28938 Móstoles, Madrid, España",+34 912 62 10 78,,False,4.4,1340,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ1TSLEXiNQQ0RdVRBIOpTvzU.jpg,ninguna,,True,,
ChIJp8HrI1qNQQ0RgbBdQMHxvn4,Ineffabile Ristorante | Restaurante italiano en Móstoles,Restaurante,Mostoles,"C. de Andrés Torrejón, 4, 28931 Móstoles, Madrid, España",+34 913 26 24 95,https://www.ineffabileristorante.com/,True,4.8,3839,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJp8HrI1qNQQ0RgbBdQMHxvn4.jpg,propia,,True,no,web moderna
ChIJx7RXLtiNQQ0RtoPaukYvlRg,Restaurante Finca Liana,Restaurante,Mostoles,"Av. de Iker Casillas, 1, 28935 Móstoles, Madrid, España",+34 916 13 37 22,http://www.fincaliana.com/,True,4.2,3741,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJx7RXLtiNQQ0RtoPaukYvlRg.jpg,propia,eventos@fincaliana.com,False,si,copyright 2018
ChIJGdQkSCeMQQ0Rvs_VtRqASQc,Restaurante Il Tiramisú,Restaurante,Mostoles,"Av. de la Onu, 20, 28936 Móstoles, Madrid, España",+34 621 34 93 28,https://iltiramisu.es/,True,4.5,3185,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJGdQkSCeMQQ0Rvs_VtRqASQc.jpg,propia,,True,no,pagina minima (576 chars)
ChIJ_XCNp4yPQQ0R7ethnM41bWQ,El TOMAHAWK,Restaurante,Mostoles,"C. Dalia, 26, 28, 28933 Móstoles, Madrid, España",+34 919 48 23 57,,False,4.4,191,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ_XCNp4yPQQ0R7ethnM41bWQ.jpg,ninguna,,True,,
ChIJb_fy5MONQQ0RU96Sd0YBXFs,LEZZET RESTAURANTE TURCO,Restaurante,Mostoles,"C. Camino de Leganes, 16, 28937 Móstoles, Madrid, España",+34 919 95 25 30,,False,4.9,340,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJb_fy5MONQQ0RU96Sd0YBXFs.jpg,ninguna,,True,,
ChIJId3YlumNQQ0RiRldVUijMmA,ROOI ROOK MÓSTOLES,Restaurante,Mostoles,"C. Río Segura, 22, Loc 15 - 16, 28935 Móstoles, Madrid, España",+34 605 49 18 28,http://www.rooirook.com/,True,4.7,1014,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJId3YlumNQQ0RiRldVUijMmA.jpg,propia,,True,no,web moderna
ChIJ--tiT7CNQQ0RJW7vUlShbBk,El rincón de Loly & David Gastrobar,Restaurante,Mostoles,"C. de la Inmaculada, 23, 28931 Móstoles, Madrid, España",+34 671 21 11 34,https://el-rincon-de-loly-david-gastrobar.resos.com/booking,True,4.9,43,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ--tiT7CNQQ0RJW7vUlShbBk.jpg,propia,,True,no,pagina minima (18 chars)
ChIJtQP-tt6NQQ0RKONLKpsHEGY,Asador de Velázquez,Restaurante,Mostoles,"C. Pintor Velazquez, 65, 28935 Móstoles, Madrid, España",+34 916 18 81 01,http://www.asadordevelazquez.es/,True,4.4,1532,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJtQP-tt6NQQ0RKONLKpsHEGY.jpg,propia,admin@asadordevelazquez.es,False,si,sin https; pagina minima (467 chars)
ChIJG2RB3DGMQQ0RoBWvWE7L-Kg,Restaurante Casa Manolo,Restaurante,Mostoles,"C. Cam. de Humanes, 27, 28938 Móstoles, Madrid, España",+34 916 46 72 50,https://restaurantecasamanolo.shop/,True,4.2,1779,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJG2RB3DGMQQ0RoBWvWE7L-Kg.jpg,propia,,True,?,no carga (ConnectionError)
ChIJraVBINKNQQ0R1o1o0OIyB8Y,Raizes Móstoles,Restaurante,Mostoles,"C. Andrómeda, 33, 28938 Móstoles, Madrid, España",+34 915 56 39 88,https://raizesrestaurante.es/es,True,4.3,753,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJraVBINKNQQ0R1o1o0OIyB8Y.jpg,propia,,True,si,copyright 2014
ChIJuW6AwNGOQQ0R-jJoelqupzg,Mesón del Jamón Los Picos,Restaurante,Mostoles,"C. América, 7, 28931 Móstoles, Madrid, España",+34 912 36 61 20,http://www.mesonlospicos.es/,True,4.5,1875,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJuW6AwNGOQQ0R-jJoelqupzg.jpg,propia,info@mesonlospicos.es,False,no,web moderna
ChIJqU4VNHWOQQ0R1KRDVJvj4uQ,Restaurante Mesón Cordobés,Restaurante,Mostoles,"C. de Joaquín Blume, 3, 28935 Móstoles, Madrid, España",+34 919 51 43 65,,False,4.4,700,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJqU4VNHWOQQ0R1KRDVJvj4uQ.jpg,ninguna,,True,,
