place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTO TALLER DEL PINO,Taller,Mostoles,"C. de Francisco Javier Sauquillo, 1, 28932 Móstoles, Madrid, España",+34 916 18 09 13,,False,,,,ninguna,,True,,
,Autocenter,Taller,Mostoles,"C. Regordoño, 1, 28936 Móstoles, Madrid, España",+34 916 47 17 00,https://www.talleresautocenter.es/,True,,,,propia,,True,,
,Automecánica Madrid S.L. - Taller de Mecánica y Carrocería Móstoles,Taller,Mostoles,"C. Pto. Navacerrada, 90, 28935 Móstoles, Madrid, España",+34 916 18 67 61,http://www.automecanicamadrid.es/,True,,,,propia,,True,,
,Automocion La Luna s.l,Taller,Mostoles,"C. la Luna, 9, 28933 Móstoles, Madrid, España",+34 916 13 78 47,,False,,,,ninguna,,True,,
,Bosch Car Service - Gel-Mar,Taller,Mostoles,"P. I. Promisa, C. Jaén, 3, Nave 55 y 56, 28935 Móstoles, Madrid, España",+34 916 64 32 85,,False,,,,ninguna,,True,,
,Castrol Service Taller R.Gonzalez,Taller,Mostoles,"C. Ávila, 19, 28936 Móstoles, Madrid, España",+34 916 13 08 98,https://www.castrol.com/es,True,,,,propia,,True,,
,Ceferauto,Taller,Mostoles,"C. Nueva York, 28937 Móstoles, Madrid, España",+34 916 46 28 44,https://cubesa.blogspot.com/,True,,,,builder,,True,,
,Dls Automoción,Taller,Mostoles,"C. Moraleja de Enmedio, 6, 28938 Móstoles, Madrid, España",+34 697 34 40 65,https://dlsautomocion.com/,True,,,,propia,,True,,
,Feu Vert Móstoles,Taller,Mostoles,"Carrefour El Soto, Carretera N-V, km 19, C.C, 28935 Móstoles, Madrid, España",+34 916 17 88 61,https://www.feuvert.es/,True,,,,propia,,True,,
,Hiper Road Alcorcón,Taller,Mostoles,"Polígono Industrial Urtinsa, C. Laguna, 22, 28923 Alcorcón, Madrid, España",+34 916 44 12 65,https://hiperroad.es/,True,,,,propia,,True,,
,Hiper Road Móstoles,Taller,Mostoles,"P.º de Arroyomolinos, 55, 28938 Móstoles, Madrid, España",+34 917 37 51 55,https://hiperroad.es/,True,,,,propia,,True,,
,Hondutaller - Taller Barato en Móstoles,Taller,Mostoles,"C. Montero, 3, 28934 Móstoles, Madrid, España",+34 634 69 21 99,https://tallerbaratomostoles.com/,True,,,,propia,,True,,
,JHM Motor,Taller,Mostoles,"C. de Cervantes, 3, 28932 Móstoles, Madrid, España",+34 650 07 02 12,,False,,,,ninguna,,True,,
,MKR Madrid,Taller,Mostoles,"C. del Pilar, 31, LOCAL, 28934 Móstoles, Madrid, España",+34 697 10 04 70,http://www.mkrmadrid.com/,True,,,,propia,,True,,
,MOTORLAM,Taller,Mostoles,"Calle Venus 2 Nave 7, Pol. Ind. la Fuensanta, 28936 Móstoles, Madrid, España",+34 910 10 81 74,http://www.motorlam.es/,True,,,,propia,,True,,
,Midas MÓSTOLES/Avd. de la Onu,Taller,Mostoles,"Sport Club, Av. de la Onu, S/N, 28936 Móstoles, Madrid, España",+34 911 67 43 06,https://www.midas.es/talleres-coche-moto-midas/comunidad-de-madrid/madrid/mostoles/mostolesavd-de-la-onu_3728,True,,,,propia,,True,,
,TALLERES JMG,Taller,Mostoles,"C. de la Rejilla, 12, 28931 Móstoles, Madrid, España",+34 662 50 82 42,,False,,,,ninguna,,True,,
,TALLERES SEVICAR MULTIMARCA,Taller,Mostoles,"C. Sevilla, 10, 28931 Móstoles, Madrid, España",+34 604 82 55 96,https://sevicar-motor.lunar-cup-0393.chatgpt.site/,True,,,,propia,,True,,
,TALLERES YILALI,Taller,Mostoles,"Calle del, C. Río Jarama, 7, posterior, 28934 Móstoles, Madrid, España",+34 696 49 94 55,https://m.facebook.com/talleresyilali/,False,,,,social,,True,,
,Taller Anse Mostoles,Taller,Mostoles,"C. de la Mariblanca, 11, 28937 Móstoles, Madrid, España",+34 619 80 42 55,,False,,,,ninguna,,True,,
,Taller Areauto,Taller,Mostoles,"C. Alfarería, 5, 28933 Móstoles, Madrid, España",+34 914 92 27 00,http://www.tallerareauto.com/,True,,,,propia,,True,,
,Taller Autodelta,Taller,Mostoles,"C. de Francisco Javier Sauquillo, 20, 28932 Móstoles, Madrid, España",+34 643 14 71 81,https://www.facebook.com/TalleresCuenca,False,,,,social,,True,,
