place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,email,contactar_por_telefono,web_estado
ChIJx2vCCfuNQQ0RrL2oExrwpoo,Nails N’Roses,Unas,Mostoles,"Av. del dos de Mayo, 27, 28934 Móstoles, Madrid, España",+34 917 45 13 07,https://booksy.com/es-es/42048_nails-n-roses_salon-de-unas_53745_mostoles,True,4.8,706,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJx2vCCfuNQQ0RrL2oExrwpoo.jpg,,True,propia
ChIJ7ZhmioONQQ0Ru79CIPrAsJc,Nails Factory Móstoles Andrómeda,Unas,Mostoles,"C. Andrómeda, 65, 28938 Móstoles, Madrid, España",+34 681 15 17 69,https://www.nailsfactory.es/centros/nails-factory-mostoles-calle-andromeda-oblink/,True,4.5,218,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ7ZhmioONQQ0Ru79CIPrAsJc.jpg,mostolesandromeda@nailsfactory.es,False,propia
ChIJXbXDBgCPQQ0RMCwR2Z0OpBA,Queen Nail's,Unas,Mostoles,"Carrefour Móstoles el Soto, 28935 Móstoles, Madrid, España",+34 652 32 44 46,,False,5,39,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJXbXDBgCPQQ0RMCwR2Z0OpBA.jpg,,True,ninguna
ChIJZ8xZdCGNQQ0RzxlkIv5rFIw,Nails & Beauty ESTHETIC,Unas,Mostoles,"Pl. de la Fuensanta, 4, 28934 Móstoles, Madrid, España",+34 612 52 78 55,https://www.instagram.com/paolatelleznails,False,4.9,230,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJZ8xZdCGNQQ0RzxlkIv5rFIw.jpg,,True,social
ChIJf_UmT0mPQQ0R49X9o9SzeDM,Natalia lopez nails & beauty,Unas,Mostoles,"C. Pintor Velazquez, 30, 28933 Móstoles, Madrid, España",+34 615 05 01 33,https://www.instagram.com/natalialopeznails/?hl=es,False,4.8,58,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJf_UmT0mPQQ0R49X9o9SzeDM.jpg,,True,social
ChIJ1_HOyOWNQQ0RQlFJ6Lej9mI,Mi Estetika 10 - Centro de estética y uñas en Móstoles,Unas,Mostoles,"C. de las Palmas, 62, 28938 Móstoles, Madrid, España",+34 682 88 07 65,http://www.miestetika.com/,True,4.9,209,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ1_HOyOWNQQ0RQlFJ6Lej9mI.jpg,miestetika10@gmail.com,False,propia
ChIJX1LrtbeNQQ0RgATPKwfnEJE,Unica Uñas Salón Nails,Unas,Mostoles,"C. del Cristo, 35, 28934 Móstoles, Madrid, España",+34 613 78 16 55,,False,5,11,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJX1LrtbeNQQ0RgATPKwfnEJE.jpg,,True,ninguna
ChIJ6XzEfSqMQQ0RCA0arXHwvho,Lili uñas,Unas,Mostoles,"C. Santander, 1, 3, 28931 Móstoles, Madrid, España",+34 688 55 17 71,,False,4.1,239,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJ6XzEfSqMQQ0RCA0arXHwvho.jpg,,True,ninguna
ChIJn2ZZepqNQQ0RgoPjUnEc0EU,Pintatop Nails,Unas,Mostoles,"Pl. de Flandes, 6, 1c, 28936 Móstoles, Madrid, España",+34 635 64 17 29,http://www.pintatop.com/,True,5,73,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJn2ZZepqNQQ0RgoPjUnEc0EU.jpg,,True,propia
ChIJNfg0MXSNQQ0R3EAOEH0_ksA,Sandra Concejo BS,Unas,Mostoles,"Calle, P.º de la Estación, 4, 28931 Móstoles, Madrid, España",+34 634 69 31 38,,False,4.8,118,C:\Users\mario\Projects\leadgen-webs\leads\photos\ChIJNfg0MXSNQQ0R3EAOEH0_ksA.jpg,,True,ninguna
