place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AniCura Estoril Hospital Veterinario | Urgencias 24h,Veterinario,Mostoles,"Av. de Portugal, 4, 28931 Móstoles, Madrid, España",+34 916 46 66 25,https://www.anicura.es/clinicas/estoril-hospital-veterinario/,True,,,,propia,,True,,
,AniCura Vetsia Hospital,Veterinario,Mostoles,"C. Galileo, 3, 28914 Leganés, Madrid, España",+34 914 98 41 12,https://www.anicura.es/clinicas/vetsia-hospital-veterinario/,True,,,,propia,,True,,
,AnimaLur Clínica Veterinaria,Veterinario,Mostoles,"Calle Laurel,2 (Entrada Avda. Del Vivero), 28942 Fuenlabrada, Madrid, España",+34 914 98 50 01,http://www.animalur.es/,True,,,,propia,,True,,
,CLINICA VETERINARIA LORANCA,Veterinario,Mostoles,"C. Concepción Arenal, 8, 28942 Fuenlabrada, Madrid, España",+34 916 04 70 80,http://www.clinica-veterinaria-loranca.com/,True,,,,propia,,True,,
,Centro Veterinario Coimbra,Veterinario,Mostoles,"ZOCO COIMBRA, C. del Tamarindo, 15, 28935 Parque Coimbra, Madrid, España",+34 916 47 57 82,http://www.centroveterinariocoimbra.es/,True,,,,propia,,True,,
,Centro Veterinario Móstoles,Veterinario,Mostoles,"C. Rubens, 6, 28933 Móstoles, Madrid, España",+34 916 14 41 82,https://www.centroveterinariomostoles.com/,True,,,,propia,,True,,
,Centro Veterinario Ohana,Veterinario,Mostoles,"C. del Mestizaje, 3, 28922 Alcorcón, Madrid, España",+34 918 61 62 34,,False,,,,ninguna,,True,,
,Centro Veterinario Parque Oeste SLU,Veterinario,Mostoles,"C. Milán, 12, 28922 Alcorcón, Madrid, España",+34 916 89 18 83,http://www.centroveterinarioparqueoeste.es/,True,,,,propia,,True,,
,Centro Veterinario RETAMAS,Veterinario,Mostoles,"Calle los Pinos 60 Esquina Calle Los Pinos, Av. del Oeste, 28922 Alcorcón, Madrid, España",+34 911 56 30 12,,False,,,,ninguna,,True,,
,Centro Veterinario Rosales,Veterinario,Mostoles,"C. Petunia, 22, 28933 Móstoles, Madrid, España",+34 916 18 89 90,https://www.veterinario-mostoles.com/,True,,,,propia,,True,,
,Clinica Veterinaria Perseo Alcorcón,Veterinario,Mostoles,"C. Oslo, 10, 28922 Alcorcón, Madrid, España",+34 919 20 86 64,https://clinicaveterinariaperseo.com/,True,,,,propia,,True,,
,Clinica Veterinaria Tropican,Veterinario,Mostoles,"P.º de Goya, 28, 28932 Móstoles, Madrid, España",+34 916 14 38 49,,False,,,,ninguna,,True,,
,Clínica Veterinaria Azahar,Veterinario,Mostoles,"C. Río Duero, s/n, 28923 Alcorcón, Madrid, España",+34 912 26 01 06,https://www.clinicaveterinaria-azahar.es/,True,,,,propia,,True,,
,Clínica Veterinaria Barcelona,Veterinario,Mostoles,"C. Barcelona, 14, 28937 Móstoles, Madrid, España",+34 912 36 26 64,https://clinicaveterinariabarcelona.es/,True,,,,propia,,True,,
