place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
ChIJD6kwuDr1QQ0R68qwN12JkJ8,Rafael Dieguez Pérez,Abogado,Parla,"C. de Alcorcón, 23, 28981 Parla, Madrid, España",+34 912 88 44 85,http://www.dieguezperezabogados.es/,True,4.8,165,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJD6kwuDr1QQ0R68qwN12JkJ8.jpg,propia,global@dieguezperezabogados.es,False,no,web moderna
ChIJ97fxbDD1QQ0RRcRxGMb0Ef0,Silvia Bermejo,Abogado,Parla,"Pl. de la Constitución, 5, 28981 Parla, Madrid, España",+34 646 93 22 68,http://www.silviabermejoprocurador.com/,True,4.9,141,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ97fxbDD1QQ0RRcRxGMb0Ef0.jpg,propia,,True,no,web moderna
ChIJHb1n9zr1QQ0R28NDUSBtByY,Abogados Alonso Bufete Jurídico,Abogado,Parla,"C. San Antón, 1Bis, 1ºB, 28982 Parla, Madrid, España",+34 916 05 15 50,http://www.bufetealonso.es/,True,4.4,29,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJHb1n9zr1QQ0R28NDUSBtByY.jpg,propia,info@bufetealonso.es,False,no,web moderna
ChIJ0w4Sh7H1QQ0RYXPyYs7s9og,YBZ ABOGADOS - Youssef Bouzrouti,Abogado,Parla,"Calle Real, 83, 1º, 28981 Parla, Madrid, España",+34 600 95 96 40,http://www.ybzabogados.com/,True,4.9,203,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ0w4Sh7H1QQ0RYXPyYs7s9og.jpg,propia,info@ybzabogados.com,False,no,web moderna
ChIJt-x8thj1QQ0RBJxadJBO3k4,Gabinete Jurídico Villagaray,Abogado,Parla,"C. de Juan XXIII, 11, 28982 Parla, Madrid, España",+34 697 37 80 79,http://villagarayabogados.com/,True,4.6,171,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJt-x8thj1QQ0RBJxadJBO3k4.jpg,propia,gabinetejuridicovillagaray@gmail.com,False,no,web moderna
ChIJB9CbpEn1QQ0RQrFMUW3GXVw,Abogado Parla: Vicente Coleto,Abogado,Parla,"C. Pintor Sorolla, 4, bajo b, 28982 Parla, Madrid, España",+34 912 49 96 01,https://vicentecoleto.com/,True,4.8,49,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJB9CbpEn1QQ0RQrFMUW3GXVw.jpg,propia,abogado@vicentecoleto.com,False,si,marcado obsoleto: flash
ChIJs83ixjH1QQ0R3_VjFEj1Cys,"Pilar Matilla Montero, Abogada",Abogado,Parla,"sólo con CITA PREVIA, EDIFICIO COMERCIAL El Olivo, C. Olivo, 8, centro comercial, 28981 Parla, Madrid, España",+34 916 98 08 32,http://www.pilarmatilla.com/,True,5,26,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJs83ixjH1QQ0R3_VjFEj1Cys.jpg,propia,pilarmatilla@icam.es,False,no,web moderna
ChIJvXgy43T1QQ0R33weKcE8FI0,Derecho de Extranjería - Abogados de extranjería en Parla,Abogado,Parla,"C. Río Guadarrama, 1, 28981 Parla, Madrid, España",+34 663 97 18 30,https://derechodeextranjeria.com/,True,4.7,88,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJvXgy43T1QQ0R33weKcE8FI0.jpg,propia,,True,?,HTTP 403
ChIJd6-SaTj1QQ0RusrjU9Yxxeo,Lexmadridyasociados,Abogado,Parla,"C. de Getafe, 17, 28981 Parla, Madrid, España",+34 910 09 35 80,https://lexmadridyasociados.es/,True,5,71,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJd6-SaTj1QQ0RusrjU9Yxxeo.jpg,propia,info@lexmadridyasociados.es,False,no,web moderna
ChIJReF2QvwfGCsRndG4ZUNwzk4,AM FOXA Soluciones Legales,Abogado,Parla,"C. Olivo, 8, PLANTA 1ª, DESPACHO 17, 28981 Parla, Madrid, España",+34 600 03 99 57,http://www.amfocsa.com/,True,5,58,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJReF2QvwfGCsRndG4ZUNwzk4.jpg,propia,,True,no,web moderna
ChIJ9TK-UgX1QQ0RzFD1iFE8N2E,Galán de Mora Abogados,Abogado,Parla,"Calle del Olivo, 8, planta 2, despacho 7 a 9, 28981 Parla, Madrid, España",+34 919 03 64 53,https://www.galandemora.es/Parla/Abogados-Parla,True,4.3,19,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ9TK-UgX1QQ0RzFD1iFE8N2E.jpg,propia,,True,no,web moderna
ChIJAeLu9Tr1QQ0RmUYsGfGoX8k,ARIGO ABOGADOS,Abogado,Parla,"Calle Real, 2, 28981 Parla, Madrid, España",+34 647 35 58 88,http://www.arigoabogados.es/,True,3.4,39,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJAeLu9Tr1QQ0RmUYsGfGoX8k.jpg,propia,,True,?,no carga (SSLError)
ChIJIQ6FWE71QQ0RXulQECz7Q-8,Arriaga Asociados,Abogado,Parla,"C. de Pinto, s/n, Planta baja - Local 67-B, 28982 Parla, Madrid, España",+34 919 94 20 96,https://www.arriagaasociados.com/contacto/abogados-madrid/parla/,True,4.2,165,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJIQ6FWE71QQ0RXulQECz7Q-8.jpg,propia,lopd@grupoarriagaasociados.com,False,no,web moderna
ChIJ5TbEMS_1QQ0R7IvYOBkplNM,Raquel Marín. Abogados y Gestoría,Abogado,Parla,"C. las Dehesillas, 1, Loc 4, 28983 Parla, Madrid, España",+34 911 66 27 45,http://raquelmarinabogadosygestoria.com/,True,3.7,21,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJ5TbEMS_1QQ0R7IvYOBkplNM.jpg,propia,info@raquelmarinabogadosygestoria.com,False,no,web moderna
ChIJL8DC6qX1QQ0RX-chOGoY4pI,Nuestro Divorcio Parla - Bufete Abogados Divorcios,Abogado,Parla,"C. Río Guadarrama, 1, Bajo Exterior, Local, 28981 Parla, Madrid, España",+34 663 97 18 30,https://nuestrodivorcio.com/,True,4.8,18,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJL8DC6qX1QQ0RX-chOGoY4pI.jpg,propia,,True,?,HTTP 403
ChIJB44GOzH1QQ0RsfxE33UOXv8,"Abogada Fernández del Olmo, Purificación",Abogado,Parla,"C. la Sal, 52, 28981 Parla, Madrid, España",+34 916 05 73 05,https://pfabogada.com/,True,4.6,14,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJB44GOzH1QQ0RsfxE33UOXv8.jpg,propia,info@pfabogada.com,False,no,web moderna
ChIJkXsdg5z1QQ0RyuTMmGZc_5A,Ad Hoc Abogadas,Abogado,Parla,"C. Alfonso XIII, 26, Loc, 28982 Parla, Madrid, España",+34 915 04 89 27,https://adhocabogadas.com/,True,3.9,34,,propia,example@gail.com,False,no,web moderna
ChIJz2u6NsT1QQ0RItliaPX44Y4,SANTIAGO SANCHEZ CRIADO,Abogado,Parla,"C. San Antón, 71, 28982 Parla, Madrid, España",+34 916 99 42 62,,False,5,2,,ninguna,,True,,
ChIJQdoWITv1QQ0R6lmx3kXgKrc,Angel Pinilla Martín,Abogado,Parla,"Calle Real, 2, 28981 Parla, Madrid, España",+34 916 99 46 76,,False,2.8,5,,ninguna,,True,,
ChIJNYpI9jn1QQ0RkTt0G1rw8eQ,Prolex,Abogado,Parla,"C. San Roque, 52, 28982 Parla, Madrid, España",+34 916 05 07 14,https://prolex.es/,True,3.9,32,,propia,info@prolex.es,False,no,web moderna
ChIJnWzcOKb1QQ0Rv0ilY93A4fU,Qvasium Asociados SL,Abogado,Parla,"C. María Zambrano, 26, Loc 1, 28981 Parla, Madrid, España",+34 611 74 69 47,https://www.qvasium.com/,True,5,17,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJnWzcOKb1QQ0Rv0ilY93A4fU.jpg,propia,administracion@qvasium.com,False,no,web moderna
ChIJr3_axzD1QQ0Rs7YY4xOt4FM,Artalejo Abogados,Abogado,Parla,"Calle Dos Hermanas, 5, 28982 Parla, Madrid, España",+34 916 99 20 27,http://www.artalejoabogados.com/,True,4.8,8,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJr3_axzD1QQ0Rs7YY4xOt4FM.jpg,propia,jose.agustin@artalejoabogados.com,False,no,web moderna
ChIJSfqK3Ij1QQ0RHOpRBEFkmgI,Credivensa Abogados,Abogado,Parla,"C. Valladolid, 5, 28982 Parla, Madrid, España",+34 916 05 21 49,https://www.credivensa.es/,True,5,3,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJSfqK3Ij1QQ0RHOpRBEFkmgI.jpg,propia,,True,no,web moderna
ChIJw1B8tg31QQ0RhgY0a5IRLyw,Demecon Abogados,Abogado,Parla,"Av. de Ronda, 60, 28981 Parla, Madrid, España",+34 635 66 54 96,,False,5,7,C:\Users\mario\leadgen\leadgen-webs\leads\photos\ChIJw1B8tg31QQ0RhgY0a5IRLyw.jpg,ninguna,,True,,
