place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,AUTOESCUELA NAYER,Autoescuela,Parla,"Av. de las Regiones, 8, 28941 Fuenlabrada, Madrid, España",+34 912 27 09 80,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,AUTOESCUELA SACRISTAN SL de PARLA,Autoescuela,Parla,"C. San Antón, 29, 28982 Parla, Madrid, España",+34 916 99 10 62,,False,,,,ninguna,,True,,
,Auto Escuela Proa,Autoescuela,Parla,"28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Auto escuela DIVA,Autoescuela,Parla,"C. Alfonso X el Sabio, 18, 28982 Parla, Madrid, España",+34 699 14 74 30,https://parla365.es/autoescuelas/#auto_escuela_diva,True,,,,propia,,True,,
,Autoescuela - Academia Dimas,Autoescuela,Parla,"C/ de Extremadura, 2, posterior, 28944 Fuenlabrada, Madrid, España",+34 911 62 97 19,https://autoescueladimas.com/,True,,,,propia,,True,,
,Autoescuela Avanzada,Autoescuela,Parla,"C. de Francia, 34, 28943 Fuenlabrada, Madrid, España",+34 916 07 37 23,https://autoescuelaavanzada.es/,True,,,,propia,,True,,
,"Autoescuela CAS, Fuentebella en Parla",Autoescuela,Parla,"URB, C. Fuentebella, 37, 28981 Parla, Madrid, España",+34 916 05 24 84,https://parla365.es/autoescuelas/#autoescuela_cas_fuentebella_en_parla,True,,,,propia,,True,,
,"Autoescuela CAS, San Antón en Parla",Autoescuela,Parla,"C. San Antón, 72, 28982 Parla, Madrid, España",+34 916 99 10 33,https://autoescuelagandia.es/autoescuela-parla/,True,,,,propia,,True,,
,"Autoescuela CAS, San Roque en Parla",Autoescuela,Parla,"C. San Roque, 55, 28983 Parla, Madrid, España",+34 916 98 38 60,,False,,,,ninguna,,True,,
,Autoescuela Festival SL,Autoescuela,Parla,"Pl. de la Albufera, 5, 28945 Fuenlabrada, Madrid, España",+34 916 00 07 49,http://autoescuelafestival.com/,True,,,,propia,,True,,
,Autoescuela Fuenlabrada,Autoescuela,Parla,"C. de Portugal, 32, 28943 Fuenlabrada, Madrid, España",+34 916 08 43 79,,False,,,,ninguna,,True,,
,Autoescuela GO! Fuenlabrada (Arcoíris),Autoescuela,Parla,"C. de Humanes, 35, 28944 Fuenlabrada, Madrid, España",+34 916 90 30 07,https://goautoescuelas.es/autoescuelas/fuenlabrada/,True,,,,propia,,True,,
,Autoescuela Gala - Pinto Calle Bélgica,Autoescuela,Parla,"C. Bélgica, 53, 28320 Pinto, Madrid, España",+34 916 92 49 28,https://autoescuelagala.com/autoescuela-pinto-calle-belgica/,True,,,,propia,,True,,
,Autoescuela Isabel II,Autoescuela,Parla,"C. Isabel II, 21, 28982 Parla, Madrid, España",+34 629 21 87 19,https://www.qdq.com/autoescuela-isabel-ii-1204871,True,,,,propia,,True,,
,Autoescuela Jelba,Autoescuela,Parla,"C. Reyes Católicos, 6, 28982 Parla, Madrid, España",+34 916 05 06 44,https://autoescuelajelba.es/,True,,,,propia,,True,,
,Autoescuela Jose Luis,Autoescuela,Parla,"Av. de los Andes, 14, 28945 Fuenlabrada, Madrid, España",+34 916 90 71 67,http://www.aejoseluis.es/,True,,,,propia,,True,,
,Autoescuela Lara Fuenlabrada - Lorea,Autoescuela,Parla,"C. Álava, 16, 28941 Fuenlabrada, Madrid, España",+34 916 06 88 21,https://autoescuelalara.com/centros/fuenlabrada-el-lorea,True,,,,propia,,True,,
,Autoescuela Lara Parla,Autoescuela,Parla,"C. del Planeta Venus, 10, local 1, 28983 Parla, Madrid, España",+34 662 96 83 24,https://autoescuelalara.com/centros/parla,True,,,,propia,,True,,
,Autoescuela Las Américas,Autoescuela,Parla,"C. Isabel II, 24, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Autoescuela Montero Espinosa,Autoescuela,Parla,"C. Alfonso XIII, 4, 28982 Parla, Madrid, España",+34 626 00 57 49,https://autoescuelamonteroespinosa.com/,True,,,,propia,,True,,
,Autoescuela Nayer El Bercial,Autoescuela,Parla,"C. Austria, 11, 28907 Getafe, Madrid, España",+34 699 21 58 62,https://www.autoescuelanayer.es/,True,,,,propia,,True,,
,Autoescuela Parla,Autoescuela,Parla,"C. la Sal, 48, 28981 Parla, Madrid, España",+34 919 47 90 48,http://www.autoescuelaparla.com/,True,,,,propia,,True,,
,Autoescuela Pinto Proa,Autoescuela,Parla,"C. del Santo Domingo de Silos, 5, 28320 Pinto, Madrid, España",+34 688 95 55 95,,False,,,,ninguna,,True,,
,Autoescuela Pole Posítíon,Autoescuela,Parla,"C. Olivo, 28981 Parla, Madrid, España",+34 646 56 78 26,https://autoescuelagandia.es/autoescuela-parla/,True,,,,propia,,True,,
,Autoescuela ROCHA,Autoescuela,Parla,"Pl. David Martín, 2, 28320 Pinto, Madrid, España",+34 916 92 79 93,,False,,,,ninguna,,True,,
,Autoescuela Repriss,Autoescuela,Parla,"Calle Real, 35, 28991 Torrejón de la Calzada, Madrid, España",+34 910 18 73 05,https://autoescuelarepriss.com/,True,,,,propia,,True,,
,Autoescuelas Abril - Autoescuela Getafe Sector III,Autoescuela,Parla,"C. los Sauces, 28, 28905 Getafe, Madrid, España",+34 916 82 57 46,http://www.autoeabril.com/autoescuela-getafe-sector-3-Madrid.aspx,True,,,,propia,,True,,
,CENTRO DE FORMACION VIAL LAS AMERICAS S.L.,Autoescuela,Parla,"C. la Pila, 2, 28981 Parla, Madrid, España",+34 916 98 96 52,,False,,,,ninguna,,True,,
,Centro de Formación Vial Juventus,Autoescuela,Parla,"Calle Río Tajo, 11, 28981 Parla, Madrid, España",+34 916 99 94 80,http://autoescuelayuventus.com/,True,,,,propia,,True,,
,Circuito autoescuelas,Autoescuela,Parla,"C. Nantes, 1, 28983 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Fuenlabrada II | GALA Autoescuela,Autoescuela,Parla,"C. de Turquía, 7, 28943 Fuenlabrada, Madrid, España",+34 691 67 45 24,https://autoescuelagala.com/autoescuela-fuenlabrada-ii/,True,,,,propia,,True,,
,Getafe | GALA Autoescuela,Autoescuela,Parla,"C. Polvoranca, 5, 28901 Getafe, Madrid, España",+34 637 77 68 47,https://autoescuelagala.com/autoescuela-getafe/,True,,,,propia,,True,,
,Humanes | GALA Autoescuela,Autoescuela,Parla,"C. Madrid, 75, 28970 Humanes de Madrid, Madrid, España",+34 673 36 38 57,https://autoescuelagala.com/autoescuela-humanes/,True,,,,propia,,True,,
,La Torre Ciudad del Conductor,Autoescuela,Parla,"C. Toledo, 23, 28981 Parla, Madrid, España",+34 620 79 25 61,https://www.latorreciudaddelconductor.es/,True,,,,propia,,True,,
,"MADRID SUR, Autoescuela",Autoescuela,Parla,"C. Madrid, 30, 28970 Humanes de Madrid, Madrid, España",+34 663 97 52 46,,False,,,,ninguna,,True,,
,Parla Este | GALA Autoescuela,Autoescuela,Parla,"C. del Planeta Saturno, 11, 28983 Parla, Madrid, España",+34 637 84 42 14,https://autoescuelagala.com/autoescuela-parla-este/,True,,,,propia,,True,,
