place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,7 Rock Bar,Bar,Parla,"C. Santo Tomás de Aquino, 1, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,BAR MONKEY,Bar,Parla,"C. Reina Victoria, 34, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,"BOCA2 bar, cafe & food",Bar,Parla,"C. San Roque, 69, 28982 Parla, Madrid, España",+34 641 51 18 89,,False,,,,ninguna,,True,,
,BTC LA BOVEDA PARLA,Bar,Parla,"C. Alfonso X el Sabio, 28, 28982 Parla, Madrid, España",+34 919 95 11 21,,False,,,,ninguna,,True,,
,Bar Bacha-Delos,Bar,Parla,"C. Torrejón, 12, 28981 Parla, Madrid, España",+34 916 98 27 40,,False,,,,ninguna,,True,,
,Bar CAÑONES Y TAPONES,Bar,Parla,"C. de Alcorcón, 7, 28981 Parla, Madrid, España",+34 662 18 21 12,https://bar-canones-y-tapones.eatbu.com/,True,,,,propia,,True,,
,Bar Cafeteria Las Marismas de Lina,Bar,Parla,"C. de Fernando III El Santo, 29, 28982 Parla, Madrid, España",+34 623 29 52 76,,False,,,,ninguna,,True,,
,Bar Cafetería La Barca,Bar,Parla,"Tr.ª Isabel II, 21, 28982 Parla, Madrid, España",+34 678 74 81 17,,False,,,,ninguna,,True,,
,Bar Camelot,Bar,Parla,"C. María Cristina, 31, 28982 Parla, Madrid, España",+34 916 98 36 18,https://parla365.es/bares/#bar_camelot,True,,,,propia,,True,,
,Bar El Toque De Queda,Bar,Parla,"C. Lago Blanco, 4, 28981 Parla, Madrid, España",+34 643 08 62 54,,False,,,,ninguna,,True,,
,Bar Jesús,Bar,Parla,"C. Alfonso XIII, 23, 28982 Parla, Madrid, España",+34 916 05 07 68,https://sren.top/bar-jesus,True,,,,propia,,True,,
,Bar Mulligan's,Bar,Parla,"C. Esperanza, 10, 28982 Parla, Madrid, España",,https://grupococogarden.com/,True,,,,propia,,True,,
,Bar Pérez,Bar,Parla,"C. San Roque, 76, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Restaurante Paloma,Bar,Parla,"C. de Getafe, 17, Portal 10 Local 5, 28981 Parla, Madrid, España",+34 916 83 38 81,,False,,,,ninguna,,True,,
,Bar Route 54,Bar,Parla,"Calle Felipe ll número 8 bis, 28982 Parla, Madrid, España",+34 680 19 61 30,,False,,,,ninguna,,True,,
,Bar Sophie Ella,Bar,Parla,"C. Río Guadiana, 28981 Parla, Madrid, España",+34 642 92 12 74,,False,,,,ninguna,,True,,
,Bar Toledo,Bar,Parla,"C. Alfonso X el Sabio, 57, 28982 Parla, Madrid, España",+34 911 54 14 58,,False,,,,ninguna,,True,,
,Bar del Abuelo,Bar,Parla,"C. Zamora, 2, 28982 Parla, Madrid, España",+34 912 85 52 96,http://www.bardelabuelo.es/,True,,,,propia,,True,,
,Bar restaurante Toma'te Dos,Bar,Parla,"C. Jaime I el Conquistador, 43, 28982 Parla, Madrid, España",+34 616 97 29 91,,False,,,,ninguna,,True,,
,Bar restaurante Wonderland,Bar,Parla,"C. del Planeta Saturno, 10, Loc 2, 28983 Parla, Madrid, España",+34 911 49 35 69,,False,,,,ninguna,,True,,
,Bendita Lokura,Bar,Parla,"Calle del Planeta Júpiter, 8, Loc 2, 28983 Parla, Madrid, España",+34 915 17 34 12,,False,,,,ninguna,,True,,
,Billar Madrid - Café La8 Pool,Bar,Parla,"C. Soledad, 2, 28981 Parla, Madrid, España",+34 910 56 04 01,https://la8pool.es/,True,,,,propia,,True,,
,Bistró Cafeteria Use,Bar,Parla,"C. Alfonso XIII, 24, 28982 Madrid, España",+34 916 99 77 88,https://www.instagram.com/bistro_use,False,,,,social,,True,,
,Cervecería donde Chiky,Bar,Parla,"C. Reina Victoria, 13, 28982 Parla, Madrid, España",+34 676 62 55 12,https://cartadigital.barmanagerapp.com/site/index/show/CERVECERIADONDECHIKY,True,,,,propia,,True,,
