place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Bar - Restaurante Repertorio,Cafeteria,Parla,"C. San Roque, 67, 28982 Parla, Madrid, España",+34 624 77 89 62,,False,,,,ninguna,,True,,
,Bar Bacha-Delos,Cafeteria,Parla,"C. Torrejón, 12, 28981 Parla, Madrid, España",+34 916 98 27 40,,False,,,,ninguna,,True,,
,Bar Cafeteria Las Marismas de Lina,Cafeteria,Parla,"C. de Fernando III El Santo, 29, 28982 Parla, Madrid, España",+34 623 29 52 76,,False,,,,ninguna,,True,,
,Bar Cafetería La Esperanza,Cafeteria,Parla,"C. Alfonso XIII, 28, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Cafetería La Revolera,Cafeteria,Parla,"C. de Fernando III El Santo, 31, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Bar Cafetería Sergio,Cafeteria,Parla,"C. Santo Tomás de Aquino, 41, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Bar cafetería Aurora,Cafeteria,Parla,"C. Reyes Católicos, 26, 28982 Parla, Madrid, España",+34 918 33 90 00,https://www.elnuevoaurora.es/,True,,,,propia,,True,,
,Bistró Cafeteria Use,Cafeteria,Parla,"C. Alfonso XIII, 24, 28982 Madrid, España",+34 916 99 77 88,https://www.instagram.com/bistro_use,False,,,,social,,True,,
,Cafestore Hospital Infanta Cristina,Cafeteria,Parla,"Av. 9 de Junio, 2, 28981 Parla, Madrid, España",+34 686 81 84 25,,False,,,,ninguna,,True,,
,Cafeteria La Ronda,Cafeteria,Parla,"28981 Parla, Madrid, España",+34 910 33 71 71,,False,,,,ninguna,,True,,
,Cafeteria Las Gemelas,Cafeteria,Parla,"Calle Río Tajo, 28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeteria Sanz,Cafeteria,Parla,"C. de Cuenca, 3, 28982 Parla, Madrid, España",+34 916 05 77 00,,False,,,,ninguna,,True,,
,Cafetería Churreria Rafael,Cafeteria,Parla,"C. Río Ebro, 20, 28981 Parla, Madrid, España",+34 665 45 04 75,,False,,,,ninguna,,True,,
,Cafetería Forus/Piscina,Cafeteria,Parla,"Av. de Juan Carlos I, 1, 28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Los Abuelos,Cafeteria,Parla,"C. Fuenlabrada, 55, 28981 Parla, Madrid, España",+34 632 96 30 52,,False,,,,ninguna,,True,,
,Cafetería Los Ángeles,Cafeteria,Parla,"C. de Burgos, 28982 Parla, Madrid, España",+34 640 67 70 83,,False,,,,ninguna,,True,,
,Cafetería Madrid,Cafeteria,Parla,"C. Carabanchel, 7, 28981 Parla, Madrid, España",+34 609 97 98 50,,False,,,,ninguna,,True,,
,Cafetería Magán,Cafeteria,Parla,"C. Jaime I el Conquistador, 8, posterior, 28982 Parla, Madrid, España",+34 696 06 89 39,,False,,,,ninguna,,True,,
,Cafetería Matteo,Cafeteria,Parla,"Pl. de la Iglesia, 2, 28982 Parla, Madrid, España",+34 625 56 22 44,,False,,,,ninguna,,True,,
,Cafetería Michelle,Cafeteria,Parla,"C. Río Ebro, 31, 28981 Parla, Madrid, España",+34 672 08 27 74,,False,,,,ninguna,,True,,
,Cafetería Patiño,Cafeteria,Parla,"Calle Real, 70, 28981 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Cafetería Sierra III,Cafeteria,Parla,"Calle Real, 84, 28981 Parla, Madrid, España",+34 916 05 23 66,https://cafeteria-sierra-3.eatbu.com/,True,,,,propia,,True,,
,Cafetería Villafranca,Cafeteria,Parla,"C. de Getafe, 17, 28981 Parla, Madrid, España",+34 696 01 28 98,,False,,,,ninguna,,True,,
,Cafetería bar Marsan,Cafeteria,Parla,"C. Alfonso XIII, 6, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Cafeterías Peinado,Cafeteria,Parla,"Lugar Urbanización De La Fuentebella, 47 Lugar Lugar, 28981 Parla, Madrid, España",+34 916 98 05 73,,False,,,,ninguna,,True,,
,Churrería Aguado,Cafeteria,Parla,"C. Reina Victoria, 20, 28982 Parla, Madrid, España",+34 912 88 61 86,,False,,,,ninguna,,True,,
,El Raíl,Cafeteria,Parla,"Calle Real, 28981 Parla, Madrid, España",+34 659 10 15 92,https://elrail.es/,True,,,,propia,,True,,
,El Taller,Cafeteria,Parla,"Calle Real, 68, 28981 Parla, Madrid, España",,http://www.grupoeltaller.es/,True,,,,propia,,True,,
,El Tranvía Restaurante Cafetería,Cafeteria,Parla,"C. Jaime I el Conquistador, 46, 28983 Parla, Madrid, España",+34 910 41 27 18,,False,,,,ninguna,,True,,
,Exágonos,Cafeteria,Parla,"C. Jaime I el Conquistador, 19, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,Joy Café & Bollería,Cafeteria,Parla,"C. de Pinto, 45, Posterior, 28982 Parla, Madrid, España",,,False,,,,ninguna,,True,,
,La Cookie Cuqui,Cafeteria,Parla,"C. Domingo Malagón, 3, 28982 Parla, Madrid, España",+34 911 46 74 06,https://www.instagram.com/lacookiecuqui,False,,,,social,,True,,
,Mamá café,Cafeteria,Parla,"Av. de las Estrellas, 49, 28983 Parla, Madrid, España",+34 697 82 26 69,,False,,,,ninguna,,True,,
,Maype,Cafeteria,Parla,"C. de Fernando III El Santo, 5, Local, 28982 Parla, Madrid, España",+34 916 98 15 41,https://www.facebook.com/Cafeteria-BAR-MAYPE-370691813094437/,False,,,,social,,True,,
,Mitto,Cafeteria,Parla,"C. Río Guadiana, 9, 28981 Parla, Madrid, España",+34 600 89 87 51,https://instagram.com/mitto_bar,False,,,,social,,True,,
,Pastelería Cafetería La Artesana,Cafeteria,Parla,"C. Valladolid, 3, 28982 Parla, Madrid, España",+34 916 05 02 55,https://pasteleriacafeterialaartesana.es/,True,,,,propia,,True,,
,Restaurante Alameda,Cafeteria,Parla,"Av. de la Escuela Pública, 3, 28981 Parla, Madrid, España",+34 916 98 10 86,,False,,,,ninguna,,True,,
,"Restaurante La Manaba Parla | Comida Casera ecuatoriana e internacional, Eventos y Música en Vivo",Cafeteria,Parla,"C. Turín, 13, 28983 Parla, Madrid, España",+34 614 00 88 76,https://www.instagram.com/lamanabaparla,False,,,,social,,True,,
,Teteria Istanbul,Cafeteria,Parla,"C. Isabel II, 17, 28982 Parla, Madrid, España",+34 677 13 94 81,,False,,,,ninguna,,True,,
,Vannila Pastelería cafetería,Cafeteria,Parla,"C. Aranjuez, 16, 28981 Parla, Madrid, España",+34 918 13 50 48,https://pasteleriavannila.es/,True,,,,propia,,True,,
