place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,Alegra Clínica Dental Fuenlabrada,Dental,Parla,"Av. de Europa, 1, Loc 1, 28943 Fuenlabrada, Madrid, España",+34 913 14 25 38,http://alegraclinicadental.es/,True,,,,propia,,True,,
,"Bedental, Clínica dental, Implantes, Ortodoncia",Dental,Parla,"Av. de Ronda, 70, 28981 Parla, Madrid, España",+34 916 05 00 69,http://www.bedental.es/,True,,,,propia,,True,,
,CENTRO MEDICO SALUD MÉTODO AVANZADO.,Dental,Parla,"C. San Roque, 47, 28982 Parla, Madrid, España",+34 910 41 31 88,http://www.saludmetodoavanzado.com/,True,,,,propia,,True,,
,CLÍNICA DENTAL ESTEBAN PELLICER,Dental,Parla,"P.º de María Lejárraga, 4, 28905 Getafe, Madrid, España",+34 623 98 12 27,https://clinicaestebanpellicer.com/,True,,,,propia,,True,,
,Centro Médico Dental,Dental,Parla,"C. Isabel II, 26, 28982 Parla, Madrid, España",+34 916 05 55 83,http://www.clinicadentalmartaconde.com/,True,,,,propia,,True,,
,Ceres Clinica Dental,Dental,Parla,"C. Madrid, 100, 28902 Getafe, Madrid, España",+34 683 34 63 00,https://ceresclinicadental.com/,True,,,,propia,,True,,
,Cliesdent,Dental,Parla,"C. Leganés, 33, 28981 Parla, Madrid, España",+34 916 05 20 01,https://www.cliesdent.es/es/,True,,,,propia,,True,,
,Clinica Dental,Dental,Parla,"C. Virgen del Rocío, 3, 28982 Parla, Madrid, España",+34 916 99 63 58,,False,,,,ninguna,,True,,
,Clinica Dental Alba,Dental,Parla,"Calle Real, 22, 28991 Torrejón de la Calzada, Madrid, España",+34 918 16 17 03,http://www.clinicadentalalbam.com/,True,,,,propia,,True,,
,Clinica Guadalajara,Dental,Parla,"C. Guadalajara, 8, 28982 Parla, Madrid, España",+34 916 05 61 89,https://parla365.es/podologos/#clinica_guadalajara,True,,,,propia,,True,,
,Clinica dental en Parla Marta Conde,Dental,Parla,"C. Isabel II, 24, 28982 Parla, Madrid, España",+34 603 68 96 49,https://clinicadentalmartaconde.com/clinica-dental-en-parla/,True,,,,propia,,True,,
,Clinica dental jose luis arroyo,Dental,Parla,"C. Isabel II, 19, 28982 Parla, Madrid, España",+34 916 05 24 11,,False,,,,ninguna,,True,,
,"Clinica dental, Psicologia, Logopedia, Fisioterapia y Podologia. Salud Metodo Avanzado",Dental,Parla,"C. San Roque, 45, 28982 Parla, Madrid, España",+34 910 41 31 88,http://www.saludmetodoavanzado.com/,True,,,,propia,,True,,
,Clínica AC Dental Fuenlabrada,Dental,Parla,"C/ de Móstoles, 36, 28943 Fuenlabrada, Madrid, España",+34 916 06 04 21,https://clinicasacdental.com/,True,,,,propia,,True,,
,Clínica AC Dental Parla,Dental,Parla,"Calle Real, 103, 28981 Parla, Madrid, España",+34 911 59 11 46,https://clinicasacdental.com/dentista-parla/,True,,,,propia,,True,,
,Clínica Dental Adeslas,Dental,Parla,"C. de las Ciudades, 1, 28982 Parla, Madrid, España",+34 900 229 922,https://www.adeslasdental.es/clinicas/clinica-dental-adeslas-parla-calle-de-las-ciudades,True,,,,propia,,True,,
,Clínica Dental Doctor Nasimi,Dental,Parla,"C. Mayor, 63, 28921 Alcorcón, Madrid, España",+34 916 41 43 46,https://clinicasdoctornasimi.com/clinica-alcorcon/,True,,,,propia,,True,,
,Clínica Dental Doctor Nasimi Parla,Dental,Parla,"Calle Real, 75, 28981 Parla, Madrid, España",+34 916 98 67 11,https://www.clinicasdoctornasimi.com/,True,,,,propia,,True,,
,Clínica Dental Dr. Adriano Malchiodi,Dental,Parla,"C. Reina Victoria, 30, 28982 Parla, Madrid, España",+34 910 31 23 10,https://www.clinicadentaladrianomalchiodi.es/,True,,,,propia,,True,,
,Clínica Dental EsMile (Ozonodent) | Dentista en Parla,Dental,Parla,"C. San Blas, 21, 28981 Parla, Madrid, España",+34 656 34 43 86,https://clinicadentalesmile.com/,True,,,,propia,,True,,
,Clínica Dental GYR 2010 Parla,Dental,Parla,"Frente al, C. Aranjuez, 6, portal 6, 28981 Parla, Madrid, España",+34 623 70 19 66,http://www.dentalgyrparla.com/,True,,,,propia,,True,,
,Clínica Dental Humanes 61,Dental,Parla,"C. de Humanes, 61, 28981 Parla, Madrid, España",+34 916 99 03 95,https://www.dentistasenparla.es/,True,,,,propia,,True,,
,Clínica Dental León Fernández,Dental,Parla,"Calle Real, 88, 28981 Parla, Madrid, España",+34 916 99 83 89,,False,,,,ninguna,,True,,
,Clínica Dental Los Planetas,Dental,Parla,"Av. del Sistema Solar, 9, 28983 Parla, Madrid, España",+34 914 24 78 28,https://dentallosplanetas.com/,True,,,,propia,,True,,
,Clínica Dental M.Arroyo,Dental,Parla,"C. Salamanca, 10-12, Loc, 28982 Parla, Madrid, España",+34 916 98 83 79,http://www.marroyodental.com/,True,,,,propia,,True,,
,Clínica Dental Milenium Parla,Dental,Parla,"Av. del Sistema Solar, 3, 28983 Parla, Madrid, España",+34 916 05 29 60,https://www.sanitas.es/dental/clinicas-dentales-milenium/madrid/parla/parla,True,,,,propia,,True,,
,Clínica Dental Médica Cobo Fuenlabrada,Dental,Parla,"C. Río Tormes, 11, 28947 Fuenlabrada, Madrid, España",+34 913 33 92 85,https://www.dentalmedicacobo.com/,True,,,,propia,,True,,
,Clínica Dental Parla - Gómez Olmedo,Dental,Parla,"Calle Real, 64, 28981 Parla, Madrid, España",+34 919 32 51 83,http://www.clinicadentalgomezolmedo.com/,True,,,,propia,,True,,
,Clínica Dental Tu Boca,Dental,Parla,"Calle Real, 53, 28981 Parla, Madrid, España",+34 916 05 66 81,https://tubocaclinicadental.es/,True,,,,propia,,True,,
,Clínica Dental Vitaldent,Dental,Parla,"Av. de los Planetas, 2, 28983 Parla, Madrid, España",+34 910 49 51 95,https://clinicas.vitaldent.com/madrid/clinica-dental-vitaldent-parla-este-279/,True,,,,propia,,True,,
,Clínica RIVAS & CUÉLLAR,Dental,Parla,"C. Isabel II, 6, 28981 Parla, Madrid, España",+34 916 99 77 09,https://dentistarivascuellar.es/,True,,,,propia,,True,,
,Clínica dental SAFE,Dental,Parla,"C. de Pinto, 52, 28982 Madrid, España",+34 636 35 58 48,http://clinicasafe.es/,True,,,,propia,,True,,
