place_id,business_name,type_label,city,address,phone,website,tiene_web,rating,review_count,photo_path,web_estado,email,contactar_por_telefono,web_obsoleta,web_motivos
,ACTIVA PELUQUERIA Y ESTETICA,Estetica,Parla,"C. de la Estrella Antares, 1, 28983 Parla, Madrid, España",+34 910 11 87 11,,False,,,,ninguna,,True,,
,Ainhoa Martín Salón de Belleza,Estetica,Parla,"C. de Fernando III El Santo, 8, 28982 Parla, Madrid, España",+34 918 21 99 66,http://www.ainoahmartinsalondebelleza.com/,True,,,,propia,,True,,
,Alma De La Vega,Estetica,Parla,"C. Carlos V, 8, 28982 Parla, Madrid, España",+34 655 59 94 66,,False,,,,ninguna,,True,,
,Ana Cristina Centro de Estética,Estetica,Parla,"C. Hospital de San José, 13, 28901 Getafe, Madrid, España",+34 910 26 66 28,https://anacristinacentroestetico.es/,True,,,,propia,,True,,
,Beauty and Chic,Estetica,Parla,"C. Eduardo Chillida, 12, 28981 Parla, Madrid, España",+34 633 74 00 99,http://www.esteticabyc.es/,True,,,,propia,,True,,
,Centro De Belleza Y Estética Yanina Unisex,Estetica,Parla,"C. de Fernando III El Santo, 4, Loc 16, 28982 Parla, Madrid, España",+34 600 28 74 67,,False,,,,ninguna,,True,,
,Centro De Estética Unisex Bellisima,Estetica,Parla,"C. Escaño, 36, 28901 Getafe, Madrid, España",+34 697 62 87 75,https://www.instagram.com/bellisimagetafe/,False,,,,social,,True,,
,Centro Médico Estético Lola Guzmán | Clínica Estética en Getafe,Estetica,Parla,"C. Leganés, 35, 28904 Getafe, Madrid, España",+34 624 21 63 21,http://www.centromedicoesteticololaguzman.es/,True,,,,propia,,True,,
,Centro de Estética Dsu,Estetica,Parla,"C. la Pila, 5, 28981 Parla, Madrid, España",+34 912 88 47 25,,False,,,,ninguna,,True,,
,Centro de estética Irene Sánchez,Estetica,Parla,"C. Guadalajara, 19, 28982 Parla, Madrid, España",+34 916 99 26 13,http://irenesanchez.com/,True,,,,propia,,True,,
,Consentía Nails Studio by Arancha García,Estetica,Parla,"C. del Planeta Saturno, 9, Loc 5F, 28983 Parla, Madrid, España",+34 624 61 72 18,https://consentiastudio.com/,True,,,,propia,,True,,
,DL Nails Designer,Estetica,Parla,"C. de Fernando III El Santo, 15, 28982 Parla, Madrid, España",+34 614 37 27 54,https://beacons.ai/dlnailsdesigner,True,,,,propia,,True,,
,Dary Nails Uñas Parla,Estetica,Parla,"Calle de la Macarena, 44, 28982 Parla, Madrid, España",+34 671 37 33 43,https://darynailsboutique.mytreatwell.es/#contact,True,,,,propia,,True,,
,"Destiny Beauty, peluquería y estética",Estetica,Parla,"C. Cuba, 1, 28983 Parla, Madrid, España",+34 919 31 36 51,https://www.facebook.com/Destiny-Beauty-Parla-103539541483936/,False,,,,social,,True,,
,ETHERMA,Estetica,Parla,"C. Rio Lozoya, 9, 28981 Parla, Madrid, España",+34 916 05 16 34,http://www.etherma.es/,True,,,,propia,,True,,
,Estética Marilyn,Estetica,Parla,"C. de Felipe II, 9, 28982 Parla, Madrid, España",+34 665 55 54 34,https://instagram.com/esteticamarilynjv,False,,,,social,,True,,
,Estética y Bienestar,Estetica,Parla,"C. Domingo Malagón, 8, 2ºG, 28981 Parla, Madrid, España",+34 697 18 73 53,http://esteticaybienestar.es/,True,,,,propia,,True,,
,Estética y Salud Irene Sacristán,Estetica,Parla,"Estética y salud Irene Sacristán, C. San Blas, 7, 28981 Parla, Madrid, España",+34 916 99 58 20,,False,,,,ninguna,,True,,
,Federica Montes | Medicina y Estética Avanzada (Parla),Estetica,Parla,"C. Isabel II, 30, 28982 Parla, Madrid, España",+34 916 05 74 40,https://www.federicamontes.com/,True,,,,propia,,True,,
,LUXURY NADOR STUDIO,Estetica,Parla,"C. San Roque, 45, 28982 Parla, Madrid, España",+34 678 95 59 94,https://luxurynadorstudio.com/,True,,,,propia,,True,,
,Laser Surface,Estetica,Parla,"C. de Fernando III El Santo, 42, 28982 Parla, Madrid, España",+34 666 97 12 89,https://esteticalasersurface.com/,True,,,,propia,,True,,
,Láserum Parla | Depilación Láser Diodo,Estetica,Parla,"Calle del Planeta Júpiter, 8, Loc 3, 28983 Parla, Madrid, España",+34 615 04 36 60,https://laserum.com/centros-depilacion-laser/madrid/parla/,True,,,,propia,,True,,
,Mia Nails,Estetica,Parla,"C. Alfonso X el Sabio, 38, 28982 Parla, Madrid, España",+34 611 57 34 74,https://www.instagram.com/mianails.es,False,,,,social,,True,,
,Miguel Angel Pique Rami,Estetica,Parla,"C. Alfonso XIII, 24, 2º B, 28982 Parla, Madrid, España",+34 651 65 23 97,,False,,,,ninguna,,True,,
,No+ Vello Parla,Estetica,Parla,"C. Carlos V, 8, 28980 Parla, Madrid, España",+34 655 59 94 66,,False,,,,ninguna,,True,,
,Nuver,Estetica,Parla,"C. del Planeta Saturno, 1, 28983 Parla, Madrid, España",+34 914 24 07 44,https://www.peluquerias-nuver.es/,True,,,,propia,,True,,
,Nyreth Beauty Spa,Estetica,Parla,"C. San Antón, 80, 28982 Parla, Madrid, España",+34 643 15 17 06,http://nyrethbeautyspa.booksy.com/a,True,,,,propia,,True,,
,PELUQUERÍA Y ESTÉTICA PRINCESS PARLA,Estetica,Parla,"Tr.ª Río Ebro, 3, 28981 Parla, Madrid, España",+34 603 02 17 96,https://instagram.com/naik_pelu_estetica,False,,,,social,,True,,
